Variable:,tas
Country:,"Tanzania, United Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.26,22.55,23.17,22.31,21.37,19.79,19.53,20.55,21.99,23.47,23.69,23.84
1902,23.05,23.04,23.29,22.47,22.51,21.28,20.14,21.63,22.42,23.51,23.37,22.48
1903,23.06,22.98,22.80,22.20,21.51,20.92,20.00,21.54,21.99,23.09,23.79,22.96
1904,22.38,22.48,22.42,22.19,21.79,20.43,19.85,21.43,22.08,22.39,22.57,22.48
1905,23.11,23.02,22.55,21.56,21.34,20.53,19.65,20.66,22.17,23.67,23.62,22.66
1906,22.21,22.95,21.89,21.48,21.04,19.59,19.24,19.88,21.41,23.11,23.69,23.01
1907,22.38,22.36,22.69,21.69,20.87,19.39,19.33,19.73,21.53,23.40,23.54,23.16
1908,23.29,22.87,22.84,22.64,21.41,20.32,20.06,21.25,22.03,23.30,23.39,22.79
1909,22.03,21.85,22.47,21.97,20.91,19.33,19.41,19.74,21.57,22.95,22.54,21.93
1910,21.73,21.99,22.33,21.85,20.11,19.77,18.75,19.92,20.84,22.08,22.56,23.05
1911,22.60,22.75,22.55,21.29,21.36,19.69,18.83,20.04,21.03,22.65,22.88,22.99
1912,22.51,22.26,22.07,21.59,21.10,20.01,19.16,20.12,21.59,22.93,23.05,21.85
1913,21.63,22.08,21.68,21.41,20.81,19.10,18.75,19.74,21.78,22.78,22.73,22.21
1914,21.99,22.30,22.45,21.67,20.82,19.81,19.20,20.37,21.57,22.90,22.84,22.58
1915,22.33,22.49,22.89,21.94,20.18,19.65,19.52,20.09,21.73,22.85,22.22,21.78
1916,21.99,22.07,21.83,21.59,20.81,19.18,18.58,19.61,20.93,23.48,22.03,21.78
1917,21.20,21.43,21.36,21.01,20.38,18.85,18.76,20.08,20.91,22.03,22.03,21.58
1918,21.50,21.68,21.80,21.10,20.18,19.16,19.02,19.87,21.26,22.85,22.38,22.11
1919,22.33,22.65,22.43,21.59,20.61,19.17,18.74,20.06,21.54,22.00,22.19,21.77
1920,21.88,21.87,21.97,20.83,20.37,18.67,18.75,19.91,22.32,23.48,23.81,21.16
1921,22.50,22.67,23.42,22.71,21.60,19.98,20.34,20.86,22.06,23.34,23.45,23.36
1922,23.26,23.74,23.27,22.39,21.00,20.45,19.37,20.74,22.37,22.99,23.30,22.75
1923,22.95,23.28,22.89,22.27,21.72,20.09,19.66,20.53,21.89,23.17,23.14,23.14
1924,22.98,23.18,23.20,22.64,21.74,20.39,20.12,20.99,22.29,23.45,23.51,23.13
1925,22.31,22.82,22.89,22.67,21.72,20.39,20.12,20.98,22.32,23.60,23.52,23.15
1926,23.00,24.14,23.20,23.20,21.77,20.43,20.17,20.85,22.84,23.65,23.67,22.75
1927,23.74,23.46,23.37,22.36,21.29,19.78,19.23,21.03,22.66,23.97,23.65,23.15
1928,23.60,23.80,23.20,23.16,21.68,20.49,19.47,20.98,22.72,23.84,23.80,23.15
1929,21.88,22.44,22.32,21.23,20.11,18.95,18.91,19.50,20.78,22.09,22.10,21.69
1930,22.08,21.85,21.84,21.26,20.49,18.88,19.08,20.07,21.66,22.23,22.43,22.06
1931,22.51,23.41,22.29,21.99,21.34,20.20,19.76,20.98,22.07,23.60,23.67,21.67
1932,22.17,22.07,22.15,21.59,20.57,19.80,19.19,20.47,22.28,23.19,23.77,22.16
1933,21.93,22.00,22.55,22.24,21.60,20.60,19.57,20.40,21.03,22.44,23.48,21.94
1934,22.32,22.24,22.56,21.90,21.17,20.07,19.71,20.73,21.83,22.82,22.82,22.22
