Variable:,tas
Country:,Uganda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.18,23.61,23.64,23.05,22.54,21.63,21.54,21.75,22.20,22.84,22.93,23.14
1902,23.15,23.58,23.58,22.90,23.23,22.90,21.74,22.52,22.25,22.69,22.44,22.16
1903,23.30,23.72,23.45,23.05,22.55,22.45,21.67,22.40,22.13,22.50,22.46,22.56
1904,22.30,22.71,22.98,22.41,22.44,22.35,21.95,22.38,21.97,21.17,21.74,21.77
1905,23.18,22.96,23.01,22.25,22.09,22.04,21.17,21.50,22.04,22.67,22.22,22.02
1906,21.95,23.56,22.77,22.06,21.99,21.34,20.42,20.99,21.47,22.25,22.37,22.36
1907,22.45,22.77,23.11,22.48,21.87,21.22,20.83,20.68,21.65,22.61,22.30,22.04
1908,23.16,23.74,23.53,23.35,22.37,22.19,21.79,22.52,22.17,22.51,22.25,21.54
1909,21.38,21.30,22.56,22.11,21.82,20.56,20.79,20.44,21.21,21.75,20.97,21.04
1910,21.81,21.88,22.30,22.17,20.77,22.04,20.17,20.65,20.37,20.86,21.17,22.68
1911,22.41,23.01,22.96,21.78,22.06,21.42,20.20,21.02,21.00,21.84,21.93,22.06
1912,21.94,22.23,22.03,21.48,21.33,21.31,20.04,20.40,20.96,21.74,21.43,20.92
1913,21.46,22.27,21.77,21.45,21.36,20.43,19.85,20.22,21.50,21.66,21.53,21.46
1914,21.90,22.56,22.71,21.72,21.36,21.29,20.42,21.00,21.21,21.80,21.68,21.90
1915,22.33,22.78,23.28,22.09,20.58,21.07,20.78,20.64,21.43,21.72,20.89,20.89
1916,21.88,22.20,21.91,21.66,21.36,20.50,19.63,20.07,20.42,22.50,20.68,20.88
1917,20.89,21.41,21.34,20.93,20.78,20.07,19.85,20.64,20.41,20.71,20.67,20.67
1918,21.31,21.77,21.91,21.08,20.57,20.50,20.21,20.42,20.85,21.72,21.11,21.32
1919,22.34,23.00,22.71,21.65,21.14,20.49,19.85,20.65,21.21,20.73,20.89,20.89
1920,21.75,21.98,22.13,20.72,20.78,19.85,19.85,20.42,22.14,22.50,22.89,20.10
1921,22.53,22.98,23.91,23.10,22.36,21.50,21.86,21.64,21.85,22.36,22.45,22.91
1922,23.47,24.34,23.72,22.66,21.57,22.09,20.63,21.43,22.22,21.94,22.25,22.11
1923,23.10,23.77,23.28,22.52,22.50,21.64,20.99,21.22,21.64,22.15,22.04,22.60
1924,23.18,23.63,23.64,23.01,22.50,21.99,21.56,21.78,22.14,22.51,22.53,22.61
1925,22.31,23.19,23.28,23.01,22.50,21.99,21.56,21.78,22.23,22.73,22.53,22.61
1926,23.17,24.78,23.63,23.73,22.59,22.08,21.65,21.65,22.86,22.73,22.68,22.11
1927,24.11,23.99,23.93,22.65,22.01,21.29,20.42,21.87,22.64,23.16,22.68,22.61
1928,23.90,24.42,23.64,23.66,22.50,22.08,20.77,21.78,22.64,22.94,22.83,22.60
1929,21.75,22.70,22.57,21.23,20.42,20.14,19.99,19.93,20.14,20.65,20.61,20.74
1930,22.03,21.99,21.91,21.23,21.00,20.14,20.27,20.64,21.36,21.01,21.10,21.18
1931,22.53,23.61,22.73,22.26,21.93,21.55,21.06,21.49,21.71,22.31,22.62,21.21
1932,22.11,22.50,22.34,21.66,21.33,21.29,20.42,21.16,21.91,22.04,22.48,21.58
1933,21.83,22.61,23.06,22.69,22.28,22.02,20.85,21.10,20.92,21.43,22.12,21.45
1934,22.33,22.76,23.00,22.25,21.46,21.46,20.99,21.11,21.65,21.80,21.93,21.70
1935,22.76,22.62,22.90,22.09,21.84,21.53,20.28,20.99,21.76,21.75,22.44,21.74
1936,22.04,22.76,22.42,21.67,21.90,21.04,20.57,20.91,21.43,22.13,22.25,21.84
1937,22.90,23.40,23.00,21.74,21.23,21.04,20.64,20.70,21.78,21.51,21.62,21.53
1938,22.27,22.90,23.21,22.60,21.92,21.27,20.86,21.32,21.60,21.99,21.79,21.78
1939,22.33,23.05,22.97,22.09,21.69,21.26,21.21,21.50,21.87,22.38,22.51,22.64
1940,23.62,23.63,23.18,22.26,22.33,22.05,21.02,21.64,22.21,22.61,22.42,22.40
1941,23.77,24.66,23.48,23.13,22.34,21.89,20.99,21.54,22.08,22.79,22.35,21.81
1942,23.58,24.26,23.55,22.81,22.13,21.71,20.60,20.84,21.46,22.34,22.62,22.52
1943,23.47,23.00,23.11,22.91,22.29,21.54,20.70,20.92,21.35,22.17,23.00,23.15
1944,23.27,23.76,22.92,22.70,22.23,22.36,21.12,21.35,21.57,22.26,22.59,22.51
1945,23.36,23.16,23.91,23.55,22.09,21.54,21.31,21.18,21.51,22.16,22.39,21.90
1946,23.49,24.22,23.74,22.58,22.37,21.66,20.98,20.75,21.39,21.87,21.86,22.43
1947,23.10,23.52,22.90,21.86,21.79,21.56,21.10,21.04,21.63,22.41,22.66,22.32
1948,23.08,23.77,22.88,22.89,22.74,21.55,21.02,21.37,21.60,21.89,21.91,21.82
1949,22.85,23.35,23.88,23.37,22.65,21.75,20.97,21.50,21.40,22.14,22.73,22.18
