Variable:,tas
Country:,Vietnam
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.05,20.49,22.17,25.44,26.85,27.15,27.10,26.79,26.10,24.78,22.64,20.47
1902,19.56,19.95,22.42,25.45,27.02,27.40,27.26,26.99,26.07,24.81,22.79,21.08
1903,19.81,20.50,22.67,25.77,27.02,26.97,27.12,26.74,25.85,24.60,22.12,19.50
1904,18.87,20.32,22.02,25.08,26.77,27.11,27.11,26.99,26.24,24.90,22.36,20.09
1905,20.25,20.98,22.12,25.54,26.95,27.17,27.25,27.15,26.26,24.92,22.83,21.74
1906,20.31,21.35,22.31,25.84,27.32,27.44,27.38,27.22,26.43,24.70,22.31,20.70
1907,19.70,20.77,21.93,25.25,26.66,27.03,27.18,26.87,26.20,24.88,22.80,19.90
1908,19.73,20.59,21.95,25.29,26.77,27.11,27.16,26.88,26.19,24.82,22.24,20.53
1909,19.71,20.84,22.17,25.35,26.65,27.21,27.08,27.03,26.28,24.96,22.37,20.23
1910,19.99,20.44,21.84,25.23,26.92,27.12,27.22,27.01,25.93,24.67,22.55,19.91
1911,19.39,20.56,22.19,25.40,26.86,27.28,27.20,27.13,26.32,24.78,23.12,21.08
1912,19.69,20.82,22.57,25.42,27.41,27.39,27.07,26.75,25.96,24.64,22.16,20.37
1913,19.40,20.90,21.99,25.59,26.47,27.01,26.92,26.74,26.09,24.67,22.37,20.29
1914,19.57,21.08,22.38,25.59,27.26,27.12,27.07,26.77,26.07,24.69,22.63,20.82
1915,19.65,21.26,22.28,25.62,26.66,27.16,27.08,27.07,26.04,24.85,22.35,19.89
1916,19.23,20.65,22.12,25.40,26.99,27.02,27.18,26.94,26.13,24.54,22.21,20.18
1917,19.26,20.52,21.59,25.28,26.78,26.93,27.01,26.73,26.08,24.59,22.49,19.95
1918,19.36,20.24,21.94,24.98,26.52,26.98,27.31,26.83,26.32,24.93,22.84,21.21
1919,20.04,20.76,22.82,25.57,26.94,27.21,27.10,27.08,25.97,24.59,22.55,20.62
1920,19.29,20.57,22.21,25.21,26.92,27.17,27.22,26.90,26.27,24.57,22.98,20.78
1921,19.63,20.49,22.17,25.77,26.77,27.35,26.94,27.11,25.81,24.45,22.37,20.89
1922,20.16,21.87,22.09,25.57,27.66,27.25,27.27,27.08,26.26,24.75,22.26,20.32
1923,20.25,20.45,22.99,25.37,26.63,26.93,26.96,26.70,26.44,25.01,23.51,21.14
1924,20.56,20.94,22.19,25.29,27.50,27.14,26.88,27.02,26.61,24.62,22.96,20.70
1925,18.90,19.59,22.25,24.04,26.94,27.29,27.42,27.31,26.38,24.41,23.25,20.38
1926,20.37,20.79,22.02,25.65,27.37,27.06,27.28,27.05,26.77,24.41,22.93,20.97
