Variable:,tas
Country:,Zimbabwe
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.66,23.90,23.32,21.57,18.57,15.33,15.19,17.88,20.15,23.26,23.97,23.47
1902,23.66,23.56,22.78,22.49,18.26,16.18,16.76,18.38,22.16,22.26,24.53,24.97
1903,24.31,24.26,23.62,22.92,20.23,16.17,15.65,18.36,21.43,23.97,23.94,23.35
1904,22.93,22.37,21.44,21.46,17.75,16.85,14.91,17.44,19.32,23.54,24.94,22.68
1905,24.18,23.42,21.75,20.73,18.13,17.33,14.73,18.54,22.23,25.55,24.63,24.83
1906,25.16,22.48,22.52,20.42,18.80,15.92,15.24,17.08,20.74,22.67,22.61,23.61
1907,23.61,22.77,22.54,20.64,18.36,15.41,13.66,15.92,20.29,23.32,23.64,23.40
1908,23.44,23.00,22.70,21.16,17.27,16.64,15.38,18.68,21.93,25.00,24.40,24.04
1909,23.56,23.39,22.36,20.10,18.27,15.08,15.78,18.41,20.64,23.72,23.87,24.55
1910,23.47,23.02,22.20,20.25,17.30,15.45,14.98,17.67,20.25,22.60,22.39,23.44
1911,22.87,22.52,21.51,19.90,17.52,14.22,14.09,16.78,19.51,24.41,24.54,25.88
1912,24.35,24.38,21.99,22.23,20.24,15.26,14.52,16.78,20.74,23.05,26.42,23.85
1913,24.30,23.95,22.30,21.36,18.61,15.19,16.20,18.05,21.26,24.40,24.78,25.82
1914,24.92,23.14,23.62,22.96,19.11,16.55,15.14,17.46,22.68,25.03,25.14,24.45
1915,24.15,23.18,22.26,21.89,17.80,16.09,16.60,17.74,21.17,24.46,24.92,24.40
1916,23.85,24.98,23.56,21.32,17.80,16.26,15.96,17.12,21.52,25.29,24.19,23.89
1917,23.77,24.08,23.05,21.16,19.33,16.74,15.75,17.29,20.49,24.48,24.70,22.61
1918,22.08,22.75,22.01,19.14,16.93,15.10,15.63,15.54,21.33,25.08,24.18,23.70
1919,23.71,22.94,22.39,21.79,16.57,15.51,15.79,16.84,20.75,22.98,23.77,23.87
1920,24.91,23.83,22.33,20.08,18.71,15.77,15.60,17.36,22.19,23.95,24.92,24.73
1921,24.27,23.91,23.29,20.91,17.90,16.71,14.73,16.59,20.47,24.10,23.77,23.59
1922,25.21,23.82,24.35,21.58,18.83,17.31,15.99,19.42,21.41,22.84,24.93,25.02
1923,23.69,23.21,22.51,20.92,18.30,16.59,15.78,18.08,20.76,24.31,26.18,24.53
1924,24.55,23.38,23.49,20.01,18.78,16.55,14.99,16.98,20.97,23.30,24.16,23.10
1925,22.92,22.97,22.55,21.34,17.54,16.30,14.79,16.89,19.03,22.82,24.89,25.29
1926,24.47,24.77,22.66,20.83,18.31,15.67,14.51,16.63,21.15,24.02,24.64,24.09
1927,24.37,23.58,22.50,21.33,17.69,14.82,15.26,16.90,20.77,23.50,24.19,24.39
1928,24.42,24.23,23.80,21.22,17.26,16.99,14.49,16.70,21.88,25.13,25.44,24.46
1929,23.59,23.43,21.94,20.41,18.73,16.49,15.74,16.59,22.29,25.48,25.65,23.27
1930,23.58,23.90,22.71,20.95,16.68,14.83,14.67,16.70,20.37,23.82,25.43,24.50
1931,24.24,24.90,23.94,21.80,19.96,15.57,16.09,18.61,21.55,24.55,23.24,24.09
1932,24.36,24.16,22.52,21.31,18.02,15.28,14.38,16.52,22.27,24.43,25.05,23.84
1933,23.23,23.64,23.50,21.01,18.20,16.36,16.11,17.26,19.99,24.36,23.99,23.10
1934,24.03,23.64,23.12,21.80,19.35,16.47,16.53,18.65,20.20,23.99,24.03,23.59
1935,23.58,22.23,22.56,20.33,18.39,14.50,15.50,15.18,21.95,24.59,23.91,23.87
1936,24.02,24.08,22.44,20.27,17.94,15.42,15.43,16.96,19.84,23.77,24.22,23.78
