Variable:,tasmax
Country:,"United Arab Emirates"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.25,24.49,28.82,33.55,38.35,39.16,40.38,39.48,39.06,35.15,30.45,26.73
1902,24.48,25.45,30.11,33.80,37.22,39.08,38.94,38.82,37.97,34.00,28.83,24.45
1903,22.61,23.27,26.93,31.29,37.18,38.89,38.94,39.96,38.24,33.24,28.12,24.54
1904,23.91,24.12,27.64,32.13,36.27,37.97,39.49,38.66,37.14,33.89,30.80,24.94
1905,22.62,23.05,26.64,32.58,36.59,38.46,39.35,39.11,37.91,34.92,30.06,24.79
1906,22.84,23.55,26.97,31.09,37.22,37.90,39.10,38.17,37.00,34.34,30.70,26.46
1907,23.61,23.00,27.30,31.45,37.41,38.19,39.35,38.49,37.34,34.58,28.24,25.01
1908,23.53,23.60,28.06,33.17,36.88,39.43,39.23,39.19,38.37,34.33,30.18,25.83
1909,23.03,25.55,29.07,33.56,37.34,37.97,39.83,39.18,37.71,34.39,30.13,25.22
1910,22.80,24.67,26.20,31.28,36.56,37.47,39.30,39.19,37.60,33.31,29.21,23.78
1911,20.38,22.01,25.73,31.18,36.01,37.00,39.33,38.27,36.57,33.51,28.93,26.04
1912,22.86,24.12,27.82,31.85,36.15,39.24,38.91,37.92,37.32,33.86,29.97,24.62
1913,23.00,22.75,25.97,32.97,37.52,37.81,38.55,37.30,37.56,34.34,29.66,25.40
1914,24.81,24.25,27.83,33.06,36.89,37.47,38.62,38.60,36.78,35.15,30.50,25.37
1915,24.33,24.88,28.37,32.54,36.94,39.81,39.36,39.22,38.55,34.00,30.07,25.32
1916,23.44,23.35,28.94,31.84,37.71,39.14,40.21,39.48,37.46,33.30,30.18,25.67
1917,23.54,24.88,27.17,33.36,37.13,38.67,40.50,39.57,38.20,33.81,30.18,24.81
1918,23.54,24.37,27.09,31.89,36.62,37.57,39.48,39.10,37.97,35.40,30.52,25.89
1919,24.85,25.20,27.86,33.36,36.88,37.78,39.23,39.29,38.18,35.21,30.71,26.02
1920,23.95,23.10,28.88,32.89,37.62,39.16,39.29,39.29,38.55,35.59,30.18,23.60
1921,23.63,24.25,28.76,34.32,36.75,38.98,40.38,39.37,38.48,34.32,30.07,25.00
1922,24.40,24.49,27.86,32.87,36.75,39.56,39.92,39.60,37.85,34.51,31.09,26.14
1923,23.74,24.11,29.01,31.84,37.07,39.05,40.01,38.46,37.66,34.74,29.24,26.09
1924,24.53,24.31,29.96,32.97,37.90,39.69,40.21,39.03,38.03,35.59,30.39,25.13
1925,21.59,22.65,29.07,33.49,37.27,38.15,38.91,39.37,38.55,35.21,29.81,26.14
1926,24.40,25.33,28.28,31.84,37.45,39.14,39.36,39.22,37.27,34.39,30.77,25.32
1927,23.95,23.80,27.74,32.08,38.09,39.50,40.01,39.03,38.81,35.53,30.58,24.88
1928,23.53,24.49,27.44,34.64,37.60,38.89,40.02,38.51,38.23,34.73,29.16,24.80
1929,24.76,25.03,28.15,33.37,37.36,37.88,39.02,38.71,37.63,34.55,29.67,25.37
1930,22.37,25.34,28.19,33.52,37.34,38.58,38.81,38.82,37.97,34.44,30.24,25.28
1931,24.76,24.23,28.29,32.60,36.72,38.85,39.79,39.00,38.57,33.36,29.77,24.30
1932,24.08,23.78,28.65,32.10,36.56,38.72,39.00,38.62,37.16,33.72,30.14,23.29
1933,22.76,24.35,27.50,31.46,37.12,37.13,38.51,38.76,36.90,34.28,29.28,25.80
1934,22.30,25.20,27.07,33.20,36.10,38.63,38.81,38.62,37.45,33.72,29.87,26.10
1935,23.45,24.39,28.99,31.78,36.86,38.83,39.41,39.45,38.32,34.89,30.83,27.00
1936,22.91,25.50,27.60,33.19,37.95,37.30,39.09,39.71,37.20,32.80,29.75,24.54
1937,21.45,24.40,27.29,32.42,37.68,38.21,39.43,39.18,38.05,34.86,30.76,25.53
1938,24.43,24.94,26.21,32.28,36.54,37.76,40.06,39.85,39.40,33.44,29.47,25.82
1939,24.45,24.66,27.30,31.10,37.06,38.94,39.46,38.57,37.70,34.28,30.39,26.41
1940,24.63,25.91,26.59,33.08,37.77,38.72,39.60,39.31,38.18,35.29,30.12,26.04
1941,24.01,25.70,28.96,32.70,37.75,39.72,40.06,38.94,37.65,34.45,30.10,25.05
1942,23.20,24.87,28.87,33.04,37.98,39.08,39.91,39.19,37.98,34.69,30.52,25.05
1943,23.55,23.94,27.40,31.86,37.31,38.23,39.40,39.27,37.49,34.12,30.20,26.88
1944,24.73,24.76,28.89,32.49,37.31,39.33,39.52,38.70,37.73,34.04,30.29,25.00
1945,23.07,24.16,27.24,32.43,37.22,39.19,39.52,39.21,37.93,33.65,30.26,25.54
1946,23.42,24.57,27.82,33.56,37.73,39.26,39.61,39.46,38.35,34.88,30.05,26.20
1947,24.73,24.91,28.73,33.52,37.24,39.54,40.40,39.31,37.46,34.52,30.66,26.13
1948,23.95,25.19,27.74,32.56,37.60,39.19,39.98,39.59,37.61,33.45,29.03,25.88
1949,22.42,23.25,27.81,32.26,37.29,38.91,39.67,39.26,37.55,33.18,28.96,25.87
1950,22.27,22.24,27.42,32.08,36.64,38.43,39.71,39.47,38.26,34.61,29.64,25.26
1951,24.59,24.73,27.86,32.71,38.09,39.68,40.41,40.25,39.78,36.03,30.53,26.02
1952,23.49,25.68,28.96,33.73,37.76,38.79,39.79,39.73,38.77,35.04,30.07,26.37
1953,25.47,25.91,28.08,33.46,37.67,39.03,40.35,40.01,38.73,35.67,31.08,25.17
1954,24.84,25.47,29.03,33.46,38.11,39.56,40.27,39.84,38.97,34.96,30.79,26.69
1955,23.91,25.15,29.15,33.38,37.61,39.01,39.98,39.45,38.91,34.08,30.60,26.47
1956,22.98,25.33,29.43,32.52,37.22,39.22,39.96,39.45,38.92,34.79,29.64,25.53
1957,22.49,23.42,28.02,31.21,36.38,39.63,40.52,40.04,38.84,34.98,29.61,25.01
1958,23.82,24.89,29.12,33.76,37.45,39.45,40.17,39.42,37.82,34.25,28.98,25.46
1959,23.08,23.32,27.71,33.57,37.42,38.89,39.84,39.06,37.69,34.44,28.46,24.42
1960,24.12,26.07,28.12,32.86,37.45,38.94,39.81,39.72,38.51,33.77,29.99,25.43
1961,23.93,24.34,27.58,31.31,37.15,38.46,39.97,39.78,37.64,33.59,28.59,25.89
1962,24.56,25.97,29.21,32.73,37.58,39.20,40.15,39.89,38.67,34.85,29.82,26.38
1963,26.12,27.28,28.49,33.24,34.59,39.22,40.68,39.77,38.59,35.02,29.35,24.75
1964,20.14,23.90,29.46,33.04,37.86,39.63,39.06,39.52,37.74,33.33,29.40,22.70
1965,22.54,25.62,28.78,31.00,38.25,39.90,40.54,39.62,39.26,35.56,30.57,26.10
1966,26.12,25.18,28.25,32.32,38.53,39.51,39.54,39.69,38.44,35.03,30.11,26.67
1967,24.43,24.16,27.68,31.05,37.38,38.21,39.73,39.82,37.98,35.31,29.79,24.33
1968,23.71,22.33,28.68,32.08,36.69,38.59,40.23,39.48,37.77,34.74,30.91,26.97
1969,23.36,24.52,31.59,32.56,37.64,39.63,40.32,39.40,38.36,35.49,29.62,27.39
