Variable:,tasmax
Country:,"Bosnia and Herzegovina"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.67,-0.08,8.71,13.60,18.25,22.60,25.33,24.06,20.21,15.60,6.71,6.83
1902,4.83,5.83,7.96,13.49,14.36,20.69,24.30,25.01,20.87,14.59,5.65,1.06
1903,1.67,5.89,10.62,10.44,18.45,20.93,23.96,24.73,21.13,15.62,9.19,5.50
1904,1.35,6.67,8.85,14.20,18.76,22.41,26.22,25.18,18.93,14.92,6.58,4.42
1905,-1.64,2.58,8.98,12.04,18.27,22.14,26.60,26.34,22.44,10.89,10.31,4.73
1906,1.87,3.92,8.50,13.56,18.30,20.88,24.71,24.41,18.81,14.84,10.76,2.27
1907,0.34,0.93,5.05,10.58,20.62,22.61,23.73,25.34,21.02,18.94,7.90,5.72
1908,0.66,4.03,7.41,11.64,21.43,23.91,24.81,23.78,19.31,13.97,3.99,2.15
1909,-0.50,-0.16,7.78,14.10,17.49,21.22,23.49,25.04,20.67,16.08,6.71,7.33
1910,3.78,6.97,8.86,12.71,17.59,22.06,23.14,24.19,18.61,15.00,7.66,7.70
1911,2.00,2.49,8.36,12.48,17.80,21.34,25.79,26.14,21.41,15.05,11.25,6.05
1912,1.22,6.92,10.95,10.97,17.57,22.37,24.51,22.60,16.82,12.54,5.47,4.89
1913,1.67,2.91,10.82,13.11,17.42,21.44,21.32,22.53,20.21,15.37,9.83,4.33
1914,-2.10,2.18,9.23,14.69,17.33,20.58,23.35,24.59,18.90,13.50,7.12,6.24
1915,3.71,4.45,7.08,12.80,19.24,23.20,23.95,22.76,18.20,12.70,6.23,7.82
1916,5.12,4.14,10.99,13.08,18.62,21.23,24.34,23.98,18.47,14.03,10.06,7.25
1917,2.62,-0.64,6.24,10.90,19.32,23.96,24.95,26.11,22.27,14.90,8.11,1.98
1918,3.53,2.69,8.31,14.13,18.61,20.06,23.81,24.21,21.57,14.11,7.04,4.61
1919,4.53,3.58,9.00,11.44,15.05,21.31,22.01,24.76,21.90,12.43,6.71,4.35
1920,5.27,5.48,10.66,15.55,20.51,20.55,25.28,23.14,20.65,12.25,4.71,4.48
1921,6.12,3.84,10.21,12.20,19.82,20.69,25.85,25.98,20.42,15.56,5.73,2.89
1922,0.96,1.02,10.26,12.20,18.89,22.62,24.98,25.55,18.95,12.65,5.75,4.10
1923,3.37,4.18,8.97,12.40,20.05,19.02,25.46,25.53,20.87,17.40,10.57,3.94
1924,-0.18,1.92,7.13,12.65,20.14,22.00,24.13,22.44,21.68,14.71,6.66,3.38
1925,3.02,7.89,7.11,13.63,18.96,20.60,24.21,24.11,18.70,14.60,8.45,1.54
1926,2.38,7.66,7.75,14.76,17.10,20.08,22.74,23.10,21.63,15.95,14.06,3.83
1927,4.11,3.09,10.88,13.32,17.92,23.74,26.09,25.73,21.68,14.55,9.58,1.66
1928,2.49,4.24,6.97,14.00,15.62,21.66,27.79,26.56,21.10,14.82,10.25,2.94
1929,-1.42,-1.41,5.94,10.29,19.35,21.82,25.42,25.96,21.13,15.89,10.14,5.83
1930,3.45,4.09,10.18,14.06,17.51,23.81,24.67,24.28,21.85,14.53,10.91,4.38
1931,3.07,3.94,5.62,11.34,20.54,24.01,26.04,24.50,16.62,13.74,8.32,2.22
1932,2.10,-0.57,4.43,12.32,18.59,21.06,25.88,27.32,24.06,15.58,8.75,4.87
1933,0.55,3.60,8.82,11.69,16.17,19.18,24.99,24.86,19.95,14.79,8.24,-0.00
1934,1.94,4.12,10.73,16.15,20.05,21.50,25.48,24.21,21.81,14.63,9.74,7.77
1935,0.01,3.70,7.05,12.68,16.84,24.46,25.45,24.32,20.59,16.42,8.90,4.28
1936,6.70,5.07,10.90,13.63,18.31,21.30,25.44,23.72,20.01,10.26,7.95,3.88
1937,1.13,5.51,9.59,12.18,20.05,23.32,24.61,23.99,20.46,14.91,7.99,3.42
1938,1.77,3.53,10.78,9.99,16.89,24.09,25.14,23.96,19.79,15.77,10.00,2.60
1939,4.79,5.89,5.47,15.84,16.00,22.32,25.37,25.50,19.83,13.58,9.14,2.50
1940,-3.07,0.57,6.52,13.21,16.44,21.63,23.65,21.99,20.26,13.98,10.68,-0.59
1941,0.83,4.81,8.82,12.26,15.35,22.39,24.34,24.06,18.32,13.12,5.37,3.54
1942,-4.64,0.41,6.51,11.75,18.92,22.44,24.50,25.81,24.42,17.06,7.63,5.81
1943,-0.45,6.65,9.89,14.74,17.87,20.60,25.01,28.07,22.69,16.40,7.46,5.12
1944,4.51,2.49,4.95,13.92,17.31,21.10,24.29,27.03,20.22,15.31,7.95,3.06
1945,-0.83,4.84,9.49,14.14,20.86,23.77,26.19,25.06,20.79,14.21,7.90,4.39
1946,0.60,5.26,9.48,15.70,20.56,23.27,26.87,27.23,23.44,12.08,8.82,1.87
1947,-2.81,2.21,9.88,16.22,19.81,23.67,26.20,25.79,24.08,13.98,10.03,4.73
1948,6.44,3.40,9.75,14.72,19.75,20.67,22.66,25.13,21.50,15.70,8.33,2.16
1949,4.60,5.17,6.02,15.70,18.61,20.29,24.46,23.96,22.10,16.07,9.93,5.67
1950,0.71,5.62,10.40,14.07,20.67,24.56,27.70,26.84,21.46,13.77,9.00,5.51
1951,5.18,7.01,8.71,13.57,18.34,22.86,24.65,26.37,22.39,13.32,11.11,5.63
1952,3.01,2.89,7.39,16.50,17.72,23.34,27.24,28.08,20.52,14.67,7.72,4.30
1953,2.31,3.28,8.30,14.57,17.63,21.97,25.75,24.13,21.71,15.72,6.99,3.59
1954,-2.09,-1.92,9.04,11.28,16.64,23.50,23.59,24.80,22.51,14.33,7.74,6.26
1955,3.98,5.85,6.51,11.14,18.27,21.73,23.77,23.07,19.88,14.44,7.28,6.36
1956,4.39,-2.80,4.79,12.83,18.24,20.50,25.20,26.23,22.34,14.73,5.88,2.95
1957,0.89,7.49,10.30,13.44,15.42,24.40,25.23,24.42,20.19,14.37,9.29,3.84
1958,2.53,7.30,4.45,10.63,21.70,21.47,25.70,26.14,20.75,15.21,9.01,6.86
1959,2.89,2.77,10.87,13.67,17.55,20.68,24.96,23.55,18.60,13.81,8.47,7.53
1960,1.85,4.42,8.45,13.00,17.05,22.63,23.02,25.43,19.92,16.65,10.81,7.06
1961,2.26,5.95,11.16,16.59,16.88,22.48,23.89,25.46,23.19,16.63,9.71,3.73
