Variable:,tasmax
Country:,Bermuda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.90,21.30,22.00,22.80,25.60,28.50,30.80,31.40,30.40,28.80,25.30,23.00
1902,21.70,21.30,21.90,23.00,25.70,28.50,30.80,31.30,30.30,28.90,25.70,23.10
1903,21.90,21.70,22.20,23.10,25.70,28.40,30.80,31.40,30.30,28.80,25.30,22.80
1904,21.70,21.40,21.90,23.00,25.70,28.50,30.70,31.30,30.30,28.80,25.40,22.90
1905,21.70,21.20,22.00,23.10,25.80,28.50,30.80,31.30,30.40,28.90,25.50,23.10
1906,22.10,21.60,21.90,23.10,25.70,28.50,30.70,31.50,30.60,28.90,25.50,23.10
1907,22.10,21.50,22.10,22.90,25.60,28.40,30.80,31.40,30.50,28.70,25.50,23.10
1908,22.00,21.50,22.10,23.20,25.80,28.50,30.80,31.40,30.30,28.90,25.60,23.20
1909,22.10,21.80,22.00,23.20,25.70,28.60,30.70,31.30,30.30,28.80,25.70,22.90
1910,22.00,21.60,22.20,23.20,25.70,28.50,30.80,31.40,30.40,29.00,25.40,22.80
1911,22.00,21.70,21.90,23.00,25.70,28.60,30.80,31.40,30.50,28.90,25.50,23.20
1912,21.80,21.50,22.00,23.20,25.80,28.50,30.80,31.40,30.50,28.90,25.50,23.20
1913,22.30,21.70,22.20,23.10,25.70,28.50,30.80,31.40,30.30,28.90,25.50,23.10
1914,22.00,21.60,21.80,23.10,25.70,28.50,30.70,31.40,30.30,28.90,25.50,23.00
1915,22.00,21.70,21.70,23.10,25.70,28.40,30.80,31.40,30.50,29.00,25.60,22.90
1916,22.20,21.60,21.80,23.00,25.80,28.50,30.80,31.40,30.30,28.90,25.60,23.00
1917,22.00,21.50,22.00,23.10,25.60,28.50,30.80,31.40,30.30,28.80,25.40,22.70
1918,21.60,21.60,22.00,23.00,25.80,28.40,30.70,31.40,30.30,29.00,25.50,23.20
1919,22.00,21.60,22.00,23.10,25.70,28.40,30.80,31.40,30.40,29.20,25.60,22.90
1920,21.80,21.50,21.90,23.00,25.50,28.40,30.70,31.40,30.40,28.90,25.60,23.10
1921,22.00,21.70,22.30,23.20,25.60,28.50,30.80,31.30,30.50,28.90,25.70,23.10
1922,21.90,21.70,22.10,23.20,25.70,28.50,30.80,31.30,30.40,28.90,25.60,23.20
1923,22.00,21.50,22.00,23.10,25.70,28.60,30.70,31.40,30.40,28.80,25.50,23.30
1924,22.00,21.50,21.80,23.10,25.70,28.50,30.70,31.40,30.30,28.80,25.60,23.10
1925,22.00,21.90,22.10,23.20,25.70,28.60,30.80,31.40,30.50,28.90,25.50,23.00
1926,21.90,21.70,21.80,23.00,25.70,28.50,30.80,31.50,30.40,28.90,25.60,23.10
