Variable:,tasmax
Country:,Brazil
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.33,30.52,30.24,29.68,29.56,29.32,30.04,30.87,31.40,31.72,30.81,30.40
1902,30.32,30.70,30.32,30.19,29.99,29.94,30.11,30.19,31.44,31.35,31.28,30.86
1903,30.25,30.58,30.51,29.94,29.34,29.62,29.80,30.54,31.25,31.18,30.72,30.68
1904,30.03,30.24,30.12,29.91,28.98,28.85,29.67,30.35,31.10,31.04,30.78,30.35
1905,30.10,30.35,29.91,29.69,29.78,29.51,29.63,30.66,31.20,31.92,30.95,30.70
1906,30.22,30.31,30.20,29.89,29.82,28.91,29.75,30.88,30.97,31.46,31.04,30.63
1907,30.16,30.32,30.41,29.95,29.15,29.24,29.15,30.29,31.31,31.28,30.93,30.83
1908,30.45,30.61,30.25,30.04,29.59,29.37,29.98,30.11,31.32,31.00,30.79,30.84
1909,30.63,30.66,30.26,30.05,28.95,29.15,29.69,30.75,31.24,31.16,30.91,30.38
1910,30.51,30.50,30.13,30.09,28.95,29.47,29.65,30.85,31.26,31.10,30.73,30.47
1911,30.26,30.47,29.80,29.74,29.41,28.70,29.11,30.39,30.99,31.16,31.25,30.84
1912,30.73,30.82,30.41,30.13,29.67,29.15,28.66,30.58,30.39,30.90,31.06,30.32
1913,30.06,30.32,30.11,30.01,29.11,28.80,29.64,30.21,30.88,31.11,30.93,30.26
1914,30.53,30.34,30.54,29.82,29.01,29.66,30.02,30.21,31.24,31.23,31.10,30.49
1915,30.57,30.61,30.31,30.71,30.36,28.88,29.74,30.80,30.83,31.24,30.63,30.48
1916,30.31,30.28,29.99,29.80,29.31,28.72,29.14,30.56,31.37,30.86,30.62,30.15
1917,30.02,29.89,29.79,29.37,28.37,28.24,28.68,29.88,30.67,30.92,30.45,30.30
1918,30.06,29.89,30.07,29.68,29.38,28.91,29.15,30.15,31.00,31.29,31.00,30.47
1919,30.40,30.63,30.55,30.34,30.17,29.64,29.80,30.08,30.84,31.35,30.96,30.47
1920,30.38,30.42,30.23,30.00,29.22,28.67,28.91,29.90,30.98,31.46,30.92,30.26
1921,30.19,30.29,30.13,29.60,29.48,28.17,28.42,30.58,30.75,31.02,30.38,30.59
1922,30.27,30.24,30.02,29.75,29.07,28.65,29.07,30.45,30.93,30.58,30.57,30.11
1923,30.10,30.12,29.99,29.77,28.66,28.90,28.57,30.41,31.06,31.15,30.76,30.72
1924,30.34,30.27,30.30,29.84,28.88,28.84,29.05,29.61,30.67,30.40,30.47,30.26
1925,29.91,30.04,29.67,30.00,29.29,28.52,28.88,30.85,30.97,30.91,30.75,30.70
1926,30.45,30.50,30.53,29.96,28.98,29.35,28.79,30.58,31.54,31.23,31.08,30.35
1927,30.06,30.18,30.02,29.77,29.03,28.35,28.74,30.18,30.87,31.09,30.95,30.39
1928,30.33,30.41,30.15,30.23,29.27,29.12,29.02,29.86,30.74,31.01,30.82,30.28
1929,30.38,30.26,29.89,29.43,28.57,28.58,29.10,30.38,31.10,31.26,30.54,30.22
1930,30.20,30.19,30.30,29.85,29.51,29.73,29.22,30.63,30.92,31.04,30.70,30.49
1931,30.75,30.60,30.32,30.11,28.98,28.76,29.40,30.38,30.64,31.16,30.51,30.44
1932,30.09,30.37,30.11,30.32,29.17,29.09,30.01,30.14,31.14,31.31,31.14,30.43
1933,30.24,30.30,30.06,29.58,29.35,28.41,28.64,30.47,31.12,31.16,30.42,30.14
1934,30.03,29.79,29.97,29.41,29.23,29.24,29.13,30.35,30.92,30.58,30.72,30.30
1935,30.32,30.18,30.31,29.39,28.83,29.23,29.53,30.42,30.87,31.23,30.71,30.79
1936,30.23,30.19,30.22,29.87,30.12,29.54,29.30,30.14,31.18,31.50,30.84,30.54
1937,30.18,30.59,30.14,29.55,28.95,29.36,29.45,31.06,31.04,30.94,31.00,30.58
1938,30.39,30.57,30.14,29.44,29.21,29.08,29.49,30.20,31.00,30.90,30.74,30.39
1939,30.38,30.18,30.14,29.61,29.72,29.39,29.06,30.57,30.79,31.33,30.87,30.46
1940,30.31,30.47,30.24,30.04,29.87,29.33,30.05,30.41,31.01,31.19,30.71,31.07
1941,30.64,30.76,30.35,30.63,29.84,29.06,29.65,31.17,30.40,31.50,31.05,30.87
1942,30.96,30.74,30.60,30.21,29.30,28.64,28.61,30.77,31.43,31.38,31.26,30.50
1943,30.38,30.45,30.12,29.50,29.67,29.19,29.53,29.62,30.86,31.65,30.94,30.36
1944,30.40,30.51,30.30,29.63,29.36,29.41,29.39,31.14,31.56,31.88,30.93,30.94
1945,30.59,30.47,30.39,30.10,28.93,28.59,29.53,31.37,31.31,31.47,30.94,30.42
1946,30.19,30.70,30.27,29.72,29.69,29.10,29.27,30.70,31.55,31.46,31.20,30.55
1947,30.48,30.63,30.09,29.88,29.47,29.50,29.01,30.34,31.00,30.93,30.60,30.27
1948,30.57,30.36,29.88,29.79,29.34,29.46,29.83,30.34,31.23,31.21,30.72,30.57
1949,30.15,29.92,30.31,29.22,28.91,29.30,29.08,30.18,31.09,30.84,30.78,30.53
1950,30.14,30.19,29.66,29.63,29.36,29.15,29.17,30.47,31.21,30.87,30.59,30.36
1951,30.03,30.15,30.13,29.01,29.27,28.81,29.11,30.36,31.42,31.50,30.99,30.37
1952,30.80,30.79,30.43,29.37,29.41,28.40,29.48,30.84,31.00,31.41,30.76,30.43
1953,30.62,30.44,30.33,29.58,29.66,29.24,28.54,31.24,31.64,31.20,31.00,30.50
1954,30.42,30.58,30.11,30.03,29.26,29.41,29.34,30.63,31.44,31.34,30.97,30.53
1955,30.26,30.40,30.12,29.61,29.07,29.26,28.67,30.56,31.36,31.07,30.68,30.30
1956,30.16,29.97,30.02,29.20,28.54,28.15,29.06,29.69,31.11,30.97,30.38,30.42
1957,29.84,30.13,29.75,29.30,29.70,29.25,28.74,30.71,30.98,31.62,30.85,30.97
1958,30.83,31.12,30.46,29.98,29.61,29.86,30.15,30.32,31.37,31.38,30.96,30.87
1959,30.35,30.56,30.13,30.41,29.57,29.13,30.00,30.53,31.30,31.55,30.73,30.84
1960,30.44,30.37,29.91,29.68,28.74,29.08,29.43,30.51,31.36,31.63,30.70,30.57
1961,30.58,30.40,30.41,30.25,29.74,29.03,29.82,31.72,32.32,31.87,31.44,30.48
1962,30.51,30.56,30.48,29.80,29.21,28.81,28.81,30.91,31.98,31.07,31.39,30.78
1963,30.75,30.26,30.51,30.10,29.30,28.93,29.88,31.41,32.21,32.78,31.52,30.85
1964,30.72,30.84,30.34,30.22,29.27,28.74,29.26,31.04,31.46,30.93,30.53,30.31
1965,30.30,30.53,29.79,29.75,29.63,29.58,29.71,31.04,31.86,31.71,31.05,30.86
1966,30.93,30.84,30.57,30.09,29.78,29.66,29.73,30.51,31.03,31.86,31.05,30.92
1967,30.54,30.40,30.08,29.90,30.01,28.96,29.59,31.23,31.83,32.01,30.92,30.80
1968,30.42,30.24,30.01,29.27,28.37,29.01,29.63,30.63,30.81,31.66,31.33,30.81
1969,30.76,31.09,30.97,30.39,30.14,29.62,29.85,30.90,32.03,31.43,31.51,30.50
1970,30.68,30.72,30.46,30.33,30.08,29.66,29.55,30.70,31.26,31.65,30.87,31.19
1971,30.46,30.13,30.16,29.41,28.77,28.36,29.24,30.25,31.04,30.52,30.46,30.83
1972,30.12,30.17,30.37,29.50,29.78,30.04,29.75,30.50,31.33,31.50,31.31,31.04
1973,31.24,31.07,30.83,30.63,29.43,29.67,28.98,30.06,30.77,31.48,30.75,30.47
1974,30.09,30.13,29.47,29.57,29.08,28.71,29.00,30.26,30.86,30.88,30.67,29.90
1975,29.89,30.20,29.95,29.52,28.98,28.90,28.47,30.31,31.18,31.15,30.63,30.37
1976,30.02,29.92,29.77,29.47,29.02,28.54,29.13,30.67,30.61,31.09,30.61,30.56
1977,30.34,30.46,30.49,29.77,29.05,29.26,30.29,30.75,31.29,31.39,30.98,30.55
1978,30.50,30.65,30.21,29.82,29.26,28.75,29.91,29.81,30.91,31.45,31.00,30.56
1979,30.12,30.44,30.14,29.77,29.49,28.50,29.28,31.06,30.78,31.65,30.93,30.64
1980,30.33,30.47,30.58,30.26,29.99,29.18,29.75,30.86,30.80,31.54,30.70,30.70
1981,30.36,30.62,30.48,30.11,29.86,28.70,28.59,30.52,30.78,30.88,30.94,30.76
1982,30.30,30.43,30.18,29.68,29.22,29.54,29.86,30.74,31.04,31.46,31.13,30.40
1983,30.69,31.00,30.47,30.62,30.38,29.21,29.86,30.38,30.95,30.94,30.73,30.49
1984,30.44,30.80,30.22,29.55,29.92,29.14,29.69,29.99,30.63,31.67,30.93,30.47
1985,30.31,30.39,30.35,30.02,29.66,28.68,29.18,30.33,31.05,31.48,30.97,30.67
1986,30.46,30.47,30.06,30.32,30.07,29.25,29.33,30.93,30.79,31.12,31.12,30.68
1987,30.77,30.63,30.42,30.73,29.67,29.45,30.42,30.88,31.43,32.22,31.50,31.25
1988,31.23,30.73,31.07,30.31,29.48,28.81,28.91,30.95,31.64,31.80,31.10,30.71
1989,30.14,30.45,30.17,30.06,29.07,29.25,28.88,30.65,30.96,31.15,31.12,30.44
1990,30.65,30.46,30.77,30.72,29.44,29.19,28.97,30.70,30.72,31.98,31.64,30.98
1991,30.44,30.76,30.33,30.24,29.93,29.67,29.38,30.36,31.20,31.33,31.11,30.94
1992,30.65,30.52,30.29,30.15,30.31,30.09,28.94,30.28,30.60,31.38,30.63,30.41
1993,30.53,30.31,30.49,30.18,29.72,29.46,29.56,30.44,31.17,31.69,31.20,30.79
1994,30.46,30.62,30.29,30.20,30.12,29.37,29.47,30.62,31.44,31.85,31.24,30.93
1995,31.04,30.76,30.70,30.06,29.42,29.60,30.38,31.35,31.75,31.85,31.18,30.92
1996,30.79,30.90,30.37,30.12,29.71,28.76,29.64,31.04,31.05,31.58,30.91,31.10
1997,30.63,30.67,30.26,30.07,29.58,29.53,30.40,31.05,32.02,32.58,31.91,31.37
1998,31.52,31.61,31.05,31.24,30.11,29.75,30.73,31.79,31.76,32.14,31.33,31.13
1999,30.92,30.88,30.71,30.03,29.28,29.49,29.98,30.85,31.84,31.81,31.16,31.00
2000,30.75,30.64,30.39,30.22,29.94,29.73,29.19,31.24,31.24,32.23,31.13,30.81
2001,30.70,30.90,30.73,30.75,29.93,29.01,30.44,31.59,31.72,31.98,31.63,31.01
2002,30.84,30.88,31.02,30.87,30.46,29.77,30.42,31.66,31.64,32.73,31.68,31.22
