Variable:,tasmax
Country:,Bhutan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.43,11.26,15.12,18.30,19.61,22.45,21.82,20.96,19.95,18.72,13.90,11.58
1902,11.23,11.90,15.99,16.54,19.05,21.56,20.87,21.10,19.94,17.64,14.19,11.33
1903,10.17,11.01,14.58,18.07,20.04,21.38,22.24,20.57,20.17,18.55,14.16,11.52
1904,10.55,11.69,15.41,17.16,18.70,21.14,20.91,20.85,20.69,18.57,13.87,11.62
1905,9.47,9.12,13.09,15.64,18.79,22.80,21.21,20.05,20.30,18.04,14.71,11.45
1906,9.98,10.99,13.55,17.52,19.88,21.71,21.84,20.24,21.07,18.17,14.80,12.05
1907,11.50,11.07,13.47,16.27,19.26,21.11,21.15,21.57,20.27,19.19,14.98,11.72
1908,9.80,11.73,15.87,19.54,19.76,21.93,21.48,21.46,20.59,18.82,14.17,11.65
1909,11.10,11.69,17.06,16.81,19.43,20.36,21.51,20.36,21.13,18.74,15.53,11.90
1910,10.16,11.79,14.93,17.27,19.68,20.56,20.69,21.01,20.79,17.75,14.45,11.51
1911,11.60,11.25,14.18,17.19,19.27,20.77,21.48,20.81,20.00,17.66,13.89,10.87
1912,10.95,12.19,14.62,16.10,19.30,21.83,20.90,20.81,20.53,18.13,14.17,11.41
1913,10.68,11.87,13.90,17.65,18.40,19.92,21.60,20.89,20.45,17.95,13.60,10.98
1914,10.85,12.19,14.80,16.14,18.92,21.53,21.50,20.37,20.37,17.59,14.66,12.23
1915,11.32,12.03,14.70,17.73,19.12,21.12,21.32,21.02,20.04,19.78,16.01,12.15
1916,10.51,11.95,16.27,17.49,20.30,20.88,20.80,20.80,20.39,17.94,14.79,11.23
1917,10.09,11.49,14.59,16.89,18.92,20.77,21.02,21.13,20.03,18.14,14.64,11.70
1918,9.86,11.52,15.33,16.86,19.43,19.58,21.58,20.38,20.62,18.51,14.59,11.51
1919,11.27,11.00,16.70,17.51,19.86,21.42,21.04,21.79,19.88,18.12,14.95,11.93
1920,11.28,11.65,14.22,17.08,19.16,22.08,21.81,21.08,20.38,18.69,15.16,12.88
1921,11.47,11.88,15.69,17.77,20.23,21.07,21.50,20.90,20.51,17.02,14.56,12.11
1922,11.20,12.65,16.30,18.77,20.56,20.51,21.13,20.76,20.41,18.00,14.91,12.03
1923,11.41,11.48,16.18,18.15,19.51,22.18,21.15,21.53,20.46,18.10,14.80,12.29
1924,11.13,11.97,17.54,18.87,19.47,22.35,20.72,20.66,19.54,19.16,14.70,12.35
1925,9.60,10.51,15.36,17.32,18.42,21.44,21.03,20.97,19.68,17.55,14.43,11.34
1926,10.81,12.27,14.16,16.83,19.44,22.44,21.12,21.04,20.53,18.48,14.20,12.54
1927,10.35,11.26,13.81,17.28,19.12,21.67,21.84,21.25,19.98,18.83,14.85,12.54
1928,10.95,12.57,16.33,18.44,19.50,20.83,21.39,21.34,20.65,18.02,14.50,12.52
1929,10.71,11.18,15.96,17.55,19.58,21.42,21.38,21.10,20.59,18.28,14.56,11.59
1930,9.89,11.77,15.34,17.59,19.93,21.04,21.86,21.04,20.70,18.29,14.27,11.68
1931,11.78,11.92,15.31,18.31,19.29,22.06,20.93,21.81,20.14,18.70,14.39,12.40
1932,11.57,10.73,15.94,18.29,19.27,21.71,21.54,21.07,20.57,19.14,15.04,12.34
1933,10.07,12.42,16.51,16.85,19.01,20.99,21.54,21.16,21.03,19.08,14.57,12.21
1934,10.80,11.84,15.71,18.01,19.66,20.82,21.68,21.44,20.98,18.24,14.23,12.16
1935,10.63,12.17,16.38,17.79,20.90,22.29,22.01,20.68,20.84,19.63,16.12,12.24
1936,10.32,10.74,16.10,18.17,19.71,20.70,21.58,21.46,20.82,17.45,16.13,11.68
1937,9.69,11.38,15.05,18.41,19.28,21.92,22.45,20.62,21.10,18.71,14.47,12.55
1938,11.75,11.18,16.30,19.36,19.06,21.28,21.13,21.42,21.30,19.22,13.71,12.09
1939,11.62,12.47,15.53,18.51,20.03,21.34,20.99,21.30,20.29,18.23,14.76,12.35
1940,10.62,11.99,13.04,18.26,19.42,21.85,21.57,21.55,20.64,19.25,15.59,12.72
1941,10.17,12.03,16.60,18.31,19.47,20.69,21.95,21.56,21.15,18.05,14.69,13.60
1942,11.14,12.62,15.62,17.80,20.42,22.27,22.30,21.58,20.30,19.59,16.30,13.00
1943,11.54,11.44,14.41,15.80,20.17,21.54,21.47,21.02,21.25,19.32,17.78,13.52
1944,10.01,11.77,15.77,16.64,20.63,22.90,22.29,22.33,20.73,19.42,15.86,14.58
1945,10.75,10.42,16.44,17.77,19.10,22.13,22.01,21.60,21.12,17.63,15.05,11.41
1946,12.59,13.57,15.72,16.67,19.20,21.63,21.58,22.15,21.51,17.47,16.64,13.97
1947,10.83,12.77,15.95,18.84,19.55,22.57,22.04,21.55,21.84,18.26,15.54,14.05
1948,10.93,11.23,13.98,18.01,18.51,21.95,21.15,21.53,20.83,17.20,15.88,11.22
1949,11.47,11.74,15.37,15.12,18.06,21.35,21.23,20.96,20.49,18.92,14.57,11.40
1950,11.52,11.71,15.27,18.29,20.16,20.81,21.50,20.52,20.92,18.15,14.14,12.59
1951,10.84,12.93,15.61,17.40,19.82,21.36,21.10,21.61,20.66,18.94,15.52,13.42
1952,12.39,13.88,14.67,17.66,19.25,22.04,21.28,21.27,20.31,19.57,15.80,12.78
1953,10.33,13.12,16.34,18.83,20.09,21.49,21.06,22.10,20.55,18.74,15.43,14.04
1954,10.65,14.11,17.38,19.26,20.50,20.52,20.64,20.60,20.81,18.37,15.24,12.15
1955,11.12,13.29,16.60,17.59,20.63,20.74,20.54,20.59,20.65,19.52,15.08,11.32
1956,11.08,12.80,15.92,19.03,21.12,21.11,21.22,21.24,20.75,18.62,15.48,11.56
1957,10.44,11.17,14.73,18.63,20.14,21.64,21.70,21.61,21.82,18.44,16.10,13.02
1958,11.29,11.53,16.03,18.60,20.13,22.92,22.42,20.71,21.54,20.50,17.28,12.93
1959,10.68,10.91,15.60,18.68,19.41,21.04,21.81,21.81,20.13,17.35,15.86,13.62
1960,10.38,13.64,14.99,20.14,21.20,22.13,20.76,21.28,19.85,19.00,15.77,13.82
1961,11.96,12.31,15.32,18.88,19.82,22.19,21.84,21.74,20.56,19.51,13.16,10.24
1962,10.97,11.06,15.46,18.42,18.79,20.63,21.76,20.11,20.45,18.83,16.31,12.35
1963,10.76,12.80,14.36,16.37,18.56,20.75,21.19,20.67,21.05,18.09,13.10,11.65
1964,11.64,11.90,15.82,17.44,18.78,22.21,20.66,21.16,20.40,20.30,15.90,12.69
1965,11.53,10.91,13.37,17.87,20.02,21.63,20.94,20.15,20.32,17.31,12.99,13.03
1966,9.28,13.24,16.94,18.28,21.33,20.82,21.62,20.79,19.57,17.13,17.09,13.06
1967,11.67,12.90,13.65,16.59,19.40,20.84,21.97,21.87,20.65,17.72,12.07,11.87
1968,9.03,11.07,14.87,16.99,19.42,20.19,20.27,21.71,21.03,17.05,14.60,11.85
1969,10.85,13.50,16.29,18.03,20.36,21.35,21.29,21.07,20.46,17.67,16.00,12.90
1970,9.97,11.24,15.75,18.34,20.86,21.70,20.84,20.82,20.78,18.43,14.50,13.75
1971,10.85,12.07,15.38,16.85,18.48,20.40,21.13,20.80,21.46,18.37,13.58,11.94
1972,12.40,12.17,16.45,17.43,20.71,21.78,22.75,21.58,20.37,19.52,14.21,13.41
1973,12.04,12.31,15.88,19.44,19.81,20.63,22.65,21.47,20.77,17.66,13.87,12.27
1974,9.98,13.73,15.21,18.57,19.45,21.41,20.38,20.94,20.02,20.91,16.82,12.24
1975,10.40,11.63,15.95,19.08,19.97,22.30,20.80,21.92,19.48,20.31,16.71,12.58
1976,10.57,12.66,16.35,18.23,19.04,20.63,21.34,20.97,20.82,18.46,18.38,13.93
