Variable:,tasmax
Country:,Botswana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,33.20,32.10,30.90,29.27,26.08,23.29,23.23,26.85,29.28,31.73,32.31,32.44
1902,32.04,31.66,30.47,29.16,26.34,23.06,24.35,26.60,30.22,31.26,32.32,33.45
1903,33.00,32.12,31.18,29.32,26.99,23.06,23.76,26.76,29.73,31.79,32.29,32.57
1904,31.70,30.72,29.83,28.83,25.76,23.86,23.42,26.17,29.08,31.94,33.14,31.64
1905,32.79,31.47,29.95,28.85,25.91,23.56,23.43,26.46,30.55,33.29,32.89,33.39
1906,33.39,30.85,30.32,28.07,26.37,23.47,23.24,25.47,29.94,31.09,31.55,32.13
1907,32.01,30.98,30.55,28.00,25.61,23.08,22.53,25.51,29.68,31.43,31.89,31.81
1908,32.04,31.51,30.52,27.73,25.71,23.76,23.58,26.98,30.84,32.57,32.37,32.87
1909,32.22,31.03,29.88,27.92,25.91,23.20,23.82,26.84,29.93,31.84,32.51,32.76
1910,32.24,31.17,30.49,28.33,25.52,22.93,23.33,26.38,29.67,31.17,30.99,32.49
1911,32.03,31.36,29.74,27.83,25.27,22.11,22.70,25.72,29.21,32.83,32.83,34.42
1912,33.08,32.10,30.32,29.29,27.32,22.80,23.16,25.98,29.29,32.00,34.21,33.03
1913,33.22,31.97,30.49,28.87,26.23,23.18,23.91,27.01,30.00,32.24,32.78,34.17
1914,33.74,31.65,31.24,29.66,26.83,23.58,23.28,25.96,31.46,33.15,32.67,32.85
1915,33.08,31.56,30.48,28.78,25.70,23.44,23.66,26.54,30.00,32.27,32.83,33.04
1916,32.55,32.84,31.03,28.74,25.21,23.45,24.11,25.67,30.30,33.19,32.65,32.68
1917,32.43,31.83,30.63,28.43,26.24,23.61,23.33,25.63,29.63,32.69,32.58,31.88
1918,31.19,31.29,29.99,27.34,24.83,23.10,23.93,24.92,30.34,32.77,32.22,32.51
1919,32.55,31.50,30.41,29.41,24.92,23.49,24.17,26.02,29.75,32.03,32.19,32.83
1920,33.61,31.56,29.97,28.03,26.23,23.01,23.98,26.27,30.62,31.90,33.32,33.45
1921,32.94,31.65,30.94,28.50,25.73,23.72,22.56,25.53,29.61,32.43,31.91,32.21
1922,33.81,32.15,31.97,29.46,26.34,24.49,24.27,27.51,30.53,31.32,32.87,33.74
1923,32.28,31.39,30.71,28.19,26.03,24.11,23.80,26.94,30.40,33.37,34.13,33.80
1924,34.10,31.75,30.76,27.98,26.22,23.42,22.78,25.56,29.90,31.54,32.15,31.62
1925,31.75,31.08,29.94,28.23,25.20,22.88,22.60,25.84,28.53,31.55,33.49,34.34
1926,34.17,32.94,30.28,28.51,25.95,22.95,21.95,25.45,29.96,32.07,32.57,32.89
1927,33.91,32.31,30.97,29.32,25.75,22.56,23.27,25.68,30.01,31.88,32.79,33.41
1928,32.89,32.91,31.48,29.03,25.29,24.32,22.78,25.46,30.94,33.42,33.83,33.59
1929,32.80,32.22,29.66,28.41,26.62,24.04,23.43,25.18,30.69,33.36,33.56,32.24
1930,32.54,32.41,30.57,28.10,24.84,22.71,23.04,25.44,29.32,32.81,34.05,33.51
1931,33.65,33.67,32.22,28.91,28.06,23.57,23.71,27.22,30.29,32.28,32.12,33.53
1932,34.04,32.81,31.14,29.80,26.61,23.18,22.64,25.84,30.50,33.06,34.21,32.73
1933,32.63,32.82,32.54,29.49,26.71,23.48,24.01,26.21,29.44,33.45,31.91,32.20
1934,32.40,31.42,30.78,29.62,27.45,24.71,23.99,27.21,29.40,32.26,32.27,32.17
1935,32.74,31.14,30.57,28.27,25.90,22.07,23.99,24.47,30.34,33.51,32.39,32.92
1936,32.66,31.98,30.35,28.69,25.53,23.81,23.60,26.33,29.23,32.00,32.58,33.02
1937,33.14,31.32,30.86,28.84,26.84,23.84,22.69,26.36,29.45,32.12,33.55,32.02
1938,32.88,31.81,31.29,29.84,27.09,23.81,23.67,26.38,29.87,32.82,31.66,32.08
1939,32.60,31.33,29.73,28.00,26.42,22.70,23.48,25.70,28.37,31.85,31.67,32.33
1940,33.43,32.10,30.74,28.49,26.05,23.52,23.53,27.17,30.28,31.83,32.91,34.41
1941,31.84,32.00,31.78,30.19,28.01,24.08,24.53,27.35,30.15,33.47,34.21,33.46
1942,34.01,33.86,31.87,29.21,26.39,24.74,23.79,27.13,30.75,30.61,33.27,32.52
1943,32.78,31.73,30.77,28.41,25.73,23.25,24.10,25.19,29.55,33.74,32.14,31.70
1944,33.27,30.86,30.74,29.72,25.37,23.29,24.62,27.93,30.09,33.56,33.72,34.33
1945,32.84,32.90,30.60,29.86,25.79,22.88,24.22,26.85,31.27,32.99,32.90,33.70
1946,32.08,32.33,31.64,29.75,26.87,23.67,24.24,26.35,31.31,33.51,33.46,34.39
1947,33.99,33.82,31.29,30.30,26.56,23.94,23.00,27.64,29.60,33.25,34.24,32.24
1948,32.36,31.43,29.91,28.55,26.99,24.28,24.16,27.12,29.88,32.57,31.72,34.45
1949,34.62,32.38,30.39,29.81,26.70,24.10,24.22,27.03,31.63,33.57,32.90,32.70
1950,33.19,32.71,31.63,28.92,25.66,24.62,24.14,25.93,30.76,32.27,33.02,32.71
1951,31.62,32.66,31.28,29.48,26.06,22.74,23.01,25.99,30.30,32.28,32.94,33.58
1952,33.19,31.19,32.25,30.00,26.14,23.92,23.73,27.33,29.84,33.05,32.03,32.83
1953,33.20,31.49,29.91,28.00,26.19,22.48,22.50,26.25,29.21,32.89,32.37,32.62
1954,32.20,31.85,30.32,28.73,26.62,22.71,23.06,26.37,30.63,34.06,32.15,32.15
1955,31.89,30.47,29.69,28.26,26.11,22.71,23.83,26.17,29.89,31.34,32.45,31.78
1956,32.45,31.17,30.24,28.63,25.84,23.48,24.21,27.63,29.22,33.33,31.89,31.56
1957,33.30,32.26,31.13,30.15,27.12,23.38,25.19,26.68,30.60,31.93,34.22,33.03
1958,32.21,31.49,31.56,30.22,27.55,23.43,24.40,26.47,30.11,32.29,33.60,32.37
1959,32.47,32.04,31.66,30.10,26.49,24.71,24.29,26.49,30.37,33.40,33.23,32.42
1960,33.42,31.75,31.31,28.34,25.71,23.13,22.84,27.99,30.74,34.03,31.71,32.64
1961,31.82,31.59,29.92,28.72,26.47,23.23,23.55,24.99,31.41,33.56,32.04,32.42
1962,32.96,32.14,31.59,28.58,25.61,24.96,23.95,27.02,32.05,34.44,32.16,32.36
1963,31.28,31.81,30.67,28.00,24.94,22.56,22.81,26.57,31.91,32.94,32.19,33.02
1964,33.55,33.50,33.52,29.87,26.43,22.28,22.36,25.87,30.61,31.91,32.77,31.52
1965,32.45,33.53,31.98,28.51,26.65,22.50,23.82,27.75,30.28,31.34,32.48,34.50
1966,34.35,30.50,31.29,28.28,26.82,23.87,24.23,27.00,29.75,32.73,34.03,32.93
1967,31.77,30.09,30.06,27.41,25.69,22.89,22.30,25.59,30.57,32.66,32.50,33.25
1968,34.29,32.78,29.56,27.58,25.23,21.20,24.44,27.25,30.61,33.60,31.30,32.97
1969,34.57,33.12,29.82,28.70,25.58,23.99,24.27,26.46,30.20,31.15,33.15,31.80
1970,34.23,32.18,32.74,29.86,27.31,23.38,24.48,27.24,31.45,32.76,33.38,33.03
1971,31.34,30.72,32.46,29.84,25.54,23.49,23.90,26.87,30.97,31.87,31.56,32.72
1972,30.81,31.49,29.33,28.53,25.83,23.22,23.96,26.78,31.19,33.26,33.38,35.66
1973,35.27,31.61,32.89,28.08,26.69,23.91,24.04,26.35,30.91,31.73,31.76,30.30
1974,30.81,29.83,29.45,26.97,25.33,23.64,23.40,26.05,29.21,33.18,31.37,31.74
1975,32.26,30.38,28.58,27.86,26.33,23.62,23.92,25.95,31.32,32.13,33.51,31.40
1976,30.28,29.99,28.97,27.33,24.36,22.75,23.71,25.83,30.57,31.02,32.29,33.04
1977,33.87,31.06,28.94,28.94,26.39,24.51,24.03,26.34,30.13,33.49,34.11,32.48
1978,31.19,30.47,30.29,27.41,26.41,22.89,23.85,28.93,29.91,31.78,33.06,32.91
1979,32.45,32.37,31.69,30.88,26.86,23.44,22.98,26.94,30.33,32.76,32.10,32.69
1980,32.62,31.44,30.53,29.43,27.37,23.28,23.48,26.31,29.10,33.40,31.96,32.72
1981,32.43,30.45,29.91,29.50,26.03,23.34,24.31,25.77,29.44,30.43,34.13,33.64
1982,33.54,33.29,32.10,28.18,26.99,24.12,23.67,27.31,30.74,31.21,32.79,34.43
1983,34.91,34.46,32.65,30.94,26.90,24.58,24.43,26.00,31.87,32.21,33.72,32.76
1984,34.66,33.98,31.99,29.09,26.90,23.30,24.04,27.33,31.77,32.95,32.04,33.44
1985,33.01,31.65,31.54,29.57,26.69,24.61,24.25,27.60,30.39,33.12,33.98,32.48
1986,33.18,32.33,31.73,29.30,27.69,23.80,24.31,28.20,30.20,31.33,31.83,33.66
1987,34.10,34.00,32.76,31.73,29.05,23.68,23.78,26.55,29.43,32.24,34.57,32.94
1988,34.21,31.58,31.02,28.74,26.61,23.67,24.65,27.64,30.35,31.50,32.23,31.45
1989,32.26,29.84,31.36,27.81,27.04,23.88,23.98,28.37,30.65,32.13,32.54,33.59
1990,32.40,31.23,31.69,29.34,26.54,24.67,25.24,26.96,30.36,33.36,34.91,33.60
1991,32.44,32.14,30.25,29.34,27.50,24.02,24.13,27.49,30.88,32.94,33.04,32.60
1992,35.24,35.16,32.88,31.31,27.96,24.91,24.54,25.87,32.27,33.72,32.56,34.03
1993,33.67,31.30,30.96,29.42,28.08,24.42,24.70,26.76,32.26,32.86,31.95,33.37
1994,31.62,30.88,32.35,30.11,27.62,23.19,23.39,26.57,31.37,32.00,33.81,34.20
1995,34.66,33.69,31.58,29.56,26.01,23.24,23.98,27.80,31.78,33.62,33.31,32.20
1996,32.33,31.01,30.75,28.49,26.13,24.03,22.53,26.76,31.36,34.03,32.58,33.12
1997,32.16,32.41,29.83,27.86,25.34,24.61,23.81,28.38,30.61,32.24,33.98,34.91
1998,32.68,33.40,33.12,31.64,28.26,26.22,25.03,27.01,31.00,32.67,32.94,32.18
1999,33.01,33.29,32.39,30.75,27.03,24.96,24.44,27.36,29.55,32.27,34.35,32.76
2000,31.14,31.16,30.42,28.07,25.65,23.99,23.93,27.17,30.48,33.46,32.50,32.89
2001,34.57,31.62,31.51,28.95,26.94,24.47,23.42,28.06,30.58,33.29,31.78,32.92
2002,33.34,32.85,32.27,31.12,27.26,23.57,24.56,27.34,30.16,33.03,33.39,33.69
2003,34.59,33.20,32.33,30.76,27.31,23.88,24.53,26.41,30.85,33.53,34.17,34.50
2004,33.67,32.56,31.15,29.74,27.74,24.09,23.93,28.39,30.46,33.86,35.18,34.33
2005,34.32,33.39,32.20,29.39,27.98,25.93,25.59,28.63,32.37,34.65,33.92,32.99
2006,33.08,31.80,30.24,29.02,25.62,24.09,25.42,26.44,31.00,33.93,33.30,33.56
2007,33.51,33.72,32.63,30.28,27.34,24.36,24.15,27.48,32.19,32.05,33.25,32.10
2008,32.66,33.04,31.34,29.34,27.74,24.79,24.80,28.36,30.81,34.06,33.80,34.20
2009,34.22,32.53,31.38,30.26,27.21,24.60,23.53,28.95,31.75,33.81,32.67,34.37
2010,33.22,32.98,32.52,29.27,28.24,24.24,25.16,27.42,32.24,34.28,33.97,33.07
2011,32.08,32.01,32.51,29.08,27.02,24.29,23.82,27.33,32.48,33.35,33.82,33.04
2012,34.14,33.12,32.56,29.62,27.98,24.55,24.48,27.75,30.64,33.31,33.99,33.33
2013,33.71,33.16,32.11,29.33,27.49,24.75,24.87,26.97,31.48,32.75,33.92,32.79
2014,33.47,32.36,31.44,29.10,27.96,24.45,24.48,27.59,32.06,33.78,33.07,33.17
2015,33.83,33.18,32.25,29.27,29.05,24.54,25.44,29.11,31.92,34.89,33.96,35.70
2016,34.64,34.47,32.44,29.37,26.86,25.48,24.73,28.63,31.44,34.88,34.85,34.59
2017,32.26,32.17,31.41,29.57,27.41,25.22,25.43,27.74,32.68,32.59,33.29,34.04
2018,33.91,32.47,32.00,30.01,27.71,25.16,24.81,27.53,31.28,33.75,33.83,34.49
2019,34.06,33.91,33.14,30.57,28.62,25.58,26.06,28.63,31.38,34.82,35.32,34.57
2020,33.54,32.70,31.86,29.43,27.47,24.39,24.40,26.59,31.02,33.73,33.76,33.17
