Variable:,tasmax
Country:,"Central African Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,32.59,34.75,34.26,33.05,31.44,29.85,28.57,28.37,29.04,30.16,31.75,32.01
1902,32.64,34.72,34.37,33.04,31.56,29.92,28.57,28.49,29.13,30.16,31.75,32.01
1903,32.68,34.80,34.41,33.06,31.55,29.87,28.59,28.48,29.16,30.16,31.75,32.01
1904,32.47,34.67,34.37,33.06,31.54,29.91,28.53,28.42,29.21,30.18,31.75,31.94
1905,32.79,34.82,34.54,33.13,31.60,29.89,28.56,28.50,29.11,30.32,31.76,32.16
1906,32.63,34.82,34.56,33.15,31.55,29.91,28.60,28.46,29.16,30.22,31.81,32.01
1907,32.47,34.71,34.35,33.07,31.58,29.94,28.67,28.54,29.13,30.18,31.76,31.92
1908,32.74,34.80,34.40,33.08,31.56,29.82,28.59,28.37,29.10,30.27,31.81,32.11
1909,32.64,34.80,34.42,33.13,31.56,30.01,28.69,28.46,29.20,30.16,31.75,32.01
1910,32.41,34.67,34.07,32.93,31.48,29.99,28.58,28.43,29.05,30.09,31.50,31.71
1911,32.54,34.53,34.25,32.94,31.39,29.95,28.71,28.47,29.14,30.11,31.66,31.77
1912,32.48,34.70,34.31,33.01,31.59,30.00,28.58,28.44,29.06,29.99,31.53,31.78
1913,32.46,34.56,34.03,32.97,31.44,29.86,28.71,28.59,29.21,30.11,31.54,31.80
1914,32.73,34.70,34.42,32.98,31.53,29.97,28.60,28.53,29.19,30.15,31.70,31.91
1915,32.60,34.73,34.33,32.99,31.53,29.93,28.64,28.49,29.16,30.17,31.72,31.83
1916,32.35,34.70,34.26,33.04,31.46,29.85,28.55,28.42,29.05,29.96,31.72,31.90
1917,32.58,34.70,34.25,32.94,31.57,29.88,28.63,28.43,29.02,29.96,31.57,31.85
1918,32.41,34.62,34.53,32.92,31.48,29.92,28.90,28.40,29.43,30.34,32.00,32.39
1919,33.67,35.33,34.58,33.00,31.81,29.75,28.67,28.72,29.22,30.40,31.93,32.25
1920,32.67,34.51,33.80,32.80,31.09,29.79,28.40,27.96,28.48,29.89,31.83,31.88
1921,32.56,34.33,33.80,33.09,31.54,29.96,28.82,28.21,28.92,30.08,31.82,32.81
1922,32.98,34.55,33.80,32.91,31.15,29.87,28.16,27.72,28.51,29.88,32.00,32.12
1923,32.83,34.52,34.45,33.13,31.24,29.77,28.46,28.24,29.19,30.07,31.73,31.98
1924,33.20,35.26,34.96,33.28,31.30,29.96,28.87,28.25,28.70,30.13,31.79,32.51
1925,31.93,34.04,34.75,33.26,31.63,30.07,28.91,28.58,29.41,30.38,32.18,32.00
1926,32.53,34.78,34.19,32.96,31.94,30.11,28.85,28.95,29.47,30.21,31.98,32.17
1927,33.15,34.90,34.32,32.90,31.61,30.07,28.72,28.50,29.17,30.70,32.08,32.16
1928,33.73,35.13,34.99,33.27,31.66,29.90,28.94,28.51,29.32,30.16,31.84,32.47
1929,32.62,34.93,34.33,33.13,31.65,29.93,28.20,28.04,28.75,30.09,31.67,31.70
1930,32.33,35.06,34.14,32.98,31.47,29.72,28.41,28.42,29.26,30.24,31.54,32.39
1931,33.16,35.62,34.19,33.13,31.45,29.96,28.83,28.52,29.06,30.35,32.03,32.28
1932,32.93,35.20,34.51,33.15,31.46,29.92,29.00,28.55,29.14,30.44,31.94,31.94
1933,33.36,35.60,34.89,33.15,31.68,30.16,28.83,28.55,29.09,30.20,31.83,32.55
1934,32.85,34.46,34.60,33.23,31.57,29.86,28.84,28.51,29.33,30.58,32.00,32.21
1935,32.58,34.69,34.39,32.90,31.47,30.14,29.24,28.02,29.32,30.46,31.88,32.56
1936,32.63,34.90,34.66,33.36,32.23,30.11,28.67,28.42,29.10,30.42,32.31,32.61
1937,32.37,35.41,34.37,33.00,31.87,30.03,29.03,28.61,29.33,30.61,31.74,32.72
1938,33.33,35.49,34.23,33.97,31.85,29.69,28.58,28.27,29.13,30.25,32.21,32.90
1939,33.39,35.58,34.89,33.22,31.60,30.01,28.67,28.43,28.86,30.18,31.78,32.53
1940,33.20,34.94,33.76,33.13,31.35,30.17,28.69,28.56,29.29,30.53,31.67,32.56
1941,33.97,35.91,35.37,34.26,31.88,30.45,28.74,29.20,29.89,31.03,32.18,32.60
1942,33.78,36.39,35.01,34.04,31.90,30.43,28.64,28.26,29.42,30.63,32.46,32.28
1943,33.08,34.54,33.95,32.90,31.30,29.40,28.33,28.13,29.19,30.12,31.82,32.96
1944,33.14,34.77,33.83,33.08,31.27,30.50,28.91,28.80,29.38,30.39,31.76,32.39
1945,33.70,34.42,34.88,33.19,31.12,30.00,28.77,28.44,29.16,30.17,32.10,32.58
1946,33.50,35.27,34.70,33.23,31.84,30.09,28.26,27.93,29.38,30.06,31.88,32.76
1947,33.31,35.28,34.88,32.84,31.91,30.37,28.67,28.96,29.15,30.62,31.85,32.62
1948,32.83,34.71,34.11,33.09,31.88,29.82,28.38,28.42,29.61,30.07,31.60,32.08
1949,33.32,34.17,35.00,33.27,31.59,29.72,28.42,28.35,29.26,30.50,31.96,31.31
1950,32.94,34.46,34.38,33.28,31.28,30.03,27.87,27.55,29.18,29.72,31.54,32.46
1951,33.47,34.55,34.55,33.70,31.84,30.35,28.66,28.59,29.44,30.24,31.71,31.43
1952,34.32,35.49,35.02,33.71,31.98,30.20,28.55,27.77,29.26,30.29,31.91,32.92
1953,34.18,35.30,35.11,33.51,31.86,29.92,28.14,28.11,29.88,30.21,31.54,31.66
1954,33.37,35.48,34.56,33.27,31.60,29.89,27.80,27.71,29.18,30.01,32.24,32.02
1955,33.14,35.13,34.12,32.50,31.49,29.87,28.23,27.87,29.00,30.25,31.90,31.78
1956,32.12,35.45,33.69,32.98,31.89,29.86,28.03,28.03,29.31,30.15,32.32,32.16
1957,32.82,33.93,33.57,33.08,32.16,30.49,28.98,28.74,30.03,30.68,32.56,32.62
1958,34.11,34.30,35.66,33.78,32.56,30.21,28.29,28.71,30.04,31.00,32.69,33.18
1959,33.28,34.43,35.06,33.80,31.97,30.54,28.67,28.18,29.58,30.57,32.21,32.75
1960,33.28,34.91,34.57,32.95,31.84,30.34,28.59,28.97,29.53,30.40,32.17,33.64
1961,33.83,33.91,35.29,33.07,32.56,30.09,27.90,28.15,29.34,30.42,31.83,31.62
1962,32.01,35.39,34.30,33.03,31.64,29.70,28.86,28.33,29.38,30.46,32.28,32.92
