Variable:,tasmax
Country:,"Congo (Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.35,30.47,30.27,30.33,29.50,28.28,27.54,27.65,28.47,29.14,29.07,29.12
1902,29.55,30.10,30.54,30.22,29.82,28.46,27.45,28.11,28.78,29.14,29.07,29.12
1903,29.84,30.70,30.87,30.52,29.67,28.05,27.58,28.05,28.98,29.14,29.07,29.12
1904,29.55,30.24,30.28,30.17,29.53,28.31,27.13,27.52,28.98,29.14,29.07,29.12
1905,29.84,30.82,31.13,30.84,29.93,28.25,27.39,28.18,28.58,29.14,29.07,29.12
1906,29.45,30.49,30.88,30.82,29.57,28.37,27.66,27.92,28.98,29.14,29.07,29.12
1907,29.31,30.63,30.68,30.43,29.77,28.37,28.24,28.37,28.91,29.14,29.07,29.12
1908,29.31,30.24,30.58,30.50,29.73,27.73,27.58,27.19,28.52,29.14,29.07,29.12
1909,29.55,30.63,30.73,30.77,29.92,29.10,28.30,27.85,29.24,29.14,29.07,29.12
1910,29.12,30.04,30.22,29.90,29.74,28.90,27.97,27.85,28.46,29.14,28.78,28.96
1911,29.25,30.30,31.00,30.71,30.23,28.71,27.97,28.05,28.78,29.14,29.07,29.12
1912,29.64,31.08,31.25,31.04,30.17,28.99,27.54,28.04,28.69,28.99,28.75,29.11
1913,29.38,30.10,30.37,30.35,29.84,27.99,27.45,27.98,28.52,29.14,29.07,29.12
1914,29.97,30.70,31.20,30.68,29.77,28.25,27.45,27.98,29.05,29.14,29.07,29.12
1915,29.55,30.63,30.64,30.57,29.47,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1916,29.55,30.63,30.57,30.21,29.63,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1917,29.55,30.63,30.51,30.43,29.85,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1918,29.55,30.63,30.83,30.34,29.50,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1919,29.55,30.63,30.83,30.69,29.09,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1920,29.55,30.63,30.83,30.31,29.56,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1921,29.55,30.63,30.57,30.43,29.69,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1922,29.55,30.63,30.54,30.47,29.60,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1923,29.55,30.63,30.48,30.43,29.53,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1924,29.55,30.63,30.83,30.47,29.98,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1925,29.55,30.63,30.83,30.34,29.53,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1926,29.55,30.63,30.60,30.57,29.60,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1927,29.55,30.63,30.48,30.50,29.92,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1928,29.55,30.63,30.83,30.43,29.95,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1929,29.55,30.63,30.83,30.34,29.12,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1930,29.55,30.63,30.83,30.24,29.79,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1931,29.55,30.63,30.73,30.47,29.92,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1932,29.55,30.63,30.83,30.18,29.22,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1933,29.55,30.63,30.95,30.60,29.95,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1934,29.55,30.63,30.70,30.64,30.36,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1935,29.55,30.63,30.64,30.50,29.95,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1936,29.55,30.63,30.51,30.34,29.66,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1937,29.55,30.63,30.83,30.75,30.23,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1938,29.55,30.63,30.67,30.57,29.76,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1939,29.55,30.63,30.54,30.60,30.14,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1940,29.55,30.63,30.79,30.50,29.56,28.46,27.58,27.85,28.66,29.14,29.07,29.12
1941,30.40,31.54,31.86,31.64,30.40,28.87,27.20,28.33,29.17,30.06,29.32,29.78
1942,30.28,31.58,31.51,31.62,30.17,28.76,27.66,27.75,28.62,29.49,29.70,29.29
1943,29.76,30.72,30.70,30.53,29.52,27.17,26.65,27.72,28.66,29.55,28.91,29.67
1944,29.87,30.61,30.48,30.99,30.54,29.25,28.24,28.47,29.24,29.51,29.48,29.89
1945,30.39,30.90,31.16,30.92,30.02,28.63,28.19,27.91,28.97,29.43,29.06,29.81
1946,30.43,31.11,30.92,31.10,29.68,28.43,27.68,27.61,28.55,29.12,29.32,29.64
1947,29.99,30.79,31.22,30.77,30.77,29.46,27.77,28.77,29.05,29.82,29.49,29.21
1948,29.64,30.36,30.75,30.35,29.84,28.34,27.14,27.82,29.01,29.47,29.31,29.73
1949,30.47,30.78,31.07,31.33,30.46,28.77,27.96,28.05,29.18,29.61,29.34,29.34
1950,29.84,30.60,31.00,30.93,30.12,29.38,27.67,27.67,28.40,29.04,29.15,29.52
1951,29.68,30.58,30.72,31.20,30.22,28.63,27.77,28.12,28.94,29.33,29.38,29.41
1952,30.49,31.01,31.13,31.12,30.11,28.62,27.36,27.70,28.53,29.34,29.21,29.35
1953,29.68,30.54,31.00,30.90,30.22,28.60,27.63,27.66,28.86,29.27,29.15,29.57
1954,29.77,30.09,30.92,30.77,29.93,28.24,26.81,27.50,28.81,29.21,28.95,29.20
