Variable:,tasmax
Country:,Denmark
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.77,0.10,3.29,9.57,15.92,17.40,23.30,20.76,17.07,13.06,6.65,2.98
1902,4.81,0.97,4.42,8.67,11.60,18.40,17.59,16.43,14.46,10.26,5.42,1.38
1903,1.78,5.23,7.25,7.76,15.08,18.46,19.10,17.18,16.08,10.30,6.28,2.08
1904,2.24,1.11,3.86,9.55,13.55,17.77,20.43,19.33,16.02,11.35,6.44,5.01
1905,2.66,3.68,5.49,6.78,15.44,20.64,20.59,19.09,15.30,8.28,5.37,4.17
1906,3.15,2.39,4.08,10.41,15.65,18.94,19.59,19.34,16.43,12.05,8.93,1.94
1907,2.09,1.34,5.33,8.82,14.02,15.73,17.72,16.49,15.29,14.23,6.62,2.88
1908,2.72,4.13,3.39,8.12,13.19,18.37,20.56,18.73,15.46,12.20,5.84,3.27
1909,2.36,0.97,1.88,7.68,12.48,16.82,17.51,17.98,14.95,13.21,5.15,3.68
1910,3.16,3.71,6.54,9.84,15.88,20.21,19.70,19.28,16.13,11.81,4.84,4.51
1911,3.39,4.04,5.33,9.46,17.12,18.20,20.53,22.28,17.41,10.88,7.18,4.74
1912,0.17,1.06,6.20,9.93,13.25,17.53,22.09,17.98,13.65,10.34,5.82,6.39
1913,1.66,3.96,7.05,10.82,15.24,17.63,19.23,18.39,16.35,11.78,9.25,5.09
1914,1.88,5.73,5.43,11.51,14.18,18.77,22.70,20.83,16.67,10.47,5.83,5.27
1915,1.27,2.53,2.67,9.64,14.21,18.17,18.30,18.43,15.98,8.65,4.64,1.59
1916,5.00,2.44,2.37,10.41,14.44,15.49,19.61,18.13,15.13,10.38,7.66,3.60
1917,-1.06,0.85,0.84,6.44,15.95,21.62,20.50,20.65,16.70,10.60,7.92,2.63
1918,1.72,2.69,5.09,10.33,16.72,16.14,19.51,19.36,14.50,11.67,6.75,4.46
1919,2.66,0.75,3.35,8.62,16.28,17.09,18.85,17.33,16.72,9.69,2.58,1.88
1920,2.66,5.12,7.74,10.10,14.82,18.60,20.10,17.94,15.67,9.94,6.51,2.94
1921,4.86,4.05,8.26,12.05,16.92,17.50,20.00,19.07,15.98,13.35,3.42,4.61
1922,0.13,0.20,4.09,7.64,14.39,17.03,17.78,17.73,14.53,8.94,6.14,5.09
1923,4.58,0.65,6.10,8.53,12.16,13.96,20.65,17.14,15.32,12.16,5.20,0.93
1924,-0.03,0.14,2.38,6.55,13.58,16.82,18.88,19.22,16.79,12.19,7.69,5.80
1925,5.51,5.22,3.85,11.12,16.58,17.97,22.98,20.10,15.14,10.44,4.30,1.76
1926,2.01,1.67,5.78,10.93,13.86,17.91,22.00,20.00,16.44,9.12,7.43,3.77
1927,3.98,3.13,7.33,8.48,12.05,15.14,21.05,20.33,16.35,11.45,4.12,-1.19
1928,2.30,3.82,5.06,9.73,14.21,15.25,18.21,18.43,16.43,11.54,8.10,2.89
1929,-0.38,-3.09,4.94,6.57,15.11,15.82,19.17,19.26,17.62,12.23,7.82,6.12
1930,5.03,2.19,5.65,10.26,14.75,20.36,20.24,19.98,15.70,12.29,8.02,4.17
1931,2.05,1.14,2.41,8.14,16.04,16.12,19.42,19.38,14.22,10.95,7.30,4.56
1932,5.55,3.84,3.87,9.45,15.31,18.41,22.33,21.10,16.51,10.28,7.19,5.05
1933,1.60,2.44,6.40,9.83,15.07,20.97,21.78,20.53,17.41,12.20,5.61,2.30
1934,3.80,5.62,6.02,11.27,15.73,18.85,21.87,20.17,19.03,12.86,7.92,6.47
1935,2.57,4.17,5.77,10.16,14.48,19.16,20.54,20.41,16.43,11.83,7.60,3.17
1936,4.01,1.03,5.14,7.87,15.33,20.94,20.89,20.23,16.48,10.58,7.41,5.98
1937,1.37,2.10,3.01,9.75,16.50,18.24,21.09,22.32,17.40,13.14,6.40,1.33
1938,3.90,4.88,9.20,10.73,14.70,17.33,20.15,22.49,18.28,12.51,10.11,2.48
1939,2.99,5.49,5.11,10.41,15.61,19.95,20.41,22.47,17.95,8.93,7.46,2.75
1940,-1.09,-4.11,2.20,8.07,15.99,21.22,20.29,18.15,14.74,10.21,7.59,2.50
1941,-4.03,-1.19,3.12,7.31,13.85,19.56,23.38,18.67,16.33,10.89,4.24,4.68
1942,-4.87,-3.88,0.12,9.67,14.25,16.36,18.79,20.43,16.68,12.89,7.22,5.03
1943,0.87,5.89,8.44,11.34,16.37,18.95,20.85,19.40,17.07,13.17,6.77,4.32
1944,5.36,3.24,4.72,9.56,13.58,16.87,21.47,23.15,16.38,12.05,6.80,4.21
