Variable:,tasmax
Country:,Eritrea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.58,31.96,32.70,34.12,35.68,35.79,35.73,34.42,34.81,33.69,32.12,30.64
1902,28.31,30.97,32.15,33.67,35.10,36.58,35.36,35.39,34.62,32.71,31.20,29.05
1903,28.42,29.13,30.97,34.13,35.16,36.56,35.55,34.62,33.67,32.96,31.63,30.44
1904,29.12,30.22,32.00,33.67,35.14,36.72,35.05,35.20,34.23,32.85,31.16,28.83
1905,29.00,29.21,30.72,32.91,34.78,36.73,35.38,34.15,34.32,33.56,32.67,29.94
1906,29.65,31.76,32.16,34.21,37.00,37.30,35.08,33.85,34.30,33.53,31.87,29.99
1907,29.36,31.05,32.11,34.36,35.92,36.93,34.61,32.66,34.25,33.44,31.21,28.86
1908,29.33,29.75,33.00,33.96,35.47,36.31,34.52,33.96,34.54,33.37,31.44,28.94
1909,28.69,31.02,32.40,32.69,35.35,35.99,34.82,33.69,33.70,33.66,32.14,30.70
1910,29.11,30.83,31.59,34.57,35.74,36.77,35.46,33.39,33.35,33.18,31.88,29.58
1911,30.43,29.91,32.59,34.35,35.17,36.97,35.07,34.26,34.64,34.10,32.17,29.71
1912,28.99,30.27,31.76,33.49,35.39,36.74,34.96,33.67,34.26,33.18,32.13,29.25
1913,29.12,30.06,30.36,34.16,34.81,35.95,35.36,34.04,34.96,33.44,31.12,29.02
1914,30.59,30.47,32.35,33.34,35.41,36.66,34.59,33.16,34.10,33.04,32.31,30.31
1915,30.51,31.03,32.61,34.34,35.58,36.37,35.41,34.24,33.75,33.88,32.58,30.37
1916,28.13,30.67,32.83,34.63,35.08,36.03,33.38,33.14,33.17,32.57,32.25,29.58
1917,29.72,30.30,32.23,33.59,34.03,35.68,35.37,34.12,33.32,32.70,32.56,30.06
1918,28.38,29.81,31.54,32.78,34.56,36.29,35.54,33.71,34.75,33.58,31.90,30.04
1919,30.97,31.21,32.88,33.48,35.34,36.27,34.77,35.18,34.42,33.32,31.50,29.72
1920,28.48,28.42,30.85,33.37,34.23,36.41,34.63,32.28,32.95,32.94,31.55,29.41
1921,28.33,29.23,30.82,35.41,35.23,36.78,34.50,32.84,33.69,32.83,31.67,31.17
1922,29.81,30.41,31.20,34.71,34.55,36.90,33.77,32.27,33.55,32.89,32.77,30.03
1923,31.19,29.70,32.10,33.59,34.62,36.24,33.86,32.22,33.91,32.50,31.16,30.16
1924,29.76,31.30,32.76,34.38,35.15,36.68,33.92,33.40,33.27,33.14,31.45,30.27
1925,27.11,28.70,32.58,34.04,35.45,36.45,35.00,33.95,34.37,33.26,31.97,30.51
1926,29.00,30.42,31.07,33.91,35.84,36.90,34.52,34.60,34.48,33.33,30.91,29.89
1927,29.98,30.22,31.92,33.54,36.10,37.26,34.81,34.22,34.28,34.28,32.18,31.56
1928,31.23,30.37,33.39,34.64,35.60,37.03,35.76,34.08,34.94,33.54,31.67,31.01
1929,29.53,31.41,32.46,34.47,35.58,36.31,33.13,33.30,34.12,33.11,32.13,28.63
1930,28.54,31.21,31.49,33.75,35.91,36.31,34.82,34.13,34.98,33.57,31.77,31.23
1931,30.25,31.60,32.65,34.59,35.21,37.16,35.22,33.05,34.04,33.91,31.98,30.43
1932,29.59,30.47,32.47,34.20,34.58,36.82,33.77,33.17,33.61,33.95,32.24,30.14
1933,31.02,32.00,33.45,33.33,36.09,36.38,34.74,33.02,33.83,33.68,33.35,31.44
1934,29.86,29.82,32.60,35.02,35.02,35.49,34.27,33.44,34.26,34.12,32.93,29.38
1935,31.38,30.73,33.84,33.93,34.87,36.03,35.09,33.19,34.12,33.75,31.20,30.88
1936,29.82,31.95,33.24,34.74,36.50,36.59,35.03,33.30,34.33,34.12,33.49,30.97
1937,28.65,31.07,31.88,34.01,34.69,36.34,34.13,33.22,34.56,34.02,32.04,31.41
1938,30.61,31.66,31.48,35.66,36.44,36.21,33.38,31.96,32.87,33.53,32.64,31.54
1939,30.44,31.58,32.63,34.36,35.67,36.66,35.11,34.02,34.27,34.15,32.43,31.82
