Variable:,tasmax
Country:,Finland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-2.29,-9.60,-1.77,5.17,11.88,19.82,23.24,19.33,13.67,8.51,-3.81,-9.17
1902,-9.25,-6.67,-4.75,1.25,9.27,14.49,16.87,15.84,10.15,1.83,-2.35,-4.99
1903,-6.60,-2.42,2.47,5.13,11.86,17.60,18.12,16.77,12.26,0.99,-0.48,-2.29
1904,-2.10,-9.58,-2.04,5.64,9.71,16.11,17.54,16.24,12.09,6.23,-4.04,-7.99
1905,-7.29,-4.63,-0.32,3.33,12.60,19.09,19.67,16.85,10.93,2.37,-1.02,-2.61
1906,-3.31,-3.90,-4.02,6.75,14.27,18.24,21.23,15.70,10.59,4.75,-0.78,-3.92
1907,-10.20,-3.84,1.31,5.15,9.15,18.15,19.47,15.40,10.79,7.55,0.95,-9.55
1908,-6.36,-5.65,-1.64,4.95,10.75,16.60,20.04,18.05,10.99,6.47,-3.72,-1.90
1909,-1.23,-6.96,-2.56,1.29,8.54,17.46,20.50,17.38,13.10,8.70,-4.35,-4.27
1910,-5.12,-1.02,0.22,5.53,12.71,17.18,19.03,16.50,12.57,4.02,-1.84,-3.50
1911,-4.37,-7.89,0.29,3.67,13.13,16.21,18.53,19.69,12.19,3.55,0.58,-1.21
1912,-10.22,-11.91,-0.76,2.82,10.15,18.17,20.72,18.89,10.22,1.84,-1.63,-3.27
1913,-6.97,-4.20,0.63,5.82,10.95,16.47,22.06,18.75,12.20,3.30,0.83,-6.49
1914,-7.32,-3.70,-1.59,5.26,11.37,18.54,23.08,15.87,11.60,3.75,-0.81,-1.34
1915,-9.18,-6.47,-5.62,4.51,9.45,14.34,21.37,16.34,9.90,3.27,-4.99,-14.19
1916,-5.42,-4.08,-3.21,4.61,8.62,16.42,22.52,14.77,10.02,1.59,1.68,-4.67
1917,-9.33,-10.91,-6.38,2.58,8.49,19.81,18.63,21.03,11.20,6.19,-1.25,-5.18
1918,-11.37,-5.34,0.20,5.66,10.08,15.84,20.54,15.55,11.19,6.70,2.43,-4.44
1919,-4.90,-9.49,-3.21,3.50,12.65,18.50,22.00,16.09,12.87,4.14,-5.24,-7.47
1920,-7.95,-2.27,3.05,6.12,14.27,17.76,20.87,17.76,13.90,4.13,1.61,-2.59
1921,-7.96,-5.87,1.92,8.73,15.27,17.61,17.73,17.95,11.46,3.27,-4.92,-4.18
1922,-7.90,-6.72,-2.85,4.49,11.92,18.32,20.01,17.01,13.04,3.32,-1.45,-6.02
1923,-2.91,-10.24,-0.81,2.74,9.64,13.42,19.70,15.11,12.05,5.39,-0.32,-5.05
1924,-6.54,-8.10,-2.78,2.56,10.52,15.13,21.08,20.40,13.80,7.38,0.06,-0.54
1925,0.13,-2.30,-3.66,6.55,11.93,16.58,24.30,17.92,11.91,2.63,-5.16,-7.71
1926,-10.62,-7.97,-1.02,3.14,10.48,17.44,20.17,18.02,11.59,1.78,0.56,-6.56
1927,-8.15,-4.45,-0.70,3.25,9.05,16.53,23.44,19.54,11.10,2.46,-5.14,-6.89
1928,-5.58,-5.16,-0.23,4.93,10.90,14.53,16.90,16.94,11.27,3.56,-1.34,-4.16
1929,-7.77,-11.43,-0.54,0.47,12.39,16.36,18.04,16.83,12.17,5.86,1.99,1.30
1930,-0.45,-4.31,-0.82,5.37,13.76,18.26,21.41,18.98,9.62,5.16,-0.21,-4.42
1931,-8.30,-7.22,-2.54,4.42,13.14,13.30,21.30,18.11,9.20,4.46,0.75,-3.44
1932,-1.20,-5.58,-2.32,4.68,10.74,15.46,21.91,18.67,11.99,3.62,0.32,1.53
1933,-4.70,-8.28,-1.97,3.93,10.20,19.07,21.29,17.28,12.33,5.12,-2.20,-4.84
1934,-0.67,-4.16,-1.09,4.74,14.33,16.98,21.75,19.45,15.60,6.40,1.27,-2.32
