Variable:,tasmax
Country:,"Faroe Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.50,3.73,4.23,6.40,9.63,11.03,13.70,12.33,12.00,8.16,6.37,4.06
1902,3.83,3.33,4.93,7.13,6.76,9.80,10.50,10.73,10.63,8.46,8.50,5.93
1903,4.63,5.66,5.16,4.96,8.53,9.93,10.83,11.23,10.90,8.26,5.50,5.26
1904,5.73,3.83,5.13,6.63,8.53,11.23,12.60,12.03,11.47,8.56,5.33,4.86
1905,5.23,4.36,5.93,4.83,8.83,12.03,12.50,12.03,11.07,6.36,5.73,6.23
1906,5.23,3.13,3.73,6.40,6.53,11.33,11.40,11.93,11.93,9.06,7.03,3.66
1907,4.93,3.93,5.03,6.50,7.73,8.86,10.40,9.83,10.40,8.39,6.53,5.60
1908,5.13,4.56,4.73,5.70,8.73,10.53,11.63,11.43,10.90,10.96,7.00,6.16
1909,4.93,5.60,3.43,6.93,8.03,10.03,11.13,11.80,10.53,7.66,5.10,3.26
1910,3.63,4.63,6.23,5.20,9.03,10.73,11.03,12.23,10.83,9.56,3.70,5.83
1911,5.13,5.13,5.33,6.43,9.96,10.50,12.56,13.06,10.93,8.16,6.00,6.73
1912,4.63,4.73,6.23,7.03,8.73,10.00,11.83,10.63,10.33,8.36,5.00,5.26
1913,5.20,5.43,4.26,6.90,8.63,10.63,12.03,12.33,11.40,9.26,7.40,4.63
1914,5.33,5.93,4.63,7.36,7.63,11.16,12.33,12.73,10.80,9.36,5.93,4.13
1915,4.63,4.03,3.83,6.40,7.80,10.53,11.23,12.13,10.60,9.56,4.83,2.93
1916,6.43,4.43,2.93,6.26,8.06,9.47,11.73,12.13,10.67,8.66,6.90,4.26
1917,3.70,4.63,3.83,3.70,8.53,10.73,12.60,13.23,10.83,5.96,6.06,3.13
1918,2.33,5.63,5.93,6.33,9.83,10.30,11.53,11.93,8.43,8.46,6.50,5.33
1919,4.66,2.93,2.03,5.60,9.83,10.63,11.20,11.43,9.80,7.46,2.93,4.53
1920,4.03,5.06,5.36,5.33,8.33,11.20,11.33,11.43,10.70,10.36,8.10,5.76
1921,4.76,6.53,5.03,7.63,8.03,10.70,11.90,11.13,10.63,9.36,6.13,6.33
1922,4.93,5.73,5.43,4.93,8.23,9.80,10.40,11.03,10.03,7.96,6.80,6.00
1923,5.63,5.53,6.83,6.43,6.83,9.60,12.13,11.63,9.83,8.16,4.20,4.26
1924,5.93,5.13,3.53,5.93,7.63,9.73,12.30,12.23,10.63,9.16,8.10,7.53
1925,6.53,4.53,4.83,6.33,8.33,11.10,12.83,12.13,9.70,8.06,5.60,3.33
1926,6.13,6.73,5.73,8.50,8.30,10.90,13.20,13.33,11.10,5.86,6.83,5.46
1927,4.63,6.13,7.03,5.26,7.60,9.13,12.90,13.13,10.20,8.26,6.03,4.23
1928,5.03,5.93,5.63,7.33,9.00,9.30,11.40,11.83,11.13,8.96,6.90,5.13
1929,4.83,4.73,8.10,6.20,9.43,10.20,12.13,11.93,11.10,7.26,6.40,6.06
1930,4.86,4.90,3.83,7.60,9.03,12.00,12.13,12.73,11.63,8.16,4.90,6.23
1931,4.33,3.46,3.53,6.53,8.63,9.70,11.80,12.00,10.90,8.66,8.50,6.63
1932,6.43,7.33,5.70,5.30,8.83,11.33,12.43,13.03,10.30,7.56,6.83,6.63
1933,5.53,3.46,6.63,6.63,9.23,12.83,13.80,13.63,12.53,8.66,7.30,6.43
1934,5.93,6.33,4.83,6.10,8.73,11.53,13.33,12.73,11.93,8.56,6.33,7.53
1935,6.13,3.73,6.73,6.10,8.90,10.43,12.63,13.03,11.03,7.76,7.30,4.60
1936,3.13,3.86,5.83,6.23,10.00,12.07,12.96,13.33,11.70,9.36,6.73,4.86
1937,5.63,4.20,2.93,7.90,10.03,11.60,12.23,13.00,11.30,9.36,7.13,5.56
1938,5.33,5.63,7.33,8.20,8.23,11.10,12.13,12.99,11.60,9.36,7.10,6.33
1939,3.83,6.33,6.93,7.30,10.33,12.00,12.10,13.73,12.60,9.46,6.63,5.23
1940,4.83,4.83,4.63,6.63,10.33,12.70,11.70,12.10,10.50,9.33,6.23,6.13
