Variable:,tasmax
Country:,"United Kingdom"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.50,4.18,6.31,11.63,15.90,17.17,21.06,18.97,16.54,12.01,8.11,5.29
1902,6.14,3.93,9.02,11.14,12.07,16.35,17.75,17.36,16.13,11.68,9.10,6.16
1903,5.49,8.39,8.65,9.11,14.20,16.30,17.94,17.08,15.75,11.93,8.27,4.66
1904,5.93,4.73,6.76,11.27,13.86,17.15,19.46,18.44,15.86,12.40,7.99,6.43
1905,6.27,6.43,8.73,9.58,14.81,18.12,20.11,17.62,15.17,10.01,7.09,7.28
1906,6.71,4.87,7.43,10.75,12.97,17.75,18.84,19.51,17.26,12.95,9.34,5.02
1907,5.61,4.86,9.35,10.43,13.41,14.96,17.57,16.94,17.15,12.13,8.54,6.27
1908,5.18,7.03,6.69,9.16,15.07,17.67,18.67,17.75,15.70,14.69,9.64,6.32
1909,5.78,5.95,5.79,11.92,14.82,15.56,17.29,18.73,14.90,12.17,6.93,5.45
1910,5.41,6.49,8.94,9.87,14.44,17.38,17.24,17.96,15.66,12.77,6.26,7.46
1911,5.64,6.66,7.57,10.54,16.26,17.68,21.22,20.88,16.97,11.94,7.84,7.46
1912,5.52,6.94,9.11,12.32,14.77,16.48,18.58,15.43,14.02,11.61,7.86,7.92
1913,5.79,6.73,8.10,10.65,14.19,16.82,17.66,18.73,16.43,13.24,10.20,6.27
1914,5.22,8.31,8.01,12.84,14.10,17.81,18.95,19.49,16.57,12.62,8.72,5.84
1915,5.14,5.65,7.69,11.05,14.38,18.06,17.74,18.16,16.68,11.63,5.90,6.34
1916,8.61,5.56,5.67,11.17,14.54,15.05,18.47,19.30,16.01,12.36,8.88,4.99
1917,3.24,4.13,5.91,8.47,15.71,18.14,19.52,18.31,16.71,10.32,9.70,4.77
1918,5.32,7.95,8.57,9.93,16.20,17.03,18.67,18.88,14.09,11.49,8.07,7.97
1919,4.89,4.31,5.97,10.33,16.41,17.18,17.27,18.86,16.01,11.35,5.14,6.76
1920,6.58,8.24,9.25,10.12,14.58,17.49,17.27,16.95,15.93,13.26,9.61,5.74
1921,8.09,7.06,9.24,11.98,15.03,18.38,21.44,17.94,17.02,15.14,7.98,8.21
1922,5.58,6.65,7.49,8.74,15.66,16.89,16.58,16.50,14.83,11.28,8.62,6.80
1923,7.61,6.76,8.81,10.06,12.19,15.57,19.94,18.05,15.42,11.96,5.92,5.94
1924,6.25,5.45,7.07,9.92,13.99,16.65,18.22,16.94,15.16,12.36,9.14,8.26
1925,7.24,6.32,7.33,10.43,13.94,18.54,19.63,18.41,14.34,12.88,6.28,4.99
1926,6.79,7.87,8.67,12.27,13.19,16.67,19.71,19.48,17.04,10.79,8.15,6.20
1927,6.38,6.79,9.39,10.54,14.20,15.29,18.66,18.53,14.82,13.04,7.88,3.94
1928,7.04,7.77,7.78,10.96,14.22,15.80,18.78,18.22,15.90,12.63,9.55,5.99
1929,3.81,3.82,8.98,9.81,14.95,16.55,19.36,18.35,18.11,11.92,8.90,7.28
1930,6.67,3.99,7.77,10.89,13.91,18.64,18.02,18.41,16.07,12.45,8.45,6.27
1931,5.39,5.66,6.86,10.07,14.08,16.54,17.67,17.15,14.43,12.21,9.62,7.47
1932,8.24,6.03,7.93,9.36,13.09,17.67,18.56,19.40,15.76,11.17,8.43,7.38
1933,4.69,5.91,10.11,11.86,14.68,18.45,20.57,20.40,17.94,12.58,7.66,4.47
1934,6.77,6.81,7.64,10.40,14.37,18.09,21.14,18.28,17.28,12.35,8.09,8.85
1935,6.31,7.10,9.12,10.30,13.69,17.17,19.82,19.59,16.02,11.74,8.34,4.80
1936,5.33,5.17,8.82,9.25,14.61,17.75,17.90,19.17,16.68,12.41,7.99,7.22
1937,6.71,6.42,5.55,11.28,15.17,17.12,18.43,19.47,16.17,12.56,8.19,4.80
1938,7.13,6.94,11.26,11.19,13.58,16.66,17.65,18.81,16.65,12.67,10.36,5.81
1939,5.47,7.50,8.19,11.26,14.57,17.99,17.87,19.23,16.70,11.08,9.87,5.36
1940,2.42,5.00,8.33,11.03,15.71,19.76,17.71,18.67,15.70,12.10,8.89,5.89
1941,2.23,5.00,7.30,9.18,12.83,17.81,19.54,17.47,17.71,13.12,8.60,7.62
1942,3.84,3.16,7.62,12.33,14.34,17.39,18.27,18.84,16.08,12.44,7.88,8.13
1943,6.53,8.20,9.83,12.93,15.01,17.24,19.44,18.10,15.94,13.39,8.63,6.18
1944,7.96,5.72,8.27,12.74,14.60,16.50,18.71,20.27,15.41,11.48,8.11,6.54
1945,2.86,8.59,10.76,12.87,15.06,17.46,19.48,19.10,17.01,14.49,9.52,7.66
1946,5.42,7.24,8.23,12.66,14.68,16.14,18.81,17.44,16.12,12.19,9.48,5.61
1947,4.64,1.01,5.53,10.97,15.76,17.89,19.27,22.18,17.67,14.03,9.18,6.72
1948,6.19,6.46,11.46,12.19,15.20,16.53,18.39,17.52,16.14,12.74,10.27,7.63
1949,7.45,7.91,8.34,12.54,14.65,18.67,20.31,19.64,18.74,14.12,9.06,7.34
1950,6.39,6.98,10.18,10.20,14.97,19.07,18.85,18.56,15.08,12.11,7.66,3.27
1951,5.38,5.40,6.41,9.59,12.96,17.11,19.00,17.52,16.54,12.96,10.14,7.45
1952,4.39,5.87,8.59,12.64,16.24,16.98,19.38,18.60,13.81,11.42,6.52,5.46
1953,5.72,6.78,9.47,10.44,15.98,17.25,18.17,19.05,16.79,12.86,10.14,8.58
1954,5.18,4.59,8.13,11.29,14.49,15.94,16.57,17.00,15.13,13.48,9.13,8.04
1955,4.37,3.21,6.35,12.63,12.94,16.57,21.39,21.18,17.28,12.09,9.63,7.46
1956,5.31,3.22,9.03,10.39,15.39,16.00,18.07,16.09,16.43,12.18,8.58,7.63
1957,7.40,6.97,11.15,11.88,14.07,18.86,18.50,17.93,14.71,13.07,8.40,6.82
1958,5.50,6.54,5.92,10.55,13.95,16.36,18.51,18.23,17.71,12.98,8.89,6.43
1959,4.20,6.95,9.68,11.98,16.31,18.37,20.37,20.44,18.34,15.32,9.21,7.54
1960,6.03,5.75,8.20,12.29,16.28,19.52,17.88,17.87,15.80,12.12,9.09,5.44
1961,5.38,8.52,11.21,12.13,14.28,17.52,17.66,18.15,17.58,13.04,8.07,4.60
1962,6.40,6.65,5.60,10.54,12.90,17.12,17.24,16.87,14.89,13.12,7.54,5.10
1963,1.34,2.01,8.35,10.82,13.29,17.43,17.91,16.68,15.64,12.94,9.36,4.89
1964,5.86,6.36,6.15,11.12,15.83,16.45,18.56,18.25,17.21,11.86,9.38,5.85
1965,5.02,5.24,8.04,11.18,14.05,17.16,16.27,17.76,14.71,13.48,6.46,6.27
1966,4.36,6.52,9.08,9.08,14.47,17.96,17.84,17.50,16.57,12.23,7.32,7.05
1967,6.07,7.24,8.94,10.74,12.81,17.62,19.16,18.41,16.02,12.31,8.10,6.44
1968,6.21,3.98,8.78,11.27,12.49,17.92,17.46,18.21,16.11,13.95,8.04,5.04
1969,6.89,2.98,5.63,10.83,13.56,17.66,19.73,18.96,16.43,15.19,7.20,5.24
1970,5.50,5.06,6.52,9.31,15.57,19.64,17.44,18.85,16.73,12.96,9.29,6.06
1971,6.35,7.09,7.81,10.78,15.18,15.22,20.11,18.12,17.76,14.37,8.68,8.37
1972,5.41,6.22,9.24,11.06,13.37,14.73,18.61,18.00,15.04,13.36,8.38,7.70
1973,6.23,6.60,9.66,9.92,14.01,18.21,18.47,19.40,16.82,11.87,8.39,6.98
1974,7.95,7.39,8.00,11.67,14.34,16.86,17.51,18.21,14.40,9.91,8.44,8.99
1975,8.14,6.90,7.00,10.79,13.15,18.64,19.99,21.69,15.96,12.78,8.69,7.34
1976,7.11,6.38,7.26,11.17,14.67,20.13,21.76,21.38,15.60,12.39,8.43,3.87
1977,4.63,6.36,8.94,9.81,13.98,15.67,19.10,18.29,15.31,13.94,7.95,7.49
1978,5.06,4.26,8.92,9.02,15.28,16.66,17.20,17.47,16.19,14.06,10.36,5.75
1979,2.82,3.34,6.45,10.03,12.60,17.01,18.75,17.47,16.09,13.48,9.06,7.02
1980,4.26,7.31,6.86,12.16,15.28,16.58,17.32,18.30,16.78,11.31,8.10,7.46
1981,6.61,5.37,9.25,10.96,14.39,15.93,18.23,19.49,17.28,10.30,9.42,3.45
1982,5.02,6.95,8.65,12.11,15.26,17.71,19.78,18.38,16.88,12.23,9.10,6.31
1983,7.90,4.02,8.47,9.50,12.50,17.02,22.37,20.89,15.61,12.56,9.26,7.76
1984,5.13,5.71,6.71,12.13,13.85,17.70,20.69,20.88,15.50,13.19,9.19,7.26
1985,2.99,5.03,7.13,11.00,13.86,15.71,18.63,16.92,16.65,13.31,6.19,7.54
1986,5.15,1.31,7.63,8.42,13.74,17.99,18.33,16.13,14.94,13.22,9.79,7.48
1987,3.04,6.13,6.67,12.89,13.44,15.16,18.59,18.28,16.20,11.90,8.27,7.26
1988,6.75,6.74,8.31,11.02,15.08,17.80,17.06,18.08,15.74,12.55,8.62,9.14
1989,8.59,8.11,9.76,9.29,16.57,18.18,21.61,19.56,16.88,13.88,8.82,6.34
1990,8.14,8.68,10.59,11.76,16.61,16.52,20.25,20.77,15.94,13.51,8.53,6.23
1991,5.27,4.51,9.95,10.80,14.06,15.00,19.96,20.28,17.92,12.02,8.71,7.11
1992,6.08,7.91,9.23,11.11,16.97,19.25,18.80,17.96,15.37,10.17,9.52,5.84
1993,7.73,6.87,9.07,11.74,14.31,17.60,17.76,17.61,14.98,10.60,6.98,6.61
1994,6.68,5.23,9.14,10.64,13.54,17.21,20.74,18.53,15.06,12.63,11.35,8.23
1995,6.70,7.99,7.97,11.74,15.06,17.83,21.57,22.70,16.28,15.17,9.89,4.35
1996,5.88,5.23,6.46,11.42,12.46,17.95,19.52,19.53,16.57,13.70,8.01,4.91
1997,4.69,8.36,10.69,12.35,15.03,16.60,19.81,21.54,16.86,13.13,10.25,7.58
1998,6.87,9.37,9.87,10.17,16.00,16.51,17.84,18.89,16.82,12.17,8.22,7.57
1999,6.95,6.85,9.35,12.07,15.48,16.74,20.53,18.93,18.11,13.12,9.43,6.40
2000,6.79,7.92,9.65,10.39,15.42,17.13,18.18,19.56,16.90,12.41,8.61,6.76
2001,5.43,6.44,7.33,10.29,16.14,16.85,19.34,19.30,15.67,14.75,9.59,5.99
2002,7.54,8.20,9.81,12.36,14.68,17.22,18.33,19.34,17.09,11.93,9.90,6.63
2003,5.83,6.48,10.66,13.26,14.77,18.96,20.27,21.02,17.60,11.84,9.87,6.74
2004,6.39,6.79,8.96,12.01,15.32,18.18,18.58,19.84,17.10,12.20,9.32,7.16
2005,7.43,5.74,9.11,11.73,14.22,18.30,19.27,19.26,17.54,14.12,8.58,6.67
2006,5.88,5.84,6.82,11.17,14.77,19.05,22.55,18.76,18.61,14.64,10.07,7.66
2007,7.82,7.82,9.70,14.80,15.00,17.74,18.25,18.41,16.52,13.57,9.69,7.09
2008,7.51,8.32,8.32,11.04,16.81,17.48,19.49,18.56,16.08,12.10,8.54,5.81
2009,5.14,6.15,9.59,12.67,15.30,18.52,19.47,19.47,16.92,13.68,9.75,5.23
2010,3.44,4.58,8.60,12.40,14.32,19.07,19.78,18.51,16.64,12.95,7.07,2.80
2011,5.39,7.76,9.45,14.58,15.41,17.08,18.49,18.04,17.17,14.05,11.06,7.27
2012,7.04,6.68,11.51,10.32,14.95,16.05,17.94,19.53,15.97,11.71,8.35,6.59
2013,5.58,5.34,5.26,10.34,13.68,17.31,21.76,19.84,16.68,13.97,8.41,8.15
2014,7.08,7.47,10.19,12.97,15.04,18.58,21.12,18.18,18.09,14.15,10.15,6.81
2015,6.28,6.24,8.83,12.38,13.68,17.46,18.68,18.87,15.97,13.25,10.56,9.50
2016,7.04,6.58,8.76,10.54,15.75,17.96,19.41,19.80,17.97,13.16,7.96,8.30
2017,6.38,7.51,10.55,12.00,16.74,18.74,19.45,18.78,16.06,14.06,8.62,6.74
2018,6.45,5.03,6.81,12.00,17.01,19.74,21.96,19.50,16.49,13.13,9.59,8.12
2019,6.22,9.11,9.98,12.86,14.65,17.85,20.72,20.00,17.09,12.34,8.02,7.60
2020,7.74,7.72,9.12,13.72,16.52,18.27,18.54,19.93,17.17,12.39,10.22,6.68
