Variable:,tasmax
Country:,Georgia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.08,2.24,9.02,14.66,17.72,23.49,25.56,25.30,19.46,12.53,6.13,3.57
1902,0.42,1.36,5.50,12.15,17.70,23.03,24.00,25.35,18.86,12.83,3.00,-1.19
1903,-2.61,-0.59,3.38,14.17,18.19,22.31,24.79,24.60,18.67,14.14,6.39,0.78
1904,-5.98,3.02,4.39,9.75,16.09,20.36,24.62,24.82,20.20,14.27,7.02,-0.44
1905,-3.39,-2.54,2.79,12.04,16.71,21.96,24.29,23.75,21.24,17.94,9.32,-0.68
1906,-2.69,0.40,6.82,12.55,19.59,22.85,24.21,23.47,18.26,13.75,6.85,2.74
1907,-2.81,-2.34,3.96,10.85,19.35,22.93,25.46,23.85,18.57,12.70,2.91,-0.65
1908,-3.43,0.04,2.95,11.03,17.53,22.60,23.58,24.75,21.32,12.33,4.20,-2.79
1909,-5.71,-1.33,5.00,10.03,18.88,19.65,25.10,24.08,22.80,16.52,9.48,1.35
1910,-0.45,1.91,4.66,12.10,17.41,21.29,25.34,24.12,19.12,13.56,8.17,-1.56
1911,-6.22,-5.55,1.76,10.67,17.58,20.39,24.63,23.93,18.38,12.13,7.36,-0.15
1912,-0.57,1.29,6.80,11.36,15.70,22.57,22.88,23.92,23.31,12.47,7.47,0.37
1913,-2.88,-3.08,5.38,11.50,16.75,20.11,24.47,27.33,21.91,13.64,8.15,3.19
1914,1.11,3.47,9.51,11.43,17.78,21.03,25.02,23.80,18.93,13.70,3.38,-0.32
1915,3.89,1.54,6.07,11.76,16.21,20.14,24.48,23.31,19.42,13.88,8.72,4.05
1916,-0.29,0.59,6.00,12.99,18.29,21.74,24.79,24.20,18.49,13.89,7.38,1.56
1917,0.53,-0.83,6.81,16.41,15.60,20.75,25.24,24.79,20.66,14.68,10.26,0.80
1918,-0.48,-0.25,4.79,11.15,16.14,20.89,24.28,24.40,23.45,18.15,6.43,0.53
1919,-0.26,1.00,4.38,13.34,14.59,19.07,23.12,23.08,21.62,17.90,7.77,1.72
1920,-0.08,-5.94,5.08,13.04,17.45,21.55,24.14,26.32,20.03,10.89,2.32,-4.06
1921,-0.77,-4.36,3.02,11.33,19.94,22.09,24.13,24.92,18.39,12.99,5.55,-0.51
1922,-0.67,-0.03,7.00,13.36,19.73,21.65,25.11,24.47,19.56,15.06,8.31,1.39
1923,-0.22,0.23,5.04,10.30,19.59,23.20,24.90,22.59,21.47,15.85,10.27,3.27
1924,0.52,-0.97,4.82,11.76,19.00,24.13,24.80,25.45,23.26,13.89,6.53,-2.89
1925,-4.08,1.54,8.29,11.49,19.53,21.14,24.19,25.89,21.99,14.38,9.18,3.22
1926,-0.56,-0.70,4.39,12.83,18.35,21.43,23.79,24.56,18.82,14.70,8.63,2.38
1927,-2.97,-4.32,4.73,12.37,17.66,23.48,24.81,25.94,22.02,17.92,7.71,-2.70
1928,-3.93,-4.35,-1.08,13.79,17.93,20.62,24.32,22.88,20.55,12.82,9.33,1.26
1929,-2.71,-5.06,-0.75,11.06,20.03,21.02,23.58,27.16,20.24,15.93,8.87,0.49
1930,0.34,-0.54,7.25,12.84,18.70,20.12,25.56,27.24,20.65,14.83,8.63,1.34
1931,-2.61,-1.88,6.08,10.58,16.65,21.75,25.06,24.58,22.50,15.52,4.04,-3.08
1932,-3.56,-2.84,4.04,13.42,18.00,22.92,23.03,24.70,19.90,17.68,5.72,-1.59
1933,-5.43,-1.36,2.22,10.48,18.11,19.62,23.75,25.44,20.86,14.71,8.68,-1.81
1934,-3.63,-0.61,5.83,11.39,18.53,21.57,25.07,24.29,19.89,15.21,8.04,-0.07
1935,-3.16,1.58,3.48,14.16,19.21,21.78,24.97,27.00,23.43,17.43,4.80,3.68
1936,0.93,1.10,5.56,12.75,15.76,20.76,25.18,26.44,19.11,14.64,8.65,1.07
1937,-3.70,0.02,7.47,12.39,16.93,19.30,26.37,26.11,24.48,16.21,9.65,4.70
1938,0.68,0.30,3.13,12.79,17.81,21.27,26.37,26.70,21.66,16.77,8.68,1.30
