Variable:,tasmax
Country:,Gibraltar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.50,14.00,16.30,20.30,22.00,27.10,28.40,28.80,24.70,20.00,17.20,14.70
1902,15.10,15.50,18.20,19.80,20.90,23.50,27.30,27.90,25.20,20.60,18.40,15.80
1903,15.30,16.50,17.70,19.90,20.50,23.80,27.10,28.60,24.70,22.10,18.70,14.90
1904,14.60,15.70,15.80,20.30,23.50,25.50,28.00,28.50,24.70,23.00,18.10,16.90
1905,14.70,14.60,18.10,20.50,21.70,24.30,27.70,27.60,24.50,21.00,16.60,15.60
1906,15.60,14.30,17.00,18.00,21.30,25.70,27.60,29.20,25.90,21.90,17.80,15.20
1907,14.70,14.30,18.10,18.90,20.50,25.20,26.10,28.90,26.00,19.80,17.60,16.90
1908,15.70,15.70,15.60,17.60,23.20,23.50,27.40,27.70,26.40,22.50,19.00,16.30
1909,14.00,14.20,16.30,20.40,22.20,22.90,27.30,27.70,23.90,22.30,17.80,16.90
1910,15.10,16.30,16.20,18.60,20.20,24.40,26.50,27.30,25.00,21.80,18.10,16.50
1911,13.30,16.00,15.40,18.00,20.80,23.90,27.70,28.50,27.50,20.70,17.50,17.10
1912,15.20,17.70,18.30,19.10,23.30,24.40,25.10,26.20,24.30,20.70,17.20,15.30
1913,16.20,15.70,16.90,18.00,21.60,26.60,27.30,26.70,23.80,21.30,18.50,15.50
1914,13.60,15.80,17.00,19.70,21.90,22.80,26.20,27.40,26.40,21.80,17.40,15.70
1915,14.20,14.50,17.10,17.70,21.50,24.20,28.10,28.70,25.30,20.50,17.60,16.60
1916,15.10,15.10,15.60,19.00,21.80,24.40,26.70,28.10,25.30,22.50,17.70,16.20
1917,14.00,14.70,15.50,17.90,21.30,24.90,28.30,27.10,27.30,20.70,17.70,14.00
1918,15.30,15.80,15.90,17.40,22.00,25.70,27.70,28.80,25.00,19.40,17.10,16.00
1919,13.90,16.30,16.30,18.40,21.70,26.20,25.90,29.50,25.80,20.00,16.20,14.50
1920,14.90,16.20,17.20,19.70,22.90,24.90,27.00,27.60,26.00,20.00,17.00,15.00
1921,15.00,15.50,17.30,19.00,21.30,25.20,28.70,28.10,26.20,23.60,17.70,15.20
1922,15.10,16.20,16.20,18.70,24.10,24.50,27.30,28.70,24.40,22.20,17.80,15.30
1923,13.50,15.90,17.90,17.40,21.60,25.10,28.50,30.30,25.20,24.10,17.80,14.20
1924,15.30,14.30,17.50,20.00,24.00,27.00,29.00,28.20,25.30,22.00,18.10,16.10
1925,14.90,14.90,15.50,18.30,20.80,24.20,26.40,28.90,26.00,22.40,17.00,17.20
1926,16.20,18.60,18.60,19.60,21.10,25.10,28.60,29.70,29.10,24.30,16.90,15.30
1927,15.60,15.20,17.80,20.40,22.90,26.40,26.10,28.60,26.30,23.50,17.80,16.70
