Variable:,tasmax
Country:,Guadeloupe
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.18,28.46,28.48,29.34,29.66,29.84,30.03,30.46,30.08,29.56,28.69,27.78
1902,27.36,27.94,27.86,28.44,29.06,29.64,30.04,30.36,29.78,29.18,28.79,28.08
1903,27.78,27.94,27.76,28.64,29.56,30.04,30.13,30.06,29.78,29.46,28.59,27.88
1904,27.46,27.34,27.24,27.83,28.66,29.34,29.63,29.54,29.46,29.06,29.08,28.06
1905,27.46,27.23,27.44,28.94,28.63,29.73,30.04,30.26,29.88,29.48,29.19,27.88
1906,27.28,27.53,27.56,28.44,28.96,29.33,29.73,30.14,29.68,29.48,29.08,27.26
1907,26.68,26.83,27.04,27.96,28.24,29.33,29.93,29.76,29.56,29.24,28.68,27.96
1908,27.58,27.31,27.26,27.84,28.38,29.33,30.04,30.24,29.78,29.26,28.54,27.83
1909,27.06,27.03,28.14,27.93,28.84,28.93,29.73,29.64,29.78,29.28,28.34,27.24
1910,26.76,26.63,27.04,27.84,28.36,29.23,29.74,29.84,29.48,29.58,29.09,28.04
1911,26.86,26.91,26.94,28.14,28.24,29.66,29.43,29.96,29.78,29.38,28.98,28.08
1912,27.79,27.74,27.64,28.44,29.04,29.34,30.06,29.96,29.66,29.18,28.78,28.08
1913,27.26,26.93,27.04,27.43,29.04,28.63,29.13,29.36,29.49,28.78,28.48,27.28
1914,27.16,27.33,27.64,28.04,28.36,28.93,29.53,29.56,29.69,29.19,28.88,28.48
1915,27.68,27.54,28.38,28.44,29.08,29.74,30.13,30.36,29.98,29.78,29.16,28.24
1916,27.16,27.24,27.44,28.24,29.06,29.63,29.96,30.06,29.66,29.26,28.48,27.18
1917,26.96,26.93,27.04,28.04,28.86,29.43,29.94,29.74,29.66,29.78,28.78,27.46
1918,26.98,27.23,27.36,27.94,28.34,29.44,29.86,30.24,30.09,29.68,28.59,27.76
1919,27.19,27.58,27.56,28.03,29.18,29.64,29.54,29.96,29.46,29.08,28.36,27.96
1920,27.19,27.53,27.76,28.38,28.86,29.04,29.53,29.46,29.38,29.08,28.48,27.66
1921,27.46,27.76,27.56,27.64,28.56,29.34,29.23,29.64,29.68,29.18,28.79,27.96
1922,27.26,27.33,27.16,27.63,28.44,29.04,29.73,29.66,29.58,29.38,28.49,27.46
1923,27.06,27.13,27.26,27.94,29.38,29.26,29.83,30.28,30.08,29.88,29.29,27.86
1924,27.48,27.73,28.36,28.94,29.46,29.63,30.04,30.36,30.18,29.58,28.58,27.76
1925,27.08,26.83,27.06,28.44,28.76,29.36,29.54,30.06,30.06,29.66,29.09,28.58
1926,27.88,28.06,28.36,28.76,29.48,30.06,30.33,30.24,29.98,29.36,29.06,28.14
1927,27.26,27.03,27.84,28.14,28.94,29.43,29.83,30.04,30.08,29.58,29.28,28.38
1928,27.68,27.76,27.96,28.34,29.08,29.54,29.83,29.84,29.66,29.26,29.08,28.16
1929,27.58,27.84,27.24,27.94,27.94,29.21,29.94,29.83,29.56,29.56,28.68,27.78
1930,27.18,27.16,27.64,28.24,29.06,29.53,29.64,29.94,29.68,29.68,29.08,28.36
1931,28.31,27.83,28.96,28.96,29.76,29.84,30.24,30.23,29.84,29.76,28.98,28.26
1932,27.58,28.04,28.49,29.18,29.16,30.03,30.34,30.46,30.68,30.08,29.68,28.88
1933,28.31,27.24,27.96,28.86,29.23,29.64,30.14,30.24,29.88,29.68,29.06,28.16
1934,27.49,27.54,27.44,28.76,29.24,30.04,29.94,30.16,29.78,29.79,29.39,28.18
