Variable:,tasmax
Country:,Guatemala
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.15,27.40,29.08,30.39,30.42,29.37,28.72,29.08,28.52,27.71,26.70,26.23
1902,25.12,27.02,29.79,30.21,30.66,29.28,29.02,28.18,29.58,28.28,27.47,26.35
1903,26.46,28.64,29.47,29.92,29.84,30.15,29.16,29.30,29.35,27.61,26.10,25.10
1904,26.15,27.40,29.08,30.42,30.43,29.37,28.72,29.07,28.52,27.69,26.73,26.26
1905,26.10,27.41,29.09,30.42,30.47,29.40,28.72,29.08,28.53,27.72,26.76,26.26
1906,25.12,26.35,28.45,29.62,30.34,29.10,28.95,28.99,29.01,27.84,26.96,25.80
1907,26.52,27.10,29.00,30.27,30.37,29.24,28.08,28.38,28.18,27.70,27.12,25.91
1908,25.31,26.59,29.09,31.16,31.01,29.49,28.63,28.85,28.39,27.06,25.96,26.17
1909,25.74,27.19,29.67,30.63,31.28,29.17,29.09,29.15,28.29,27.48,25.96,26.02
1910,24.79,26.38,27.08,28.91,29.79,28.80,28.35,28.94,28.29,27.40,25.65,24.52
1911,25.88,27.31,29.08,30.78,28.74,28.32,27.33,28.88,28.53,28.30,27.42,26.50
1912,26.18,25.76,29.55,31.59,30.55,29.03,28.50,28.96,28.33,27.93,25.83,26.58
1913,26.83,28.56,29.27,28.44,28.87,28.02,28.28,28.86,28.02,27.27,26.03,25.84
1914,25.46,27.28,27.22,29.81,29.39,28.47,28.95,29.38,28.18,27.43,26.18,26.71
1915,25.75,26.55,26.85,28.49,30.96,29.89,29.30,29.39,28.67,27.72,26.75,26.38
1916,27.25,26.35,28.03,29.36,29.96,28.76,29.30,28.66,28.10,27.19,25.85,26.24
1917,26.10,27.30,28.96,30.21,30.41,29.13,28.62,28.98,28.40,27.53,26.70,26.01
1918,25.44,27.86,28.92,30.30,30.04,28.73,28.88,28.96,28.47,28.42,26.82,26.06
1919,25.00,27.45,28.98,29.45,29.85,28.69,28.47,28.99,28.38,27.94,27.49,26.22
1920,26.21,26.87,28.98,31.36,30.35,28.51,28.45,28.71,28.38,27.43,26.25,25.87
1921,25.72,26.99,29.07,29.99,28.77,28.77,28.33,28.87,28.26,27.46,27.19,26.51
1922,26.46,27.55,29.40,31.07,30.27,29.02,28.57,29.20,28.59,27.79,27.05,26.28
1923,26.21,27.26,29.07,30.41,30.53,29.01,28.58,28.92,28.55,27.52,26.10,26.55
1924,26.09,26.08,28.62,30.46,30.14,29.47,28.78,29.02,28.39,27.59,26.05,26.58
