Variable:,tasmax
Country:,Italy
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.13,4.29,9.99,14.72,18.24,23.52,25.66,24.91,21.60,16.60,10.13,8.49
1902,7.69,8.73,10.81,15.67,15.29,21.37,25.96,25.28,22.02,16.17,10.28,6.99
1903,6.54,9.02,11.94,11.77,18.71,21.20,24.59,25.37,22.03,17.33,11.42,8.04
1904,6.74,9.01,11.02,15.38,19.83,23.95,27.42,25.77,19.89,16.34,10.00,7.78
1905,4.22,6.44,11.19,14.09,17.75,22.75,27.31,25.54,22.60,13.75,12.01,7.97
1906,6.57,6.81,10.38,13.90,18.22,22.24,25.42,25.70,20.45,17.40,12.81,6.11
1907,5.00,5.72,8.70,12.53,19.51,22.69,24.13,25.86,22.35,18.67,11.98,9.08
1908,6.18,7.46,9.43,12.30,20.82,23.90,25.15,24.27,20.52,17.16,9.81,6.93
1909,5.05,4.90,9.59,15.32,18.42,21.39,23.77,24.90,21.22,17.74,10.16,9.56
1910,7.18,8.77,10.86,13.77,17.33,22.49,23.58,24.47,19.31,17.41,10.43,9.91
1911,5.33,6.96,10.74,13.60,18.10,22.27,26.67,27.00,22.83,17.09,13.43,9.59
1912,7.35,10.59,12.86,12.89,18.70,22.47,25.12,23.04,18.02,15.29,8.86,8.45
1913,7.22,7.31,12.20,13.91,18.28,22.40,22.63,23.87,21.61,17.76,12.98,7.82
1914,4.22,9.15,11.42,15.71,17.76,21.24,23.88,24.85,20.61,15.58,10.79,9.19
1915,6.55,7.33,9.97,13.70,19.88,23.59,25.02,24.06,19.94,14.52,9.94,10.62
1916,8.01,8.43,11.85,14.71,19.59,22.02,25.23,24.50,19.69,16.39,12.33,9.55
1917,5.82,5.98,9.14,12.02,20.08,24.35,25.35,25.82,23.43,15.97,10.43,5.69
1918,7.08,7.62,10.60,13.97,19.19,20.63,25.03,24.45,22.97,15.27,10.75,8.48
1919,7.68,7.36,10.85,12.87,17.02,22.69,23.16,25.86,22.81,14.47,10.10,7.60
1920,8.90,9.55,12.64,15.17,21.42,22.23,26.09,24.25,21.82,16.03,10.37,8.39
1921,9.21,8.08,11.87,13.37,19.93,22.12,26.91,25.76,22.64,18.65,10.19,7.39
1922,5.80,7.49,12.29,13.69,20.18,23.50,25.13,26.35,20.13,15.38,9.32,7.45
1923,6.30,8.47,11.15,14.10,19.78,19.78,26.73,26.60,21.37,18.29,12.78,7.30
1924,5.59,6.39,10.33,14.61,20.60,23.15,25.73,23.15,22.82,16.89,11.39,8.60
1925,8.06,9.72,8.69,14.26,18.59,23.11,24.83,25.28,20.42,17.20,11.28,6.80
1926,6.70,11.01,11.09,15.74,17.32,20.93,24.12,24.61,23.41,18.14,15.29,7.38
1927,7.48,7.32,12.09,14.73,19.49,24.04,26.24,25.90,22.31,16.80,13.08,7.82
1928,7.83,8.69,10.35,15.06,16.84,23.10,28.23,27.30,22.05,17.13,12.33,6.56
1929,3.75,3.89,10.21,12.74,19.48,23.48,26.60,25.58,23.25,17.42,12.43,9.31
1930,8.33,7.40,12.16,14.61,17.68,24.87,25.14,24.96,22.36,16.46,13.29,8.16
