Variable:,tasmax
Country:,Japan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.55,2.20,6.83,13.76,17.35,20.53,22.94,26.23,22.54,17.55,10.75,4.53
1902,1.93,3.06,8.20,11.88,16.80,20.31,22.49,23.86,22.45,17.21,12.33,7.04
1903,4.11,3.39,7.85,13.80,16.46,20.30,23.01,26.29,23.33,16.35,10.14,3.55
1904,1.23,4.31,5.91,13.68,17.27,22.19,25.61,26.80,21.89,16.34,9.77,5.64
1905,4.36,1.65,5.97,11.17,17.73,20.77,24.64,23.65,22.36,17.30,11.20,6.69
1906,1.44,1.41,6.57,13.12,17.47,19.65,24.54,25.62,21.26,16.67,9.48,5.65
1907,3.34,1.84,6.00,12.92,17.69,20.08,23.87,26.63,21.75,16.56,11.14,4.00
1908,2.10,2.38,5.85,12.81,16.86,21.04,22.93,26.31,20.84,17.09,9.36,5.11
1909,1.00,1.80,5.12,14.08,17.44,20.74,25.06,26.44,22.41,15.78,11.42,4.36
1910,3.45,1.79,5.52,12.73,17.64,21.25,24.29,25.09,21.35,16.73,10.98,3.32
1911,1.98,3.89,7.31,12.88,18.09,21.04,24.53,25.54,23.42,16.56,12.58,4.78
1912,2.20,5.37,7.07,13.18,17.26,20.79,23.80,26.33,20.90,16.63,9.01,4.22
1913,1.29,3.00,5.77,14.00,16.92,20.16,23.36,24.97,20.93,16.50,10.67,4.66
1914,3.96,3.44,8.51,11.96,18.72,21.46,25.97,26.78,23.40,17.22,12.74,5.48
1915,2.18,3.16,5.63,11.98,16.52,22.14,25.04,26.31,23.28,18.16,11.92,6.42
1916,4.61,3.58,5.17,12.60,17.58,23.32,25.12,27.09,23.70,17.02,12.12,6.23
1917,1.71,3.05,5.66,12.83,17.11,20.33,25.92,25.92,22.56,17.21,8.94,4.07
1918,1.28,3.18,6.42,12.39,17.12,20.49,25.64,26.41,22.86,17.01,10.20,3.88
1919,1.64,3.25,7.74,13.40,17.82,20.78,24.89,25.81,22.55,17.30,11.74,4.84
1920,3.37,1.79,6.69,12.98,16.78,21.32,26.54,26.33,22.59,17.53,12.32,4.84
1921,2.91,3.13,5.47,13.78,17.18,19.43,25.07,26.71,21.92,16.62,9.55,4.80
1922,-0.48,5.51,6.10,13.88,17.77,22.53,25.35,28.00,23.89,18.11,11.16,4.00
1923,1.13,2.31,8.12,12.60,17.76,20.62,23.96,27.97,23.34,17.23,11.54,5.34
1924,2.42,2.76,4.12,14.22,17.13,20.45,27.44,27.35,22.50,16.68,10.47,4.86
1925,2.12,1.60,5.51,12.22,17.68,21.77,24.61,26.81,23.19,17.42,12.02,6.17
1926,2.20,3.65,5.95,11.64,17.56,20.74,24.88,26.59,23.20,15.66,10.37,4.05
1927,2.17,1.16,6.06,13.33,17.50,21.70,26.23,26.50,21.66,17.46,11.83,5.78
1928,2.70,2.31,6.66,13.37,18.82,20.51,25.01,26.03,24.42,17.57,11.82,4.44
1929,1.48,2.08,6.54,12.48,16.35,21.40,26.51,27.45,21.58,17.22,10.83,7.19
1930,1.60,4.29,7.90,13.89,18.30,21.68,26.58,27.41,22.64,17.87,10.20,5.12
1931,1.89,1.35,7.72,11.98,17.08,20.53,21.99,26.97,22.84,16.76,12.09,6.18
1932,5.05,2.89,6.23,12.23,18.43,20.70,25.10,26.13,21.64,16.99,11.47,5.74
1933,1.36,2.10,4.69,12.47,18.94,22.42,27.17,27.28,23.35,16.76,11.53,5.77
1934,1.40,2.67,5.64,11.92,18.42,22.12,24.64,26.10,21.81,16.04,10.60,5.93
1935,2.68,4.31,7.02,12.98,17.55,21.51,24.94,25.27,21.60,17.96,11.23,4.40
1936,0.38,1.54,4.93,11.93,16.95,22.17,24.68,26.06,24.06,17.27,11.17,6.06
1937,2.79,4.54,6.96,13.41,17.39,20.95,26.17,28.08,22.74,17.36,11.45,4.27
1938,1.93,2.27,8.18,13.86,18.76,21.26,25.21,27.05,22.82,17.65,10.98,4.66
1939,1.16,2.54,6.60,12.90,17.49,21.77,26.67,26.92,23.73,17.72,12.04,5.40
1940,1.52,2.41,6.96,12.78,18.71,21.36,25.99,25.56,22.27,18.19,12.75,6.56
1941,3.68,3.49,7.33,12.91,18.21,21.37,23.02,24.92,21.23,17.45,12.31,6.28
1942,1.71,1.52,9.20,13.83,17.50,21.80,27.32,26.87,23.41,16.94,10.57,4.78
1943,1.68,2.83,6.45,12.25,17.66,21.63,25.87,27.61,23.67,17.55,10.89,5.80
1944,1.86,2.08,5.67,11.06,18.54,22.57,26.10,27.65,23.43,17.10,10.91,2.93
1945,0.01,0.83,6.36,13.93,15.96,20.66,22.58,27.06,22.53,17.14,11.50,4.06
1946,2.99,3.24,5.35,14.26,16.94,23.13,26.48,27.48,23.36,18.14,12.90,4.25
1947,2.82,1.64,5.93,13.21,17.35,19.62,25.79,27.56,22.96,16.25,10.59,3.38
1948,3.70,3.97,6.61,14.51,19.12,21.94,25.62,27.00,23.30,17.80,11.55,7.99
1949,4.61,5.05,5.52,11.43,19.03,20.04,24.76,27.14,23.15,16.69,10.55,5.14
1950,3.76,3.49,7.16,13.62,19.29,21.26,26.55,27.33,23.34,16.38,11.35,4.68
1951,1.89,3.70,7.05,12.68,18.83,21.48,24.40,28.19,21.60,17.80,11.19,7.33
1952,2.82,1.44,6.36,13.43,18.48,21.36,24.52,26.55,22.75,17.44,11.93,4.50
1953,1.84,2.82,7.76,12.69,17.47,20.48,24.57,25.74,22.73,18.12,9.57,6.52
1954,3.23,5.13,7.08,14.07,17.68,18.97,22.71,26.49,23.60,15.93,12.17,6.08
1955,2.26,4.86,7.51,13.78,17.48,22.34,27.48,27.00,22.59,16.86,11.14,7.36
1956,2.43,2.88,6.97,13.48,18.40,21.41,24.39,25.19,23.11,17.66,10.77,3.87
1957,4.09,2.29,5.52,14.07,17.80,20.17,24.30,26.20,20.82,17.33,12.76,6.65
1958,3.21,4.50,7.19,13.58,18.25,22.40,25.33,25.64,22.82,16.33,11.36,7.33
1959,2.23,6.01,8.31,14.64,18.57,21.03,25.55,26.40,23.47,17.85,11.95,6.08
1960,2.53,5.52,8.31,12.61,17.78,21.19,25.77,27.52,23.62,17.31,11.86,5.07
1961,1.67,2.98,7.69,14.55,19.30,22.38,27.10,27.26,25.20,18.04,12.38,6.34
1962,2.86,4.18,7.09,14.05,18.83,20.83,25.28,27.10,23.66,16.98,10.77,6.66
1963,1.40,2.82,7.29,13.79,18.66,21.39,25.62,25.93,21.80,16.74,11.75,6.90
1964,3.88,1.79,6.86,14.82,19.51,21.06,25.46,27.31,22.44,16.95,11.47,6.13
1965,3.32,3.33,5.86,11.56,18.45,21.61,24.02,27.26,22.30,17.73,12.16,5.42
1966,2.71,5.45,8.22,13.06,18.30,20.62,24.61,26.88,22.64,18.13,11.97,4.06
1967,2.28,3.21,8.27,13.59,20.08,22.63,25.69,27.90,22.75,17.15,11.12,4.37
1968,2.99,2.08,8.30,13.97,17.49,22.00,25.01,26.00,22.31,16.06,13.02,8.04
1969,2.94,3.16,6.29,13.90,19.20,21.32,24.95,26.40,23.25,17.00,11.07,4.56
1970,2.34,4.35,4.18,12.86,19.51,20.59,25.67,26.84,23.76,17.89,11.55,5.00
1971,3.00,3.70,6.77,13.80,17.89,21.12,25.56,26.15,21.46,16.37,11.63,6.27
1972,4.97,3.73,8.13,13.69,18.40,21.79,25.21,26.74,22.59,18.02,10.98,6.44
1973,4.19,5.02,6.49,14.91,18.44,20.61,26.53,28.01,22.55,17.04,10.87,4.48
1974,2.65,3.09,6.13,14.10,19.14,21.32,23.81,26.79,22.31,17.10,10.22,4.08
1975,2.41,2.62,6.87,13.68,17.86,21.33,25.58,27.46,24.74,17.28,12.09,4.91
1976,2.90,5.17,7.31,13.10,18.38,20.86,24.85,25.26,21.45,16.88,9.95,5.10
1977,0.35,2.30,7.76,13.75,17.96,21.01,26.25,25.46,23.74,19.06,12.73,7.10
1978,2.86,1.58,7.05,13.59,18.74,23.03,28.23,28.50,23.01,17.17,11.55,7.25
1979,4.27,5.80,7.61,12.51,18.02,23.14,24.64,27.29,23.42,18.80,11.98,7.69
1980,3.08,2.15,6.82,12.60,19.16,22.86,23.55,23.87,22.26,17.06,12.47,4.96
1981,1.37,2.86,7.17,13.88,17.48,20.49,26.26,26.19,21.83,17.08,9.01,6.10
1982,3.05,3.19,8.25,13.36,19.78,21.56,23.83,26.24,22.08,18.12,12.42,6.65
1983,3.57,2.71,6.86,15.83,19.34,20.31,23.73,27.15,22.88,16.89,11.23,4.80
1984,1.23,0.74,4.51,12.13,17.27,22.48,26.40,28.39,22.87,16.89,11.64,5.09
1985,1.24,3.85,6.80,14.19,19.08,20.76,25.82,28.64,23.09,17.53,11.15,4.34
1986,1.47,1.79,6.55,13.68,18.01,21.30,23.56,27.01,23.40,16.16,10.70,6.72
1987,3.28,4.21,7.23,13.92,19.09,22.66,25.66,26.10,22.86,18.39,11.67,6.57
1988,4.47,2.42,6.43,13.64,17.98,21.62,23.19,26.77,22.53,17.00,10.00,6.10
1989,5.31,5.40,8.19,14.47,17.74,20.66,25.04,27.18,23.27,17.55,12.51,6.55
1990,2.72,5.90,9.11,14.21,18.81,22.95,26.30,28.37,23.95,18.41,13.98,7.66
1991,3.86,3.78,7.74,14.68,18.77,23.08,25.44,25.73,23.53,17.62,11.62,6.97
1992,4.50,4.53,7.97,14.28,17.51,21.03,25.53,26.26,22.78,17.40,12.05,6.84
1993,4.23,5.24,7.32,13.13,17.94,20.65,23.03,24.42,21.96,16.91,12.57,6.19
1994,3.18,4.22,6.43,14.80,19.93,22.19,27.79,29.38,24.62,19.03,12.89,6.48
1995,3.26,4.30,7.65,13.93,18.70,20.44,25.93,28.13,22.92,18.90,11.51,5.32
1996,3.58,3.33,6.98,12.20,17.75,21.58,25.56,26.46,22.71,17.83,11.51,6.72
1997,3.83,4.58,8.73,14.28,18.67,22.02,25.97,26.45,22.36,17.69,13.32,6.93
1998,2.62,5.15,9.00,15.92,20.26,21.39,25.71,26.63,24.25,19.22,11.96,7.03
1999,3.94,4.30,8.27,13.96,19.59,22.72,25.52,28.15,25.10,18.80,12.56,6.23
