Variable:,tasmax
Country:,Kazakhstan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-10.17,-5.04,3.15,15.88,22.54,26.26,30.15,27.21,20.57,8.66,3.06,-4.06
1902,-3.69,-5.96,0.74,11.08,22.18,29.04,30.49,29.50,21.59,10.86,-0.41,-5.63
1903,-7.27,-2.05,-3.31,11.55,20.39,26.75,29.39,28.11,21.10,11.40,0.51,-7.19
1904,-11.07,-2.63,-0.56,10.28,23.23,27.31,30.10,28.05,20.99,11.25,3.87,-1.72
1905,-8.16,-8.19,-5.63,10.01,21.87,26.93,29.58,26.87,22.71,16.46,4.70,-2.27
1906,-9.40,-10.38,3.18,13.91,22.96,29.95,30.26,29.44,21.00,11.58,1.09,-2.65
1907,-8.85,-8.11,0.18,12.56,21.28,26.13,30.74,28.85,21.16,9.82,-2.04,-5.37
1908,-8.56,-8.73,-3.50,10.92,21.90,27.42,29.15,28.23,22.36,9.30,1.45,-4.47
1909,-10.47,-4.72,-2.55,15.28,23.37,27.53,31.20,28.59,22.59,11.56,6.67,-3.86
1910,-5.21,-7.41,-0.21,14.53,24.10,26.93,31.32,29.06,21.48,10.28,1.10,-5.83
1911,-9.51,-8.05,-1.86,14.12,21.66,29.06,30.84,26.27,19.88,9.84,3.76,-6.20
1912,-5.77,-6.76,-1.59,13.10,22.04,28.18,29.46,26.25,21.40,10.53,1.97,-5.38
1913,-6.21,-8.07,1.33,10.57,21.76,26.40,30.73,28.41,21.95,11.02,3.25,-0.05
1914,-2.70,-2.28,2.46,13.04,22.16,27.06,28.82,28.33,21.49,11.14,-0.10,-6.44
1915,-6.57,-4.93,1.91,14.56,23.47,29.43,29.54,28.24,23.13,10.06,3.81,-2.64
1916,-6.41,-8.12,-1.63,13.85,23.81,27.62,29.84,29.03,22.49,12.78,0.86,-6.90
1917,-5.19,-6.36,-0.75,16.02,24.46,25.42,29.62,27.66,22.97,13.10,4.30,-6.16
1918,-5.31,-7.38,-0.49,12.15,20.53,28.70,30.52,29.37,22.65,13.82,0.74,-10.93
1919,-13.90,-5.88,-2.13,15.14,20.87,25.86,29.80,28.35,21.32,14.31,1.71,-4.47
1920,-6.04,-10.03,1.03,13.25,22.90,29.00,29.49,28.45,21.49,10.18,-0.91,-10.60
1921,-6.36,-6.48,-0.06,13.36,22.54,28.75,30.67,27.59,21.29,12.39,2.11,-4.95
1922,-8.42,-7.65,2.86,14.19,23.17,27.49,30.40,27.62,21.05,12.09,4.87,-2.24
1923,-8.83,-7.96,0.83,11.77,22.58,29.90,30.66,29.75,21.99,14.56,5.12,-3.83
1924,-7.58,-7.98,-1.11,13.98,21.65,27.48,31.24,28.16,22.64,12.35,3.20,-4.54
1925,-6.07,-6.09,3.16,12.17,22.34,27.82,30.11,29.86,23.55,13.79,4.48,-1.39
