Variable:,tasmax
Country:,Kiribati
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1902,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1903,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1904,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1905,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1906,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1907,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1908,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1909,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1910,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1911,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1912,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1913,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1914,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1915,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1916,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1917,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1918,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1919,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1920,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1921,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1922,30.40,30.61,31.31,31.20,31.81,31.41,31.62,31.30,31.51,31.90,32.20,31.10
1923,31.20,31.92,31.91,31.90,31.91,31.71,31.41,32.10,30.81,31.00,31.10,32.50
1924,31.40,31.11,31.41,31.60,30.91,31.81,31.92,31.60,31.71,31.00,31.10,30.70
1925,32.00,30.91,31.51,31.40,31.71,31.81,31.41,30.90,30.81,31.00,31.10,32.00
1926,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1927,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1928,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1929,30.40,30.41,31.01,31.30,31.41,31.21,31.11,31.70,31.81,31.00,32.20,32.20
1930,31.90,31.41,31.91,30.90,31.81,30.81,31.92,31.70,31.71,31.00,31.10,31.80
1931,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1932,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1933,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1934,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1935,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1936,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1937,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1938,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1939,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1940,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1941,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.00
1942,30.40,30.41,31.01,31.40,30.61,30.11,30.81,30.90,30.81,31.00,31.10,30.70
1943,30.40,30.41,30.01,30.90,30.91,30.21,30.30,30.10,30.81,30.30,30.80,30.50
1944,29.80,30.11,30.01,30.40,30.71,30.71,30.80,31.00,30.91,31.10,31.01,30.60
1945,30.00,30.01,30.71,30.30,30.61,30.81,30.80,30.80,31.00,31.00,30.81,30.50
1946,29.90,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.90,30.70,30.71,30.50
1947,30.40,30.11,30.21,30.90,30.41,30.61,30.81,30.90,30.81,30.50,31.00,30.80
1948,30.20,30.11,30.41,30.30,30.31,30.21,30.31,30.40,30.40,31.00,31.10,30.70
1949,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1950,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1951,30.50,30.61,30.81,31.00,30.81,30.51,30.71,30.69,30.91,31.50,31.20,30.80
1952,31.00,30.71,30.81,31.20,30.81,30.51,30.80,30.69,29.90,30.90,30.61,29.30
1953,29.50,29.11,30.51,31.50,31.41,30.11,31.21,30.70,30.31,30.19,29.69,29.50
1954,29.30,30.91,29.80,31.50,31.51,31.31,31.20,30.40,30.10,30.50,30.21,29.90
1955,30.00,29.71,30.11,30.90,30.51,31.31,31.40,31.30,31.20,31.20,31.41,31.00
1956,30.80,29.21,31.51,30.90,30.91,30.81,29.61,31.40,30.81,30.19,31.00,30.50
1957,29.80,30.11,29.91,30.40,30.51,30.61,30.70,30.90,30.61,31.30,31.21,30.30
1958,30.19,30.91,30.91,30.40,30.71,30.81,30.81,31.50,30.81,31.20,31.91,31.40
1959,30.80,30.71,31.31,31.40,31.51,31.51,30.81,31.70,31.20,31.30,31.40,31.00
1960,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1961,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1962,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1963,30.40,31.01,30.81,31.00,31.41,30.81,30.91,31.30,30.71,31.30,31.70,31.70
1964,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1965,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1966,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1967,30.30,30.31,30.81,31.30,31.21,30.91,30.71,30.80,30.61,31.10,31.20,30.80
1968,30.40,30.21,30.91,31.40,30.91,31.11,30.70,30.80,30.81,31.50,31.10,31.50
1969,31.70,31.41,31.71,31.80,31.61,31.11,31.30,31.20,30.90,31.70,31.80,31.00
1970,31.10,31.11,29.91,30.90,30.61,31.11,31.11,30.59,30.39,30.00,29.91,29.40
1971,29.40,29.21,29.71,29.90,30.11,30.01,30.01,30.10,30.01,30.00,30.31,29.60
1972,29.50,29.61,30.71,31.00,31.41,31.21,31.10,31.30,30.91,31.50,31.71,31.40
1973,30.90,30.41,30.61,30.60,30.81,30.21,29.91,30.30,30.01,29.49,29.61,29.80
1974,29.50,29.31,30.41,30.80,31.21,30.61,30.51,30.70,30.80,30.90,31.00,30.30
1975,30.40,30.41,29.71,30.10,30.01,30.71,30.40,30.10,30.29,30.10,29.91,29.50
1976,29.60,29.71,30.31,30.10,30.21,30.01,30.60,30.90,30.81,30.90,31.40,31.10
1977,30.10,30.31,30.41,31.20,31.51,31.31,31.60,31.70,31.21,31.80,31.71,31.50
1978,31.20,30.91,30.81,31.00,31.11,30.81,30.80,30.59,30.61,30.70,31.11,30.90
1979,30.70,30.81,30.51,31.00,30.81,31.31,31.20,31.29,31.11,31.50,31.60,31.30
1980,31.00,30.91,31.51,31.30,31.61,31.61,31.51,31.40,31.40,31.90,31.60,31.00
1981,30.60,30.21,30.91,30.90,30.91,30.81,31.00,31.60,31.10,30.90,31.30,31.00
1982,30.60,30.91,31.31,31.10,31.61,31.61,31.51,31.30,31.80,31.90,31.81,31.40
1983,31.10,31.81,32.81,32.00,31.21,31.01,30.91,31.00,30.71,30.90,31.00,30.10
1984,30.19,30.11,30.41,30.40,30.51,29.91,30.70,30.90,31.30,30.90,30.51,30.30
1985,29.70,29.71,30.31,31.10,30.81,30.21,30.71,30.90,30.51,31.10,31.41,30.70
1986,30.10,30.01,30.21,30.80,30.51,30.51,30.80,31.00,31.80,31.50,31.81,31.70
1987,30.20,30.81,31.41,31.50,31.81,31.91,32.00,32.00,31.50,31.60,32.10,31.60
1988,31.10,31.21,30.71,30.90,30.81,31.31,31.10,30.30,30.20,29.29,29.61,29.30
1989,29.00,29.61,30.01,30.10,30.11,30.21,29.80,30.10,30.40,30.60,30.60,30.50
1990,30.30,30.51,30.21,30.80,30.51,30.51,30.81,31.00,31.00,30.80,30.51,30.50
1991,30.40,30.61,31.31,31.30,31.21,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1992,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1993,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1994,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1995,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1996,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1997,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1998,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
1999,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2000,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2001,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2002,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2003,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2004,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2005,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2006,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2007,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2008,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2009,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2010,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2011,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2012,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2013,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2014,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2015,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2016,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2017,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2018,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2019,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
2020,30.40,30.41,30.71,30.90,30.91,30.81,30.81,30.90,30.81,31.00,31.10,30.70
