Variable:,tasmax
Country:,Kuwait
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.09,20.27,26.40,31.73,39.18,42.86,44.49,44.19,42.43,35.20,26.80,21.61
1902,18.71,21.29,27.47,31.72,37.70,42.88,42.83,43.56,40.84,33.72,25.13,18.90
1903,16.20,19.00,23.97,29.09,37.74,42.55,42.88,44.64,41.27,33.40,24.35,18.83
1904,17.87,19.98,25.00,29.93,36.76,41.49,43.42,43.28,40.20,34.08,27.24,19.04
1905,16.62,18.56,23.68,30.33,36.91,42.16,43.24,43.67,41.06,35.32,26.54,19.02
1906,16.92,19.30,24.20,28.84,37.82,41.49,42.98,42.72,40.04,34.66,26.97,20.93
1907,17.82,18.66,24.39,29.26,37.94,41.79,43.38,43.10,40.34,34.67,24.31,19.33
1908,17.59,18.92,25.09,30.92,36.91,43.14,42.80,43.96,41.65,34.43,26.49,20.03
1909,17.00,21.38,26.49,31.32,37.86,41.51,43.87,43.82,40.99,34.72,26.67,19.64
1910,17.07,20.53,23.31,29.08,37.12,41.12,43.29,43.96,40.74,33.59,25.60,17.75
1911,14.42,17.46,22.70,28.81,36.42,40.47,43.35,42.94,39.59,33.54,25.20,20.30
1912,16.98,20.00,25.20,29.59,36.51,43.06,42.80,42.54,40.63,34.17,26.36,18.80
1913,17.10,18.28,23.09,30.67,38.10,41.33,42.61,42.05,40.83,34.55,26.04,19.72
1914,19.28,19.90,25.32,30.91,37.30,41.11,42.56,43.26,39.91,35.48,26.61,19.61
1915,18.93,20.72,25.70,30.11,37.11,43.67,43.03,43.83,41.78,33.79,26.44,19.59
1916,17.49,18.53,26.43,29.23,38.34,42.65,44.17,44.19,40.19,32.79,26.53,20.03
1917,17.73,20.69,23.98,31.53,37.34,42.06,44.67,44.22,41.37,33.51,26.64,18.78
1918,17.62,19.89,23.65,29.16,36.54,40.35,43.08,43.52,40.88,35.85,27.03,20.35
1919,19.58,21.19,24.80,31.41,36.94,40.64,42.71,43.82,41.18,35.55,27.33,20.54
1920,18.22,17.97,26.38,30.71,38.10,42.75,42.81,43.82,41.78,36.14,26.52,16.84
1921,17.72,19.68,25.98,32.69,36.95,42.66,44.52,43.92,41.60,34.14,26.25,18.97
1922,18.88,20.12,24.92,30.62,36.92,43.34,43.85,44.36,40.69,34.66,27.88,20.71
1923,18.00,19.63,26.53,29.05,37.38,42.77,43.96,42.60,40.50,34.97,25.27,20.67
1924,19.14,19.91,27.81,30.76,38.44,43.59,44.17,43.57,41.19,36.00,26.75,18.98
1925,14.63,17.45,26.81,31.49,37.71,41.41,42.43,44.04,41.86,35.47,26.03,20.83
1926,18.84,21.28,25.48,29.15,38.02,42.62,42.93,43.78,39.82,34.33,27.31,19.59
1927,18.11,18.99,24.73,29.49,38.69,43.25,43.95,43.64,42.17,36.25,27.07,18.78
1928,17.44,20.13,24.24,32.51,38.05,42.49,43.92,43.00,41.49,35.03,25.60,19.15
1929,18.59,20.43,25.04,30.98,38.00,41.37,42.93,43.46,41.00,34.84,26.11,19.55
1930,16.40,20.94,25.52,31.27,37.74,42.06,42.81,43.69,41.13,34.67,26.82,19.52
1931,18.85,19.83,25.67,30.24,37.14,42.45,43.90,43.67,41.99,33.61,25.95,18.34
1932,18.18,19.53,25.82,30.04,37.04,42.39,42.89,43.34,40.30,34.28,26.36,17.34
1933,16.76,20.16,24.64,29.20,37.51,40.53,42.42,43.54,40.13,34.62,25.73,19.84
1934,16.16,20.94,24.45,30.97,36.35,42.28,42.82,43.28,40.52,34.11,26.17,20.23
1935,17.33,20.33,26.26,29.75,37.45,42.43,43.40,44.37,41.91,35.46,26.97,21.35
1936,17.25,21.29,24.91,31.06,38.21,40.94,43.19,44.43,40.26,33.35,26.47,18.75
1937,15.36,19.89,24.64,30.31,38.18,41.66,43.39,43.97,41.52,35.46,27.28,20.17
1938,18.83,20.75,23.20,30.14,36.94,41.33,44.15,44.62,42.75,33.66,26.40,20.69
1939,18.98,20.26,24.58,28.71,37.83,42.48,43.27,43.17,40.45,34.62,26.88,20.53
1940,18.61,21.94,23.51,31.40,37.90,42.21,43.22,44.40,41.51,35.68,26.34,20.74
1941,18.32,21.41,26.10,30.15,38.32,43.41,43.88,43.32,40.51,34.03,26.38,18.80
1942,16.96,20.46,25.92,30.45,38.53,42.64,43.71,44.18,40.82,35.31,27.32,19.73
1943,17.80,19.39,23.35,29.91,37.52,40.86,43.48,44.14,40.60,34.47,26.41,21.33
1944,18.96,20.60,27.11,30.41,37.74,42.79,43.42,42.50,40.63,34.40,26.74,18.60
1945,17.48,19.59,23.78,30.73,37.27,42.61,43.44,43.56,40.75,33.78,26.86,20.19
1946,17.44,20.46,25.10,31.35,38.50,42.52,43.29,43.96,41.66,34.75,26.48,20.77
1947,19.45,20.88,26.63,31.86,37.87,43.19,44.53,43.83,40.62,35.32,27.15,20.95
1948,18.66,21.09,24.48,30.09,38.04,42.73,43.99,44.43,40.72,33.05,25.32,20.00
1949,16.49,18.36,24.69,29.71,37.36,42.77,43.52,43.90,40.21,33.11,25.91,20.27
1950,15.63,17.69,24.61,30.48,37.33,42.08,43.75,43.70,41.26,35.21,26.86,20.28
1951,19.13,20.18,25.47,31.86,38.89,43.30,45.08,44.71,42.80,35.92,27.30,19.62
1952,17.61,21.87,26.42,32.31,38.20,42.07,43.46,44.91,42.43,36.90,26.46,21.11
1953,20.93,21.79,24.40,31.40,38.77,42.64,44.22,44.48,41.95,36.33,26.08,17.72
1954,19.95,21.11,25.81,30.73,38.79,42.60,44.09,44.26,42.19,36.17,25.50,19.74
1955,17.88,22.42,25.95,32.03,38.20,43.30,44.98,45.48,42.17,35.10,28.00,20.52
1956,17.43,22.17,26.00,29.99,37.02,42.85,43.73,43.97,41.49,35.77,27.18,18.57
1957,16.58,19.85,25.82,28.32,34.93,41.77,43.95,43.95,41.91,36.06,25.44,19.55
1958,18.59,21.16,28.43,33.95,39.46,42.75,44.53,45.29,41.57,36.10,25.11,20.35
1959,18.50,17.82,25.08,33.73,38.75,43.32,43.16,44.39,41.29,35.99,25.54,19.88
1960,20.54,23.91,25.67,31.48,39.41,43.62,44.01,45.10,42.20,35.22,26.99,20.73
1961,18.02,20.48,24.38,29.54,39.10,42.93,44.27,45.03,40.36,35.70,25.21,21.36
1962,18.98,22.41,28.54,30.94,39.63,43.60,45.24,44.99,41.55,36.33,27.32,21.78
1963,21.53,24.00,25.33,31.07,33.90,42.72,44.72,45.08,41.73,35.96,25.92,18.55
1964,13.36,20.89,27.76,30.36,38.64,43.61,43.73,44.16,41.15,34.02,26.48,17.80
1965,16.23,21.05,26.45,28.93,39.63,43.54,43.96,44.91,41.66,34.49,26.74,21.34
1966,22.17,21.03,25.49,30.91,39.03,43.82,43.59,44.95,41.65,34.12,29.21,22.22
1967,19.03,17.95,24.57,29.08,37.10,40.78,43.53,43.70,40.92,35.23,24.70,18.52
1968,17.66,18.17,26.01,29.54,36.76,41.41,44.18,43.12,41.18,35.51,27.19,21.44
1969,18.06,19.99,28.42,28.63,37.44,42.30,42.79,43.00,40.92,35.92,25.40,22.20
1970,18.03,22.48,26.25,33.71,38.80,42.99,43.47,43.74,40.22,34.49,28.53,19.21
1971,19.18,20.69,26.36,28.63,39.22,40.91,43.51,43.31,41.00,34.41,25.31,18.44
1972,15.20,17.47,23.32,29.47,34.36,42.28,42.77,43.53,40.74,36.10,25.76,15.86
1973,16.70,22.39,26.17,31.43,38.62,41.78,42.76,44.71,41.57,36.35,25.59,19.93
1974,15.18,17.59,24.74,30.06,37.78,43.09,43.58,43.61,40.74,34.61,27.74,17.70
1975,16.73,19.18,25.28,30.77,38.07,42.82,43.92,43.61,41.81,33.88,26.15,17.70
1976,16.80,18.01,21.85,28.76,36.56,42.49,42.16,43.21,40.85,35.06,27.10,21.75
1977,14.72,23.26,27.89,30.22,38.67,43.43,43.72,44.23,41.76,32.64,25.10,20.87
1978,19.10,21.78,26.41,32.18,38.73,42.08,43.56,42.89,40.94,35.51,23.66,21.62
1979,18.40,23.19,25.64,32.96,37.21,43.15,43.55,43.38,41.56,35.18,28.34,18.51
1980,16.83,19.40,26.03,32.01,38.01,43.61,44.98,43.86,40.88,34.98,26.54,20.05
1981,18.98,20.36,26.47,31.64,37.70,42.48,44.58,44.94,41.74,34.84,26.84,22.43
