Variable:,tasmax
Country:,Lebanon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.16,14.43,17.63,19.65,22.11,26.82,29.82,30.25,27.15,24.67,18.13,13.89
1902,10.54,14.11,13.63,18.38,23.22,25.61,28.97,29.28,28.83,24.60,16.90,10.98
1903,9.11,9.81,12.31,18.53,23.32,25.23,27.39,28.62,25.90,22.52,16.20,12.05
1904,10.37,12.17,14.18,17.20,21.81,25.60,28.24,29.12,26.97,25.21,17.20,10.13
1905,8.51,8.70,12.57,18.58,23.36,26.00,29.61,29.87,28.26,25.36,19.42,10.50
1906,9.84,11.37,14.17,18.21,21.87,26.92,29.02,29.48,26.91,24.10,18.05,13.31
1907,9.96,11.11,12.11,17.60,22.64,26.14,29.31,29.52,26.32,23.45,16.13,11.70
1908,10.15,10.68,13.73,18.10,23.80,26.86,28.45,29.25,27.28,23.48,16.18,9.80
1909,9.93,11.13,15.95,16.64,25.95,26.92,30.24,30.29,27.93,24.24,18.93,13.58
1910,10.42,12.54,11.76,19.21,23.02,26.18,29.24,30.03,27.56,22.82,17.29,10.32
1911,8.99,8.71,12.23,17.75,22.91,26.19,29.05,29.57,27.02,24.38,18.30,12.01
1912,10.03,12.76,14.77,18.46,21.45,26.70,28.59,29.51,27.34,24.27,17.84,11.16
1913,10.31,10.67,13.79,18.11,22.58,26.00,29.01,29.71,28.38,24.84,17.30,11.18
1914,10.59,11.77,15.77,16.74,23.50,26.90,29.41,30.31,27.99,23.61,17.64,12.13
1915,12.43,12.66,15.36,18.22,22.88,27.61,29.95,30.22,28.03,24.91,18.12,13.48
1916,10.35,12.30,16.02,19.03,24.97,29.24,30.99,29.70,28.37,24.25,20.55,14.60
1917,12.76,12.79,16.08,20.55,22.43,26.32,29.26,30.02,27.82,23.82,19.88,11.71
1918,10.35,11.35,14.33,18.25,22.91,26.36,29.47,29.69,28.94,26.86,19.82,11.94
1919,12.65,13.57,16.32,18.40,21.57,25.59,29.37,29.18,28.88,26.14,20.05,11.84
1920,11.35,8.93,14.46,19.39,23.80,27.55,29.96,30.78,28.05,24.01,16.56,10.72
1921,10.25,10.51,13.31,17.95,22.97,26.02,29.59,30.77,27.17,23.26,17.87,11.23
1922,10.92,11.55,15.32,18.74,23.53,26.54,30.39,30.71,28.58,25.68,19.38,11.16
1923,11.18,11.92,16.07,18.03,23.95,28.76,29.43,29.12,28.91,24.54,20.19,13.32
1924,10.68,11.67,15.71,19.62,22.93,29.07,30.27,30.98,29.33,23.54,17.19,11.65
1925,8.94,11.46,17.51,18.44,23.90,26.52,29.76,30.36,28.93,25.09,19.69,14.06
1926,12.01,12.32,14.58,19.96,25.06,28.63,29.33,28.71,26.51,24.98,19.37,13.17
1927,11.60,9.33,15.92,18.20,25.15,27.80,30.36,30.29,29.14,26.78,19.65,12.58
1928,10.85,9.74,13.46,21.89,25.68,27.67,30.56,31.10,29.49,24.19,19.07,12.53
1929,9.59,10.26,12.84,19.62,25.95,27.08,29.14,32.14,29.09,24.05,20.49,12.06
1930,11.25,12.28,16.16,19.91,23.51,27.41,30.11,31.09,28.40,24.33,18.59,14.42
1931,11.85,11.93,15.76,18.95,24.13,26.71,30.23,31.33,29.53,25.63,16.77,11.11
1932,9.88,11.13,15.60,19.30,23.75,28.85,30.52,31.48,29.00,28.35,18.10,10.92
1933,9.71,12.21,13.76,16.65,23.47,26.79,28.79,29.76,26.44,23.57,21.64,11.85
1934,10.02,9.71,16.93,20.63,23.54,27.67,30.34,30.54,27.81,24.37,19.62,12.10
1935,10.99,12.19,15.49,18.99,27.42,29.76,30.13,31.05,28.69,24.88,15.58,13.68
1936,13.25,13.21,16.21,20.20,22.98,26.22,29.87,31.16,26.84,25.87,19.57,10.29
1937,8.21,12.95,18.22,21.00,23.83,27.55,30.45,30.49,30.13,24.77,19.60,14.06
1938,10.53,10.60,12.61,19.55,23.20,27.80,30.88,31.14,27.28,24.82,17.09,13.27
1939,12.68,11.84,13.70,20.36,26.63,26.65,30.06,29.37,28.56,26.49,17.42,13.53
1940,10.80,13.39,14.44,20.09,23.34,27.60,30.01,29.80,27.89,24.91,18.52,12.61
1941,12.48,15.03,14.28,20.37,26.43,27.75,30.03,30.31,27.11,22.60,18.21,9.01
1942,8.70,12.67,14.32,19.99,25.29,29.57,30.17,29.62,27.19,23.10,17.33,11.82
1943,9.76,9.54,11.04,16.76,22.75,26.02,29.49,30.57,28.92,26.22,20.89,13.92
1944,10.09,12.83,15.77,20.07,22.60,28.02,29.82,29.45,28.26,25.02,17.63,12.26
1945,10.63,9.68,12.35,17.77,26.07,27.19,30.60,31.75,28.68,23.32,18.68,11.87
1946,11.82,11.52,14.23,19.47,23.05,27.46,30.14,31.00,29.79,23.28,21.21,13.13
1947,10.98,13.80,18.34,20.97,25.60,27.82,30.75,30.95,27.78,24.01,18.72,14.23
1948,13.80,11.79,11.85,17.66,23.55,26.39,30.31,30.49,27.43,24.13,17.78,9.47
1949,9.71,8.75,12.43,15.70,25.39,28.03,29.02,29.51,25.59,24.49,20.75,12.61
1950,8.54,10.36,14.06,20.86,22.41,26.83,30.16,30.59,27.93,23.07,18.41,14.34
1951,12.62,12.92,17.47,20.76,24.66,28.20,30.98,31.08,28.45,23.60,18.31,10.68
1952,11.60,12.27,14.26,19.85,23.62,27.89,29.53,31.63,30.96,26.56,18.30,14.29
1953,12.45,13.03,12.51,19.30,23.68,27.28,30.54,30.61,27.81,25.08,16.03,9.53
1954,10.41,12.28,15.99,17.65,24.06,27.69,31.44,31.83,28.81,25.22,18.95,12.83
1955,12.95,15.61,16.04,19.81,24.11,29.40,29.87,30.01,28.05,26.70,18.91,12.85
1956,11.69,13.11,12.81,18.62,22.45,27.79,30.97,31.92,27.32,23.25,18.45,11.55
1957,9.28,11.46,15.83,20.03,22.80,27.68,30.22,31.45,28.41,25.69,18.24,12.40
1958,12.18,13.20,16.64,20.52,24.32,27.63,29.27,31.58,27.51,23.22,18.02,13.87
1959,12.50,8.28,13.65,20.35,23.74,27.99,28.42,29.50,26.46,22.84,18.68,13.62
1960,12.00,13.94,15.32,19.09,26.35,27.34,30.25,30.14,28.31,26.38,19.74,15.21
1961,11.04,11.04,13.87,19.11,25.08,27.75,30.66,30.57,26.45,23.76,16.65,12.95
1962,12.18,11.02,18.10,18.25,24.01,28.44,29.73,32.16,29.53,25.72,22.52,13.61
1963,13.26,13.78,13.61,18.96,21.83,27.91,29.93,31.88,29.39,25.28,20.01,12.71
1964,8.89,11.40,16.10,18.68,23.21,27.25,29.23,29.57,27.42,25.94,19.27,12.50
1965,10.70,12.88,16.06,18.00,23.44,29.86,30.12,30.61,28.74,22.51,18.02,13.16
1966,12.53,13.86,15.86,20.55,23.64,29.48,30.88,30.75,27.62,25.31,21.96,13.07
1967,10.66,9.32,12.44,17.99,22.98,27.20,29.85,30.04,27.49,23.95,17.00,12.49
1968,10.02,11.47,14.00,21.10,25.45,28.40,31.49,29.53,28.20,24.20,18.82,13.05
1969,10.26,12.95,16.12,17.84,24.97,29.88,28.96,30.36,29.83,23.82,18.65,13.46
1970,12.34,13.57,16.84,22.08,24.03,27.20,29.20,30.01,27.72,23.49,19.15,10.80
1971,14.06,11.57,15.41,17.09,24.85,27.51,28.59,29.69,28.24,23.12,17.89,11.00
1972,9.70,9.90,14.72,20.50,22.29,26.69,28.26,29.52,29.27,25.47,17.40,11.28
1973,10.66,14.71,15.68,18.33,23.85,27.24,30.70,30.18,29.09,25.05,15.29,12.51
1974,9.26,11.75,15.39,18.16,23.09,27.49,29.87,29.85,27.77,26.16,18.78,11.41
1975,10.83,10.38,16.41,21.26,22.59,26.73,29.37,29.22,27.90,23.69,17.43,10.74
1976,11.25,9.91,13.69,18.78,23.44,26.16,28.18,28.04,26.23,24.37,19.44,13.22
1977,9.66,14.73,14.53,18.09,23.44,26.94,30.23,31.39,27.33,22.60,18.46,11.32
1978,11.79,13.84,15.59,18.97,24.94,26.74,32.07,29.09,26.98,25.32,16.25,12.73
1979,12.25,14.12,16.00,20.89,23.17,27.98,29.81,29.67,29.14,24.51,19.57,10.51
1980,9.53,10.43,13.95,18.17,24.68,27.82,30.06,30.09,26.85,24.64,18.71,12.73
1981,10.76,12.09,15.86,18.62,22.93,27.84,30.17,29.85,29.88,25.77,16.26,13.76
1982,11.58,10.53,13.47,20.16,22.87,27.22,28.89,29.59,28.08,24.08,15.45,10.45
1983,8.14,9.51,13.65,17.93,22.81,26.71,30.49,29.42,27.33,23.21,19.62,13.25
1984,11.78,13.66,15.43,18.19,25.07,26.46,28.96,28.69,28.42,24.81,16.34,11.00
1985,12.58,10.36,14.28,19.49,24.11,27.47,29.98,32.33,28.48,23.19,19.44,12.93
1986,11.60,13.72,16.45,21.34,21.57,27.31,29.55,30.44,30.08,24.18,15.71,11.74
1987,12.12,14.05,12.11,17.85,23.82,26.75,30.94,31.75,28.75,23.72,17.87,11.92
1988,11.47,11.05,13.46,19.02,25.53,27.98,31.60,30.70,29.28,23.28,15.34,11.62
1989,9.34,11.75,15.31,23.19,25.45,27.43,30.39,30.05,28.36,23.26,18.21,12.05
1990,10.25,11.15,14.66,19.86,24.41,27.57,29.75,30.64,27.77,25.41,20.56,14.45
1991,11.37,11.32,16.12,20.65,22.80,26.97,29.19,29.44,28.71,25.63,18.72,10.36
1992,8.18,7.85,12.76,18.74,22.99,26.70,28.79,31.09,27.74,26.38,18.30,9.38
1993,10.05,10.02,15.72,20.00,21.84,28.82,30.45,31.26,28.37,26.55,16.66,13.27
1994,13.51,12.04,14.64,22.11,25.32,27.65,29.45,31.06,30.86,27.33,17.61,10.13
1995,12.08,12.86,15.54,18.73,25.31,29.23,30.05,31.11,28.28,24.45,17.15,12.32
1996,11.34,13.00,14.12,19.09,25.57,28.44,31.11,30.91,28.62,23.58,18.95,14.57
1997,12.11,9.61,12.22,17.42,25.03,28.17,30.76,28.55,27.77,25.21,18.72,12.77
1998,10.39,12.43,14.71,21.21,24.93,28.34,31.43,33.19,29.41,26.24,21.54,14.62
1999,12.70,13.63,16.05,20.23,26.36,28.46,30.96,32.03,29.29,25.32,19.14,14.43
2000,10.68,11.64,14.25,21.06,24.22,29.33,32.97,31.97,28.89,23.60,19.07,13.05
2001,12.77,13.73,18.85,21.36,24.41,29.33,31.43,31.81,29.36,25.56,17.91,13.25
2002,10.68,15.23,17.12,18.96,23.98,28.61,31.85,30.99,29.10,26.53,19.76,11.78
2003,12.98,10.79,13.25,19.66,27.49,28.93,31.07,32.53,28.50,25.93,18.96,12.84
2004,11.62,12.49,17.59,20.24,24.42,28.43,31.86,30.77,29.53,26.66,18.24,11.63
2005,12.21,12.03,16.24,20.75,24.30,28.10,31.19,31.56,28.51,23.92,17.29,15.03
2006,11.37,13.53,16.41,20.11,24.93,29.44,30.06,31.92,29.26,24.49,17.32,12.28
2007,11.76,13.13,15.59,18.59,25.95,29.37,31.90,31.44,29.47,26.55,19.15,12.78
2008,9.26,12.48,19.63,22.73,23.95,29.80,31.65,32.18,29.48,24.91,19.54,13.60
2009,12.00,13.24,14.78,20.36,24.64,30.03,31.36,31.77,28.25,27.06,18.20,14.68
2010,13.93,14.70,18.54,21.57,25.86,29.48,31.80,33.82,30.88,27.22,22.58,15.47
2011,12.38,13.34,16.05,19.55,23.87,28.03,31.91,31.68,29.27,24.46,15.15,12.49
2012,10.54,11.40,13.78,21.91,25.26,30.43,32.66,31.93,30.19,26.24,20.07,13.76
2013,12.34,14.69,18.41,20.65,26.23,28.76,30.57,31.33,28.40,23.99,20.78,11.73
2014,13.37,14.96,17.55,21.84,25.06,28.27,30.87,31.94,28.23,24.49,17.84,14.50
2015,11.43,12.64,17.06,19.01,25.44,27.41,31.38,31.55,30.82,25.96,19.83,12.49
2016,10.71,15.90,17.79,23.41,24.95,29.77,31.69,32.59,28.62,26.52,19.33,10.63
2017,10.47,12.10,16.43,20.60,25.05,29.15,32.53,32.15,30.58,24.72,18.69,15.54
2018,12.24,15.52,19.70,22.24,26.07,28.88,31.39,31.51,29.93,25.78,18.44,12.83
2019,11.33,13.38,14.89,18.16,27.15,29.67,30.88,31.45,29.25,26.74,20.83,13.33
2020,11.11,12.57,16.61,19.81,25.50,27.93,31.83,31.77,31.18,28.28,19.20,14.76
