Variable:,tasmax
Country:,"Sri Lanka"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.34,30.50,30.73,31.26,31.14,30.66,30.41,30.59,30.84,30.29,28.84,28.27
1902,28.42,29.40,31.05,31.63,31.55,31.25,30.38,30.70,30.22,29.40,29.04,28.70
1903,29.22,30.49,30.87,31.59,30.73,30.73,30.44,30.20,30.15,29.96,28.85,27.94
1904,28.00,28.97,30.27,31.55,30.70,29.87,29.84,30.33,30.53,29.89,29.14,27.94
1905,28.22,29.87,31.48,30.85,30.67,30.85,31.26,30.70,30.69,29.79,29.26,28.35
1906,29.03,30.71,30.99,32.28,31.57,30.65,30.59,29.85,30.52,29.69,28.76,28.21
1907,28.41,29.52,31.02,30.82,31.30,30.55,30.40,29.99,30.74,29.77,28.72,28.10
1908,28.56,29.31,30.53,31.95,31.06,30.67,30.26,30.20,30.03,29.78,28.49,27.92
1909,28.35,29.71,30.66,31.31,30.71,30.38,30.00,29.61,29.84,30.07,29.28,28.52
1910,28.75,29.70,30.65,31.33,31.56,30.55,30.36,30.00,30.04,29.79,28.49,27.67
1911,28.61,29.47,31.22,31.73,31.34,30.60,30.60,30.80,30.94,29.89,29.43,28.55
1912,28.02,30.53,31.82,31.69,31.57,30.75,30.80,30.69,30.65,29.89,29.08,27.94
1913,28.03,30.11,31.25,31.65,31.32,31.02,30.35,30.65,30.75,29.74,28.86,28.42
1914,28.70,29.91,31.34,31.50,31.44,31.05,30.65,30.19,30.62,29.69,29.27,28.65
1915,28.92,30.29,31.22,31.48,31.76,31.08,30.23,30.98,30.46,30.39,29.42,28.41
1916,28.45,30.00,31.18,31.89,31.06,30.15,30.06,30.30,30.14,29.97,29.19,27.86
1917,28.22,29.41,30.32,31.31,30.78,29.82,30.66,30.20,29.87,29.59,29.15,27.85
1918,28.05,28.52,30.15,30.87,30.19,30.22,30.95,30.58,30.56,30.28,29.66,28.59
1919,29.62,30.86,31.05,31.87,31.33,30.53,30.21,30.27,30.14,30.09,29.31,28.69
1920,28.72,30.63,31.40,31.37,31.66,30.63,30.85,30.59,30.86,30.50,29.26,28.37
1921,28.91,29.33,31.15,31.07,31.90,31.05,30.28,30.20,30.53,29.61,28.83,28.20
1922,28.62,29.43,31.06,31.32,30.93,30.58,30.41,30.40,30.52,29.50,28.91,27.59
1923,28.12,29.34,30.76,31.56,31.08,30.39,29.93,30.13,30.10,29.61,29.21,28.13
1924,28.62,30.13,30.95,31.57,31.46,30.38,30.26,30.35,29.94,29.85,29.16,28.09
1925,27.95,29.40,30.45,31.56,30.83,30.56,30.36,30.10,30.45,29.79,28.76,28.19
1926,28.73,29.97,31.55,31.93,31.13,30.80,30.43,30.52,30.44,30.11,28.79,28.46
1927,28.79,29.96,31.01,31.35,30.73,30.11,30.36,30.43,30.24,29.91,29.03,28.63
1928,29.06,30.07,30.95,31.44,31.76,30.96,30.25,30.10,31.07,29.79,29.07,28.49
1929,28.54,29.76,30.90,30.65,31.04,30.27,30.66,30.22,30.38,29.83,28.86,28.12
1930,28.59,30.13,30.96,31.20,30.36,30.07,30.96,30.33,30.32,29.30,29.19,28.51
1931,28.80,30.23,31.51,31.58,31.54,30.82,30.37,30.39,30.24,30.40,28.87,28.14
1932,28.59,29.41,30.63,31.16,30.50,30.64,30.60,30.05,30.23,29.50,28.83,27.92
1933,28.72,29.71,30.73,31.13,30.16,30.06,30.26,29.80,30.03,29.29,28.78,28.06
1934,28.26,29.02,30.18,31.16,31.22,30.36,30.66,30.43,30.86,29.65,28.66,28.06
1935,28.62,29.59,30.96,31.43,31.68,30.57,30.44,30.10,30.21,29.79,28.76,28.16
1936,28.62,30.32,30.95,31.95,31.06,30.15,30.75,30.40,30.37,29.89,28.98,28.50
1937,28.73,30.32,31.00,31.07,31.57,31.06,30.55,30.92,30.85,29.88,28.96,27.90
1938,29.22,30.21,31.25,31.04,31.76,30.69,30.37,30.13,30.46,29.94,28.94,28.31
1939,28.26,29.32,30.85,30.93,31.12,30.60,30.37,30.42,30.82,30.12,28.76,28.39
1940,28.08,29.86,31.59,31.33,31.09,30.83,30.84,30.65,31.13,30.11,29.06,28.62
1941,29.07,30.41,31.37,31.99,31.68,30.61,31.04,30.89,30.41,30.25,29.26,28.42
1942,28.92,30.41,31.17,31.27,31.50,30.77,30.81,30.54,30.76,29.99,29.13,28.33
1943,28.76,29.67,30.95,31.06,30.38,29.96,30.15,30.23,30.48,29.24,28.72,28.19
1944,28.62,29.82,30.29,31.02,31.00,30.44,30.51,30.80,30.53,30.17,28.98,28.11
1945,28.43,29.95,30.96,31.06,31.62,30.98,30.57,30.62,30.73,29.92,28.66,27.80
1946,28.02,29.77,30.89,31.36,31.74,30.90,30.86,30.52,30.39,29.79,29.08,28.31
1947,28.90,29.71,31.05,31.44,31.49,30.71,30.62,30.29,30.13,29.45,28.97,28.09
1948,29.02,30.04,31.05,31.37,31.40,30.72,30.57,30.62,30.83,30.01,29.46,28.22
1949,28.48,29.52,31.19,31.38,30.88,30.33,30.15,30.20,30.34,30.31,28.96,27.92
1950,28.25,30.01,31.20,31.28,31.76,30.56,30.41,30.26,30.32,29.49,28.86,28.09
1951,28.42,29.02,30.96,31.04,31.24,30.09,30.16,30.90,30.58,30.41,29.28,28.39
1952,28.68,30.21,31.25,31.38,31.19,30.66,30.67,30.70,30.95,30.02,29.15,28.54
1953,28.84,29.70,31.74,31.37,32.47,31.45,30.07,30.62,30.61,29.79,28.88,28.35
1954,28.77,29.96,30.86,31.54,31.28,30.89,30.03,29.90,30.34,29.24,28.54,28.01
1955,28.42,29.63,31.13,30.75,30.07,29.27,29.80,29.97,29.85,30.07,28.56,27.92
1956,28.08,29.01,31.07,31.56,31.10,29.49,29.74,29.79,29.85,29.35,28.96,28.26
1957,28.60,29.62,30.78,31.33,30.71,30.19,30.20,30.15,30.86,29.62,28.88,27.99
1958,29.18,29.92,31.51,31.43,30.78,30.88,30.62,29.85,30.81,29.75,29.23,28.99
1959,29.42,30.45,31.78,31.63,31.29,29.85,30.12,30.56,30.42,30.02,29.05,28.46
1960,28.86,29.40,31.08,31.10,30.78,30.82,29.93,30.77,29.86,29.91,28.56,28.83
1961,28.68,29.86,31.45,31.81,30.83,29.79,29.58,29.99,30.31,29.93,29.18,28.18
1962,28.38,29.57,31.04,31.06,30.55,30.83,30.38,30.17,30.12,29.35,29.29,28.70
1963,28.03,29.58,30.80,30.96,31.49,30.74,30.38,30.63,30.75,29.88,28.94,28.63
1964,29.32,30.75,31.69,32.22,32.27,31.22,30.29,30.18,30.31,30.42,29.01,28.73
1965,29.14,29.65,31.10,30.99,31.03,31.17,31.20,30.34,30.96,30.25,29.45,28.38
