Variable:,tasmax
Country:,Latvia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-2.42,-3.47,1.58,9.22,16.97,22.19,24.60,23.09,17.16,12.46,2.48,-1.25
1902,0.42,-1.94,1.81,5.64,13.04,18.15,18.62,18.05,14.18,7.49,1.04,-4.70
1903,-2.00,2.31,6.04,9.52,16.34,21.13,21.22,18.59,16.95,6.37,3.85,-0.78
1904,-1.64,-1.80,1.14,9.28,12.85,17.41,18.97,19.11,15.34,9.78,2.43,0.11
1905,-3.72,-0.02,2.49,7.31,16.49,22.23,21.18,20.44,15.01,7.40,3.45,-0.44
1906,-1.05,-0.75,1.70,11.53,20.55,20.01,21.99,18.98,14.34,9.02,5.23,-2.11
1907,-4.68,-3.23,1.90,7.27,14.58,18.94,20.26,17.63,15.73,13.53,2.34,-5.55
1908,-1.46,-0.76,1.25,8.00,14.40,19.12,21.59,19.43,14.25,9.19,0.61,-1.73
1909,-2.31,-5.45,0.30,5.69,11.97,19.14,19.58,19.93,17.22,12.61,1.37,0.84
1910,-0.21,0.80,3.61,11.09,18.00,21.38,21.47,19.30,17.11,8.80,2.13,1.51
1911,-0.86,-3.84,2.40,8.70,17.58,18.43,20.26,22.34,16.04,10.05,4.86,-0.15
1912,-6.22,-3.83,3.36,7.37,13.67,20.76,22.38,21.39,12.99,6.08,2.46,2.08
1913,-3.39,-0.11,4.42,11.43,15.32,18.69,21.50,21.67,16.57,9.65,6.24,0.69
1914,-2.10,1.60,2.60,9.99,16.88,21.57,25.73,19.48,15.17,7.21,1.89,2.30
1915,-2.87,-1.66,-1.95,9.00,15.33,18.79,22.10,19.65,14.45,7.20,1.61,-4.12
1916,-1.36,-0.99,0.43,10.25,14.92,18.04,21.41,18.01,14.66,8.01,4.67,-0.69
1917,-4.58,-5.35,-3.12,6.82,14.62,22.73,20.19,22.78,16.05,10.49,4.35,-1.35
1918,-2.47,-1.29,2.21,11.77,15.93,16.90,21.34,19.31,15.41,11.83,4.09,-1.01
1919,-1.83,-1.99,0.68,8.88,15.89,19.41,22.14,18.47,17.92,9.05,-1.03,-2.26
1920,-3.33,0.40,5.36,12.83,18.69,18.76,22.75,20.37,16.53,7.85,3.56,-1.09
1921,-0.32,-1.79,6.58,13.45,19.75,19.77,20.13,21.01,14.94,10.33,0.02,-1.63
1922,-5.30,-3.37,1.38,8.18,15.71,19.12,20.66,19.30,15.07,6.48,2.29,-0.14
1923,-0.49,-5.95,2.00,6.82,14.68,15.38,20.99,17.78,16.08,10.85,4.55,-2.02
1924,-6.32,-4.72,-0.36,5.66,16.30,19.32,20.29,20.87,17.41,11.12,3.99,0.66
1925,1.49,2.18,1.13,11.14,18.56,17.55,23.39,19.56,14.72,7.79,1.39,-1.99
1926,-4.71,-2.95,1.20,8.68,15.80,20.11,22.62,18.93,15.46,7.04,6.10,-1.85
1927,-3.57,-2.46,3.02,7.19,11.93,18.30,24.44,21.89,16.31,8.87,1.11,-4.54
1928,-1.99,-2.28,1.14,8.13,14.90,15.16,19.04,17.91,15.13,9.23,6.35,-1.97
1929,-5.50,-10.03,0.23,4.19,17.54,17.46,20.18,20.77,16.07,11.62,5.20,2.05
1930,0.80,-1.50,3.10,11.70,16.69,20.78,21.11,20.15,13.88,10.64,4.71,-2.55
1931,-3.36,-5.16,-0.76,6.52,18.52,17.40,22.20,20.05,13.10,8.38,2.51,-0.35
1932,0.57,-3.72,-1.16,8.55,17.51,17.97,24.92,21.62,17.19,9.30,3.80,2.28
1933,-5.57,-2.35,2.66,7.49,13.92,19.40,22.42,19.06,15.17,9.48,1.37,-3.45
1934,-1.19,0.84,2.85,12.01,18.47,20.04,21.81,22.22,19.64,12.12,6.06,-1.37
1935,-4.20,0.03,2.73,9.73,13.63,21.15,19.28,19.55,15.49,11.00,3.21,0.07
1936,-0.27,-4.71,3.58,9.53,17.08,22.91,24.39,20.72,15.27,6.62,4.12,2.07
1937,-5.72,-2.15,1.53,12.05,19.91,22.28,21.56,23.02,17.97,11.01,3.89,-4.66
1938,-2.27,0.63,5.32,8.27,15.33,19.29,23.33,24.63,19.15,11.04,6.70,-4.09
1939,-1.96,1.95,1.51,9.27,15.05,21.10,23.42,25.54,15.96,5.97,3.71,-2.20
1940,-9.40,-9.78,-2.57,7.36,17.93,20.92,22.76,19.08,14.42,8.17,5.01,-2.22
1941,-8.65,-4.69,-0.38,5.76,12.98,18.35,24.25,20.35,13.75,6.59,-1.09,-2.61
1942,-11.74,-7.60,-3.85,7.83,13.99,17.36,19.80,21.80,16.68,10.62,1.99,-0.08
1943,-6.12,1.50,5.22,10.33,15.34,19.93,19.86,20.05,16.31,11.34,3.61,1.21
1944,0.42,-0.86,1.33,7.59,14.45,18.01,23.46,22.76,16.77,10.46,3.62,-0.52
1945,-3.88,-1.08,1.76,8.63,14.42,18.18,22.65,21.17,14.41,8.23,2.68,-2.86
1946,-2.51,-2.68,0.86,10.28,16.36,19.48,22.80,20.59,16.09,6.75,1.22,-2.29
1947,-6.25,-9.56,-1.09,8.55,17.31,21.58,22.30,20.84,17.77,8.59,2.48,-0.27
1948,-2.02,-3.84,2.33,11.42,18.43,20.00,21.52,20.59,16.35,9.21,3.47,1.06
1949,0.52,0.54,1.95,9.80,18.81,18.26,21.12,19.37,19.41,11.30,4.88,2.04
1950,-8.05,-0.58,2.67,12.06,16.77,19.44,20.06,20.88,16.21,8.95,3.13,0.36
1951,-4.02,-3.04,-0.48,10.33,13.23,19.93,20.76,24.10,17.80,9.15,3.21,2.46
1952,0.26,-1.98,-3.20,11.14,13.62,18.23,21.16,20.22,13.27,7.33,1.40,-0.55
1953,-2.54,-4.84,2.95,11.18,15.66,21.90,22.19,20.11,15.26,10.80,3.35,-1.66
1954,-5.30,-7.78,1.94,6.10,18.05,20.91,20.75,19.83,16.15,9.33,2.49,0.98
1955,-1.87,-3.10,-0.41,4.17,12.12,17.60,22.47,24.18,18.20,10.73,3.42,-3.05
1956,-3.07,-9.05,1.04,4.96,14.81,22.06,19.70,17.37,14.50,8.77,0.12,-0.17
1957,-0.04,1.33,0.92,9.21,14.81,18.76,22.39,19.47,13.94,10.02,4.70,0.14
1958,-2.74,-2.78,-0.87,6.30,15.49,18.15,20.58,19.16,15.86,11.00,4.99,-0.88
1959,-0.34,0.28,4.84,10.75,15.48,20.80,24.74,22.95,13.98,9.39,2.75,-3.93
1960,-4.46,-3.47,0.52,9.06,16.66,20.49,21.80,19.99,15.10,7.73,3.38,2.80
1961,-0.86,1.42,4.66,10.82,15.48,21.67,20.34,18.51,15.90,11.91,4.45,-1.51
1962,-0.01,-1.67,-1.41,10.66,13.42,17.09,19.01,17.96,14.12,10.73,4.05,-2.83
1963,-7.06,-5.67,-2.06,8.84,20.18,19.72,23.50,22.12,18.01,9.90,3.86,-2.17
1964,-1.04,-4.49,-0.57,8.57,16.21,22.38,22.21,19.29,16.00,10.61,3.69,-0.16
1965,-1.54,-3.64,0.56,8.54,13.01,19.65,19.04,19.17,17.30,9.97,-0.67,-0.50
1966,-6.17,-5.04,2.04,7.39,16.79,22.13,22.21,19.92,14.09,10.61,2.86,-2.51
1967,-6.29,-1.25,4.03,8.96,17.34,19.38,22.54,21.01,18.37,12.83,5.48,-3.08
1968,-7.14,-2.11,3.43,10.93,14.37,21.91,20.06,22.68,16.77,8.18,2.45,-0.93
1969,-6.97,-4.81,-0.20,8.35,15.04,20.34,22.39,21.97,15.94,9.84,4.79,-4.77
1970,-6.01,-5.35,1.03,7.61,16.64,21.37,21.02,20.64,14.97,8.42,3.41,-0.75
1971,-0.25,-0.96,0.05,8.96,17.78,19.61,22.09,22.58,14.52,9.67,2.55,1.75
1972,-7.29,-1.00,3.21,8.29,15.99,22.16,24.40,22.21,15.79,8.58,4.34,2.81
1973,-1.44,0.56,4.69,9.24,16.12,21.52,23.69,21.12,13.25,8.00,2.48,-1.63
1974,-1.50,1.37,4.85,9.73,13.30,18.99,19.50,20.43,17.61,9.11,4.22,2.04
1975,1.75,1.17,4.72,9.23,18.63,19.42,23.47,22.80,19.64,10.35,2.80,2.33
