Variable:,tasmax
Country:,Monaco
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.50,5.40,9.40,15.20,18.20,22.90,24.40,24.10,20.90,16.60,11.00,10.10
1902,10.30,9.30,12.50,16.30,14.30,20.40,24.60,24.00,21.20,16.10,12.00,9.90
1903,9.30,11.30,13.20,12.00,17.80,20.00,23.10,24.40,21.80,18.10,12.90,9.70
1904,9.30,10.20,11.50,16.20,19.50,23.10,26.80,25.40,19.60,17.50,12.00,10.70
1905,7.40,8.90,12.30,15.00,16.20,21.90,26.70,24.40,21.50,14.40,12.20,10.20
1906,9.70,8.40,11.00,14.00,17.80,21.60,24.30,25.40,20.70,18.90,14.10,8.20
1907,8.00,7.20,11.20,13.20,18.30,21.30,22.50,25.00,22.40,18.00,13.80,12.20
1908,8.80,9.40,10.40,12.60,20.00,23.10,23.80,23.20,20.30,18.20,12.00,9.80
1909,8.20,7.00,9.40,16.50,18.10,19.70,22.10,24.00,20.60,18.80,11.50,11.80
1910,10.00,10.60,12.20,13.80,16.20,21.60,22.10,23.60,19.40,17.80,11.70,12.20
1911,8.00,9.90,11.50,14.10,17.90,21.00,26.40,27.30,23.20,17.20,14.90,12.50
1912,10.30,12.50,14.20,13.80,18.40,21.30,23.30,21.10,17.80,15.60,10.40,11.20
1913,10.50,9.80,13.20,13.80,17.60,21.40,21.10,23.20,20.60,18.30,14.50,10.20
1914,6.60,11.50,12.20,16.40,16.30,20.20,22.20,24.00,20.70,16.30,12.30,11.90
1915,8.80,8.80,10.70,13.80,19.50,22.90,23.60,23.10,19.90,14.90,11.00,13.20
1916,11.30,10.00,11.50,15.10,19.10,19.70,23.40,23.80,19.40,16.90,13.50,11.30
1917,7.30,7.50,9.40,12.10,19.70,23.40,23.80,24.10,23.00,15.70,11.90,7.70
1918,9.60,9.90,11.80,13.60,19.10,19.50,24.10,24.10,22.30,15.40,12.50,11.70
1919,9.80,9.20,11.30,12.80,18.00,22.20,21.80,25.60,22.80,14.30,10.70,10.90
1920,12.20,12.30,14.00,15.20,20.70,21.40,24.30,22.70,21.40,16.60,12.10,10.50
1921,12.60,10.00,13.10,13.90,19.20,22.10,26.40,24.80,22.90,20.20,11.30,10.10
1922,8.70,9.60,12.60,13.10,20.20,22.10,23.00,24.60,19.40,15.60,11.30,10.50
1923,9.00,11.40,12.70,14.80,18.20,18.40,26.40,26.00,21.20,19.20,13.40,10.10
1924,9.10,7.50,12.00,15.20,19.80,21.80,24.60,21.60,22.00,17.80,13.40,11.20
1925,11.40,11.60,9.00,14.30,17.90,22.80,23.60,24.20,19.90,18.40,11.80,10.20
1926,9.30,13.40,12.50,16.30,16.10,20.00,23.70,25.00,23.80,18.80,15.60,9.20
1927,10.20,9.60,12.70,15.50,19.30,22.20,24.60,24.40,21.80,17.70,13.90,10.20
1928,11.00,11.70,11.50,15.00,16.20,21.80,27.60,26.40,21.60,17.60,13.90,9.50
1929,5.90,6.20,11.80,13.10,18.70,22.60,25.50,24.70,24.40,18.10,13.60,12.90
1930,11.10,8.90,12.60,14.70,16.40,23.80,22.90,24.10,22.30,17.60,15.10,10.70
1931,9.60,8.70,10.40,13.90,19.80,24.20,24.00,23.20,17.80,17.20,14.10,9.00
1932,10.40,5.90,9.70,13.00,17.10,20.50,22.40,26.70,24.20,17.40,14.10,11.20
1933,7.70,9.40,12.80,15.50,17.40,19.30,25.20,26.30,22.70,17.60,11.40,6.10
1934,9.20,9.40,11.60,16.10,20.00,22.40,25.60,23.50,23.10,17.90,12.00,13.20
1935,7.30,10.40,11.70,14.10,16.10,23.60,25.90,24.20,22.50,17.00,14.30,9.80
1936,12.90,10.30,13.20,13.50,18.30,21.20,23.50,24.60,21.60,14.40,13.00,11.10
1937,10.80,12.00,10.60,15.00,19.90,22.80,25.20,25.20,21.30,17.40,13.00,9.30
1938,9.70,9.70,14.20,13.20,16.10,23.00,24.00,24.20,21.10,17.60,15.30,8.50
1939,10.80,10.70,9.40,15.30,14.60,21.80,23.60,24.30,20.60,16.10,14.70,9.00
1940,5.20,9.20,12.00,14.60,18.00,21.20,22.80,23.80,21.60,16.30,14.20,6.40
1941,6.80,9.60,12.70,13.40,14.90,22.00,25.10,23.00,21.00,16.40,12.00,9.60
1942,5.20,5.80,12.80,15.20,18.60,23.00,24.60,25.50,24.20,20.40,12.00,11.00
1943,9.80,11.80,13.80,17.30,19.50,22.00,25.10,27.00,22.90,19.40,11.80,10.80
1944,10.10,7.70,9.10,16.50,19.30,21.40,24.10,28.00,21.10,15.80,12.30,9.40
1945,5.20,11.50,13.80,17.70,21.00,24.30,27.20,24.70,22.80,18.60,12.20,11.10
1946,8.00,11.70,12.20,17.30,18.20,21.40,25.40,25.10,23.10,17.00,13.00,8.40
1947,6.50,7.40,12.10,17.80,20.10,24.20,26.80,27.20,23.90,18.10,14.90,10.40
1948,12.00,10.40,15.00,16.10,19.10,21.50,21.90,24.40,22.00,18.40,13.50,11.00
1949,10.30,10.30,10.70,17.90,16.80,22.10,26.10,26.30,24.90,19.60,12.60,11.40
1950,8.80,11.90,13.40,13.50,19.80,24.40,27.40,25.60,21.40,17.70,13.60,8.40
1951,10.40,10.20,10.40,14.80,16.10,21.70,24.20,24.10,22.80,15.90,14.20,10.60
1952,8.30,8.60,12.30,16.30,18.60,23.90,27.00,25.10,19.80,17.00,12.00,9.80
1953,7.00,8.90,13.00,15.70,20.20,19.60,24.20,24.70,22.20,18.00,12.50,12.70
1954,7.50,7.30,12.30,13.70,16.90,21.80,22.80,22.80,22.00,17.80,13.90,12.30
1955,11.00,10.00,10.40,16.50,18.10,21.40,24.20,23.90,21.70,17.00,12.30,11.70
1956,9.80,5.50,10.50,12.50,18.80,19.90,23.20,24.10,22.20,16.40,11.20,10.50
1957,9.30,11.70,13.80,14.70,15.90,21.10,24.30,24.00,21.40,18.20,13.10,10.20
1958,9.60,11.80,10.20,12.50,19.90,20.80,23.70,24.80,23.10,17.80,13.50,10.90
1959,9.80,11.60,13.20,15.00,18.00,22.30,25.70,24.20,21.60,17.20,12.60,11.30
1960,9.00,9.70,11.80,15.00,19.20,22.70,22.50,23.10,19.90,16.30,13.60,9.70
