Variable:,tasmax
Country:,Madagascar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.83,28.72,29.13,27.77,26.53,25.07,24.35,24.33,26.32,28.18,30.55,28.36
1902,30.01,28.91,28.40,28.77,27.16,25.07,24.99,24.70,28.58,28.82,29.82,29.00
1903,29.29,28.63,29.22,28.59,27.62,26.07,24.26,25.43,25.76,27.73,29.10,28.73
1904,28.55,28.54,28.77,27.77,27.25,24.80,23.80,25.43,26.03,29.18,30.37,29.27
1905,29.47,28.72,28.50,27.31,27.43,26.43,24.26,25.70,26.13,29.36,28.83,28.73
1906,30.28,29.09,29.68,28.59,26.98,25.07,24.26,24.89,26.68,28.10,29.01,28.73
1907,29.20,28.82,28.30,28.14,26.98,25.25,23.26,25.25,27.31,29.90,29.47,28.26
1908,29.47,28.54,29.32,28.32,26.25,25.80,24.35,25.89,27.94,29.90,30.01,28.55
1909,28.92,28.72,28.77,28.14,26.35,24.07,25.17,25.25,27.94,27.73,29.65,30.08
1910,29.38,28.91,28.77,28.50,26.44,24.34,24.06,25.43,27.40,29.08,27.92,28.08
1911,29.01,28.08,28.40,26.95,26.25,24.71,24.62,25.25,27.31,29.08,29.10,29.90
1912,29.83,28.44,29.68,28.59,27.52,25.44,24.44,25.79,28.49,29.18,30.46,29.00
1913,28.65,28.44,29.50,27.31,27.80,24.89,23.89,26.16,27.58,29.72,29.19,28.46
1914,28.83,29.36,28.95,28.50,27.07,25.80,24.16,25.79,27.76,28.82,28.65,29.81
1915,29.47,29.09,29.04,28.95,27.25,25.07,25.08,24.70,26.86,29.81,29.47,28.91
1916,29.38,28.54,29.13,28.41,26.62,24.98,23.08,25.52,27.04,28.73,28.20,27.54
1917,28.55,27.54,28.22,27.87,27.61,25.53,24.99,25.34,26.68,26.91,28.83,27.72
1918,29.47,28.26,28.59,27.49,26.53,25.44,23.98,24.89,27.13,29.18,29.29,29.09
1919,29.38,29.00,29.13,27.31,25.70,24.99,23.44,26.42,28.49,28.73,30.19,29.45
1920,29.10,28.54,28.68,27.22,26.98,24.07,23.26,25.52,28.49,29.81,28.92,28.26
1921,28.83,28.54,28.22,27.31,26.62,24.89,24.26,25.34,27.40,29.36,29.10,28.17
1922,28.37,28.44,28.77,26.50,26.44,24.43,23.35,25.25,26.50,28.28,29.38,29.27
1923,29.74,29.00,29.40,28.68,27.52,25.16,25.08,24.80,27.94,29.08,30.01,29.09
1924,29.38,28.72,29.59,27.87,27.34,25.25,24.89,25.79,27.58,28.55,29.19,28.55
1925,29.01,28.72,28.59,28.59,26.25,26.43,25.44,25.07,26.13,29.27,29.19,29.09
1926,29.96,29.48,30.03,29.32,27.56,26.45,24.99,25.99,28.34,29.32,30.34,29.31
1927,29.22,29.06,28.54,28.25,26.95,25.25,23.84,25.75,27.44,29.05,29.33,29.64
1928,28.63,29.15,29.35,29.09,27.62,25.02,24.38,25.52,27.35,29.25,29.71,28.89
1929,29.73,27.78,29.73,28.66,26.92,25.84,25.13,25.58,27.55,30.01,29.93,28.57
1930,28.51,29.15,28.77,28.18,25.85,24.66,24.07,24.60,28.67,28.39,29.74,29.20
1931,28.55,28.57,28.43,27.79,26.40,24.63,24.20,24.81,26.20,27.50,28.13,28.40
1932,29.28,28.49,28.94,27.45,25.69,24.85,24.28,25.21,26.57,28.00,29.55,28.64
1933,29.08,28.21,28.25,27.87,26.54,24.77,24.26,25.14,25.89,28.52,29.72,28.64
1934,28.83,28.51,29.05,28.14,26.87,23.86,24.20,24.20,26.16,28.03,28.90,28.09
1935,28.89,28.37,29.04,27.55,27.21,25.00,23.05,25.31,27.68,28.80,28.54,28.46
1936,28.86,29.54,29.22,28.14,27.09,24.61,24.09,24.73,26.85,29.33,29.35,28.50
1937,28.79,28.91,28.50,28.07,26.42,25.59,24.11,24.97,27.98,28.18,30.32,28.99
1938,29.34,28.82,29.16,28.55,27.22,24.65,24.83,25.63,27.11,28.45,28.29,29.26
1939,29.30,29.18,28.74,28.13,27.18,25.28,24.58,24.87,27.34,28.70,29.32,28.34
1940,28.54,28.53,28.46,27.80,26.26,24.66,24.11,24.70,26.23,27.33,28.20,28.51
1941,27.90,28.57,28.73,28.49,26.72,25.43,24.26,25.19,26.83,28.02,28.81,29.05
1942,29.38,29.35,29.19,27.98,26.25,24.93,23.92,25.17,26.43,26.72,28.35,28.46
1943,28.42,27.97,28.10,28.15,26.33,24.52,23.82,25.00,25.09,27.14,28.21,28.20
1944,28.62,28.84,28.24,27.52,26.29,25.64,24.10,25.07,26.56,27.49,29.24,28.61
1945,29.09,28.14,28.81,28.35,26.32,24.14,24.06,24.79,26.34,28.53,28.62,28.24
1946,28.81,29.00,28.44,27.88,26.47,24.73,24.40,25.11,25.73,28.04,28.52,28.64
1947,29.03,28.83,28.04,28.09,26.38,24.83,25.04,24.76,26.17,27.63,28.65,28.99
1948,28.97,28.60,28.71,28.48,27.45,25.35,24.48,24.93,26.24,27.76,28.38,28.03
1949,29.04,28.21,28.27,27.44,26.43,24.78,24.34,25.33,26.55,28.10,28.60,29.00
1950,28.98,28.10,28.25,28.07,25.59,24.68,24.01,24.68,25.64,27.33,28.34,28.73
1951,27.90,27.63,27.70,27.46,26.06,24.59,24.01,25.11,25.98,27.60,28.05,28.55
1952,28.46,28.45,28.45,27.93,26.82,24.76,24.25,25.01,26.41,27.16,27.36,28.09
1953,28.56,28.22,28.27,27.84,26.44,25.27,23.92,24.34,25.74,27.07,28.24,28.51
1954,28.36,28.63,28.02,27.59,26.55,24.33,24.13,24.86,26.37,27.52,28.02,28.48
1955,28.74,28.51,28.05,27.30,25.93,24.37,24.27,24.42,26.07,27.05,27.94,28.35
1956,27.96,28.02,28.45,27.55,26.20,24.66,23.56,24.68,26.30,27.16,27.76,28.00
1957,28.70,27.84,27.99,27.46,25.94,24.18,23.91,24.80,26.61,27.92,28.52,28.45
1958,28.72,28.82,28.33,28.24,25.77,24.53,24.01,24.99,26.64,27.15,28.25,28.44
1959,28.41,28.55,28.18,26.98,26.08,24.45,23.98,24.69,26.10,26.91,28.16,28.65
1960,28.32,28.48,27.84,27.35,26.05,25.01,23.71,24.61,26.13,27.19,27.70,28.27
1961,28.86,29.24,28.96,28.78,27.35,25.66,25.24,25.11,26.38,27.93,28.52,28.38
1962,28.98,28.66,28.49,27.93,25.70,24.29,23.97,24.97,26.20,27.35,28.35,28.53
