Variable:,tasmax
Country:,Macedonia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.23,2.66,10.74,14.68,19.34,23.81,27.18,26.14,22.45,17.07,7.95,6.94
1902,4.42,7.41,8.74,14.36,17.01,22.77,26.22,27.22,23.00,16.99,6.55,0.77
1903,2.45,5.99,10.63,12.82,19.53,22.35,25.93,26.43,22.92,16.88,10.05,6.06
1904,1.73,7.62,9.24,14.87,19.77,23.97,27.78,27.00,21.43,16.70,7.01,3.87
1905,-1.30,2.79,9.40,13.68,19.97,23.57,27.90,28.27,24.33,13.87,11.92,4.46
1906,2.13,4.93,10.03,15.00,19.44,23.00,26.93,26.06,21.44,15.85,11.24,3.14
1907,0.36,1.94,5.37,12.52,21.95,23.90,26.17,26.91,22.39,19.70,8.88,5.82
1908,1.28,4.68,8.76,13.49,22.42,25.17,26.52,26.34,21.49,15.14,5.52,2.61
1909,0.14,0.64,9.69,15.03,19.55,23.38,26.38,27.41,23.45,17.35,8.62,7.21
1910,3.92,7.58,8.95,14.35,19.22,23.72,25.75,26.63,21.62,16.24,9.19,6.94
1911,2.52,2.00,9.09,13.77,19.50,23.47,27.04,27.50,22.89,16.87,11.64,5.38
1912,0.61,7.26,11.51,12.68,18.83,24.15,26.37,25.49,20.05,14.84,8.15,5.01
1913,2.11,3.05,11.03,14.58,18.70,23.03,24.49,24.97,22.98,16.61,10.21,4.27
1914,-0.45,3.49,10.54,15.22,19.18,22.54,26.09,26.42,21.24,15.03,7.97,5.76
1915,5.14,5.68,8.74,14.09,19.70,24.38,26.60,25.60,20.69,15.90,8.39,7.42
1916,4.12,5.10,11.97,14.58,19.91,24.60,27.11,25.80,21.38,16.44,11.09,7.30
1917,3.97,1.47,8.84,13.84,19.58,24.40,26.90,28.20,23.57,17.38,10.19,2.10
1918,3.43,3.42,8.61,14.80,19.69,22.43,26.34,26.37,24.09,17.36,8.83,4.61
1919,4.55,5.10,10.38,14.65,16.83,22.90,25.47,25.98,23.57,16.10,9.50,4.13
1920,4.50,3.69,10.29,16.67,20.83,23.03,27.28,26.46,22.65,13.75,5.90,4.60
1921,5.45,3.89,9.70,13.89,20.96,22.09,27.28,27.92,21.71,15.90,7.79,3.24
1922,1.57,2.64,11.46,14.60,19.91,24.20,27.29,27.55,22.39,16.01,6.95,3.10
1923,3.09,5.28,9.99,14.16,21.38,22.10,26.90,27.04,23.65,18.68,13.02,4.99
1924,-0.65,3.84,8.57,15.00,21.52,24.54,26.70,25.94,24.52,15.95,7.59,3.45
1925,2.61,8.29,9.16,14.86,20.03,22.18,26.49,26.47,22.35,16.64,11.20,2.90
1926,3.65,7.67,8.91,16.05,19.41,23.10,25.80,24.84,23.20,17.85,14.47,4.59
1927,4.50,3.29,12.03,15.09,19.73,25.43,28.04,28.16,24.48,16.84,11.32,2.60
1928,2.77,3.68,7.51,15.68,18.06,23.55,28.84,28.26,23.98,16.41,11.61,3.34
1929,0.26,0.51,6.15,12.56,21.65,23.89,26.94,28.66,21.61,17.22,11.41,5.25
1930,3.63,4.62,11.13,15.52,18.97,24.12,27.26,26.92,24.05,16.64,11.04,5.15
1931,3.86,5.23,8.72,12.98,21.12,25.14,28.47,28.09,21.02,16.28,8.74,2.45
1932,0.98,0.54,6.63,14.93,20.47,23.55,28.36,27.75,25.87,19.48,9.00,4.95
1933,1.09,5.08,8.63,12.71,17.88,21.36,25.73,26.32,21.23,17.40,11.72,1.49
1934,2.01,3.91,12.23,18.11,21.93,23.87,27.47,27.68,23.04,17.02,11.53,6.16
1935,0.86,4.67,7.88,15.13,19.73,25.44,26.88,27.30,23.28,19.43,8.84,6.04
1936,7.36,5.89,11.91,15.66,19.32,22.53,27.98,26.08,22.30,14.87,9.14,3.35
1937,1.29,6.65,12.88,14.12,21.31,25.44,27.64,26.44,24.01,16.30,10.06,5.21
