Variable:,tasmax
Country:,Namibia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.67,29.75,28.63,27.31,24.68,22.46,22.38,24.66,27.46,29.32,30.22,31.04
1902,30.41,29.70,28.65,27.05,24.94,22.25,22.57,24.43,27.48,29.36,30.00,31.22
1903,30.70,29.70,28.71,27.05,24.72,22.18,22.44,24.42,27.59,29.17,30.07,31.07
1904,30.48,29.53,28.56,27.07,24.67,22.41,22.55,24.37,27.45,29.30,30.25,30.77
1905,30.71,29.61,28.60,27.28,24.68,22.27,22.60,24.28,27.66,29.55,30.27,31.15
1906,30.74,29.58,28.66,26.97,24.79,22.46,22.25,24.07,27.55,29.14,30.16,30.85
1907,30.53,29.52,28.71,26.96,24.48,22.33,22.36,24.37,27.59,29.22,30.01,30.80
1908,30.49,29.66,28.67,26.67,24.84,22.37,22.49,24.49,27.72,29.40,30.14,31.14
1909,30.65,29.57,28.47,27.11,24.76,22.53,22.53,24.55,27.72,29.24,30.38,30.86
1910,30.68,29.63,28.76,27.18,24.77,22.30,22.45,24.37,27.60,29.22,29.88,31.14
1911,30.66,29.84,28.54,27.06,24.67,22.21,22.30,24.29,27.49,29.64,30.33,31.39
1912,30.86,29.67,28.71,27.24,24.94,22.34,22.47,24.44,27.29,29.54,30.50,31.23
1913,30.91,29.79,28.74,27.11,24.84,22.48,22.39,24.68,27.51,29.35,30.33,31.21
1914,30.95,29.77,28.86,27.20,24.98,22.34,22.46,24.28,27.88,29.73,30.17,30.98
1915,30.94,29.86,28.80,26.98,24.76,22.44,22.21,24.53,27.58,29.41,30.31,31.19
1916,30.75,30.00,28.72,27.23,24.46,22.28,22.56,24.25,27.63,29.61,30.35,31.15
1917,30.75,29.78,28.68,27.09,24.63,22.33,22.37,24.17,27.54,29.54,30.16,30.99
1918,30.37,29.72,28.46,26.86,24.37,22.42,22.61,23.96,27.63,29.45,30.04,30.97
1919,30.64,29.78,28.69,27.47,24.44,22.50,22.62,24.38,27.38,29.40,30.17,31.14
1920,31.12,29.65,28.48,27.09,24.79,22.22,22.65,24.43,27.62,29.20,30.55,31.36
1921,30.82,29.79,28.74,27.14,24.72,22.39,22.14,24.19,27.50,29.40,30.08,30.91
1922,31.10,29.93,29.10,27.48,24.91,22.69,22.72,24.60,27.75,29.05,30.29,31.44
1923,30.56,29.65,28.76,26.96,24.69,22.66,22.51,24.75,27.52,29.81,30.67,31.50
1924,31.27,29.78,28.69,27.03,24.68,22.44,22.25,24.18,27.56,29.21,30.01,30.89
1925,30.53,29.67,28.51,27.15,24.50,22.26,22.28,24.36,27.21,29.23,30.41,31.45
1926,31.32,30.03,28.69,27.28,24.76,22.38,21.93,24.12,27.47,29.26,30.18,31.10
1927,31.19,29.96,28.82,27.42,24.63,22.38,22.49,24.28,27.72,29.42,30.53,31.27
1928,30.86,30.05,28.96,27.33,24.67,22.64,22.34,24.33,27.81,29.75,30.56,31.37
1929,30.95,29.95,28.56,27.04,24.97,22.78,22.41,24.32,27.80,29.84,30.60,31.05
1930,30.73,29.93,28.72,27.05,24.58,22.38,22.45,24.22,27.27,29.64,30.79,31.38
1931,31.59,31.08,29.61,26.49,26.42,23.34,21.79,24.54,27.34,28.66,30.79,31.06
1932,30.82,29.93,29.22,29.25,25.34,22.35,21.49,24.84,26.57,29.76,30.81,31.38
1933,31.38,30.74,29.81,28.25,25.61,22.30,22.49,24.63,27.68,30.32,29.81,31.27
1934,30.33,28.97,28.20,28.04,25.84,23.99,22.25,24.96,27.74,28.50,29.80,30.87
1935,30.91,29.63,28.05,26.85,24.23,21.71,22.59,23.42,26.71,30.60,29.70,31.01
1936,29.94,29.18,28.29,28.02,23.82,23.55,22.96,25.43,27.27,28.92,29.89,30.86
1937,30.68,29.57,28.65,27.60,25.25,22.10,21.56,25.30,26.78,29.73,30.83,30.90
1938,30.82,29.80,29.33,27.11,25.23,23.12,22.61,24.24,26.67,29.34,28.90,30.72
1939,30.88,29.10,28.42,26.76,25.04,22.96,22.90,23.87,27.25,29.41,30.13,31.13
1940,31.10,30.04,28.82,26.91,24.57,23.10,22.92,25.88,26.92,30.09,29.78,32.00
