Variable:,tasmax
Country:,Nicaragua
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.16,29.27,30.44,31.16,30.76,29.47,29.24,29.29,29.19,29.02,28.16,28.01
1902,28.01,29.22,30.55,31.17,30.81,29.47,29.28,29.18,29.34,29.10,28.31,28.03
1903,28.22,29.48,30.50,31.13,30.68,29.58,29.31,29.32,29.31,29.00,28.10,27.85
1904,28.17,29.27,30.44,31.20,30.77,29.47,29.24,29.27,29.19,29.01,28.18,28.03
1905,28.12,29.29,30.45,31.19,30.81,29.50,29.24,29.29,29.21,29.03,28.21,28.03
1906,28.03,29.13,30.36,31.08,30.77,29.44,29.27,29.28,29.25,29.01,28.22,27.96
1907,28.22,29.23,30.45,31.18,30.78,29.46,29.14,29.20,29.16,29.01,28.25,28.00
1908,28.05,29.15,30.45,31.32,30.86,29.47,29.24,29.25,29.19,28.91,28.09,28.03
1909,28.12,29.25,30.53,31.22,30.90,29.46,29.29,29.28,29.16,28.98,28.09,27.99
1910,27.96,29.12,30.15,30.97,30.68,29.39,29.19,29.27,29.16,28.96,28.02,27.77
1911,28.14,29.26,30.45,31.25,30.52,29.32,29.02,29.27,29.20,29.11,28.32,28.08
1912,28.19,29.03,30.53,31.39,30.80,29.43,29.21,29.29,29.18,29.05,28.08,28.09
1913,28.29,29.46,30.50,30.93,30.55,29.27,29.18,29.26,29.12,28.96,28.10,27.99
1914,28.09,29.27,30.17,31.12,30.63,29.36,29.27,29.33,29.15,28.98,28.12,28.11
1915,28.13,29.16,30.11,30.91,30.86,29.56,29.33,29.34,29.21,29.02,28.20,28.04
1916,28.35,29.13,30.29,31.04,30.73,29.40,29.33,29.24,29.14,28.96,28.09,28.03
1917,28.20,29.26,30.47,31.19,30.77,29.47,29.24,29.29,29.19,29.01,28.16,27.99
1918,28.07,29.37,30.48,31.21,30.73,29.41,29.28,29.29,29.20,29.14,28.22,28.03
1919,28.03,29.29,30.46,31.08,30.70,29.37,29.21,29.29,29.19,29.06,28.34,28.05
1920,28.22,29.19,30.44,31.37,30.80,29.36,29.20,29.25,29.19,28.98,28.15,28.01
1921,28.14,29.25,30.47,31.16,30.52,29.39,29.19,29.28,29.18,29.01,28.29,28.10
1922,28.23,29.31,30.52,31.32,30.74,29.45,29.24,29.32,29.20,29.04,28.26,28.06
1923,28.20,29.29,30.48,31.22,30.77,29.44,29.24,29.29,29.20,29.01,28.10,28.09
1924,28.19,29.07,30.37,31.22,30.80,29.50,29.25,29.29,29.19,29.01,28.12,28.11
1925,28.30,29.28,30.35,31.02,30.62,29.38,29.21,29.30,29.19,29.12,28.25,28.06
1926,28.17,29.23,30.45,31.20,30.66,29.45,29.30,29.29,29.25,29.09,28.12,28.13
1927,28.08,29.41,30.40,31.20,30.85,29.51,29.20,29.33,29.22,29.01,28.19,28.05
1928,28.06,29.33,30.45,31.11,30.63,29.56,29.24,29.31,29.27,29.09,28.20,27.98
1929,28.27,29.46,30.56,31.32,30.77,29.37,29.18,29.26,29.19,29.04,28.30,27.96
1930,28.22,29.26,30.38,31.06,30.77,29.38,29.18,29.29,29.21,29.06,28.16,27.92
1931,28.15,29.41,30.25,30.89,30.42,29.37,29.09,29.50,29.54,29.36,27.79,28.68
1932,28.92,29.83,30.33,30.95,30.82,29.20,29.07,29.32,29.68,29.22,27.34,28.32
1933,28.67,29.96,30.36,31.79,30.77,29.28,29.11,29.04,28.99,28.98,27.39,27.72
1934,28.44,29.04,29.55,31.30,30.30,29.04,29.11,29.59,29.36,29.13,28.28,28.28
1935,27.70,28.50,30.35,31.41,30.78,29.36,29.26,29.20,29.44,29.08,27.98,28.00
1936,29.08,30.08,31.06,31.32,30.59,29.47,29.21,29.64,29.36,29.47,28.50,27.98
1937,29.40,29.97,30.80,31.45,30.68,29.50,29.31,29.29,28.96,28.78,27.38,27.89
