Variable:,tasmax
Country:,Nepal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.82,11.96,17.29,21.49,23.62,26.20,24.35,22.89,22.14,20.65,16.02,12.74
1902,12.39,13.42,19.11,21.48,23.70,25.02,23.21,23.37,21.96,19.18,15.29,11.98
1903,11.23,11.89,16.50,21.11,23.82,25.39,24.96,22.78,22.36,19.37,15.21,12.10
1904,11.21,12.87,17.26,22.07,23.01,24.30,22.69,22.47,21.97,19.55,15.04,12.60
1905,9.79,11.26,14.75,19.05,23.51,26.25,23.47,22.94,22.34,19.69,16.27,12.39
1906,10.48,11.45,15.71,21.68,24.92,24.56,23.62,22.49,22.16,19.64,16.40,13.19
1907,12.73,11.39,14.99,19.53,22.67,24.53,24.40,22.87,22.77,20.50,16.21,11.98
1908,10.63,12.79,17.53,23.21,24.03,25.58,23.32,22.59,22.27,19.71,15.33,11.91
1909,11.69,12.04,18.50,20.04,23.60,22.82,22.96,22.50,22.18,19.86,16.94,12.58
1910,11.02,12.52,17.45,21.07,23.68,23.58,22.93,22.68,22.24,18.87,14.98,12.00
1911,12.49,12.42,15.68,21.10,24.41,23.68,24.73,23.14,21.59,19.45,14.36,11.70
1912,11.58,13.58,16.85,20.54,23.55,25.36,23.32,22.59,21.69,19.49,14.87,11.98
1913,11.43,12.36,15.49,22.21,22.24,22.24,23.37,23.00,22.60,19.92,15.07,11.86
1914,12.37,12.84,16.62,20.48,23.20,24.18,23.16,22.54,22.11,18.61,16.00,12.52
1915,11.83,12.02,16.72,21.22,24.60,24.63,23.95,23.02,22.42,21.02,16.68,12.72
1916,11.47,12.56,19.39,22.18,24.29,22.92,22.90,22.46,21.94,19.42,15.06,11.59
1917,11.09,12.45,16.51,19.36,21.37,23.23,22.90,22.58,21.40,18.95,15.00,12.26
1918,10.24,12.83,17.46,20.01,24.29,22.77,24.66,22.77,22.49,19.93,15.71,11.63
1919,11.48,11.62,17.90,20.62,23.22,24.73,22.76,22.78,21.80,19.28,15.63,12.12
1920,11.80,12.16,16.77,21.10,21.83,24.60,23.24,22.96,22.63,20.48,16.62,13.36
1921,12.00,12.72,19.43,22.82,25.68,24.43,23.99,22.38,21.67,18.49,15.39,13.15
1922,11.25,13.71,18.73,22.34,24.74,23.54,23.04,22.42,21.69,18.90,15.65,12.14
1923,11.59,12.09,17.92,22.30,23.76,26.30,23.33,22.69,22.19,18.95,15.75,12.79
1924,11.02,12.78,19.17,22.53,22.64,26.40,23.00,22.65,21.46,19.73,15.48,12.78
1925,9.88,11.45,17.62,22.03,23.02,23.18,22.51,22.96,22.03,19.43,14.98,12.08
1926,11.29,13.54,16.08,19.16,22.45,26.32,23.76,22.73,21.82,19.07,14.19,12.47
1927,10.48,11.73,16.04,21.11,22.92,24.94,23.50,22.60,22.20,19.74,15.32,13.29
1928,11.02,13.07,17.91,21.32,24.46,24.03,23.26,23.56,22.78,20.20,16.11,12.68
1929,11.19,11.75,18.60,21.82,24.66,24.68,23.19,22.38,22.65,19.24,15.84,11.88
1930,10.41,12.31,18.16,21.17,23.83,24.35,22.92,22.77,22.40,19.81,15.30,12.38
1931,12.65,11.93,17.00,22.72,23.86,25.77,23.39,23.44,21.83,19.31,15.35,13.06
