Variable:,tasmax
Country:,Oman
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.60,25.41,28.49,31.98,34.77,34.79,32.94,31.69,32.12,31.60,29.10,26.19
1902,24.95,25.71,28.99,32.14,34.51,34.66,32.51,31.43,31.97,31.44,28.46,25.43
1903,24.51,24.89,27.91,31.26,34.50,34.68,32.51,31.86,31.96,30.99,28.29,25.58
1904,24.71,25.20,28.09,31.51,34.11,34.34,32.67,31.41,31.61,31.18,29.20,25.83
1905,24.25,24.90,27.81,31.74,34.31,34.51,32.66,31.59,31.86,31.57,28.96,25.75
1906,24.33,24.99,27.92,31.24,34.51,34.35,32.58,31.23,31.50,31.28,29.27,26.31
1907,24.57,24.80,28.06,31.33,34.52,34.42,32.64,31.32,31.64,31.40,28.33,25.74
1908,24.58,25.31,28.37,31.92,34.56,34.81,32.77,31.51,31.95,31.31,28.98,26.07
1909,24.41,25.70,28.56,32.06,34.54,34.34,32.73,31.54,31.73,31.32,28.99,25.81
1910,24.30,25.41,27.67,31.30,34.26,34.17,32.62,31.53,31.69,30.87,28.65,25.41
1911,23.53,24.53,27.46,31.26,34.09,34.05,32.58,31.23,31.36,31.00,28.58,26.16
1912,24.37,25.19,28.17,31.48,34.12,34.80,32.51,31.13,31.58,31.07,28.95,25.70
1913,24.45,24.76,27.54,31.89,34.60,34.27,32.32,30.88,31.69,31.30,28.82,25.98
1914,24.95,25.39,28.21,31.89,34.41,34.16,32.42,31.34,31.38,31.55,29.19,25.93
1915,24.76,25.47,28.42,31.82,34.57,34.88,32.81,31.66,32.05,31.45,29.05,25.99
1916,24.65,25.26,28.51,31.73,34.68,34.78,32.91,31.69,31.90,31.34,29.04,26.02
1917,24.67,25.50,28.24,31.94,34.60,34.72,32.96,31.69,32.00,31.41,29.04,25.90
1918,24.65,25.42,28.24,31.72,34.52,34.55,32.82,31.64,31.96,31.63,29.10,26.05
1919,24.83,25.54,28.35,31.94,34.56,34.58,32.78,31.66,31.99,31.61,29.13,26.07
1920,24.71,25.23,28.50,31.89,34.68,34.79,32.79,31.66,32.05,31.67,29.06,25.72
1921,24.67,25.40,28.49,32.10,34.54,34.76,32.94,31.67,32.04,31.48,29.05,25.94
1922,24.77,25.44,28.36,31.88,34.54,34.83,32.89,31.70,31.96,31.51,29.18,26.10
1923,24.68,25.38,28.52,31.73,34.58,34.77,32.90,31.55,31.92,31.54,28.91,26.08
1924,24.78,25.41,28.68,31.90,34.70,34.86,32.92,31.63,31.98,31.65,29.07,25.96
1925,24.36,25.15,28.53,31.98,34.62,34.64,32.73,31.68,32.05,31.62,29.00,26.10
1926,24.77,25.57,28.42,31.72,34.64,34.78,32.81,31.66,31.87,31.49,29.12,25.99
1927,24.69,25.32,28.32,31.76,34.73,34.83,32.89,31.62,32.09,31.66,29.11,25.92
1928,24.62,25.34,28.13,32.43,34.63,34.67,32.85,31.36,31.85,31.30,28.70,25.65
1929,25.03,25.60,28.39,32.08,34.57,34.34,32.52,31.37,31.64,31.42,28.81,25.91
1930,24.15,25.65,28.34,32.04,34.62,34.61,32.44,31.42,31.81,31.35,28.97,25.89
1931,25.02,25.21,28.32,31.74,34.32,34.61,32.80,31.55,32.01,30.97,28.87,25.52
1932,24.73,25.13,28.47,31.59,34.30,34.66,32.52,31.38,31.57,31.04,28.96,25.15
1933,24.30,25.28,28.07,31.34,34.57,34.14,32.35,31.37,31.44,31.27,28.72,26.11
1934,24.17,25.67,27.86,31.89,34.19,34.58,32.44,31.41,31.66,31.02,28.90,26.22
1935,24.56,25.31,28.59,31.44,34.37,34.57,32.62,31.66,31.86,31.42,29.29,26.53
1936,24.35,25.78,28.07,31.93,34.80,34.12,32.52,31.74,31.61,30.72,28.74,25.64
1937,23.82,25.44,27.95,31.64,34.63,34.43,32.70,31.55,31.81,31.41,29.23,25.89
1938,24.88,25.57,27.74,31.65,34.31,34.30,32.88,31.79,32.32,31.05,28.37,25.90
1939,25.00,25.55,27.74,30.83,34.24,34.76,32.63,31.19,31.84,31.17,29.11,26.67
1940,25.32,26.08,27.49,31.76,34.83,34.62,32.84,31.43,31.87,31.76,29.18,26.22
1941,24.83,26.19,28.86,31.97,34.77,35.10,32.98,31.57,31.85,31.63,29.01,25.92
