Variable:,tasmax
Country:,Peru
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.40,25.77,25.47,25.53,25.52,25.04,24.67,25.71,25.87,25.75,25.77,25.73
1902,25.29,25.31,25.52,25.51,25.52,24.92,25.03,25.45,25.86,25.70,26.05,25.98
1903,25.57,26.19,25.54,25.17,25.02,24.75,24.62,25.18,25.75,25.46,25.52,25.20
1904,24.98,25.13,24.98,25.14,24.90,25.03,24.57,25.48,25.59,25.46,26.05,25.72
1905,25.26,25.70,25.19,25.43,25.25,25.28,24.87,25.42,25.59,25.79,25.90,25.47
1906,25.19,25.49,25.35,25.63,25.29,24.83,24.62,25.30,25.86,25.27,25.86,25.21
1907,24.97,24.85,25.50,25.19,25.21,25.03,24.50,25.33,25.74,25.48,25.85,25.76
1908,25.33,25.26,25.41,25.53,25.39,25.27,24.62,25.27,25.46,25.24,25.64,25.48
1909,25.01,25.10,25.43,25.05,25.43,24.61,24.41,25.06,25.76,25.55,25.68,25.46
1910,25.16,25.33,25.30,25.00,24.52,24.09,23.89,24.66,24.76,24.84,25.55,25.13
1911,25.12,25.46,24.71,24.95,24.61,24.69,24.52,25.42,25.51,25.74,26.21,26.50
1912,26.42,26.53,26.51,26.46,25.13,24.45,24.07,24.94,25.62,25.75,25.46,25.91
1913,26.03,25.75,25.86,25.45,25.03,24.50,24.75,25.57,25.73,26.54,26.90,26.33
1914,26.07,26.29,25.83,25.49,24.95,24.70,24.57,25.62,25.70,25.71,25.97,26.56
1915,26.35,26.73,26.25,26.41,25.54,24.67,24.89,25.61,25.47,25.47,25.54,26.12
1916,25.59,25.77,25.65,26.00,25.05,23.59,23.40,24.39,25.64,25.04,24.80,25.84
1917,25.57,25.77,26.05,25.86,25.31,25.14,24.41,25.03,25.17,25.21,25.97,25.06
1918,25.30,25.19,25.53,25.53,23.93,26.22,25.74,26.70,25.97,25.73,26.21,26.42
1919,26.38,26.75,25.98,26.18,26.05,24.50,24.19,25.18,25.93,25.72,26.06,25.82
1920,25.61,25.75,25.75,25.52,24.66,24.15,23.84,24.97,25.48,25.94,26.06,25.57
1921,25.15,25.13,25.39,25.22,25.21,23.42,23.26,24.92,25.04,25.17,26.02,25.92
1922,25.93,26.10,25.93,25.85,25.36,25.06,25.03,25.37,26.04,25.74,26.27,26.12
1923,25.71,25.94,26.05,25.63,25.36,25.03,24.91,25.55,26.25,25.94,26.46,26.20
1924,26.29,26.11,25.78,25.90,25.51,25.10,24.72,25.43,25.87,25.75,26.31,26.12
