Variable:,tasmax
Country:,Reunion
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.94,26.59,26.46,25.10,23.45,21.86,20.92,20.81,22.00,23.63,25.60,25.98
1902,26.96,26.60,26.21,25.45,23.66,21.86,21.08,20.91,22.76,23.87,25.38,26.19
1903,26.74,26.49,26.47,25.35,23.80,22.18,20.82,21.16,21.84,23.48,25.14,26.09
1904,26.50,26.49,26.32,25.10,23.70,21.77,20.72,21.16,21.94,23.97,25.58,26.29
1905,26.81,26.59,26.21,24.95,23.76,22.32,20.82,21.26,21.94,24.06,25.04,26.09
1906,27.05,26.69,26.66,25.35,23.60,21.86,20.82,21.01,22.14,23.62,25.10,26.09
1907,26.71,26.59,26.21,25.20,23.60,21.92,20.51,21.11,22.35,24.22,25.25,25.98
1908,26.81,26.49,26.52,25.30,23.35,22.12,20.92,21.31,22.55,24.22,25.45,26.03
1909,26.61,26.59,26.32,25.20,23.35,21.51,21.17,21.11,22.55,23.48,25.34,26.57
1910,26.75,26.60,26.32,25.35,23.45,21.61,20.82,21.16,22.39,23.96,24.73,25.88
1911,26.64,26.34,26.21,24.84,23.35,21.71,20.97,21.11,22.35,23.96,25.14,26.52
1912,26.94,26.49,26.66,25.35,23.80,21.97,20.92,21.26,22.75,23.97,25.59,26.19
1913,26.50,26.49,26.56,24.95,23.90,21.81,20.72,21.41,22.45,24.17,25.14,25.98
1914,26.60,26.75,26.41,25.35,23.61,22.12,20.82,21.26,22.50,23.87,24.99,26.48
1915,26.81,26.69,26.42,25.50,23.70,21.86,21.13,20.91,22.19,24.18,25.25,26.18
1916,26.75,26.49,26.46,25.31,23.46,21.82,20.48,21.16,22.25,23.83,24.79,25.72
1917,26.50,26.14,26.15,25.10,23.80,22.02,21.08,21.12,22.14,23.22,25.04,25.77
1918,26.81,26.39,26.27,25.00,23.45,21.97,20.77,21.01,22.29,23.97,25.19,26.22
1919,26.75,26.64,26.46,24.95,23.15,21.82,20.58,21.50,22.75,23.83,25.50,26.32
1920,26.70,26.49,26.31,24.90,23.60,21.51,20.51,21.16,22.75,24.18,25.05,25.98
1921,26.60,26.49,26.15,24.95,23.46,21.81,20.82,21.12,22.39,24.06,25.14,25.92
1922,26.44,26.49,26.32,24.65,23.45,21.66,20.57,21.11,22.05,23.68,25.24,26.29
1923,26.90,26.64,26.56,25.41,23.80,21.91,21.13,20.91,22.55,23.96,25.45,26.22
1924,26.75,26.59,26.61,25.10,23.70,21.92,21.07,21.26,22.45,23.77,25.14,26.03
1925,26.64,26.59,26.27,25.35,23.35,22.32,21.27,21.02,21.94,24.03,25.14,26.22
1926,27.04,26.80,26.81,25.66,23.82,22.41,21.13,21.41,22.76,24.08,25.59,26.32
1927,26.74,26.69,26.27,25.30,23.61,21.96,20.72,21.31,22.45,23.97,25.24,26.43
1928,26.50,26.70,26.56,25.56,23.90,21.82,20.92,21.22,22.39,24.06,25.35,26.18
1929,26.94,26.24,26.68,25.45,23.60,22.16,21.17,21.26,22.45,24.28,25.39,26.03
1930,26.50,26.74,26.32,25.25,23.25,21.71,20.82,20.91,22.79,23.77,25.38,26.23
1931,26.50,26.49,26.21,25.10,23.35,21.71,20.82,20.91,21.94,23.37,24.79,25.98
1932,26.75,26.49,26.42,25.00,23.15,21.81,20.92,21.12,22.05,23.58,25.35,26.08
1933,26.71,26.39,26.15,25.15,23.46,21.71,20.82,21.11,21.89,23.82,25.38,26.09
1934,26.60,26.49,26.46,25.20,23.56,21.40,20.82,20.70,21.94,23.62,25.10,25.88
1935,26.64,26.49,26.47,25.10,23.70,21.91,20.46,21.22,22.54,23.92,24.99,26.03
1936,26.61,26.84,26.52,25.25,23.66,21.71,20.82,20.91,22.25,24.08,25.25,26.03
1937,26.60,26.60,26.21,25.20,23.45,22.06,20.82,21.02,22.66,23.68,25.60,26.22
1938,26.81,26.60,26.52,25.35,23.70,21.71,21.07,21.26,22.29,23.72,24.89,26.32
1939,26.81,26.70,26.36,25.25,23.70,21.97,21.02,21.01,22.45,23.87,25.25,25.98
1940,26.50,26.49,26.21,25.10,23.35,21.71,20.82,20.91,21.94,23.37,24.79,25.98
1941,26.30,26.49,26.33,25.35,23.46,22.06,20.91,21.11,22.21,23.63,25.04,26.22
1942,26.84,26.74,26.47,25.10,23.32,21.81,20.80,21.16,22.15,23.13,24.90,26.00
1943,26.50,26.29,26.11,25.21,23.35,21.71,20.72,21.06,21.59,23.37,24.94,25.98
1944,26.60,26.59,26.12,25.00,23.35,22.12,20.82,21.06,22.15,23.37,25.14,26.00
