Variable:,tasmax
Country:,Slovenia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.91,-0.76,7.00,13.21,17.93,21.68,23.57,22.05,18.30,13.94,5.63,4.27
1902,4.43,4.18,7.68,13.81,13.14,19.31,22.65,22.02,18.89,12.49,5.21,1.57
1903,0.98,6.36,10.38,9.41,18.09,20.21,22.23,22.74,19.01,14.37,7.73,2.74
1904,1.09,5.01,8.61,14.08,18.66,21.99,25.26,22.93,16.41,13.00,6.31,3.48
1905,-1.01,2.84,8.76,11.56,17.17,21.62,25.49,23.38,19.88,9.52,7.61,3.58
1906,1.87,3.33,7.70,12.79,17.58,19.74,22.77,22.59,16.86,14.33,9.58,0.35
1907,0.32,1.28,5.60,10.12,19.32,21.53,21.57,23.16,19.59,16.93,7.12,3.69
1908,1.33,3.64,6.31,10.54,20.40,22.90,23.13,20.80,17.09,13.76,4.09,1.23
1909,-0.98,0.09,6.18,13.97,16.63,19.86,21.31,22.27,18.41,14.78,5.16,4.89
1910,2.33,5.72,8.68,11.99,16.52,20.94,21.02,21.56,16.19,13.87,5.56,5.79
1911,0.75,3.33,8.04,12.17,16.90,20.24,24.43,24.00,19.90,13.67,9.92,4.69
1912,1.73,6.84,10.41,10.72,17.09,21.10,22.63,19.73,14.54,11.48,3.49,4.16
1913,1.34,3.01,10.62,12.48,16.90,20.18,19.15,20.12,17.85,14.64,8.75,2.75
1914,-1.94,4.25,8.57,14.36,16.09,19.24,21.25,22.38,17.06,12.26,6.06,4.85
1915,1.94,3.52,6.60,12.23,18.80,22.29,22.22,20.08,16.62,10.30,4.64,6.40
1916,4.67,4.23,10.25,12.83,18.43,19.56,22.51,21.73,16.46,12.86,8.77,5.40
1917,0.99,0.17,5.62,9.49,19.56,23.46,23.25,23.39,20.69,12.92,6.56,0.54
1918,3.45,4.07,8.60,13.88,18.17,18.03,21.82,21.17,19.68,12.02,5.74,4.19
1919,3.80,3.15,8.35,10.29,14.43,20.29,19.82,22.80,20.18,10.84,5.28,3.17
1920,4.89,6.31,10.94,14.70,20.20,19.41,23.82,20.31,18.82,11.96,4.92,3.07
1921,5.28,3.57,10.28,11.40,19.38,19.87,24.94,23.79,19.60,15.55,4.67,2.16
1922,0.43,2.41,9.65,11.42,18.56,21.50,23.02,23.37,16.53,10.63,4.79,3.40
1923,2.20,3.82,8.43,12.05,19.10,17.14,24.21,23.38,18.18,15.85,8.09,1.80
1924,0.46,1.29,6.83,12.12,19.25,20.66,22.65,19.46,19.58,13.51,6.63,3.11
1925,3.35,6.64,5.67,12.87,18.25,20.17,22.52,21.96,16.39,13.62,6.21,0.95
1926,1.34,7.79,7.63,14.42,16.27,18.71,21.29,21.69,20.04,14.27,12.51,2.12
1927,3.03,3.45,10.20,12.52,17.60,22.56,24.17,22.78,19.46,13.51,7.92,1.14
1928,2.41,4.67,7.14,13.65,15.12,20.91,26.15,24.18,18.48,14.13,8.68,1.48
1929,-2.19,-0.82,7.06,10.29,18.56,21.20,24.39,23.53,20.43,14.49,8.54,4.95
1930,3.46,3.26,10.00,13.46,16.90,23.76,22.55,21.98,19.36,12.97,9.56,2.79
