Variable:,tasmax
Country:,Uzbekistan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.94,5.29,13.66,21.57,27.39,31.12,35.46,32.76,27.01,14.10,12.05,6.68
1902,5.28,4.05,11.31,18.76,28.19,34.61,34.82,33.63,27.24,17.93,9.82,5.27
1903,0.75,5.71,4.59,18.36,26.02,32.72,34.82,33.39,27.44,20.12,9.51,1.77
1904,-5.47,6.74,10.87,17.58,27.38,32.13,35.25,32.89,26.56,16.61,12.68,5.78
1905,-0.29,0.08,5.30,19.23,26.35,32.48,34.44,32.24,28.11,22.20,11.58,4.28
1906,0.08,1.12,11.12,17.67,27.41,33.90,34.58,33.96,26.48,19.73,10.84,5.64
1907,1.95,1.46,10.22,19.86,25.68,30.93,35.95,32.92,26.00,15.23,7.49,4.01
1908,1.22,2.41,7.96,18.77,26.01,32.77,35.09,32.80,27.91,15.83,12.06,4.31
1909,-1.59,5.23,10.85,21.96,27.98,31.98,34.91,33.22,28.19,18.13,15.26,6.63
1910,4.27,4.76,9.77,20.02,29.14,32.30,36.54,33.74,26.69,17.66,10.16,-0.09
1911,-0.45,4.09,8.47,19.93,27.18,33.91,34.87,32.71,26.61,16.04,9.91,1.59
1912,2.61,5.77,10.51,20.34,26.31,33.52,34.99,31.59,26.46,20.01,10.66,3.25
1913,2.15,1.50,8.96,17.40,28.12,31.62,36.68,32.31,27.64,17.49,10.25,7.29
1914,6.79,5.72,13.61,20.56,26.44,33.57,35.14,33.11,27.61,18.81,8.58,0.77
1915,4.80,4.57,14.92,19.24,28.75,33.17,33.48,33.60,28.99,18.23,13.15,6.38
1916,2.91,0.92,9.89,20.54,28.07,30.72,34.44,34.34,27.18,18.07,7.55,3.68
1917,6.38,6.68,11.61,22.51,29.65,30.63,34.08,32.82,27.47,17.31,10.69,2.94
1918,2.68,2.84,8.87,18.08,26.14,32.57,34.88,33.12,27.72,19.95,8.13,-1.26
1919,-4.76,3.60,9.07,21.89,25.42,31.14,34.60,33.21,25.95,20.49,11.77,5.06
1920,3.24,-0.39,10.42,17.02,26.18,31.97,33.56,32.05,26.52,18.36,6.51,-3.71
1921,2.27,2.82,7.89,19.44,25.88,32.24,35.03,31.78,26.54,19.02,10.34,4.17
1922,2.12,3.56,12.05,21.03,27.24,32.09,34.87,32.37,27.11,19.70,12.91,5.66
1923,0.75,3.05,11.04,17.78,27.30,32.93,34.35,33.25,25.13,18.67,10.76,2.57
1924,2.94,3.63,10.30,19.10,25.23,31.77,35.00,33.21,27.17,19.04,10.61,2.30
1925,0.30,1.26,13.83,19.76,28.77,33.09,35.66,33.45,28.31,19.46,11.12,8.69
1926,3.39,3.95,12.39,17.33,28.06,31.54,33.36,33.98,27.92,19.44,8.12,5.37
1927,-2.54,1.87,8.18,21.27,27.96,33.62,36.13,33.21,27.56,22.30,10.37,1.89
1928,-3.11,2.74,5.15,18.76,27.44,32.74,33.32,31.00,25.61,18.29,11.64,2.23
1929,-3.58,-0.93,10.15,22.69,26.72,31.33,34.70,32.54,27.43,17.80,9.90,-2.27
1930,-3.78,0.08,11.10,18.51,27.27,33.21,36.28,32.99,24.88,17.44,12.48,0.10
1931,-1.90,-5.49,10.34,20.08,24.49,31.29,35.21,32.40,29.00,18.67,7.56,0.98
1932,0.38,4.73,11.48,22.58,26.94,31.93,34.18,31.11,26.72,17.52,7.61,-2.02
1933,-3.22,2.53,6.64,20.24,28.44,30.81,35.48,33.37,27.07,18.33,10.90,2.34
1934,-6.24,5.64,10.55,16.37,22.84,31.49,33.25,32.92,24.22,18.12,8.23,2.35
1935,-4.01,6.39,9.82,21.62,27.37,29.36,34.99,34.78,26.93,20.80,5.99,1.86
1936,0.42,4.85,8.11,18.95,27.17,33.49,34.16,32.11,27.70,21.89,12.12,2.76
1937,-1.43,3.62,8.53,17.20,25.93,31.78,35.79,34.12,28.95,19.66,8.62,2.36
1938,3.96,6.14,8.90,22.65,28.79,31.53,32.61,32.93,27.16,19.27,9.90,-0.04
1939,0.56,4.51,9.87,17.61,27.93,35.20,35.59,32.38,26.76,17.25,10.67,7.19
1940,1.51,3.89,9.53,23.08,25.24,33.17,35.43,33.80,27.86,19.30,11.81,7.06
1941,1.84,7.48,13.78,20.83,28.53,34.26,34.06,33.21,28.32,21.19,9.29,4.33
1942,3.49,1.16,10.51,18.17,27.67,32.79,35.50,32.27,26.39,19.79,11.29,3.56
1943,0.33,0.31,6.16,19.12,27.76,31.38,36.00,33.02,26.39,18.31,8.21,3.82
1944,3.38,8.69,17.95,20.61,29.42,32.47,36.85,32.77,27.34,18.24,9.39,-3.36
1945,-1.51,-1.32,8.39,20.10,25.35,31.37,34.14,34.90,27.32,20.84,7.80,3.42
1946,0.83,8.98,12.27,20.79,29.88,31.50,32.89,32.20,28.61,19.40,8.13,-1.60
1947,1.41,3.64,16.05,20.97,25.32,30.12,33.86,33.49,26.59,19.13,14.77,4.86
1948,6.70,7.14,9.62,17.44,28.58,33.22,35.38,33.29,25.73,19.28,10.97,-0.13
1949,-0.87,2.69,6.93,17.73,25.30,31.73,35.05,31.73,25.02,15.26,8.11,4.09
1950,-2.05,0.32,10.96,20.14,28.54,32.14,33.58,32.24,26.91,19.15,6.17,-1.04
1951,-1.04,-3.10,9.76,22.40,28.19,30.83,34.66,32.84,27.55,17.40,8.65,6.79
1952,2.38,6.39,9.44,18.86,26.76,31.33,35.29,33.67,26.88,20.03,5.66,0.62
1953,3.84,9.85,9.89,19.21,27.19,31.20,34.98,33.33,27.21,15.35,6.19,1.12
1954,0.19,-0.18,5.12,18.57,26.66,30.14,34.49,32.15,27.38,20.89,9.61,2.33
1955,4.30,9.14,10.76,19.05,27.77,33.02,34.63,33.85,27.41,19.46,12.12,5.29
1956,-0.21,2.00,8.12,21.04,26.48,30.91,35.68,33.23,25.73,19.42,12.99,2.39
1957,-2.92,1.95,11.03,18.61,28.13,31.55,32.44,31.85,28.85,17.73,8.20,4.34
1958,5.30,9.30,13.34,18.03,24.85,32.89,34.66,31.89,25.66,18.43,6.40,3.67
1959,1.85,2.61,8.43,22.05,27.04,31.98,33.15,32.83,28.81,17.55,5.45,-1.73
