Variable:,tasmax
Country:,Zimbabwe
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.17,29.28,29.20,28.18,26.17,23.24,23.30,26.14,28.22,30.45,30.36,29.09
1902,29.17,28.94,28.66,29.11,25.87,24.09,24.86,26.64,30.22,29.44,30.92,30.59
1903,29.82,29.64,29.50,29.54,27.84,24.08,23.76,26.62,29.49,31.16,30.33,28.97
1904,28.44,27.75,27.32,28.07,25.36,24.76,23.02,25.70,27.39,30.73,31.33,28.30
1905,29.69,28.80,27.63,27.35,25.74,25.24,22.84,26.80,30.29,32.74,31.02,30.45
1906,30.67,27.86,28.40,27.03,26.41,23.83,23.35,25.34,28.80,29.86,29.00,29.23
1907,29.11,28.15,28.42,27.25,25.97,23.32,21.77,24.18,28.35,30.51,30.03,29.02
1908,28.95,28.38,28.58,27.77,24.88,24.55,23.49,26.95,29.99,32.18,30.79,29.66
1909,29.07,28.77,28.24,26.72,25.88,23.05,23.88,26.67,28.70,30.91,30.26,30.17
1910,28.97,28.43,28.10,26.92,24.97,23.40,23.12,25.96,28.34,29.80,28.83,29.06
1911,28.39,27.91,27.42,26.53,25.10,22.15,22.22,25.06,27.61,31.60,30.95,31.54
1912,29.89,29.79,27.93,28.85,27.86,23.17,22.64,25.05,28.88,30.28,32.88,29.50
1913,29.83,29.34,28.22,27.97,26.25,23.15,24.34,26.33,29.32,31.63,31.20,31.50
1914,30.45,28.54,29.53,29.61,26.70,24.48,23.29,25.75,30.79,32.21,31.55,30.07
1915,29.65,28.44,28.09,28.47,25.12,23.64,24.59,25.96,29.24,31.76,31.35,30.09
1916,29.45,30.53,29.41,28.03,25.65,24.37,24.15,25.52,29.72,32.51,30.47,29.51
1917,29.36,29.47,29.00,27.82,26.91,24.77,24.09,25.45,28.44,31.85,31.20,28.14
1918,27.57,28.15,27.89,25.90,24.51,23.14,23.79,23.70,29.47,32.25,30.52,29.52
1919,29.42,28.45,28.46,28.61,24.30,23.39,23.93,25.18,28.83,30.28,30.14,29.46
1920,30.35,29.22,27.97,26.66,26.28,23.82,23.51,25.56,30.15,30.98,31.29,30.37
1921,29.70,29.15,29.15,27.45,25.32,24.79,22.71,24.73,28.46,31.39,30.09,29.31
1922,30.78,29.34,30.49,28.34,26.28,25.28,24.03,27.88,29.49,29.99,31.33,30.62
1923,29.18,28.59,28.40,27.58,25.96,24.54,23.99,26.08,29.09,31.60,33.25,30.54
1924,30.24,28.96,29.35,27.03,26.43,24.25,22.70,24.92,28.71,30.05,30.36,28.42
1925,28.47,28.04,28.01,27.48,25.17,24.31,22.84,25.23,27.27,30.16,31.80,31.32
1926,30.31,30.52,28.33,27.25,25.87,23.46,22.14,24.83,29.16,31.21,31.43,29.69
1927,30.40,29.33,28.67,28.14,25.46,22.48,22.81,24.95,28.27,30.60,30.58,30.21
1928,30.13,30.52,29.47,27.80,24.59,24.83,22.45,24.62,29.77,32.41,32.13,30.33
1929,29.08,29.18,27.47,27.31,26.48,24.26,23.70,24.22,30.00,32.51,32.03,29.08
1930,29.20,30.02,28.39,27.41,24.07,22.60,22.44,24.94,28.90,31.38,32.23,30.48
1931,29.92,30.73,30.16,28.67,27.48,23.38,24.02,27.33,29.89,31.88,29.73,30.41
1932,30.97,30.16,28.70,27.64,25.41,23.09,22.38,24.37,30.11,31.66,32.16,29.34
1933,28.59,29.47,30.02,27.93,25.92,23.93,23.79,25.10,27.52,31.79,30.10,28.51
1934,29.50,28.90,28.77,28.29,26.73,23.39,24.05,26.30,27.74,31.45,30.11,28.73
1935,29.03,27.81,28.60,26.94,25.76,21.96,23.53,23.36,30.10,31.82,30.19,29.59
1936,29.69,29.40,28.17,26.69,25.55,23.20,23.03,24.86,27.87,30.86,30.96,29.79
1937,30.05,28.74,28.87,27.63,26.42,24.70,22.74,24.93,28.90,30.59,31.46,28.76
1938,29.54,29.04,28.67,29.26,26.85,23.45,23.27,25.64,28.95,31.74,29.95,28.70
1939,28.79,28.92,26.87,26.61,25.74,21.66,22.60,24.93,26.89,30.33,29.35,28.73
1940,29.76,28.73,28.70,27.44,25.52,23.13,22.53,25.32,29.81,29.34,31.05,31.59
1941,28.21,29.17,28.67,29.12,27.21,24.01,23.65,25.82,29.39,31.91,32.29,30.10
1942,30.42,30.64,29.96,28.06,26.02,25.13,22.76,26.23,29.44,29.01,30.92,29.55
1943,29.11,28.44,28.07,27.34,25.39,22.98,24.33,25.70,28.47,32.59,30.79,28.94
1944,30.03,28.06,28.04,27.99,25.11,23.85,24.22,26.57,29.21,31.47,31.48,30.89
