Variable:,tasmin
Country:,Angola
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.09,17.21,17.17,15.35,12.61,10.13,9.53,11.56,14.40,16.39,16.78,17.04
1902,17.05,17.18,17.14,15.52,12.85,10.14,9.57,11.57,14.48,16.35,16.80,17.09
1903,17.08,17.22,17.22,16.00,12.46,10.13,9.54,11.57,14.40,16.38,16.79,17.04
1904,17.03,17.15,17.10,15.33,12.28,10.16,9.51,11.54,14.39,16.39,16.81,17.02
1905,17.08,17.20,17.12,15.65,12.25,10.16,9.50,11.58,14.46,16.45,16.80,17.08
1906,17.09,17.16,16.52,15.28,12.10,10.13,9.52,11.53,14.42,16.36,16.74,17.04
1907,17.04,17.17,16.57,15.32,12.25,10.12,9.49,11.51,14.41,16.37,16.77,17.03
1908,17.04,17.16,16.57,15.53,12.66,10.15,9.53,11.57,14.46,16.43,16.78,17.05
1909,17.04,17.19,16.56,15.40,13.01,10.12,9.56,11.57,14.43,16.39,16.77,17.07
1910,17.03,17.17,17.11,15.29,13.23,10.13,9.53,11.56,14.40,16.36,16.73,17.04
1911,17.02,17.15,17.11,16.06,13.21,10.09,9.50,11.54,14.38,16.41,16.80,17.12
1912,17.06,17.23,16.88,15.85,12.79,10.13,9.50,11.53,14.41,16.37,16.86,17.06
1913,17.08,17.20,16.56,15.75,13.28,10.10,9.55,11.56,14.43,16.41,16.79,17.13
1914,17.10,17.18,17.17,15.40,12.06,10.15,9.52,11.54,14.49,16.43,16.81,17.06
1915,17.05,17.17,16.78,15.91,12.25,10.13,9.57,11.55,14.42,16.40,16.80,17.07
1916,17.05,17.24,16.74,15.30,12.51,10.15,9.55,11.53,14.43,16.44,16.78,17.04
1917,17.04,17.20,16.61,15.68,12.94,10.16,9.54,11.54,14.42,16.43,16.81,17.01
1918,16.78,17.03,16.89,15.17,12.06,10.18,9.68,11.17,14.28,16.35,16.53,16.87
1919,16.90,17.08,16.96,16.18,11.36,9.99,9.70,11.36,14.36,16.15,16.71,16.95
1920,17.35,17.23,17.02,15.33,12.46,10.14,9.53,11.35,14.46,16.17,16.81,17.29
1921,17.27,17.28,16.75,15.72,12.65,10.16,9.50,11.51,14.40,16.35,16.67,17.03
1922,17.51,17.42,16.90,15.82,12.70,10.59,9.66,11.79,14.34,15.81,16.78,17.36
1923,16.86,17.15,16.48,15.60,12.43,10.45,9.58,11.82,14.02,16.32,17.02,17.35
1924,17.46,17.29,17.28,15.54,13.14,10.40,9.40,11.35,14.31,16.20,16.71,16.92
1925,16.97,16.99,17.03,15.56,12.18,10.33,9.37,11.27,13.90,16.14,16.88,17.29
1926,17.31,17.34,16.72,15.95,12.46,10.11,9.25,11.13,14.33,16.22,16.80,17.06
1927,17.21,17.24,16.59,15.86,12.84,9.92,9.36,11.23,14.23,16.14,16.78,17.19
1928,17.23,17.52,17.38,15.77,12.86,10.38,9.23,11.26,14.61,16.62,17.03,17.29
1929,17.14,17.33,17.01,15.46,11.83,10.32,9.53,11.35,14.60,16.74,17.11,16.98
1930,17.12,17.46,17.12,15.38,12.45,9.97,9.33,11.32,14.14,16.39,17.13,17.21
1931,17.35,17.68,17.31,15.95,13.30,10.16,9.62,11.60,14.32,16.44,16.36,17.06
1932,17.32,17.43,17.02,15.36,11.94,9.95,9.09,11.13,14.44,16.54,17.04,17.09
1933,17.04,17.31,17.54,16.08,13.04,10.33,9.70,11.47,14.12,16.48,16.67,16.92
1934,17.10,17.32,16.99,16.09,13.97,10.45,9.88,11.78,14.22,16.35,16.83,17.10
1935,17.15,17.15,16.90,15.79,13.20,9.92,9.54,11.05,14.48,16.53,16.85,17.21
1936,17.12,17.48,16.52,15.34,12.48,10.00,9.45,11.35,14.00,16.47,16.79,17.07
1937,17.23,17.27,17.11,16.17,13.37,9.97,9.21,11.18,14.05,15.93,16.69,16.67
1938,17.11,17.26,16.89,16.20,12.94,10.14,9.49,11.56,14.40,16.54,16.52,16.92
1939,17.47,17.63,16.75,15.83,13.93,10.13,10.02,11.70,13.77,16.13,16.49,16.86
1940,17.57,17.59,17.38,16.10,12.52,10.50,9.61,11.99,15.09,16.08,17.25,18.03
1941,17.26,17.87,17.61,16.76,13.39,10.63,9.81,11.90,14.65,17.07,17.47,17.22
1942,17.76,18.23,17.68,16.45,13.03,11.06,9.51,12.03,14.97,16.32,17.40,17.24
1943,17.53,17.36,17.28,16.08,12.73,9.64,9.64,11.67,14.54,17.55,17.04,17.01
1944,17.24,17.30,17.16,16.43,13.33,10.74,10.02,12.06,14.60,16.73,17.08,17.78
1945,17.38,17.56,17.11,16.20,13.05,9.48,9.88,11.20,14.46,16.97,16.61,17.37
1946,17.40,17.86,17.10,16.14,12.74,9.91,9.10,10.59,14.06,16.74,16.90,17.24
1947,17.40,17.54,17.32,16.41,13.77,10.31,8.67,11.50,14.29,16.45,17.13,16.75
1948,16.87,17.02,16.89,15.41,12.99,10.00,9.46,11.15,13.86,16.39,16.51,17.53
1949,17.54,17.27,17.31,16.57,13.95,10.62,10.13,11.98,14.92,17.06,17.26,17.14
1950,17.16,17.40,17.32,16.36,12.99,10.56,10.33,11.28,14.26,16.11,17.04,17.07
1951,16.82,16.95,17.27,16.44,13.56,9.94,9.43,11.52,14.32,16.41,16.80,17.10
1952,17.46,17.34,17.31,16.46,13.20,10.66,9.70,11.83,14.51,16.53,16.53,17.27
