Variable:,tasmin
Country:,Albania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.34,-3.45,2.56,5.08,8.28,11.88,14.70,13.56,11.00,7.61,1.56,2.15
1902,-0.44,1.16,0.76,5.03,6.22,10.80,14.05,14.62,11.60,7.64,0.53,-3.08
1903,-2.11,-0.28,2.41,3.07,8.72,10.38,13.48,13.94,11.38,7.50,3.32,1.46
1904,-2.59,1.31,1.29,5.35,9.12,12.32,15.44,14.38,9.83,7.16,0.59,-0.72
1905,-5.64,-3.37,1.36,4.24,8.98,11.53,15.45,15.50,12.79,4.54,5.21,0.04
1906,-2.46,-1.54,1.80,5.06,8.32,11.07,14.42,13.64,9.89,6.62,4.59,-1.45
1907,-4.04,-3.88,-2.45,2.87,10.80,11.92,13.65,14.40,11.00,10.19,2.62,1.28
1908,-3.16,-1.52,0.56,3.71,11.53,13.05,14.04,13.79,9.94,6.05,-0.49,-1.75
1909,-4.21,-5.13,1.55,5.38,8.68,11.41,13.65,14.51,11.62,7.89,2.07,2.54
1910,-0.80,0.97,0.86,4.67,8.17,11.63,13.10,13.90,9.74,7.15,2.66,2.34
1911,-2.41,-3.72,1.15,4.14,8.49,11.67,14.60,15.04,11.46,7.65,5.06,1.07
1912,-3.19,1.33,3.37,3.13,8.24,12.23,14.28,13.04,8.35,5.83,1.33,0.46
1913,-1.99,-2.57,2.91,5.01,8.14,11.55,12.07,12.61,11.74,7.72,4.02,-0.14
1914,-4.78,-2.36,2.31,5.80,8.49,10.74,13.49,13.83,9.90,5.81,1.76,1.10
1915,-0.10,-0.64,0.81,4.44,9.20,12.71,14.13,13.20,9.21,6.36,2.11,2.84
1916,-0.59,-0.96,3.70,4.98,9.23,12.86,14.79,13.31,9.75,7.03,4.41,2.61
1917,-0.92,-4.02,0.62,3.96,8.92,12.89,14.51,15.61,12.28,7.77,3.08,-2.28
1918,-1.37,-2.78,0.51,5.17,8.98,10.69,13.98,13.77,12.62,7.36,2.33,0.02
1919,-0.13,-1.06,2.18,4.80,6.28,11.40,13.09,13.77,11.93,6.43,2.97,-0.52
1920,-0.10,-1.76,2.36,6.79,10.58,11.44,15.09,14.01,11.35,5.19,0.13,0.33
1921,0.66,-1.78,1.72,4.23,10.06,10.47,15.03,15.16,10.60,7.04,1.41,-1.17
1922,-2.79,-2.92,3.34,5.04,9.38,12.67,14.84,15.31,10.80,6.62,0.55,-1.29
1923,-1.72,-0.83,1.72,4.61,10.46,10.10,14.66,14.86,11.99,9.02,6.06,0.26
1924,-4.68,-2.16,0.60,5.44,10.89,12.77,14.53,13.33,12.94,7.10,1.56,-0.68
1925,-1.78,1.71,0.78,5.23,9.02,10.92,14.08,14.15,10.80,7.31,4.46,-1.47
1926,-0.92,1.79,1.05,6.26,8.32,10.95,13.01,12.42,12.03,8.70,7.97,0.03
1927,-0.28,-2.45,3.64,5.48,9.26,13.84,15.74,15.59,12.73,7.24,4.98,-1.31
1928,-1.51,-1.99,-0.08,6.02,7.22,12.07,16.62,16.03,12.51,7.30,4.84,-1.26
1929,-4.28,-5.49,-1.44,2.93,10.42,12.14,14.60,15.61,10.50,7.81,4.86,0.76
1930,-0.85,-1.36,2.93,5.70,8.15,12.55,14.69,14.14,12.22,7.17,4.49,0.51
1931,-0.39,-0.75,0.21,3.21,9.63,13.21,15.67,14.66,9.40,6.55,2.33,-2.06
1932,-2.89,-5.76,-1.59,4.30,8.91,11.07,14.95,14.88,13.38,8.39,3.07,0.63
1933,-3.36,-1.23,0.44,2.89,7.19,9.41,13.35,13.72,9.52,7.04,4.50,-3.07
1934,-2.24,-2.83,3.15,6.42,10.01,11.69,14.24,14.27,11.90,7.25,4.85,2.13
1935,-3.22,-1.71,-0.11,4.52,8.01,12.98,14.02,14.08,11.04,9.10,3.25,1.22
1936,2.32,0.04,3.23,5.71,8.76,11.11,15.29,13.91,10.31,5.93,3.25,-1.12
1937,-3.25,-0.02,3.24,4.60,9.60,12.63,14.64,14.25,12.24,7.62,3.79,0.69
1938,-2.04,-1.62,1.55,2.93,7.82,13.09,15.37,14.70,10.69,7.86,3.92,-0.02
1939,0.66,-0.45,-0.56,5.82,7.96,11.24,15.16,14.34,10.96,7.84,3.39,-0.36
1940,-5.55,-3.02,-0.41,4.53,7.59,11.00,14.11,12.24,11.03,7.78,5.20,-3.18
1941,-1.35,1.03,1.59,5.06,7.89,11.65,14.27,13.96,8.81,5.81,1.05,-2.07
1942,-6.61,-2.79,-0.06,4.38,9.62,12.66,14.34,14.45,13.26,7.96,2.24,0.42
1943,-4.22,-0.68,0.54,5.07,8.28,11.19,14.44,15.76,12.97,8.83,4.26,0.75
1944,-2.00,-2.17,-0.48,5.27,8.33,12.29,14.00,14.78,11.61,8.33,3.33,-0.47
1945,-3.91,-1.68,0.85,5.08,11.23,13.21,15.42,15.23,11.65,6.05,2.91,-0.33
1946,-3.14,-1.23,1.52,5.82,9.83,13.27,15.92,16.31,13.74,5.54,4.80,-1.24
1947,-5.69,-0.95,3.99,6.73,9.90,13.07,15.60,14.77,12.71,6.42,4.43,0.93
1948,1.97,-1.69,0.93,5.52,9.81,10.97,13.04,14.65,11.31,7.79,2.16,-3.49
1949,-0.91,-1.82,-1.34,5.07,9.42,10.59,13.75,13.00,11.20,7.65,4.89,0.54
1950,-5.00,-1.95,1.98,6.23,10.18,13.16,15.71,14.59,12.37,6.61,3.41,2.21
1951,-0.14,1.40,2.52,5.23,8.93,12.51,14.34,14.74,12.75,6.01,5.00,-0.57
1952,-1.32,-1.99,-0.57,6.63,8.21,12.68,15.77,16.73,12.53,6.38,3.56,2.26
1953,-1.49,-2.12,-1.38,5.33,8.32,12.39,15.52,14.08,11.44,8.06,1.33,-1.64
1954,-4.63,-4.06,2.96,4.04,7.74,13.12,14.03,14.00,11.82,6.46,3.44,1.06
1955,1.54,1.51,0.63,2.96,8.82,11.82,13.75,12.86,11.23,8.34,3.24,1.01
1956,-0.72,-4.63,-1.66,4.47,8.26,10.79,14.31,15.42,12.09,5.90,2.75,-1.90
1957,-2.83,0.49,0.97,5.02,7.50,13.46,14.38,14.01,10.69,8.08,4.23,-0.56
1958,-1.75,0.21,-0.48,3.63,10.32,11.55,14.71,15.19,10.82,6.53,4.94,2.55
1959,-2.45,-3.95,3.15,5.09,8.75,10.81,14.25,13.19,9.61,4.41,3.69,2.41
1960,-1.65,-0.29,2.37,4.98,8.98,11.67,12.55,13.84,10.61,8.27,4.79,2.66
1961,-1.40,-1.97,1.61,6.61,8.04,12.09,13.70,13.95,10.87,7.53,4.87,0.14
1962,-0.29,-2.76,0.56,4.80,8.66,11.23,14.13,15.73,11.82,8.37,5.11,-1.38
1963,-3.41,-1.47,-0.21,5.57,9.49,12.46,15.53,14.66,11.96,7.34,5.40,0.65
1964,-5.02,-1.70,2.24,4.76,8.69,13.27,14.05,13.28,10.55,7.54,4.37,0.71
1965,-1.05,-4.43,1.10,4.05,7.87,11.77,14.55,12.79,11.00,5.81,3.45,0.99
1966,-2.99,1.64,0.98,6.00,8.44,12.09,13.76,14.81,11.54,10.09,3.35,-0.02
1967,-4.09,-2.17,1.35,4.41,8.93,10.36,14.75,14.98,11.58,8.03,3.75,-0.73
1968,-4.36,0.21,0.41,6.34,11.04,12.33,14.19,12.30,10.54,6.47,4.83,0.37
1969,-2.03,-0.59,2.11,4.23,10.57,11.06,13.12,13.61,12.33,6.60,4.50,-0.40
1970,0.52,-0.88,1.31,4.97,7.37,12.07,13.66,14.31,11.37,5.88,2.87,-0.07
1971,0.84,-0.81,-0.62,5.73,10.05,11.86,13.77,15.48,9.65,5.22,2.44,-0.44
1972,1.04,1.37,2.49,6.45,8.66,12.83,13.89,13.33,10.08,4.44,2.41,-0.51
1973,-0.57,-0.86,0.26,3.06,9.04,11.86,14.18,13.78,12.44,7.64,1.00,0.28
1974,-0.91,1.08,2.32,4.34,7.48,11.03,13.10,14.57,11.00,5.27,2.00,-1.55
1975,-3.04,-2.57,1.91,4.52,9.03,11.04,13.63,13.34,12.24,6.66,2.56,-0.14
1976,-3.28,-1.26,0.27,4.39,9.08,11.15,13.53,11.03,8.71,7.80,3.88,0.15
1977,-0.99,1.58,2.40,3.85,8.79,11.22,14.05,13.16,9.98,5.79,3.63,-2.01
1978,-1.55,-0.30,1.56,4.54,7.59,10.89,12.77,12.51,9.04,6.44,-0.54,1.17
1979,-2.56,0.80,2.48,4.34,8.99,12.85,13.24,13.37,10.16,7.80,4.37,1.32
1980,-2.69,-1.18,1.40,3.07,7.43,10.68,12.85,14.10,11.12,7.38,3.91,-1.86
1981,-3.55,-1.84,2.62,4.86,8.28,12.62,13.24,13.69,10.96,7.75,0.17,0.38
1982,-1.65,-2.47,0.55,4.60,9.26,12.67,14.41,14.39,13.06,8.19,2.48,1.44
1983,-1.99,-2.89,1.43,5.46,9.66,11.08,15.09,13.90,10.86,5.92,2.38,0.09
1984,-1.04,-0.13,0.96,4.67,8.47,10.60,13.01,13.09,10.03,8.28,4.04,0.24
1985,-3.36,-4.10,1.73,5.32,10.18,11.22,14.32,14.33,11.12,6.31,4.31,0.82
1986,-1.40,-1.12,2.77,5.15,10.60,12.21,13.20,15.08,11.41,7.13,2.90,-2.83
1987,-2.19,0.45,-2.26,4.55,7.34,11.52,14.49,14.29,13.68,8.26,4.61,0.85
1988,0.99,-0.75,0.79,4.74,9.50,11.88,16.64,15.84,11.48,6.85,0.68,-0.89
1989,-3.29,-0.68,3.31,5.41,8.27,10.59,14.63,14.05,11.10,5.49,2.36,-0.44
1990,-3.48,0.10,2.41,5.31,9.35,12.18,15.03,14.62,10.56,8.34,5.13,-0.30
1991,-2.52,-2.21,3.65,4.49,6.47,12.25,14.28,14.49,11.79,7.49,4.00,-2.83
1992,-2.81,-2.71,0.66,5.23,9.50,11.97,14.18,16.21,10.88,8.83,3.92,-0.71
1993,-3.15,-3.63,-0.30,4.65,10.18,12.98,13.81,14.74,10.38,8.21,3.42,0.97
