Variable:,tasmin
Country:,Belgium
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.63,-5.11,0.15,4.17,6.41,10.10,12.99,11.95,9.88,6.18,0.81,0.15
1902,1.60,-2.89,1.51,4.11,4.41,9.80,10.75,10.61,8.50,4.92,0.83,-2.24
1903,-0.27,1.67,2.74,1.49,7.50,9.19,11.26,11.10,9.67,7.65,2.98,-1.39
1904,-2.24,0.16,0.37,4.74,7.45,9.48,13.12,11.37,7.89,5.69,1.79,1.54
1905,-2.58,0.37,2.57,2.65,6.51,11.31,13.19,11.62,9.36,3.02,1.40,0.10
1906,0.31,-0.86,0.48,2.79,7.91,9.69,11.94,12.35,9.08,7.78,4.57,-2.00
1907,-1.03,-2.40,0.83,3.04,7.29,9.53,10.12,11.32,9.04,7.70,2.84,0.90
1908,-3.93,0.73,0.05,2.09,8.71,11.28,12.07,10.84,8.93,4.98,0.56,-1.05
1909,-2.42,-2.87,-0.14,3.89,5.95,8.68,10.69,11.82,8.89,7.38,0.92,0.58
1910,0.56,1.12,0.96,3.20,7.19,11.43,11.42,11.64,9.21,6.83,0.97,2.58
1911,-1.54,0.27,1.40,2.65,8.46,9.91,13.48,14.55,10.32,6.51,3.05,2.75
1912,-0.63,1.13,4.06,3.45,7.05,10.27,13.00,10.32,6.74,4.01,2.39,2.86
1913,0.40,-0.16,3.31,4.02,7.79,10.20,10.57,10.80,9.40,6.91,5.82,1.34
1914,-3.48,1.91,2.94,5.42,6.90,9.44,12.81,12.70,9.18,6.19,2.29,2.40
1915,0.51,0.12,0.61,2.88,7.67,10.88,11.21,11.33,8.52,4.33,-0.15,2.81
1916,3.33,-0.05,0.74,4.02,7.95,8.14,11.05,12.10,8.87,6.86,2.89,0.50
1917,-2.74,-5.26,-1.30,0.86,9.31,12.52,12.16,12.13,9.89,4.20,4.34,-2.80
1918,-0.29,0.91,0.75,4.52,8.76,8.64,11.77,11.87,9.28,5.72,1.80,3.52
1919,-0.10,-2.23,1.04,2.35,7.68,9.83,9.81,11.53,9.71,3.26,-0.29,0.95
1920,1.56,1.63,3.20,5.48,8.62,10.42,11.57,10.35,9.35,4.41,-0.13,-0.18
1921,3.51,0.16,2.36,3.60,8.14,10.07,13.50,11.94,9.82,8.56,-1.75,0.31
1922,-2.12,-1.77,1.29,2.60,8.25,10.55,11.05,10.77,8.69,2.98,1.54,2.16
1923,1.44,1.16,3.02,3.37,6.68,7.84,13.89,11.44,8.92,7.58,0.96,-1.54
1924,-2.09,-2.42,0.05,3.09,8.74,10.42,12.06,10.65,10.10,7.08,2.21,1.14
1925,1.33,2.24,0.05,3.96,8.91,10.12,13.41,12.42,8.02,6.05,0.64,-1.14
1926,-0.29,3.71,2.46,4.82,6.45,9.47,12.82,11.92,10.56,5.21,3.82,-0.42
1927,1.30,-0.19,3.09,4.04,6.72,9.14,12.73,12.59,10.29,6.18,1.80,-3.21
1928,0.88,1.46,0.94,4.19,6.02,9.27,12.53,11.93,8.57,6.08,4.76,0.01
1929,-4.25,-7.97,0.06,1.28,7.62,9.49,12.55,11.46,11.41,6.81,2.83,2.60
1930,1.98,-1.36,0.98,4.87,7.31,12.48,12.18,11.88,10.24,6.75,4.23,-0.08
1931,0.18,-1.52,-1.49,2.91,8.52,10.77,12.45,11.76,7.40,4.28,3.72,0.02
1932,1.16,-2.45,-0.99,3.34,7.52,10.04,12.86,14.24,11.16,5.95,2.76,0.78
1933,-2.73,-0.55,2.18,3.90,7.48,10.25,13.23,12.74,10.12,6.36,1.35,-5.01
1934,-0.32,-0.61,1.06,4.97,7.28,10.44,12.88,11.86,11.05,7.89,2.62,4.53
1935,0.24,1.01,0.74,4.24,5.79,11.66,12.82,12.14,9.94,5.92,3.94,0.13
1936,2.21,-1.08,2.53,2.45,7.91,11.08,12.33,12.39,10.22,4.88,2.89,0.64
1937,0.41,2.05,0.40,5.07,8.82,10.67,12.39,12.64,9.20,6.93,1.66,-0.72
1938,1.29,-0.39,3.41,2.15,5.96,10.67,11.54,13.15,10.28,6.03,5.76,-1.94
1939,2.05,-0.03,1.00,4.87,7.02,10.69,11.97,12.72,10.27,5.02,4.58,-1.24
1940,-8.05,-3.45,1.32,4.26,7.64,11.16,11.52,10.71,8.96,5.22,3.79,-2.02
1941,-4.75,-1.23,1.29,2.70,4.89,11.26,13.30,11.46,9.24,6.36,1.73,1.36
1942,-7.12,-6.58,-0.09,4.39,7.11,9.75,11.99,12.62,10.29,8.53,2.70,1.36
1943,0.27,0.96,1.81,5.69,7.87,10.10,12.13,12.54,9.14,6.77,1.81,-0.66
1944,2.22,-1.61,-0.28,5.00,6.27,9.77,12.77,13.96,8.91,6.03,3.22,-0.28
1945,-5.46,2.66,3.21,4.99,8.73,11.26,12.91,12.29,10.75,7.32,2.43,0.74
1946,-2.96,2.23,0.97,4.67,7.71,10.09,13.01,11.63,10.28,5.85,3.45,-2.68
1947,-4.16,-6.22,0.31,4.80,9.56,12.15,14.04,14.80,11.66,4.98,4.07,1.00
1948,2.58,-0.37,2.60,4.85,7.97,10.34,12.07,12.26,9.69,5.60,2.18,0.48
