Variable:,tasmin
Country:,Benin
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.55,21.19,23.15,24.21,23.25,22.39,21.77,21.45,21.34,21.58,19.94,18.49
1902,19.22,21.13,23.41,24.64,23.75,22.00,21.77,21.73,21.35,21.13,19.94,18.93
1903,19.08,21.32,23.60,24.38,23.67,22.52,21.75,21.49,21.27,21.43,19.94,19.14
1904,18.99,21.32,23.53,25.00,24.23,22.85,22.01,22.00,21.55,21.58,20.14,19.05
1905,17.92,18.88,22.44,24.62,23.57,21.72,21.86,20.87,21.23,21.46,20.98,20.63
1906,17.05,21.59,23.76,26.47,23.36,22.80,21.11,20.83,21.95,21.88,19.71,20.12
1907,18.70,18.61,21.66,23.54,24.23,22.43,22.23,21.44,21.31,23.83,19.62,17.55
1908,18.33,19.88,21.88,25.02,24.75,22.65,21.87,20.89,21.36,21.27,18.11,16.64
1909,17.79,21.34,25.42,23.38,23.11,20.70,20.38,19.61,21.40,20.27,19.94,17.74
1910,17.01,21.74,22.49,23.60,23.87,23.70,22.51,21.74,21.84,20.70,20.20,19.46
1911,18.53,20.79,23.33,24.49,23.48,22.51,22.00,21.70,21.61,21.81,19.80,17.69
1912,19.47,21.71,23.72,25.21,24.14,23.05,22.41,21.81,22.08,21.48,19.09,19.17
1913,19.85,21.71,21.00,23.01,23.97,23.42,23.05,23.09,23.17,21.03,18.95,18.37
1914,20.90,20.41,21.39,23.44,25.09,23.78,22.78,21.72,21.97,21.67,21.07,18.34
1915,17.81,20.70,22.82,23.56,23.36,22.05,21.75,21.06,21.13,21.17,19.83,18.65
1916,18.08,20.03,22.62,23.85,22.92,22.12,21.54,20.72,20.62,20.23,19.22,18.70
1917,19.13,21.34,22.96,24.00,22.71,21.58,21.29,21.13,20.62,20.14,18.76,18.29
1918,18.14,20.40,22.67,24.05,23.11,22.20,21.80,20.78,20.87,21.37,19.51,19.39
1919,19.28,21.28,23.55,25.04,23.97,22.15,21.45,21.20,21.41,21.43,20.35,19.10
1920,19.13,21.63,23.20,24.25,23.97,21.97,21.64,21.52,20.83,21.47,19.66,18.71
1921,18.88,21.32,23.36,23.95,24.45,22.25,21.59,21.40,21.15,21.06,19.54,18.42
1922,18.93,20.85,23.48,24.17,23.55,22.19,21.63,20.70,20.66,20.86,18.99,18.26
1923,19.49,20.74,22.76,23.05,23.18,22.05,21.02,20.30,20.75,21.34,20.05,18.52
1924,18.95,22.86,23.80,23.66,24.11,21.83,20.88,20.29,20.46,21.42,19.30,18.46
1925,16.37,20.01,23.38,24.12,23.18,20.88,20.98,20.93,21.09,20.42,20.03,18.23
1926,18.65,20.72,22.69,23.44,23.07,21.58,21.34,21.53,21.88,21.32,19.91,19.38
1927,16.55,20.77,21.66,23.74,23.20,21.64,21.54,20.10,21.08,21.48,19.17,18.89
1928,18.14,20.06,21.94,22.41,23.18,21.95,21.37,19.84,20.91,20.81,18.89,18.19
1929,17.64,19.77,22.02,23.29,23.50,21.39,21.44,20.15,20.98,20.35,18.26,16.85
1930,18.66,22.19,22.88,23.93,23.42,21.96,21.89,21.09,21.50,20.84,21.02,20.41
1931,20.01,22.01,23.55,24.85,23.51,22.15,21.89,21.87,20.79,21.07,20.62,20.43
1932,17.21,20.29,23.41,25.37,23.36,21.95,21.24,21.76,21.69,22.38,21.20,20.01
1933,19.64,22.00,23.25,23.75,22.55,21.18,21.13,20.72,21.39,20.96,19.47,18.32
1934,17.58,20.58,23.25,24.53,24.08,22.08,21.67,21.49,21.75,22.05,20.88,19.45
1935,18.29,21.29,25.26,25.18,23.81,21.53,21.31,20.86,21.09,21.75,20.12,19.04
1936,18.24,21.85,24.71,23.37,22.85,21.39,20.73,20.08,20.15,20.71,19.83,17.56
1937,18.44,21.46,24.84,25.70,25.04,23.68,22.39,21.23,21.83,22.45,21.12,19.88
1938,19.84,22.46,23.40,25.44,25.32,23.97,22.76,21.43,22.04,22.56,22.04,19.84
1939,19.75,21.69,24.98,23.95,24.07,23.20,22.47,21.58,21.62,22.42,21.28,20.74
1940,19.60,21.34,23.31,24.26,23.90,22.36,21.74,21.49,21.39,21.58,19.99,18.74
1941,20.19,20.77,24.52,24.96,24.50,22.63,22.08,21.99,22.17,22.77,21.35,20.11
