Variable:,tasmin
Country:,Switzerland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.81,-11.08,-4.74,0.02,3.42,7.67,8.72,8.16,7.21,2.56,-3.77,-4.49
1902,-5.06,-5.54,-3.27,1.78,0.50,5.99,8.81,8.11,5.73,1.94,-2.98,-5.81
1903,-6.62,-4.54,-2.70,-2.92,3.11,5.73,7.68,8.20,6.13,3.20,-1.61,-5.24
1904,-6.38,-4.50,-3.38,1.07,4.43,7.54,10.14,9.13,4.99,2.61,-3.17,-4.34
1905,-8.76,-6.10,-2.72,-0.51,2.18,7.21,10.43,8.62,6.89,-1.15,-2.48,-4.83
1906,-6.35,-6.99,-4.77,-1.11,3.90,6.56,8.89,9.19,5.36,3.64,-0.86,-7.42
1907,-7.68,-8.14,-5.29,-1.87,3.92,6.87,7.03,8.79,6.44,3.73,-1.08,-3.53
1908,-8.17,-5.29,-4.84,-2.32,5.11,8.28,8.10,7.36,5.31,1.65,-3.51,-4.92
1909,-8.40,-8.73,-5.62,0.42,2.77,5.50,7.10,8.20,5.25,3.41,-3.03,-3.27
1910,-5.12,-4.66,-3.60,-1.09,2.24,7.40,7.14,8.06,4.76,3.23,-3.10,-2.42
1911,-8.44,-6.19,-3.42,-1.28,3.89,6.18,10.58,10.81,7.67,2.32,-0.57,-2.80
1912,-4.87,-3.22,-1.50,-1.71,4.61,7.02,8.05,6.44,3.43,0.78,-4.08,-4.30
1913,-5.02,-6.75,-2.27,-0.67,3.40,7.18,6.62,7.63,5.50,3.33,0.93,-4.54
1914,-9.31,-4.31,-2.52,1.27,2.65,5.98,7.64,8.42,5.78,1.73,-2.43,-2.97
1915,-6.08,-5.89,-4.21,-1.42,5.67,8.14,7.93,7.69,4.30,0.65,-4.14,-1.22
1916,-3.38,-4.79,-3.02,-0.43,4.23,5.19,7.87,8.24,4.26,2.19,-1.46,-3.63
1917,-7.38,-8.79,-5.74,-3.03,5.79,8.49,8.53,7.90,7.82,0.51,-1.92,-8.10
1918,-6.38,-5.16,-4.06,0.12,4.92,4.86,8.46,8.24,6.75,1.04,-2.14,-2.40
1919,-4.88,-6.52,-3.53,-2.31,2.95,7.30,6.23,9.57,7.83,-0.60,-4.10,-4.46
1920,-3.41,-4.16,-1.67,0.44,6.38,6.75,8.15,7.26,6.50,2.41,-3.32,-4.10
1921,-2.63,-5.47,-2.98,-1.68,4.58,6.98,10.11,8.34,6.87,4.25,-4.10,-4.85
1922,-7.12,-6.60,-2.84,-1.77,5.28,7.37,7.24,8.03,4.13,1.18,-3.63,-4.60
1923,-5.69,-3.41,-2.45,-0.76,3.39,4.04,10.19,9.16,5.69,4.29,-1.93,-5.12
1924,-7.47,-7.25,-3.89,-0.10,5.15,6.79,8.63,6.25,6.12,2.73,-1.47,-4.03
1925,-4.40,-3.86,-5.57,-0.26,3.73,7.50,8.07,8.30,4.04,2.65,-2.53,-5.65
1926,-6.60,-1.92,-2.50,0.42,2.20,4.99,8.64,8.30,8.13,2.85,0.41,-5.36
1927,-5.06,-6.31,-2.56,0.68,4.27,6.98,8.76,8.39,6.32,1.86,-1.00,-4.86
1928,-4.45,-3.94,-2.87,-0.21,1.56,7.27,11.38,9.87,6.04,1.84,-0.35,-5.14
1929,-9.82,-11.62,-4.05,-2.39,4.15,7.84,9.15,8.50,8.16,2.87,-1.34,-2.91
1930,-4.09,-6.14,-2.77,0.42,2.80,8.88,7.74,8.03,6.74,2.18,0.16,-4.16
1931,-6.02,-7.16,-6.12,-1.67,5.05,8.61,7.85,7.59,3.02,0.73,-0.40,-6.19
1932,-4.97,-9.94,-5.85,-1.73,2.73,5.70,7.88,10.39,8.86,1.94,-0.92,-3.78
1933,-7.79,-6.32,-3.14,-0.31,2.66,4.60,9.06,9.53,6.48,2.86,-2.54,-8.33
1934,-6.02,-6.61,-3.40,1.09,4.75,6.72,9.24,7.49,7.30,1.79,-2.65,-1.63
1935,-7.80,-4.90,-4.71,-0.71,1.60,8.51,9.18,7.49,6.50,3.13,-0.66,-5.54
1936,-2.59,-5.26,-2.10,-0.64,3.93,6.89,7.90,8.18,6.44,-0.72,-1.59,-3.93
1937,-5.09,-3.30,-3.93,-0.22,4.79,7.71,8.80,8.42,5.77,2.78,-2.23,-5.73
1938,-5.82,-6.29,-1.27,-3.19,1.88,7.93,8.02,8.26,6.18,2.23,-0.19,-6.52
1939,-4.30,-5.05,-5.61,1.04,1.85,6.99,7.45,8.45,5.68,1.97,-0.24,-5.86
1940,-10.90,-6.93,-3.80,0.13,3.39,6.32,7.24,6.97,6.11,2.55,-1.11,-9.26
1941,-8.47,-5.74,-3.38,-1.55,0.28,6.99,9.10,7.41,4.96,1.57,-2.54,-5.41
1942,-10.69,-9.29,-2.55,-0.15,3.37,6.82,8.35,8.32,7.87,4.74,-2.62,-4.35
1943,-6.10,-4.41,-1.98,0.78,4.36,6.39,8.51,10.02,7.20,4.39,-2.76,-3.72
