Variable:,tasmin
Country:,China
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-13.93,-12.28,-5.36,1.33,6.54,10.85,13.65,12.77,8.04,1.20,-5.92,-12.50
1902,-13.63,-11.53,-5.09,0.86,6.48,10.78,13.32,12.38,8.08,1.47,-5.86,-11.92
1903,-14.10,-11.39,-5.73,1.12,6.30,10.80,13.56,12.57,8.19,1.24,-6.56,-12.69
1904,-14.61,-11.39,-6.08,0.98,6.43,11.12,13.41,12.69,8.07,0.99,-6.20,-12.11
1905,-13.22,-12.63,-6.83,0.00,6.21,11.06,13.60,12.48,8.07,1.40,-6.33,-11.79
1906,-14.65,-12.91,-6.06,1.11,6.52,11.01,13.59,12.61,8.18,1.35,-7.11,-11.54
1907,-13.19,-12.42,-6.32,0.82,6.33,10.52,13.23,12.84,7.98,1.79,-6.46,-12.53
1908,-14.22,-12.08,-6.30,0.92,6.35,11.02,13.62,12.76,8.00,1.39,-6.62,-11.76
1909,-14.42,-11.71,-6.45,0.85,6.23,10.46,13.62,12.77,8.11,1.38,-5.57,-12.49
1910,-14.35,-12.19,-6.57,0.57,6.46,10.59,13.58,12.69,7.64,1.33,-6.72,-13.50
1911,-14.46,-11.90,-6.36,1.00,6.26,10.79,13.26,12.49,8.27,0.83,-6.29,-12.78
1912,-14.06,-10.71,-6.30,1.06,6.48,11.04,13.44,12.33,7.15,0.64,-7.43,-13.04
1913,-14.46,-11.82,-6.74,0.74,6.01,10.50,13.16,12.51,7.86,1.19,-6.65,-12.61
1914,-12.96,-10.96,-5.52,0.91,6.58,11.25,13.78,12.59,7.91,1.40,-6.79,-12.58
1915,-14.87,-12.22,-6.52,0.61,6.34,10.78,13.43,12.66,7.91,1.81,-5.45,-11.47
1916,-13.91,-11.78,-6.59,0.80,6.60,10.85,13.45,13.02,8.05,1.24,-6.46,-13.22
1917,-15.45,-11.83,-6.47,0.54,6.19,11.14,13.79,13.03,8.21,1.34,-7.01,-13.61
1918,-15.01,-11.72,-5.45,0.79,6.47,10.67,13.44,12.64,8.06,1.19,-7.00,-13.27
1919,-15.36,-11.81,-5.38,1.22,6.43,11.05,13.88,13.29,7.69,1.24,-6.63,-12.62
1920,-13.68,-13.17,-5.76,0.87,6.53,10.70,14.13,12.60,8.09,1.65,-6.05,-12.34
1921,-14.14,-11.86,-6.03,1.25,6.65,10.77,13.85,12.83,7.85,1.09,-6.69,-12.05
1922,-15.28,-10.58,-5.73,1.67,6.71,11.25,13.80,12.88,8.15,1.53,-7.13,-12.40
1923,-14.69,-12.15,-4.63,1.11,6.75,11.00,13.52,13.23,7.90,1.22,-5.93,-12.13
1924,-13.95,-11.90,-6.30,1.41,6.66,11.40,14.06,13.28,8.27,1.41,-6.58,-12.06
1925,-14.72,-12.97,-5.86,0.62,6.68,11.19,13.84,12.80,8.37,1.71,-5.35,-12.04
1926,-13.68,-11.20,-5.23,0.71,6.97,10.85,13.70,13.26,8.76,0.94,-6.28,-12.74
1927,-14.29,-12.06,-6.56,1.21,6.38,11.15,14.24,12.95,8.24,1.69,-5.67,-11.90
1928,-13.96,-11.52,-5.29,1.54,7.05,10.94,14.00,12.99,8.28,1.04,-6.53,-12.61
1929,-14.66,-12.38,-5.12,1.61,6.97,11.46,13.85,13.05,8.18,1.14,-6.64,-13.53
1930,-15.79,-11.19,-5.01,1.33,7.04,11.13,14.39,13.03,7.93,1.29,-6.56,-12.23
1931,-14.82,-13.15,-5.33,1.20,6.52,11.35,13.45,13.63,8.48,1.46,-5.94,-11.96
1932,-12.91,-12.53,-5.72,1.46,6.83,11.37,14.43,12.90,8.49,1.49,-5.84,-11.98
1933,-15.80,-11.81,-6.35,1.35,6.92,11.27,14.24,13.25,8.56,1.43,-6.15,-10.94
1934,-15.79,-10.89,-6.47,0.06,7.10,11.01,13.99,12.76,8.41,0.67,-6.83,-10.79
1935,-14.41,-9.90,-4.68,0.71,6.58,11.18,14.06,13.16,8.44,2.85,-6.44,-14.49
1936,-15.91,-12.35,-7.58,0.82,6.28,11.15,13.84,12.55,8.39,1.79,-6.22,-12.39
1937,-14.60,-11.23,-6.64,1.02,6.54,11.16,13.91,13.40,8.62,1.97,-7.17,-12.58
1938,-14.82,-12.19,-5.15,2.43,7.27,11.18,14.23,13.32,8.31,2.38,-6.07,-12.59
1939,-14.25,-10.89,-5.41,0.80,6.80,11.06,14.51,13.51,8.11,1.44,-6.52,-11.81
