Variable:,tasmin
Country:,"Cote d'Ivoire"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.71,21.53,22.59,22.60,22.02,21.62,21.15,20.98,21.23,21.36,20.88,19.26
1902,19.86,21.31,22.36,22.67,22.33,21.67,21.24,21.39,20.93,21.12,20.81,19.14
1903,18.96,21.35,22.54,22.61,22.29,21.66,20.92,20.69,20.77,21.16,20.67,19.50
1904,18.52,20.93,22.21,22.41,22.24,21.96,20.95,21.18,21.34,21.31,21.07,19.44
1905,18.76,21.18,22.12,22.80,22.30,21.32,21.04,20.81,20.72,21.18,20.69,19.11
1906,18.14,21.38,22.89,22.99,21.92,21.23,20.57,20.71,20.89,21.15,20.87,19.19
1907,19.15,21.17,22.06,22.38,22.14,21.17,21.03,20.75,20.97,21.14,20.60,19.15
1908,19.43,21.52,22.46,22.90,22.15,21.40,20.81,20.74,21.00,21.14,20.64,18.77
1909,18.41,21.41,22.33,22.53,21.78,20.99,20.66,20.79,21.07,21.15,20.31,18.86
1910,17.20,21.34,22.62,22.68,22.17,21.96,21.07,20.97,21.13,21.17,20.76,19.33
1911,18.85,21.20,22.32,22.72,22.00,21.25,21.04,20.82,21.08,21.13,20.50,18.97
1912,19.86,21.93,22.99,23.21,22.56,21.72,21.21,20.94,20.96,21.29,20.78,19.28
1913,20.13,21.68,21.92,22.58,22.23,22.06,21.45,21.15,21.32,21.14,20.39,18.83
1914,19.18,21.14,22.38,22.67,22.50,22.07,20.86,20.71,20.98,21.25,20.81,19.12
1915,18.66,21.25,22.72,22.72,22.20,21.59,21.11,20.98,21.28,21.60,20.94,19.54
1916,18.42,20.83,22.58,22.61,22.25,21.50,20.99,20.76,20.78,21.08,20.40,18.84
1917,19.19,21.10,22.14,22.49,21.72,21.15,21.25,20.88,20.51,20.88,19.97,18.81
1918,18.02,21.50,22.07,22.25,22.22,21.38,20.81,20.24,20.74,21.16,20.68,18.97
1919,18.96,21.53,21.94,22.16,21.77,21.10,20.42,20.74,20.64,20.95,21.22,19.37
1920,18.68,21.37,21.98,22.36,22.47,21.51,20.69,20.74,20.89,21.11,20.51,19.34
1921,18.77,21.34,22.21,22.08,22.24,20.82,20.89,20.80,20.86,21.43,20.62,18.77
1922,18.89,21.61,22.83,22.32,22.37,21.67,21.15,20.46,20.65,20.56,20.14,18.70
1923,18.74,20.53,21.91,21.79,21.92,21.39,21.42,20.52,20.81,21.00,20.56,19.12
1924,19.21,21.61,22.43,21.62,22.32,20.91,20.62,20.39,20.71,20.94,20.15,18.22
1925,15.97,20.46,21.74,22.71,22.74,21.37,20.77,20.79,20.68,20.12,20.86,18.81
1926,18.59,21.44,22.18,22.29,21.91,20.46,20.11,21.17,21.23,21.17,19.98,19.41
1927,16.08,20.24,21.32,22.24,21.15,20.38,20.56,20.13,20.91,20.44,19.48,17.92
1928,17.30,20.30,20.89,20.87,21.35,20.97,20.53,19.60,20.55,20.19,19.86,18.59
1929,16.82,19.49,21.10,22.27,21.81,20.11,20.70,19.77,20.54,20.37,19.56,17.84
1930,17.31,20.11,21.10,21.98,21.85,20.54,20.40,20.16,20.75,20.38,20.45,19.40
1931,19.52,20.71,22.28,22.56,22.07,21.40,20.86,20.93,20.15,20.91,20.25,19.62
1932,17.11,20.54,22.13,22.83,21.84,21.55,20.53,20.69,21.10,21.43,20.58,18.59
1933,19.04,20.56,22.00,22.16,22.39,20.89,20.76,21.20,21.08,20.85,20.11,19.11
1934,16.92,20.12,21.80,22.71,22.68,21.54,21.30,21.29,21.65,21.15,21.23,18.72
1935,17.63,20.64,22.12,22.72,22.10,20.94,20.55,20.62,20.70,20.85,20.15,19.18
1936,18.50,21.64,22.88,22.14,21.69,20.92,20.43,20.13,20.48,20.92,20.71,19.06
1937,17.73,21.07,22.67,23.36,23.00,22.09,21.05,21.06,20.89,21.20,21.52,19.53
1938,19.36,22.16,22.56,23.33,22.98,22.57,21.28,20.86,21.27,21.96,20.81,19.98
1939,18.69,20.67,22.82,22.83,22.36,21.99,21.28,20.89,21.21,21.74,21.41,19.98
1940,19.18,20.87,21.85,22.45,22.44,21.66,21.10,20.95,21.17,21.18,20.61,18.71
1941,19.46,20.59,22.63,22.63,22.62,21.77,21.21,21.41,21.53,21.99,21.28,19.60
1942,18.04,21.20,22.54,22.98,21.93,21.66,21.13,20.35,21.78,21.57,21.41,18.28
1943,17.99,20.45,22.42,22.31,22.11,21.35,20.96,20.52,21.01,21.16,20.20,19.19
1944,18.22,20.72,21.91,22.62,22.76,21.93,21.65,21.44,21.31,21.52,20.87,19.40
1945,19.36,20.70,22.15,22.57,22.46,22.10,21.42,20.83,21.34,21.01,20.66,18.58
1946,18.88,20.39,22.90,22.54,22.20,21.37,20.94,20.47,20.61,20.94,20.89,18.49
1947,18.12,21.95,22.13,22.59,23.05,21.89,21.51,21.31,21.19,21.17,19.98,19.09
1948,17.00,20.56,21.98,22.27,22.13,21.15,21.16,21.18,21.24,21.39,20.22,19.19
1949,18.55,20.10,22.75,22.96,22.51,21.70,21.67,21.14,21.50,21.33,20.78,19.32
1950,18.59,19.79,21.84,22.83,22.48,21.61,21.03,20.55,20.90,20.56,20.38,19.01
1951,18.89,20.69,22.50,22.47,22.18,21.46,21.11,21.07,21.54,21.60,20.87,19.10
