Variable:,tasmin
Country:,"Cook Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.20,23.60,23.00,22.20,20.90,18.70,18.40,18.70,19.30,20.10,21.40,21.90
1902,22.90,23.60,22.90,22.20,20.60,19.70,19.00,19.10,19.00,19.70,21.40,22.40
1903,23.20,23.50,23.00,22.10,21.50,19.70,18.90,19.40,19.40,20.20,20.80,22.70
1904,23.10,23.40,23.00,22.20,20.90,19.70,18.90,18.80,19.30,20.10,21.20,22.00
1905,22.90,23.20,23.00,22.80,20.00,19.90,18.60,19.10,19.30,19.50,21.20,22.00
1906,22.70,23.30,22.90,21.70,20.50,19.60,18.90,18.60,19.00,19.40,21.30,22.70
1907,22.80,23.30,22.70,21.40,20.50,19.00,18.50,17.70,18.90,20.20,20.40,21.20
1908,22.80,22.80,23.00,23.00,20.20,18.90,18.40,21.30,19.50,21.60,20.80,22.40
1909,23.00,22.90,22.50,21.90,20.20,19.90,18.90,19.60,18.60,20.80,22.10,22.80
1910,22.60,23.00,23.00,22.40,19.90,18.30,20.00,18.90,20.70,20.30,20.20,23.20
1911,23.10,23.50,23.30,21.50,21.10,19.30,18.80,19.40,18.10,19.20,21.40,23.60
1912,23.70,23.90,22.40,21.10,20.50,18.80,18.20,19.00,19.60,19.90,21.10,21.10
1913,22.30,22.60,23.20,21.90,19.50,18.60,18.10,18.30,18.00,19.10,20.80,21.90
1914,21.60,23.50,23.30,22.10,19.70,18.60,17.20,17.60,17.90,19.20,20.90,22.80
1915,23.60,23.60,23.80,20.90,19.30,18.70,17.50,18.10,19.10,20.20,19.40,22.20
1916,22.90,23.60,22.40,21.60,21.00,20.00,19.70,20.20,19.20,20.20,20.50,21.40
1917,23.20,22.70,21.80,21.80,20.30,19.70,20.20,18.90,18.90,20.00,21.10,22.80
1918,22.00,23.20,20.80,20.80,19.60,19.20,16.70,18.90,17.40,18.80,19.20,21.60
1919,22.10,22.60,22.20,22.50,18.90,17.30,16.30,17.60,19.30,19.70,21.60,21.30
1920,23.00,23.40,22.30,22.10,20.10,18.00,19.30,19.40,19.60,19.10,20.10,22.70
1921,23.90,23.60,23.90,20.50,20.60,18.80,18.90,19.40,19.70,20.80,22.40,22.70
1922,23.00,23.60,23.60,23.00,20.90,20.40,19.00,18.70,19.80,20.70,21.50,22.70
1923,22.90,24.00,23.20,22.00,20.50,18.90,18.60,17.80,17.80,19.10,19.70,21.70
1924,23.50,23.10,22.40,21.00,21.20,19.70,20.00,19.80,20.40,19.90,21.70,22.60
1925,22.40,22.40,22.20,22.50,20.10,19.20,18.40,19.20,18.00,19.00,20.30,21.70
1926,21.90,23.50,22.40,20.50,20.90,18.30,18.70,18.40,18.80,19.80,22.30,22.80
1927,23.50,22.50,23.60,21.80,21.90,20.30,18.60,18.50,18.10,20.30,20.50,21.70
1928,22.20,21.60,22.40,21.30,19.20,18.00,18.10,18.30,19.40,20.30,21.70,22.00
1929,22.60,23.20,22.50,21.60,20.50,18.10,17.60,17.70,18.20,19.60,20.10,21.50
1930,22.50,22.70,22.40,20.90,19.90,17.80,17.90,17.60,18.10,19.40,20.50,22.30
1931,22.40,22.60,21.90,21.40,20.20,18.70,17.70,18.20,19.60,18.80,18.90,20.70
1932,22.50,23.40,22.10,21.20,19.40,18.70,18.80,18.10,17.90,19.20,20.20,22.10
1933,22.40,22.50,21.80,21.80,21.00,18.40,18.20,17.50,18.70,20.10,20.90,21.30
1934,23.30,22.80,22.20,21.20,20.20,18.90,18.70,17.90,18.80,19.50,21.40,21.70
1935,22.70,23.10,21.70,21.00,19.50,18.40,19.70,19.10,19.40,21.30,22.50,21.90
1936,23.30,23.10,23.10,22.20,21.20,19.00,19.60,18.90,18.50,19.80,20.90,22.90
