Variable:,tasmin
Country:,Cyprus
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.91,8.80,9.92,10.58,12.16,17.41,20.26,20.08,17.81,14.64,10.33,8.23
1902,5.57,8.42,6.58,9.76,13.61,16.82,19.94,20.15,19.24,15.85,9.81,6.69
1903,4.95,4.94,6.30,10.23,14.11,16.38,19.00,19.91,16.88,14.06,9.59,8.07
1904,5.88,7.07,7.20,9.25,12.95,16.86,19.78,20.27,17.67,16.18,9.98,6.12
1905,4.15,3.74,6.19,10.38,14.29,17.04,20.92,21.09,19.03,16.29,12.52,6.56
1906,5.76,6.13,7.71,10.06,12.83,17.80,20.50,20.46,17.65,15.13,11.17,8.88
1907,5.12,5.61,5.18,9.44,13.86,17.26,20.65,20.56,17.09,14.94,9.43,7.63
1908,5.64,5.32,7.07,9.65,14.97,17.86,19.90,20.37,17.38,14.41,9.41,5.94
1909,5.40,5.54,8.94,8.79,16.40,18.09,21.43,21.46,18.89,15.29,11.84,9.29
1910,5.47,6.73,4.88,10.70,13.74,17.14,20.54,21.06,17.88,13.99,10.44,6.76
1911,4.55,3.49,5.77,9.54,13.73,17.34,20.29,20.81,17.66,15.20,11.29,7.65
1912,4.82,7.03,7.84,9.56,12.60,17.76,19.63,20.51,17.97,14.87,10.86,7.10
1913,5.81,4.77,7.27,9.80,13.15,16.96,20.29,20.48,18.75,15.60,10.42,6.89
1914,5.86,6.49,8.94,8.87,14.29,17.71,20.69,21.12,18.28,14.45,10.36,8.09
1915,8.33,7.17,8.30,10.19,13.49,18.43,21.39,21.10,18.32,15.95,11.02,9.39
1916,5.71,6.91,9.30,10.83,15.53,20.19,22.25,20.56,17.89,14.38,12.42,9.18
1917,7.30,5.61,9.14,10.96,13.15,17.19,20.60,21.35,18.41,15.46,12.88,7.03
1918,6.11,5.91,7.30,9.92,13.87,17.20,20.67,20.56,19.61,17.95,12.43,8.04
1919,8.15,7.80,9.38,10.53,12.21,16.64,20.55,20.06,19.33,17.15,12.83,7.74
1920,6.71,3.82,7.72,11.18,14.41,18.43,21.19,21.76,18.51,14.46,9.86,6.60
1921,6.37,4.89,6.56,9.66,14.15,16.84,20.94,21.93,17.62,14.26,10.90,6.93
1922,6.10,5.83,8.97,10.74,14.17,17.70,21.69,21.56,19.31,16.70,11.63,7.03
1923,6.66,6.39,7.22,10.12,14.89,19.22,20.61,20.21,19.51,15.84,13.42,9.75
1924,5.87,6.93,7.94,11.62,13.95,18.35,21.43,20.71,19.39,14.03,11.06,7.41
1925,3.75,6.84,9.93,9.19,14.52,17.19,20.99,21.18,19.51,16.20,12.86,9.57
1926,6.77,6.57,7.23,11.69,15.70,19.66,20.98,19.91,17.55,15.98,12.69,9.12
1927,7.26,3.32,9.54,10.32,15.61,18.92,21.92,21.46,20.07,17.72,12.40,8.23
1928,6.96,4.66,5.48,12.81,15.80,18.17,21.58,21.88,19.07,14.53,12.44,8.06
