Variable:,tasmin
Country:,"Czech Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-9.88,-9.70,-2.50,2.21,6.69,10.34,12.06,11.19,7.62,5.00,-2.06,-2.75
1902,-1.80,-5.42,-1.86,1.66,3.48,8.98,10.27,10.40,7.13,3.03,-3.91,-7.52
1903,-6.76,-2.01,-0.13,-0.21,6.59,8.88,10.85,10.99,7.68,4.65,1.04,-4.71
1904,-6.05,-3.05,-1.58,2.98,6.15,9.81,12.62,11.55,7.17,4.26,-1.03,-2.97
1905,-8.18,-3.53,-0.33,0.91,6.19,10.90,13.01,11.65,9.11,1.04,-0.59,-3.03
1906,-4.78,-4.39,-2.38,2.71,7.50,9.15,11.87,10.80,7.59,4.05,1.83,-6.54
1907,-5.78,-5.85,-3.19,0.35,7.77,10.05,10.03,11.14,7.54,7.19,-1.86,-3.24
1908,-7.45,-3.31,-2.62,1.01,9.01,11.44,11.32,9.72,6.52,2.83,-3.94,-5.46
1909,-7.33,-8.10,-3.48,2.04,4.83,9.40,10.32,11.65,8.93,5.86,-1.48,-3.21
1910,-3.86,-2.63,-1.56,1.76,6.86,10.83,10.63,10.81,7.20,3.98,-1.30,-1.52
1911,-6.10,-4.68,-1.13,1.78,7.20,9.36,12.88,13.02,8.61,3.62,0.74,-1.90
1912,-8.13,-3.20,1.03,0.83,6.57,10.74,11.76,10.00,5.33,1.67,-2.15,-2.12
1913,-6.25,-5.19,0.42,2.46,6.49,9.74,9.55,9.84,7.81,4.30,2.23,-1.89
1914,-8.80,-4.82,0.01,3.45,6.60,9.50,11.73,11.54,7.31,4.35,-0.36,-2.14
1915,-3.95,-4.14,-2.88,2.01,7.26,11.34,10.98,10.16,6.12,3.21,-2.67,-0.98
1916,-1.05,-4.10,1.01,2.39,7.34,8.21,11.41,10.90,7.12,3.87,1.04,-1.30
1917,-6.89,-9.21,-4.20,-0.39,7.95,12.16,12.12,12.23,9.40,3.76,0.56,-6.28
1918,-4.59,-3.66,-1.45,4.94,7.55,7.93,11.27,11.26,9.11,4.49,-1.00,-1.15
1919,-2.88,-5.19,-1.05,0.91,4.14,9.29,9.78,10.95,9.47,2.82,-2.71,-3.70
1920,-2.38,-2.72,0.41,5.45,8.76,8.94,12.01,10.59,9.18,1.11,-3.98,-3.32
1921,-0.49,-3.99,-0.42,1.73,8.34,8.94,12.43,11.66,7.50,4.79,-3.29,-4.68
1922,-8.15,-7.33,-0.57,1.33,7.36,10.52,11.06,10.69,7.16,1.80,-1.68,-2.65
1923,-3.32,-4.14,-0.37,1.21,7.58,7.53,12.55,10.83,8.47,6.39,-0.26,-5.59
1924,-8.25,-7.82,-3.24,1.60,8.53,9.82,11.47,10.19,9.41,4.08,-1.55,-4.04
1925,-2.91,-1.65,-2.90,2.83,8.02,8.84,11.85,11.56,7.24,3.90,-0.76,-5.27
1926,-5.56,-0.41,-0.93,3.36,6.46,9.01,12.19,10.59,9.41,4.35,3.29,-3.28
1927,-2.71,-5.05,0.60,2.78,5.77,9.89,12.40,11.99,9.21,3.72,-0.33,-7.37
1928,-3.50,-3.36,-3.41,2.74,4.74,8.68,13.25,11.84,7.73,4.10,2.77,-4.97
1929,-10.54,-11.17,-3.62,-0.59,7.77,9.67,12.19,11.90,8.81,5.46,0.98,-1.70
1930,-3.56,-6.20,-0.43,3.80,6.42,12.12,11.58,10.92,9.11,4.31,1.59,-3.91
1931,-4.86,-5.62,-5.51,0.21,9.65,11.33,12.30,11.02,6.00,2.01,-0.52,-4.93
1932,-3.99,-8.90,-5.27,2.17,7.62,8.77,13.23,12.80,11.16,4.73,0.21,-3.95
1933,-8.40,-4.97,-1.72,1.09,6.00,8.42,11.89,11.43,7.72,3.88,-0.84,-8.74
1934,-4.88,-4.48,0.17,4.19,8.06,9.83,12.25,11.88,9.41,4.77,0.64,0.65
1935,-6.56,-4.00,-3.69,2.76,4.76,11.63,11.73,11.05,8.71,5.31,0.73,-3.95
1936,-2.49,-4.53,0.07,2.36,7.94,10.39,12.63,10.35,8.02,2.11,-0.31,-3.28
1937,-7.28,-3.04,-0.33,3.11,9.15,11.34,12.12,11.81,8.70,5.26,-0.22,-4.74
1938,-4.18,-4.03,1.37,-0.11,5.32,11.15,11.91,12.83,7.60,5.45,2.32,-6.26
1939,-3.32,-3.12,-3.19,4.54,6.24,10.45,12.01,12.29,8.60,3.06,0.96,-6.41
1940,-13.75,-11.09,-3.22,2.33,6.04,10.16,11.11,9.62,8.36,3.81,1.00,-8.33
1941,-9.86,-4.77,-1.53,1.14,4.10,10.00,11.98,10.43,6.52,3.70,-2.58,-3.50
1942,-13.80,-9.07,-3.95,1.58,6.77,9.31,11.04,11.65,11.11,6.12,-0.56,-2.77
1943,-7.37,-2.47,-0.67,3.62,5.40,9.05,11.02,12.83,9.66,5.10,-1.15,-3.94
1944,-1.76,-5.73,-3.53,2.86,5.73,9.17,11.65,13.39,7.98,5.01,-0.11,-5.34
1945,-10.09,-1.63,0.42,2.97,8.10,11.14,12.69,12.03,8.51,4.17,-0.12,-3.23
1946,-7.85,-2.25,0.03,4.30,9.12,10.81,13.06,12.35,9.17,1.69,-0.55,-6.80
1947,-10.54,-10.48,-1.85,3.97,8.37,11.34,12.95,11.68,10.60,1.29,1.62,-2.69
1948,-2.13,-4.93,-0.65,4.11,8.56,9.42,10.73,11.83,9.04,3.95,-0.10,-4.79
1949,-3.81,-3.84,-4.04,4.06,7.60,8.91,11.20,10.58,9.49,4.41,0.34,-1.53
1950,-7.41,-2.89,-0.19,2.70,8.52,11.57,13.06,12.02,8.81,2.86,0.26,-4.73
1951,-3.25,-2.03,-2.21,2.09,6.60,10.61,11.73,12.96,9.77,2.03,2.76,-1.66
1952,-4.03,-3.96,-4.28,4.67,6.50,10.08,12.47,12.90,6.96,3.49,-1.22,-4.74
1953,-4.76,-4.27,-1.93,3.20,6.51,11.38,13.01,10.84,8.42,5.83,-0.38,-2.35
1954,-9.76,-10.90,-0.30,0.69,6.49,11.50,10.78,11.50,9.62,4.50,-1.01,-0.80
1955,-6.65,-6.24,-4.69,0.53,5.04,9.48,12.45,11.50,8.88,3.78,-0.11,-1.75
1956,-4.65,-14.01,-3.41,1.31,6.63,9.50,12.08,10.63,8.31,3.94,-2.39,-2.82
1957,-5.28,-0.91,0.16,1.95,4.37,11.28,12.78,10.40,7.43,3.94,1.41,-3.64
1958,-5.56,-2.69,-5.46,0.54,9.14,9.45,12.21,11.80,8.76,5.43,1.82,-2.19
1959,-4.89,-6.26,0.37,3.04,6.90,9.90,13.02,11.83,6.31,2.23,0.28,-1.25
1960,-5.86,-5.87,-0.82,2.01,6.63,10.49,10.39,11.64,7.60,5.55,2.03,-1.47
1961,-6.63,-1.20,1.24,5.49,6.01,10.95,10.37,11.15,10.04,5.76,-0.07,-6.54
1962,-3.81,-4.61,-4.69,3.76,5.19,8.23,10.24,11.73,7.08,3.44,0.08,-8.46
1963,-12.54,-10.98,-3.58,3.41,7.12,10.51,12.41,11.84,9.41,3.91,3.21,-8.12
1964,-8.96,-5.26,-4.38,3.76,7.32,11.67,11.69,10.27,8.11,3.35,1.74,-3.66
1965,-3.16,-7.47,-2.92,2.33,5.92,10.27,10.96,9.60,8.49,2.24,-3.05,-1.98
1966,-8.47,0.18,-0.91,4.43,7.04,10.89,11.17,10.99,8.62,7.79,-0.68,-2.22
1967,-4.93,-2.89,0.92,2.06,7.29,9.54,12.96,11.49,10.05,6.33,-0.28,-3.96
1968,-6.64,-2.69,-0.93,2.80,6.20,10.88,10.95,11.42,9.10,5.45,1.06,-6.24
1969,-5.60,-5.90,-3.51,1.92,8.29,9.93,12.37,11.01,8.78,4.70,1.23,-8.60
1970,-6.63,-5.43,-2.80,2.16,6.07,10.94,11.48,11.65,7.61,4.38,2.29,-3.24
1971,-7.40,-2.90,-4.25,2.91,8.55,9.53,11.54,12.77,6.90,2.75,-0.52,-0.29
1972,-6.62,-2.03,-0.15,3.30,7.29,10.26,12.61,11.15,6.21,1.51,0.50,-3.88
1973,-4.08,-2.32,-0.94,1.19,6.90,10.08,12.16,11.70,8.83,2.37,-1.69,-4.08
1974,-1.41,-0.40,1.00,1.99,6.19,8.77,10.83,12.72,8.35,2.35,0.50,0.22
1975,-0.68,-4.45,-0.40,2.36,7.66,9.79,12.46,12.67,10.94,4.15,-1.39,-2.91
1976,-3.70,-4.18,-4.20,1.88,6.76,10.35,12.56,9.66,7.98,5.70,1.63,-4.68
1977,-3.99,-1.91,1.55,1.35,6.57,10.88,11.29,11.44,7.32,5.61,1.24,-3.41
1978,-3.42,-6.27,0.35,1.48,6.23,9.35,10.39,10.32,8.42,5.00,-0.26,-3.74
1979,-8.72,-5.06,0.13,1.83,6.91,12.38,10.45,11.04,8.39,2.55,0.24,-0.46
1980,-7.86,-2.85,-1.67,0.89,4.39,9.98,11.00,11.47,8.58,3.90,-1.35,-4.08
1981,-6.90,-4.17,2.25,1.73,7.75,11.09,11.89,11.73,9.26,4.71,0.66,-5.82
1982,-8.32,-5.52,-0.54,0.56,6.98,10.77,12.89,12.64,10.61,5.76,1.01,-1.63
1983,-0.33,-6.67,0.40,4.50,7.82,10.41,13.74,12.45,8.56,4.46,-2.00,-4.47
1984,-3.62,-4.66,-2.82,1.77,6.72,9.06,10.32,11.56,8.68,5.82,0.91,-3.21
1985,-11.30,-9.21,-0.88,2.78,8.33,8.56,11.92,11.36,8.62,3.72,-2.85,-0.63
1986,-4.48,-11.49,-1.58,3.37,9.19,10.06,11.17,11.94,7.10,4.19,0.87,-3.40
1987,-11.08,-4.85,-6.48,3.36,5.53,9.93,12.33,10.78,10.35,4.99,1.61,-1.98
1988,-1.02,-1.77,-1.57,2.22,8.40,10.33,12.36,11.88,9.40,5.00,-2.88,-1.18
1989,-2.59,-0.55,1.68,3.53,7.12,9.39,12.23,11.76,9.63,5.32,-2.10,-2.80
1990,-3.16,-0.24,1.94,2.26,7.57,10.48,10.99,12.32,7.58,4.53,1.27,-3.55
1991,-3.44,-7.58,1.45,1.80,4.60,9.39,13.43,12.60,9.42,3.27,0.20,-4.87
1992,-3.18,-2.48,-0.40,2.79,7.61,11.68,13.19,14.29,8.64,3.20,0.84,-3.43
1993,-3.56,-5.53,-2.13,3.89,9.41,10.62,11.27,11.64,8.33,4.85,-2.67,-1.18
1994,-0.94,-4.52,2.08,3.15,7.34,10.87,14.84,13.46,10.35,2.56,1.75,-1.56
1995,-4.81,-0.12,-1.51,3.81,6.86,9.95,14.23,12.20,8.35,6.52,-1.87,-5.22
1996,-7.17,-7.95,-4.35,2.22,7.94,10.77,10.54,11.84,6.58,5.33,1.62,-7.50
1997,-7.18,-1.86,-0.16,0.21,7.42,10.70,11.64,12.59,7.83,2.56,-0.07,-1.75
1998,-2.79,-0.72,-1.06,4.59,7.84,11.70,12.27,11.89,9.13,5.39,-2.30,-4.80
