Variable:,tasmin
Country:,"Western Sahara"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.22,13.59,14.15,16.99,17.82,20.42,21.54,22.54,21.02,18.00,16.18,11.60
1902,12.25,13.83,13.97,15.75,17.21,19.16,21.81,22.75,21.20,19.26,16.43,12.28
1903,11.30,13.75,14.48,15.83,17.23,19.54,21.62,21.41,20.58,19.17,16.60,11.38
1904,11.26,12.71,13.29,14.85,16.57,19.21,21.93,23.20,21.07,18.96,16.46,12.29
1905,11.81,12.47,14.06,15.59,16.96,20.08,22.13,22.22,20.81,19.13,15.55,12.64
1906,12.01,12.05,14.30,14.85,16.98,20.05,21.65,22.01,21.35,19.66,16.38,12.18
1907,11.20,12.09,13.63,14.95,16.72,19.15,20.97,22.17,21.52,18.86,15.11,11.94
1908,11.48,12.47,13.53,14.88,17.51,19.40,21.39,21.86,21.43,19.51,16.80,12.81
1909,11.60,12.62,14.20,15.72,18.34,19.08,21.60,21.45,20.82,19.57,15.96,13.07
1910,11.73,12.86,13.57,15.62,17.05,18.73,21.22,21.57,21.58,19.31,17.29,12.67
1911,11.08,12.71,13.17,15.62,16.89,19.38,21.06,22.05,22.10,19.54,16.12,13.40
1912,11.79,14.24,14.84,15.29,18.20,19.69,20.51,21.46,21.04,18.61,16.64,12.09
1913,12.06,13.69,14.28,15.28,17.00,19.93,21.57,21.59,20.33,19.49,16.75,13.18
1914,11.31,12.35,14.21,15.38,17.58,19.08,21.58,22.08,21.20,19.41,16.04,12.35
1915,11.91,12.73,13.98,15.32,17.43,19.74,22.18,22.18,21.50,19.19,16.10,12.67
1916,11.00,11.76,12.61,14.49,17.15,19.37,21.41,22.75,21.15,19.64,17.37,12.62
1917,10.85,10.85,13.53,14.78,16.94,18.85,22.53,22.20,22.18,17.46,15.78,12.77
1918,12.53,11.34,12.31,13.98,16.83,19.50,20.68,21.47,21.52,17.51,15.67,13.02
1919,12.40,14.97,14.88,14.59,17.48,19.18,21.23,23.14,21.11,19.01,16.71,11.55
1920,11.07,10.41,12.66,16.72,15.89,19.04,21.15,21.24,20.26,18.93,15.35,12.80
1921,12.34,11.74,12.65,14.94,17.37,18.91,21.71,21.85,20.55,18.58,14.70,10.89
1922,10.59,11.59,12.42,16.77,17.65,18.54,22.52,22.16,20.86,19.22,15.97,11.18
1923,9.94,13.21,14.27,13.90,17.66,18.67,21.67,22.71,21.35,20.49,15.97,13.02
1924,12.01,11.05,14.76,15.82,17.83,19.50,22.36,21.93,21.43,18.60,15.56,11.87
1925,10.84,11.81,12.74,15.24,17.20,18.91,20.92,22.21,21.02,18.78,16.27,14.38
1926,13.21,14.25,14.65,17.00,17.48,20.46,22.31,22.67,22.52,20.30,15.16,12.02
1927,11.85,12.24,15.37,15.35,18.36,19.75,21.86,22.68,21.13,19.74,16.59,13.04
1928,10.89,12.39,15.06,15.52,17.06,19.71,22.88,22.87,21.94,19.44,15.76,11.92
1929,12.70,13.05,13.84,15.89,15.86,19.69,21.98,21.76,20.38,19.19,15.51,12.75
1930,10.74,11.69,13.67,14.31,17.41,18.60,21.39,22.81,22.25,20.39,17.76,12.20
1931,11.86,12.40,14.60,15.27,17.80,19.60,21.85,22.22,20.86,20.58,16.71,12.03
1932,12.23,12.71,14.06,15.74,17.48,19.33,21.19,21.91,20.78,18.63,16.32,11.87
1933,12.26,13.80,14.59,17.08,18.24,19.51,21.71,22.65,20.47,18.91,14.56,10.49
1934,10.94,12.06,13.19,15.66,16.97,19.72,22.02,22.24,21.57,19.83,16.02,13.62
1935,11.74,11.55,14.82,17.03,16.88,20.12,22.10,21.64,22.09,18.21,16.46,14.01
1936,13.46,13.44,14.51,16.34,16.21,19.44,21.88,22.26,22.33,18.73,15.16,11.86
1937,11.93,14.46,14.95,17.45,17.83,19.85,22.53,22.64,21.42,18.81,17.70,12.85
1938,11.46,13.23,14.55,15.77,17.65,20.53,22.18,21.85,20.50,19.51,16.64,11.75
1939,11.95,12.22,13.36,15.56,17.51,19.34,21.99,21.45,21.78,18.62,16.11,12.52
1940,11.97,13.43,15.74,16.23,17.49,19.55,21.65,23.40,21.30,18.77,16.31,12.15
1941,12.22,13.68,14.30,15.21,17.46,19.36,21.71,21.98,21.45,20.32,16.65,11.28
1942,10.86,11.93,14.24,16.33,18.52,19.67,21.59,21.57,21.10,19.04,15.71,12.31
1943,11.28,12.10,13.33,16.64,18.75,20.37,21.73,22.77,21.09,19.52,15.50,11.33
1944,11.65,12.84,13.56,16.96,18.36,20.09,22.57,22.14,21.44,19.53,16.70,11.39
1945,10.96,13.02,14.71,18.01,18.10,19.76,22.18,21.42,21.67,20.22,17.20,13.88
1946,11.08,12.91,14.04,15.07,17.05,19.72,22.28,21.72,21.71,19.34,16.28,11.90
1947,11.26,12.70,16.45,17.62,17.16,19.66,21.30,22.03,21.61,19.57,17.39,12.79
1948,12.17,13.61,15.31,14.78,17.47,20.14,22.11,22.24,21.29,18.95,17.26,12.33
1949,11.42,13.05,12.50,16.31,16.91,19.86,21.92,23.39,20.99,20.02,16.67,12.81
1950,10.92,12.92,15.59,15.42,17.56,20.85,22.54,21.50,20.81,18.59,17.12,11.95
1951,10.85,11.69,14.94,16.52,16.56,20.37,21.79,22.08,21.57,17.70,16.13,11.39
1952,9.48,12.05,14.92,14.49,17.16,21.06,21.83,22.30,20.51,19.94,17.28,12.23
1953,12.97,11.90,12.69,16.80,19.02,19.20,22.04,22.99,21.26,18.90,17.19,12.48
1954,10.78,11.41,13.34,14.06,18.44,19.50,22.27,22.00,21.09,20.14,16.85,11.61
1955,12.26,13.89,13.83,16.56,19.39,20.12,21.52,22.18,21.95,18.88,17.31,12.45
1956,11.28,12.02,12.52,14.21,17.91,19.83,21.72,21.01,20.74,19.59,15.91,11.20
1957,10.09,12.32,14.59,15.00,16.36,19.17,21.96,21.78,21.57,18.37,15.88,11.34
1958,11.73,14.11,14.41,15.77,18.72,19.42,21.31,22.58,21.71,19.18,15.68,12.16
1959,11.89,11.90,13.95,16.78,17.32,19.99,21.38,22.19,20.34,19.11,15.18,11.97
1960,11.39,14.30,14.16,15.46,17.68,19.09,21.50,22.36,21.08,19.09,17.02,10.91
1961,11.69,13.41,16.01,17.95,19.81,19.65,23.65,23.73,22.07,19.51,16.15,13.61
1962,12.81,12.95,14.88,16.66,18.70,19.98,22.49,22.86,21.61,20.04,16.69,13.44
1963,12.69,13.37,15.28,16.04,16.98,19.06,22.47,21.55,20.48,19.45,17.25,11.49
1964,11.56,13.83,15.52,15.12,20.19,20.17,22.35,21.86,21.27,19.21,16.34,11.37
1965,11.08,12.70,15.02,15.36,18.51,21.09,21.37,21.99,19.92,18.21,16.10,12.54
1966,12.57,14.40,14.14,16.37,18.54,20.44,21.01,22.85,21.97,18.16,15.07,12.53
1967,12.19,12.65,14.82,14.25,17.76,19.58,22.74,22.49,21.03,18.75,15.52,10.88
1968,9.89,12.30,12.05,14.82,16.75,19.04,21.66,21.24,21.21,19.16,16.27,12.42
1969,13.32,14.39,15.25,14.40,17.39,18.54,22.32,21.89,20.17,18.59,16.48,11.89
1970,12.65,13.90,13.78,16.33,18.10,19.17,22.28,22.11,21.42,18.78,15.88,11.20
1971,11.82,11.85,12.08,14.08,14.82,17.93,20.62,21.56,20.06,20.30,15.10,11.24
1972,10.82,11.60,12.14,14.52,15.90,17.34,20.90,20.96,19.75,19.70,15.71,10.99
1973,10.62,12.93,14.13,16.25,19.15,19.35,21.55,22.22,21.73,18.80,16.55,10.31
