Variable:,tasmin
Country:,Spain
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.06,-0.81,2.60,6.16,8.11,13.11,14.50,14.97,12.45,6.91,2.69,0.22
1902,0.61,2.28,4.02,6.62,6.76,10.95,14.88,14.51,11.58,7.03,4.66,1.89
1903,1.08,2.05,3.59,5.10,7.88,11.10,14.47,14.97,11.62,8.75,4.51,0.87
1904,0.91,2.47,2.21,5.65,9.54,12.36,15.37,15.40,11.31,8.47,3.50,3.15
1905,0.05,0.04,4.68,6.68,7.70,11.90,15.03,14.61,11.38,6.40,3.29,1.16
1906,1.74,0.80,2.50,4.40,7.83,12.80,14.31,15.39,12.40,8.61,4.01,0.85
1907,0.02,0.13,2.74,5.26,7.45,11.98,13.35,14.70,12.43,7.60,4.75,3.88
1908,1.59,1.51,1.82,4.03,9.35,11.24,14.02,14.62,12.20,9.03,5.42,2.60
1909,-0.03,-0.26,3.24,6.00,8.51,10.30,13.34,14.73,10.86,8.67,4.16,3.39
1910,0.94,3.20,2.45,5.17,7.29,11.95,13.83,14.24,11.72,8.49,4.65,2.95
1911,-1.21,1.29,2.94,4.10,8.11,11.55,15.51,15.68,13.85,8.27,4.38,3.57
1912,1.89,4.18,4.96,5.28,9.46,11.57,13.59,13.26,10.86,7.45,3.06,0.69
1913,2.93,1.59,3.67,5.16,8.61,12.16,14.15,14.51,11.71,8.49,5.95,1.37
1914,-0.68,2.90,4.47,6.16,8.27,10.57,13.68,14.05,12.60,8.01,3.72,2.42
1915,1.06,1.44,3.55,4.12,9.33,11.82,14.64,15.12,11.68,6.97,4.16,3.69
1916,1.50,1.79,2.52,5.38,8.94,11.19,14.24,15.43,11.43,8.41,4.22,2.61
1917,0.19,1.14,1.97,3.92,9.14,11.93,14.73,13.81,12.72,6.43,3.56,-0.38
1918,1.88,1.69,2.59,4.32,8.74,11.59,14.44,15.01,12.31,5.98,4.18,2.84
1919,0.32,3.59,3.53,4.39,8.40,12.37,13.21,15.30,12.66,6.37,2.57,1.28
1920,1.77,2.51,3.40,6.25,9.59,12.10,13.78,13.73,12.00,8.14,3.69,1.55
1921,1.39,1.64,2.74,4.65,8.11,12.07,15.38,14.39,13.22,10.48,3.58,1.17
1922,0.67,2.17,2.76,5.53,9.65,11.13,13.57,14.43,10.31,8.13,3.60,0.40
1923,-0.14,2.54,3.89,4.49,8.50,10.99,15.05,15.57,11.24,9.77,3.56,0.48
1924,1.29,-0.49,3.93,5.66,10.18,12.34,14.66,13.81,11.97,8.48,4.18,1.62
1925,0.49,0.95,0.40,4.95,7.43,11.56,13.22,14.34,10.83,7.63,2.59,2.75
1926,1.75,4.15,4.10,5.90,7.34,11.18,14.46,15.36,14.14,9.49,4.08,0.44
1927,0.88,0.85,3.98,6.06,9.55,12.08,13.87,14.50,11.28,8.28,3.19,2.01
1928,0.41,2.34,3.93,5.00,6.93,12.00,15.73,15.15,12.81,8.30,3.69,0.40
1929,-0.59,1.58,3.39,5.37,7.77,12.80,14.92,14.38,12.93,7.99,4.44,3.20
1930,2.56,-0.11,3.84,4.79,8.87,12.12,14.10,15.34,12.86,10.06,5.43,3.31
1931,1.45,1.35,4.44,5.76,8.45,13.24,14.35,14.25,10.89,8.38,4.82,-0.09
1932,0.49,-0.68,3.82,4.12,7.98,11.13,13.17,15.38,12.88,7.66,4.95,2.85
1933,0.20,0.99,3.75,6.46,10.01,11.11,15.02,16.68,12.89,8.74,2.39,-1.13
1934,-0.54,-0.35,1.93,4.70,9.41,12.88,15.40,13.69,12.79,8.56,2.00,3.97
1935,-0.86,0.30,3.27,4.94,6.71,11.62,15.42,14.42,12.84,6.83,3.66,2.62
1936,3.51,3.41,3.66,5.69,7.00,10.25,13.68,14.75,13.01,6.03,3.31,0.15
1937,1.52,3.57,2.88,6.26,8.18,11.97,14.75,15.09,11.87,8.59,5.85,1.29
1938,0.13,-0.15,2.91,5.02,7.48,13.03,14.03,14.18,11.22,8.62,5.69,1.57
