Variable:,tasmin
Country:,Gabon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.40,21.08,20.53,21.03,20.77,19.91,19.19,19.16,20.10,21.06,21.00,21.09
1902,21.70,20.57,20.99,20.82,21.32,20.31,19.08,20.02,20.74,21.06,21.00,21.09
1903,22.10,21.46,21.49,21.24,21.05,19.71,19.28,19.93,21.02,21.06,21.00,21.09
1904,21.70,20.77,20.60,20.77,20.86,20.11,18.61,19.14,21.02,21.06,21.00,21.09
1905,22.10,21.65,21.85,21.75,21.47,20.01,18.99,20.12,20.44,21.06,21.00,21.09
1906,21.53,21.16,21.56,21.80,20.95,20.21,19.38,19.73,21.02,21.06,21.00,21.09
1907,21.34,21.36,21.26,21.17,21.24,20.21,20.26,20.40,20.92,21.06,21.00,21.09
1908,21.34,20.77,21.10,21.24,21.24,19.22,19.28,18.65,20.34,21.06,21.00,21.09
1909,21.70,21.36,21.34,21.69,21.39,21.25,20.35,19.63,21.40,21.06,21.00,21.09
1910,21.06,20.47,20.50,20.38,21.00,20.96,19.87,19.63,20.24,21.06,20.38,20.72
1911,21.24,20.86,21.66,21.54,21.77,20.68,19.87,19.93,20.74,21.06,21.00,21.09
1912,21.80,22.03,22.08,22.04,21.74,21.00,19.19,19.79,20.47,20.72,20.31,21.01
1913,21.44,20.57,20.78,20.97,21.16,19.61,19.08,19.83,20.34,21.06,21.00,21.09
1914,22.30,21.46,21.94,21.58,21.25,20.01,19.08,19.83,21.11,21.06,21.00,21.09
1915,21.70,21.36,21.24,21.35,21.05,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1916,21.70,21.36,21.20,21.08,21.17,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1917,21.70,21.36,21.14,21.26,21.34,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1918,21.70,21.36,21.39,21.18,21.07,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1919,21.70,21.36,21.39,21.44,20.75,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1920,21.70,21.36,21.39,21.16,21.12,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1921,21.70,21.36,21.20,21.26,21.22,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1922,21.70,21.36,21.18,21.28,21.14,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1923,21.70,21.36,21.13,21.26,21.09,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1924,21.70,21.36,21.39,21.28,21.44,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1925,21.70,21.36,21.39,21.18,21.09,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1926,21.70,21.36,21.22,21.35,21.14,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1927,21.70,21.36,21.13,21.30,21.39,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1928,21.70,21.36,21.39,21.26,21.41,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1929,21.70,21.36,21.39,21.18,20.78,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1930,21.70,21.36,21.39,21.10,21.30,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1931,21.70,21.36,21.32,21.28,21.39,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1932,21.70,21.36,21.39,21.06,20.86,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1933,21.70,21.36,21.48,21.38,21.41,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1934,21.70,21.36,21.30,21.40,21.73,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1935,21.70,21.36,21.24,21.30,21.41,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1936,21.70,21.36,21.14,21.18,21.20,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1937,21.70,21.36,21.39,21.49,21.63,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1938,21.70,21.36,21.27,21.35,21.27,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1939,21.70,21.36,21.18,21.38,21.55,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1940,21.70,21.36,21.38,21.30,21.12,20.31,19.28,19.63,20.54,21.06,21.00,21.09
1941,22.36,22.04,22.27,22.31,22.00,20.87,18.98,19.92,20.86,21.96,21.15,21.55
1942,22.33,22.15,22.02,22.22,21.53,20.57,19.45,19.56,20.45,21.31,21.48,21.31
1943,21.87,21.39,21.33,21.33,20.83,18.79,18.27,19.54,20.49,21.53,20.89,21.48
1944,21.88,21.37,21.19,21.77,22.13,21.08,19.95,20.09,21.19,21.46,21.45,21.80
1945,22.39,21.72,21.65,21.80,21.60,20.58,20.09,19.83,20.92,21.35,21.03,21.66
1946,22.53,21.82,21.45,21.91,20.99,20.22,19.59,19.53,20.20,20.92,21.16,21.44
1947,21.99,21.47,21.65,21.59,22.26,21.52,19.61,20.49,20.98,21.77,21.48,21.04
1948,21.77,21.14,21.33,21.23,21.20,20.27,19.00,19.62,20.85,21.40,21.32,21.65
1949,22.48,21.59,21.64,22.03,22.09,20.94,19.66,19.78,21.10,21.50,21.36,21.29
1950,22.00,21.26,21.75,21.78,21.75,21.47,19.52,19.57,20.24,21.04,21.11,21.42
1951,21.83,21.36,21.68,22.12,21.99,20.62,19.73,20.05,20.91,21.48,21.37,21.59
1952,22.40,21.84,21.83,22.00,21.77,20.59,19.07,19.52,20.65,21.47,21.30,21.29
