Variable:,tasmin
Country:,Georgia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-11.75,-6.62,-1.07,2.80,5.84,10.84,12.71,12.75,7.01,1.01,-3.42,-4.09
1902,-7.93,-7.18,-4.60,0.30,5.72,10.31,11.07,12.42,6.09,1.91,-5.93,-8.60
1903,-10.60,-8.72,-6.41,2.95,6.83,9.90,12.74,12.15,6.45,3.46,-2.26,-7.03
1904,-14.55,-6.10,-4.30,-1.37,4.48,8.11,11.98,12.49,8.42,4.13,-1.49,-8.16
1905,-12.80,-10.92,-5.45,0.10,5.05,9.60,12.94,12.99,8.95,6.51,0.59,-7.41
1906,-11.35,-7.98,-2.95,1.56,7.56,9.75,11.82,10.67,6.54,3.24,-1.95,-4.83
1907,-11.20,-10.45,-6.00,-0.46,6.09,9.57,12.71,12.35,6.46,3.52,-4.25,-8.03
1908,-11.51,-9.36,-6.09,-0.39,4.58,9.36,11.78,12.81,9.30,2.14,-3.49,-8.67
1909,-13.27,-8.65,-3.36,0.34,7.25,8.49,13.34,12.09,10.40,4.57,1.00,-5.22
1910,-7.95,-7.33,-4.41,1.61,6.38,9.70,13.24,12.39,7.86,3.05,-0.36,-9.13
1911,-14.47,-14.22,-7.30,0.00,5.89,7.76,12.34,12.07,6.70,0.95,-1.10,-7.44
1912,-9.26,-7.21,-3.25,-1.17,3.52,9.20,10.41,10.63,9.31,3.18,-1.25,-7.35
1913,-11.59,-12.33,-6.58,0.63,5.13,7.72,12.15,12.69,8.65,1.33,-1.77,-6.37
1914,-7.96,-6.56,-1.47,0.65,5.23,8.79,12.50,11.66,6.72,3.03,-5.06,-7.51
1915,-5.31,-7.93,-3.26,1.19,4.15,8.50,11.74,11.08,7.34,3.27,-0.96,-4.88
1916,-8.99,-8.23,-3.23,1.86,6.69,8.60,11.96,11.99,6.43,2.74,-1.10,-5.71
1917,-8.35,-10.65,-4.92,3.67,4.42,8.38,12.29,11.93,8.96,3.14,-0.04,-7.15
1918,-8.99,-8.27,-4.76,0.64,4.43,8.10,11.48,11.43,9.49,6.49,-1.79,-6.38
1919,-6.84,-7.40,-4.42,2.93,3.77,7.36,11.48,10.65,8.89,6.83,-0.85,-7.20
1920,-9.06,-13.82,-3.76,2.41,6.33,9.26,11.81,12.94,7.96,0.09,-5.82,-11.78
1921,-9.79,-12.36,-6.41,1.73,7.08,9.55,12.83,11.87,6.11,0.47,-3.31,-8.65
1922,-9.17,-8.23,-4.21,1.56,6.43,8.82,13.10,11.72,6.69,3.07,-1.11,-6.14
1923,-7.60,-8.58,-4.26,-0.77,6.93,10.64,13.31,10.35,8.82,3.53,-0.88,-5.40
1924,-8.14,-9.53,-4.02,-0.20,6.56,11.64,11.52,12.08,10.25,2.93,-2.24,-10.68
1925,-13.01,-9.20,-1.79,0.48,6.09,8.23,11.48,12.39,8.67,1.95,-1.98,-5.18
1926,-8.71,-8.70,-4.77,0.29,6.35,9.07,11.70,11.62,5.95,1.82,-1.89,-5.35
1927,-11.63,-12.25,-4.27,1.60,6.29,10.61,12.37,12.52,9.21,5.85,-2.19,-10.17
1928,-12.06,-12.19,-9.20,1.58,5.77,8.37,12.01,9.27,8.51,1.33,-0.58,-6.67
1929,-11.82,-13.95,-9.43,-0.34,7.82,8.54,11.81,14.09,7.09,4.03,-1.04,-7.30
1930,-9.26,-9.43,-3.51,1.77,6.12,7.82,12.76,13.48,7.66,2.93,-0.06,-7.12
1931,-10.81,-9.47,-4.16,-0.01,6.09,9.92,13.17,12.02,8.89,2.09,-3.47,-11.64
1932,-12.46,-12.00,-5.27,1.67,5.91,10.16,10.52,12.00,8.03,4.86,-3.63,-9.94
1933,-13.32,-10.27,-7.15,-0.51,5.55,7.47,11.95,12.20,8.42,3.27,-1.00,-10.31
1934,-12.26,-10.23,-4.26,0.85,6.23,8.35,11.92,10.85,7.22,3.72,-1.12,-8.23
1935,-12.86,-9.19,-6.62,1.75,5.67,8.70,12.06,13.07,9.63,4.55,-2.01,-4.87
1936,-9.75,-7.94,-4.60,1.44,5.54,9.07,13.23,12.39,6.11,2.78,-0.19,-7.86
1937,-12.38,-9.11,-3.47,1.05,6.09,7.16,13.76,13.08,10.63,4.35,-0.03,-4.97
1938,-8.62,-9.58,-7.90,1.02,6.15,8.94,13.50,12.72,9.36,2.93,-2.24,-5.07
1939,-8.68,-7.95,-5.61,0.57,6.86,9.82,12.17,11.65,6.89,3.00,-1.55,-5.98
1940,-11.49,-7.81,-7.59,2.45,4.47,9.01,12.55,13.89,7.97,3.48,-0.95,-5.17
1941,-10.34,-6.16,-4.45,2.13,6.32,10.06,12.80,10.98,8.06,0.20,-4.49,-12.02
1942,-12.67,-8.41,-7.78,-1.28,6.09,9.77,12.46,12.29,7.49,3.97,-0.34,-7.36
1943,-9.85,-10.48,-7.13,-0.62,5.39,8.31,11.50,12.27,7.00,4.74,-0.41,-6.36
1944,-10.91,-7.62,-2.82,0.20,5.66,9.20,12.13,10.24,8.43,4.45,-0.71,-8.02
1945,-9.27,-12.09,-7.72,-1.24,4.19,7.79,11.69,11.24,7.74,1.87,-3.75,-9.51
1946,-11.99,-8.99,-4.36,0.24,6.65,9.33,10.78,12.12,8.89,0.55,-2.08,-8.79
1947,-10.35,-9.42,-2.32,1.06,5.17,9.39,12.87,11.09,7.25,1.84,-0.16,-5.02
1948,-6.76,-6.74,-7.89,-0.57,6.54,10.61,12.45,12.99,7.49,1.16,-5.27,-11.02
1949,-13.38,-12.81,-6.86,-1.40,5.67,10.02,13.45,11.89,7.33,0.77,-1.37,-7.16
1950,-16.74,-12.47,-5.38,3.47,7.29,8.14,11.43,10.61,9.19,3.31,-2.02,-6.63
1951,-9.89,-11.22,-3.38,2.56,6.19,9.26,12.20,12.57,7.79,0.59,-1.36,-7.98
1952,-9.51,-7.52,-6.47,0.40,4.84,7.70,12.38,13.10,8.42,5.11,-2.21,-5.95
1953,-8.31,-7.74,-6.94,0.64,5.68,9.98,12.50,13.16,6.85,2.87,-5.37,-11.96
1954,-14.01,-11.65,-5.67,-0.27,6.20,10.23,13.33,12.85,9.34,3.64,-0.80,-5.00
1955,-7.91,-5.56,-4.01,0.83,6.20,9.78,12.40,11.94,8.73,4.56,-1.83,-7.88
1956,-9.84,-10.41,-7.62,0.22,4.00,8.71,10.82,12.34,5.43,0.83,-5.48,-11.07
1957,-13.84,-8.44,-4.95,1.78,6.74,9.37,11.77,12.86,10.25,2.12,-1.79,-6.52
1958,-7.31,-7.75,-3.98,0.79,6.77,8.73,11.01,11.59,6.77,1.56,-3.98,-9.28
1959,-8.90,-13.45,-6.39,1.24,5.93,8.48,12.73,11.86,5.27,-0.57,-1.89,-8.08
1960,-8.28,-9.35,-6.49,0.81,5.76,9.47,11.89,10.60,7.85,3.33,-0.68,-5.94
1961,-10.59,-9.03,-5.70,1.30,6.71,10.76,12.26,12.25,6.79,2.49,-1.45,-4.66
1962,-10.11,-7.47,-2.52,1.50,6.22,9.53,13.87,12.74,7.87,2.46,-0.13,-4.69
1963,-6.83,-6.09,-6.47,1.63,6.44,8.47,12.95,11.93,8.64,3.64,-2.74,-8.13
1964,-15.21,-9.52,-4.65,0.53,5.15,10.73,11.70,9.99,8.16,0.87,-2.51,-8.05
1965,-10.95,-10.59,-4.53,-0.62,5.58,9.49,12.47,11.82,7.64,0.58,-2.95,-5.46
1966,-4.14,-4.74,-2.79,3.31,5.91,9.06,13.65,13.39,7.95,3.82,0.09,-4.08
1967,-9.31,-13.05,-5.48,0.21,6.90,7.62,11.66,12.44,7.43,3.66,-0.75,-7.06
1968,-10.71,-9.85,-5.29,1.96,8.32,8.31,11.66,10.85,8.79,4.35,0.07,-7.14
1969,-11.88,-13.05,-5.18,0.58,5.81,9.71,10.75,11.75,7.34,1.86,-3.09,-4.62
1970,-8.09,-6.14,-2.49,2.84,6.24,8.86,12.69,11.65,7.39,1.29,-0.63,-7.34
1971,-10.73,-9.16,-2.82,0.99,6.87,8.48,13.17,12.28,10.37,1.42,-1.77,-7.77
1972,-16.70,-14.35,-6.86,3.21,6.48,10.46,13.34,12.47,8.30,5.18,-2.62,-9.75
1973,-13.45,-7.68,-5.01,1.76,5.33,8.65,11.46,11.78,6.56,3.62,-4.53,-10.10
1974,-12.24,-10.68,-3.61,-0.21,5.91,9.34,11.02,10.87,7.27,4.64,-1.25,-6.02
1975,-10.18,-9.55,-5.66,3.60,7.02,11.25,13.62,12.04,8.45,2.37,-2.92,-9.32
1976,-10.37,-14.51,-6.64,2.14,5.50,8.58,10.95,12.76,7.57,1.55,-2.79,-5.34
1977,-14.05,-6.87,-3.36,2.29,6.41,9.69,11.89,11.38,8.08,-1.14,-1.88,-9.21
1978,-9.56,-6.40,-2.79,1.13,4.66,7.18,12.10,10.84,8.00,3.07,-4.65,-6.68
1979,-8.70,-5.96,-2.57,1.62,7.15,9.13,11.94,13.04,8.94,3.15,-0.56,-6.06
1980,-11.84,-9.36,-4.60,1.01,5.43,9.31,13.74,11.34,6.76,1.67,-0.06,-4.98
1981,-6.94,-5.16,-3.07,-0.07,4.30,9.85,13.08,12.04,8.45,4.41,-1.92,-3.05
1982,-9.85,-10.56,-5.45,2.99,6.69,8.27,11.31,10.52,8.42,2.05,-3.52,-9.11
1983,-12.02,-8.42,-5.31,2.36,7.07,8.78,12.56,11.22,7.13,1.80,-1.08,-7.29
1984,-6.62,-9.96,-3.11,1.47,5.58,8.51,12.69,10.56,8.97,2.17,-1.27,-9.16
1985,-8.99,-10.03,-8.18,1.91,7.16,9.34,10.33,11.70,7.59,1.74,-1.10,-7.85
1986,-8.66,-9.02,-5.50,2.91,4.97,9.36,12.65,13.40,9.88,2.40,-2.37,-7.30
1987,-7.46,-6.98,-6.53,-0.98,6.05,10.26,12.47,11.30,6.09,1.93,-2.47,-7.13
1988,-10.41,-9.28,-3.71,1.85,4.94,9.73,12.66,11.56,7.09,3.69,-3.72,-6.05
1989,-11.28,-9.98,-2.02,3.03,5.41,9.70,13.45,12.74,8.11,3.36,-1.43,-7.56
1990,-11.16,-8.09,-5.65,1.91,5.72,9.45,13.20,11.62,7.99,2.26,-0.95,-6.16
1991,-9.54,-9.60,-3.60,2.57,4.75,9.57,12.24,13.04,8.00,4.10,-1.31,-7.94
1992,-12.99,-11.15,-6.35,-0.10,4.60,8.82,11.22,11.33,7.41,2.49,-3.34,-8.50
1993,-11.44,-11.17,-6.09,0.56,5.83,8.74,11.54,11.70,7.53,1.34,-5.01,-7.97
1994,-8.18,-10.87,-4.16,3.74,6.15,8.84,11.91,11.52,9.27,4.34,-1.78,-10.15
1995,-8.64,-7.23,-3.45,1.84,7.14,10.32,12.56,12.73,8.41,2.25,-2.16,-8.14
1996,-8.45,-8.06,-3.76,0.47,7.55,8.67,13.48,12.60,7.74,3.13,-2.51,-3.35
1997,-7.61,-9.82,-8.19,0.49,6.97,9.66,11.80,13.04,6.01,4.37,-3.03,-6.83
1998,-10.18,-11.74,-4.42,3.08,7.19,11.84,12.89,13.10,8.17,3.55,0.57,-4.28
1999,-7.43,-6.25,-3.62,1.90,5.62,10.39,13.05,14.03,7.73,3.42,-2.56,-6.20
2000,-10.20,-10.39,-6.98,3.57,5.39,9.74,14.51,13.33,9.07,3.06,-2.53,-5.84
2001,-9.78,-6.88,-0.63,2.95,5.51,10.18,13.67,13.67,9.20,2.44,-3.14,-6.12
2002,-12.08,-7.39,-2.40,0.72,4.81,9.78,13.02,11.98,9.33,4.53,-1.47,-11.62
2003,-7.99,-8.39,-7.19,0.59,6.65,8.98,12.08,13.10,8.14,4.97,-1.84,-7.02
2004,-8.81,-7.81,-2.97,0.08,5.81,9.59,11.50,12.73,7.99,3.54,-1.92,-10.20
2005,-10.24,-10.31,-4.56,1.99,6.45,8.99,13.60,13.15,9.15,2.78,-1.55,-5.55
2006,-11.47,-9.10,-2.85,2.85,6.24,11.83,12.75,14.73,8.99,5.34,-2.50,-9.46
2007,-11.34,-9.43,-4.55,0.02,7.31,10.33,12.38,13.32,10.27,4.84,-2.57,-7.98
2008,-15.76,-11.86,-1.02,3.82,5.18,9.29,13.09,14.06,9.03,4.12,-1.27,-8.77
2009,-11.22,-4.65,-3.34,-0.06,5.90,9.94,12.78,10.55,7.67,4.55,-0.50,-3.85
2010,-6.21,-4.55,-2.00,1.78,6.62,11.59,14.39,14.04,10.73,4.86,-1.08,-3.84
2011,-7.93,-8.26,-4.40,1.86,6.48,10.19,14.09,12.46,8.60,2.33,-6.29,-8.51
2012,-9.10,-13.72,-7.12,3.17,8.05,10.96,12.73,13.63,9.32,5.73,0.55,-6.57
2013,-8.45,-5.70,-2.58,2.39,8.30,10.84,11.87,12.17,7.98,1.51,-1.21,-10.79
2014,-9.18,-8.08,-2.16,1.98,7.68,10.11,13.30,14.55,9.34,3.07,-1.65,-4.13
2015,-9.03,-6.93,-3.15,1.18,5.99,11.54,13.42,13.10,10.63,4.36,-1.92,-7.66
2016,-9.29,-5.20,-2.01,2.59,6.69,10.27,12.72,14.23,8.17,2.63,-3.85,-10.19
2017,-10.84,-11.37,-3.13,0.84,6.23,9.91,13.65,14.28,10.48,3.03,-1.49,-5.04
2018,-7.11,-5.03,-0.99,2.19,7.90,10.67,14.63,13.28,9.76,4.71,-1.09,-4.24
2019,-7.88,-6.76,-3.29,1.61,7.39,12.47,12.47,12.61,8.33,5.29,-3.13,-4.38
2020,-8.30,-6.91,-0.69,1.06,6.09,10.63,13.95,11.62,10.31,4.84,-1.52,-6.25
