Variable:,tasmin
Country:,Ghana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.70,22.71,23.41,23.83,22.99,22.52,22.09,21.87,21.85,22.05,21.45,19.74
1902,21.50,22.62,23.61,24.24,23.47,22.08,22.10,22.41,21.80,21.61,21.45,20.19
1903,20.27,22.81,23.89,23.91,23.38,22.75,22.03,21.78,21.49,21.63,21.44,20.82
1904,20.00,22.79,23.71,24.01,23.39,23.11,22.09,22.45,22.31,22.06,22.02,20.55
1905,19.45,21.62,22.63,24.03,23.30,22.10,22.12,21.44,21.43,22.03,21.92,20.39
1906,18.21,22.84,24.07,25.16,22.92,22.34,21.34,21.38,22.17,22.29,21.91,21.16
1907,20.71,21.72,22.45,23.45,23.82,22.01,22.38,21.65,21.98,22.89,21.03,19.45
1908,20.81,22.84,23.34,24.65,23.78,22.50,21.95,21.48,21.93,21.87,20.75,18.88
1909,19.32,23.24,24.30,23.76,22.75,21.16,20.84,20.70,21.85,21.25,20.80,19.57
1910,17.29,22.81,23.28,23.53,23.12,23.30,22.48,22.22,22.08,21.65,21.45,20.20
1911,19.83,22.30,23.31,23.90,23.05,22.18,22.20,21.92,21.86,21.81,21.09,19.39
1912,21.72,23.43,24.01,24.73,23.49,22.55,22.52,22.05,22.07,21.93,21.12,20.09
1913,22.06,23.69,22.33,23.54,23.67,23.38,23.14,23.04,23.19,21.92,20.81,19.82
1914,21.58,22.34,22.84,23.75,24.22,24.06,22.37,21.86,22.17,22.26,22.30,19.89
1915,19.65,22.31,23.95,23.65,23.33,22.13,22.12,21.84,22.13,22.36,21.63,20.60
1916,18.76,21.34,23.65,23.99,23.19,22.19,22.23,21.50,21.36,21.67,20.72,19.55
1917,20.41,22.86,23.15,23.59,22.37,21.58,22.08,21.87,20.97,21.24,20.16,19.47
1918,18.61,22.98,22.93,23.66,23.48,22.52,22.09,20.89,20.92,21.82,21.25,20.20
1919,20.18,22.95,23.36,24.01,23.39,22.01,21.50,21.87,21.58,21.63,22.21,20.20
