Variable:,tasmin
Country:,"Equatorial Guinea"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.35,20.43,19.68,20.21,19.71,19.68,19.24,18.87,19.37,20.13,20.31,20.38
1902,20.65,19.93,20.19,19.93,20.61,20.18,19.14,19.87,20.17,20.13,20.31,20.38
1903,21.05,20.83,20.69,20.23,20.41,19.58,19.34,19.77,20.47,20.13,20.31,20.38
1904,20.65,20.13,19.79,19.92,20.21,19.98,18.64,18.97,20.47,20.13,20.31,20.38
1905,21.05,21.03,21.08,21.01,21.01,19.88,19.04,19.97,19.87,20.13,20.31,20.38
1906,20.45,20.53,21.07,21.21,20.41,20.08,19.44,19.57,20.47,20.13,20.31,20.38
1907,20.26,20.73,20.69,20.42,20.71,20.08,20.34,20.27,20.37,20.13,20.31,20.38
1908,20.26,20.13,20.49,20.42,20.61,19.08,19.34,18.47,19.77,20.13,20.31,20.38
1909,20.65,20.73,20.78,21.01,20.61,21.18,20.44,19.47,20.87,20.13,20.31,20.38
1910,19.96,19.83,19.69,19.43,20.01,20.88,19.94,19.47,19.67,20.13,19.51,19.88
1911,20.16,20.23,20.88,20.53,20.91,20.58,19.94,19.77,20.17,20.13,20.31,20.38
1912,20.75,21.43,21.57,21.32,21.01,20.78,19.24,19.57,19.87,19.65,19.41,20.28
1913,20.36,19.93,20.09,20.03,20.21,19.48,19.14,19.67,19.77,20.13,20.31,20.38
1914,21.25,20.83,21.18,20.91,20.81,19.88,19.14,19.67,20.57,20.13,20.31,20.38
1915,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1916,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1917,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1918,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1919,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1920,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1921,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1922,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1923,20.65,20.73,20.59,20.42,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1924,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1925,20.65,20.72,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1926,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1927,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1928,20.65,20.72,20.59,20.42,20.61,20.18,19.34,19.46,19.97,20.13,20.31,20.38
1929,20.65,20.73,20.59,20.42,20.61,20.18,19.34,19.46,19.97,20.13,20.31,20.38
1930,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.39
1931,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.39
1932,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.39
1933,20.66,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1934,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1935,20.66,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1936,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.46,19.97,20.13,20.31,20.38
1937,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.39
1938,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.39
1939,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.39
1940,20.65,20.73,20.59,20.43,20.61,20.18,19.34,19.47,19.97,20.13,20.31,20.38
1941,21.46,21.41,21.55,21.42,21.39,21.00,19.14,19.80,20.32,21.13,20.41,20.70
1942,21.38,21.59,21.38,21.36,20.88,20.60,19.72,19.57,20.01,20.40,20.78,20.54
1943,20.85,20.72,20.60,20.43,20.07,18.76,18.44,19.47,20.05,20.56,20.22,20.66
1944,20.83,20.83,20.45,20.81,21.33,21.08,20.13,19.70,20.81,20.53,20.85,20.84
1945,21.40,21.18,21.10,20.91,20.95,20.63,20.25,19.96,20.52,20.42,20.59,20.77
1946,21.55,21.22,20.94,21.03,20.25,20.27,19.82,19.61,19.75,19.95,20.51,20.64
1947,20.98,20.95,20.92,20.61,21.43,21.54,19.79,20.08,20.48,20.86,20.80,20.39
1948,20.81,20.54,20.58,20.32,20.42,20.25,19.15,19.57,20.37,20.50,20.66,20.78
1949,21.44,21.03,20.99,21.10,21.38,20.95,19.61,19.65,20.64,20.63,20.83,20.58
1950,21.02,20.63,21.10,20.91,21.02,21.44,19.70,19.62,19.94,20.34,20.51,20.73
1951,20.67,20.44,20.76,21.23,21.03,20.58,19.84,19.86,20.33,20.52,20.64,21.00
1952,20.97,21.00,20.89,20.93,20.77,20.58,19.15,19.43,20.12,20.52,20.50,20.69
1953,20.68,20.34,20.42,20.97,20.82,20.48,19.74,19.27,20.12,20.41,20.51,20.96
1954,20.95,19.90,20.60,20.52,20.42,19.78,18.51,18.68,19.97,19.93,20.10,20.66
1955,20.50,20.45,20.25,20.43,20.76,20.38,19.04,19.17,19.87,20.26,20.49,20.34
1956,20.35,20.42,20.10,20.36,20.56,20.08,18.83,18.96,19.87,20.09,20.17,20.43
1957,20.25,20.82,20.39,20.74,21.32,20.48,19.24,19.67,19.97,20.32,20.78,21.04
1958,21.26,20.99,21.01,20.77,20.14,19.47,18.94,19.07,19.87,20.43,20.60,21.03
1959,20.85,20.86,20.92,20.73,20.73,19.74,19.33,19.93,20.09,20.32,20.41,21.02
1960,20.94,20.40,20.49,20.45,20.78,20.28,19.64,20.13,20.27,20.52,20.61,21.03
1961,20.97,19.92,20.67,20.65,20.73,19.98,19.19,19.05,20.18,20.21,20.14,20.22
1962,20.21,20.73,20.47,20.52,20.83,20.03,19.48,19.20,20.05,20.48,20.50,21.11
1963,20.57,20.86,20.32,20.62,21.11,21.05,19.92,19.89,20.86,20.41,20.55,20.68
1964,21.26,20.65,20.88,20.66,20.72,20.14,19.12,19.00,19.89,19.55,20.06,20.30
1965,20.44,20.26,20.22,20.20,20.88,20.58,19.03,19.14,20.02,20.29,20.55,20.36
1966,20.79,20.70,21.06,20.42,20.97,20.80,19.93,19.89,19.94,20.59,20.60,20.69
1967,20.90,20.80,20.88,20.73,20.61,20.19,18.95,19.39,19.88,20.03,20.61,20.75
1968,20.48,20.69,20.34,20.51,20.51,20.10,19.22,19.66,19.92,20.61,20.58,20.72
1969,20.64,21.04,21.04,21.04,21.59,19.70,18.40,19.79,20.05,20.32,20.49,21.03
1970,20.96,21.43,20.69,20.94,20.99,20.33,19.23,19.95,19.91,20.23,20.46,20.22
1971,20.45,20.30,20.21,20.04,20.21,20.25,19.41,19.15,20.11,19.86,19.73,19.57
1972,20.35,20.44,19.98,19.78,20.49,19.50,19.48,19.29,19.86,20.01,20.19,20.83
1973,21.53,21.47,21.18,20.41,20.41,20.50,19.73,19.67,20.05,19.97,20.12,20.06
1974,20.23,20.48,20.18,20.29,20.28,20.40,19.19,19.20,19.51,19.77,19.89,19.41
1975,20.12,20.48,20.43,20.23,20.53,20.28,19.06,18.92,19.45,19.58,19.84,19.71
1976,20.25,20.20,20.38,20.01,20.24,19.53,18.74,18.80,19.49,19.85,19.91,20.01
1977,20.87,20.75,20.77,20.80,20.55,20.01,19.22,19.49,20.24,20.35,20.34,20.24
1978,20.55,21.58,20.86,19.99,20.42,19.67,19.21,19.05,19.53,20.16,20.19,20.32
1979,21.02,21.18,20.85,20.44,20.71,20.48,20.28,19.33,20.22,20.52,20.90,20.77
1980,21.18,21.37,20.95,20.88,21.04,20.07,19.38,19.64,20.16,20.17,20.59,20.63
1981,20.45,20.94,20.35,20.34,20.27,20.16,19.25,19.31,19.90,20.29,19.89,19.96
1982,20.75,20.59,20.45,20.05,20.39,19.45,18.93,19.18,19.37,19.87,20.21,20.45
1983,20.40,21.11,21.36,21.09,21.01,19.72,19.31,18.82,20.47,19.62,20.37,20.32
1984,20.59,20.78,20.27,20.10,20.44,20.20,20.08,20.18,20.06,20.34,20.22,19.93
1985,20.81,20.10,20.45,19.80,20.24,20.03,19.33,19.60,19.82,19.91,20.38,20.41
1986,20.69,20.45,20.05,20.31,20.43,20.02,19.18,19.45,20.14,19.45,19.98,19.92
1987,21.04,20.88,20.96,20.32,21.09,20.95,20.23,19.97,19.97,20.25,20.72,20.64
1988,21.17,21.06,21.04,20.52,20.84,20.08,19.40,19.99,20.01,20.05,20.20,20.07
1989,19.85,20.10,20.39,20.26,19.89,20.35,19.26,20.02,20.39,20.67,20.57,20.55
1990,21.64,20.90,20.70,20.47,20.73,20.51,19.72,19.67,19.77,20.68,20.73,21.28
1991,20.65,20.82,20.87,20.25,20.90,20.77,19.63,19.43,20.16,19.62,20.10,20.37
1992,20.36,21.02,20.87,20.53,20.69,19.77,18.75,18.98,19.67,19.92,19.95,20.20
1993,20.52,20.41,20.20,20.35,20.59,20.18,19.98,19.52,19.88,20.34,20.25,20.47
1994,20.46,20.83,20.50,20.26,20.52,20.18,19.23,19.54,20.00,19.98,20.47,20.56
1995,20.94,20.55,20.58,20.56,20.79,20.58,19.98,19.87,20.25,20.43,20.59,20.37
1996,20.84,20.87,20.70,20.42,20.34,20.40,19.63,19.33,20.06,19.99,20.23,20.11
1997,20.47,20.40,20.42,20.01,19.92,19.71,19.71,19.59,20.46,20.53,20.62,20.78
1998,21.31,22.16,21.76,21.46,21.24,21.00,20.17,19.96,20.53,20.61,20.88,20.59
1999,20.76,20.64,21.08,20.50,20.69,20.67,19.85,19.87,19.95,20.02,20.52,20.51
2000,20.96,20.63,21.00,20.49,21.05,20.38,19.57,19.42,19.96,20.18,20.64,20.34
2001,20.71,21.03,20.87,20.62,21.20,20.69,19.81,19.36,19.69,20.04,20.69,20.88
2002,20.93,21.00,20.87,21.06,21.50,20.92,20.26,20.02,20.26,20.23,20.55,20.67
2003,21.05,21.24,20.92,20.72,21.17,20.31,20.09,20.15,20.58,20.37,20.80,20.81
2004,21.16,21.23,21.38,20.72,20.63,20.25,20.15,20.02,20.07,20.59,20.80,21.08
2005,21.06,21.43,21.08,20.93,20.64,20.09,19.68,19.95,20.68,20.61,20.63,20.86
2006,21.46,20.93,20.78,20.78,20.67,21.47,20.10,20.21,20.18,20.73,20.28,20.76
2007,21.18,21.18,21.26,20.72,21.12,20.47,20.29,20.01,20.42,20.29,20.42,20.49
2008,20.54,20.66,20.49,20.34,20.85,20.37,19.95,19.85,20.50,20.53,20.83,20.73
2009,20.78,20.88,21.08,20.92,21.03,20.68,19.84,19.73,20.44,20.64,20.58,20.84
2010,21.57,21.39,21.14,21.04,21.21,20.69,20.32,19.85,20.40,20.90,20.76,20.81
2011,20.48,20.81,20.99,20.79,21.13,20.59,19.93,19.74,20.28,20.34,20.36,20.48
2012,21.00,20.53,20.78,20.95,20.90,20.65,19.71,19.96,20.25,20.37,20.56,20.97
2013,20.83,21.16,20.99,20.92,21.03,20.71,19.85,19.48,20.33,20.36,20.46,20.80
2014,21.53,21.26,20.98,20.69,21.03,20.79,19.33,19.94,20.14,20.33,20.58,20.63
2015,21.21,21.19,21.29,20.92,21.22,20.38,20.28,20.10,20.17,20.83,20.98,20.82
2016,21.62,21.83,21.23,21.00,21.15,20.78,20.20,19.99,20.76,20.87,20.90,21.37
2017,21.52,21.27,20.55,20.92,21.01,21.07,20.00,19.82,20.46,20.64,20.54,21.19
2018,21.46,21.10,21.05,20.88,20.95,20.90,20.03,20.39,20.81,20.60,21.11,21.01
2019,21.69,20.73,21.08,20.43,20.61,20.18,20.23,20.30,20.86,20.41,21.01,21.40
2020,21.71,21.63,21.34,21.22,21.39,20.80,20.19,20.54,20.45,20.69,20.92,21.08
