Variable:,tasmin
Country:,Grenada
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.40,21.40,21.80,22.80,23.70,23.80,23.70,23.70,23.00,22.70,22.40,21.60
1902,20.80,20.90,21.00,22.10,23.30,23.70,23.40,23.60,22.90,22.50,22.60,21.90
1903,21.00,21.10,21.20,22.10,23.20,23.80,23.70,23.50,23.10,22.90,22.40,21.60
1904,20.60,20.70,20.70,21.90,22.90,23.50,23.40,23.20,23.00,22.30,22.50,21.70
1905,21.00,20.40,20.80,22.30,22.70,23.50,23.60,23.60,23.20,22.70,22.70,21.40
1906,20.70,20.60,21.10,22.00,23.10,23.30,23.30,23.50,22.80,23.00,22.70,21.20
1907,20.60,20.60,20.90,21.90,22.50,23.20,23.40,23.30,23.00,22.70,22.40,21.70
1908,20.80,20.50,20.70,21.70,22.40,23.40,23.40,23.40,23.10,22.60,22.20,21.90
1909,20.60,20.70,21.40,22.10,22.90,23.10,23.30,23.20,22.80,22.60,22.40,21.20
1910,20.30,20.60,20.60,21.60,23.00,23.40,23.30,23.30,22.90,22.70,22.70,21.90
1911,20.80,20.30,21.20,21.80,22.60,23.80,23.20,23.50,23.20,22.70,22.60,21.80
1912,21.00,21.00,21.10,22.00,23.20,23.70,23.60,23.50,23.10,22.70,22.40,21.80
1913,20.50,20.60,21.10,22.00,23.50,23.40,23.00,23.00,22.90,22.40,22.00,21.10
1914,20.70,20.80,21.30,21.70,22.50,23.40,23.10,22.90,22.80,22.20,22.20,21.90
1915,21.00,20.80,21.60,22.10,23.20,23.50,23.30,23.60,23.00,23.00,22.70,21.80
1916,20.60,20.80,21.00,22.00,23.00,23.40,23.30,23.20,22.90,22.70,22.40,21.40
1917,20.30,20.30,20.60,21.60,23.10,23.60,23.40,22.90,22.80,22.70,22.50,21.60
1918,20.50,20.40,20.80,21.50,22.70,23.70,23.40,23.40,23.30,22.90,22.50,21.40
1919,20.40,20.80,21.20,21.80,23.00,23.80,23.30,23.30,23.00,22.50,22.00,21.60
1920,20.50,20.50,21.20,22.00,22.80,23.40,23.20,23.20,22.80,22.70,22.20,21.30
1921,20.70,20.90,21.20,21.50,23.10,23.20,22.70,23.00,22.90,22.30,22.40,21.40
1922,20.60,20.50,20.60,21.50,22.60,23.10,23.10,22.90,22.80,22.70,22.20,20.90
1923,20.30,20.10,20.40,21.60,23.30,23.20,23.20,23.30,23.10,22.80,22.70,21.50
1924,20.60,20.80,21.20,22.40,23.40,23.30,23.10,23.10,22.90,22.40,22.10,21.20
1925,20.10,20.10,20.60,22.00,23.00,23.30,23.10,23.10,22.90,22.80,22.50,22.10
1926,21.10,21.10,21.60,22.50,23.60,24.20,23.60,23.30,22.90,22.70,22.70,21.60
1927,20.60,20.10,21.10,21.60,22.80,23.30,23.00,23.10,23.00,22.60,22.80,21.80
1928,20.70,20.70,21.00,22.10,23.00,23.40,23.10,23.10,22.90,22.60,22.60,21.60
1929,20.40,20.70,20.60,21.60,22.20,23.10,23.10,23.10,22.70,22.70,22.30,21.30
1930,20.50,20.70,21.00,22.10,23.20,23.60,23.20,23.30,23.00,23.00,22.70,22.00
1931,21.20,21.10,22.10,22.80,23.70,23.90,23.40,23.60,23.00,23.00,22.90,22.00
1932,21.00,21.00,21.80,22.80,23.50,24.10,23.60,23.60,23.70,23.30,23.20,22.30
1933,21.00,20.30,21.20,22.30,23.30,23.60,23.40,23.20,22.90,22.70,22.40,21.40
1934,20.40,20.40,20.70,22.30,23.40,24.10,23.40,23.40,23.00,22.70,22.70,21.90
1935,21.00,20.70,20.70,21.90,22.80,23.70,23.20,22.90,22.80,22.80,22.80,21.60
1936,20.80,20.60,21.60,22.30,23.50,23.60,23.20,23.40,23.20,22.80,22.50,21.60
1937,20.60,20.70,21.60,22.30,23.50,24.00,23.50,23.70,23.60,23.40,23.20,22.30
1938,20.90,20.70,20.80,21.40,22.70,23.30,23.30,23.50,23.40,23.20,22.70,22.20
1939,20.50,20.10,20.90,21.40,22.90,23.40,23.40,23.70,23.60,23.30,23.30,22.70
1940,21.60,21.60,22.00,23.10,24.30,24.20,24.00,23.70,24.00,23.70,23.30,22.30
1941,21.80,22.30,22.50,23.40,24.40,24.00,23.70,23.90,23.70,23.70,23.30,22.40
1942,22.00,22.20,22.30,23.00,23.70,24.10,23.50,23.70,23.70,23.60,23.50,22.10
1943,21.20,21.10,21.10,22.30,22.60,23.60,23.30,23.30,23.70,23.40,23.00,22.20
1944,21.30,21.30,21.40,22.40,23.20,23.50,23.60,23.90,23.40,23.70,23.20,22.30
1945,20.90,20.60,21.30,22.00,23.20,23.60,23.50,23.70,23.40,23.00,22.80,22.00
1946,21.00,20.70,21.30,22.00,22.70,23.60,23.30,23.30,23.40,23.30,23.10,22.50
1947,21.00,21.60,21.90,22.40,23.60,24.00,23.30,23.70,23.50,23.50,23.10,22.40
1948,21.50,21.00,21.30,22.00,23.90,24.00,23.40,23.40,23.20,23.10,22.90,21.90
1949,20.40,20.50,21.30,22.30,23.60,23.60,23.20,23.40,23.20,22.90,22.60,21.50
1950,20.10,20.60,20.80,21.90,22.80,23.20,23.10,23.20,23.30,22.80,22.80,21.80
1951,20.60,20.80,21.20,22.40,23.60,23.70,23.50,23.60,23.60,23.30,23.20,22.30
1952,21.10,21.10,21.50,22.90,23.90,23.70,23.30,23.50,23.40,23.40,22.60,21.70
1953,20.90,20.80,21.20,22.30,23.00,23.80,23.70,23.60,23.40,22.90,23.10,22.00
1954,20.50,20.60,21.30,21.70,23.10,23.50,23.00,23.30,23.00,22.50,21.90,21.30
1955,20.30,21.10,20.40,21.50,23.00,23.50,23.00,23.50,22.90,23.00,22.80,22.00
1956,21.20,21.10,21.20,22.20,22.90,23.50,23.20,23.00,23.00,22.60,22.50,22.00
1957,20.70,20.90,20.80,21.50,23.00,23.70,23.70,23.80,23.80,23.30,22.90,22.20
1958,21.00,21.10,22.40,23.40,24.00,24.30,23.80,23.80,23.90,23.30,22.80,22.30
1959,20.90,21.40,22.00,22.80,23.40,23.40,23.30,23.40,23.40,23.00,22.50,22.70
1960,21.20,21.20,21.60,22.30,23.70,24.00,23.40,23.50,23.10,23.10,22.80,21.90
1961,21.40,21.10,21.70,22.40,23.60,23.90,23.70,23.60,23.30,23.10,22.60,22.30
1962,21.40,20.70,21.50,22.50,23.60,23.90,23.50,23.40,23.50,23.50,23.00,22.10
1963,21.50,21.30,21.50,22.60,23.10,23.80,23.70,24.20,23.80,23.60,23.00,22.30
1964,20.70,21.50,21.80,22.50,23.30,23.70,23.40,23.60,23.40,22.90,22.60,21.00
1965,20.90,20.60,21.50,21.80,23.40,23.20,23.80,23.50,23.50,23.30,23.20,22.50
1966,21.70,21.60,22.00,22.50,23.70,23.80,23.70,23.70,23.10,23.30,23.50,22.40
1967,21.90,21.40,21.30,22.20,23.40,23.90,23.40,23.30,23.30,23.00,22.60,21.50
1968,20.80,20.80,21.10,22.00,23.00,23.40,23.30,23.30,23.30,23.00,22.70,21.90
1969,21.10,21.00,22.40,23.20,24.60,24.30,23.80,23.40,23.50,22.80,23.20,22.40
1970,21.30,21.50,21.70,22.60,23.90,23.70,23.30,23.10,22.90,23.30,22.40,22.50
1971,20.70,20.70,20.90,21.80,22.70,23.30,23.00,22.80,22.70,22.20,22.30,21.20
1972,20.80,20.70,21.50,21.90,22.80,23.90,23.70,23.30,23.50,23.30,22.70,22.10
1973,21.70,21.50,22.10,22.80,23.60,24.20,23.80,23.80,23.40,23.10,22.70,21.20
1974,21.60,21.50,21.50,21.60,22.80,23.70,23.30,23.00,23.00,22.90,23.00,21.40
1975,20.80,21.00,21.60,21.80,23.30,23.80,23.40,23.40,23.30,22.50,22.50,21.60
1976,20.60,20.70,20.70,21.80,23.00,23.20,23.10,23.60,23.70,23.70,23.10,21.80
1977,21.00,21.00,21.70,22.30,23.70,23.80,23.20,23.90,23.50,23.40,23.40,22.00
1978,20.80,21.40,22.10,23.20,23.70,23.80,23.70,23.50,23.70,23.50,23.20,22.00
1979,20.70,21.40,22.00,22.90,24.00,24.50,24.30,24.10,23.50,23.80,23.70,22.90
1980,22.00,22.00,21.90,23.00,24.30,24.50,24.10,24.10,24.10,23.50,23.10,22.70
1981,22.10,22.70,22.80,23.10,24.30,24.20,23.80,23.80,23.30,23.50,23.50,23.40
1982,21.90,22.00,22.00,22.90,24.30,24.40,23.80,23.40,23.60,23.10,23.00,22.50
1983,22.00,21.70,23.00,23.20,24.20,24.90,24.40,24.10,24.10,23.20,23.00,22.50
1984,21.70,21.90,22.00,22.80,23.40,24.20,23.60,23.70,23.30,23.00,22.80,21.80
1985,20.50,20.70,21.40,22.30,23.70,24.00,23.50,23.50,23.30,23.00,22.90,22.00
1986,21.20,20.60,21.60,23.00,23.70,23.90,23.50,23.90,23.50,23.00,22.70,21.90
1987,21.10,21.20,22.30,23.80,24.50,24.90,24.60,24.70,24.00,24.10,23.90,23.50
1988,21.90,22.00,22.30,23.10,24.40,24.60,24.30,24.10,23.70,23.40,23.50,22.40
1989,21.60,21.80,21.20,22.10,22.90,23.70,24.00,24.20,23.90,23.70,22.80,22.80
1990,22.20,21.40,22.00,23.00,24.10,24.70,24.20,24.10,24.00,24.20,23.60,22.50
1991,22.10,22.20,22.60,23.10,24.10,25.00,24.40,23.90,23.60,22.80,23.00,21.80
1992,21.50,21.70,22.00,23.40,24.50,24.30,23.80,23.40,23.20,23.10,23.10,22.40
1993,22.10,21.60,22.30,23.60,24.60,24.70,24.10,23.90,23.60,23.50,22.80,22.20
1994,21.60,21.20,21.40,22.60,23.50,23.80,23.70,23.60,23.60,23.30,23.10,22.60
1995,21.20,21.70,22.30,23.20,24.40,24.60,24.40,24.20,24.40,23.40,23.20,22.80
1996,21.70,22.30,22.30,23.10,23.60,23.90,24.00,23.90,24.00,23.60,23.30,22.70
1997,21.90,22.00,21.50,22.50,23.80,24.50,24.10,24.10,24.50,24.50,23.70,23.20
1998,22.60,23.10,23.20,24.30,24.60,25.00,24.60,25.00,24.60,24.10,23.80,23.20
1999,22.10,21.60,22.30,23.00,24.30,24.60,24.30,24.10,24.00,23.60,23.90,23.00
2000,22.20,21.90,21.60,22.90,23.50,23.90,24.00,24.10,23.70,23.60,23.40,22.70
2001,21.70,21.50,22.10,22.80,24.70,24.60,24.20,24.60,23.70,23.70,23.60,23.80
2002,22.60,21.90,22.50,23.20,23.90,24.60,24.40,24.30,24.40,23.90,23.50,23.10
2003,22.50,22.60,22.60,24.10,24.20,24.20,24.40,24.50,24.10,24.20,24.40,23.30
2004,22.20,21.80,22.60,23.70,23.70,24.30,24.50,24.40,24.20,23.80,23.50,23.10
2005,22.50,22.40,22.90,23.80,25.00,24.80,24.20,24.60,24.40,24.30,23.20,22.80
2006,21.70,21.70,22.30,23.30,24.60,24.50,24.30,24.40,24.40,24.10,23.60,23.20
2007,22.20,21.60,22.90,23.50,24.80,24.20,24.00,23.80,23.40,23.50,23.30,22.40
2008,21.80,21.60,21.50,22.40,23.90,24.80,24.30,24.40,24.20,23.50,23.70,22.70
2009,22.10,21.70,21.90,22.80,24.30,24.80,24.80,24.60,24.60,24.10,24.20,23.30
2010,22.40,22.90,23.70,24.20,25.10,25.20,24.50,24.30,23.80,24.20,23.80,22.60
2011,22.30,22.30,22.00,22.70,24.70,25.00,24.50,24.70,24.40,23.80,23.50,22.90
2012,21.90,21.80,22.00,23.00,23.60,24.10,24.40,24.30,24.00,24.20,24.40,23.30
2013,22.30,22.30,22.70,23.00,24.20,24.60,24.60,24.50,24.50,24.00,23.50,22.90
2014,22.10,22.10,22.40,23.30,24.20,25.10,24.60,24.40,24.00,23.90,23.70,22.90
2015,22.40,22.50,22.20,23.10,24.30,25.00,24.50,24.80,24.90,24.70,23.90,23.30
2016,22.50,22.40,22.70,23.80,24.50,24.60,24.70,24.60,24.10,24.20,23.70,23.40
2017,21.80,21.90,22.40,23.70,24.60,24.50,24.50,24.70,24.20,23.80,24.00,23.00
2018,22.00,21.30,22.50,23.00,23.50,24.40,24.20,24.10,24.00,23.60,23.50,22.60
2019,21.60,21.80,22.40,23.00,24.10,24.70,24.50,24.50,24.50,24.00,23.80,23.40
2020,22.20,22.50,22.30,23.50,24.60,24.80,24.60,24.70,24.50,23.70,23.30,22.60
