Variable:,tasmin
Country:,Guatemala
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.31,15.53,16.78,18.14,19.18,19.53,19.10,18.89,18.89,18.40,16.91,15.95
1902,14.28,15.15,17.49,17.95,19.42,19.45,19.40,17.99,19.95,18.97,17.68,16.07
1903,15.62,16.77,17.17,17.67,18.60,20.31,19.54,19.11,19.73,18.30,16.31,14.82
1904,15.32,15.53,16.78,18.16,19.18,19.53,19.10,18.88,18.89,18.38,16.94,15.98
1905,15.26,15.54,16.79,18.16,19.23,19.56,19.10,18.89,18.90,18.41,16.97,15.98
1906,14.28,14.48,16.15,17.37,19.10,19.26,19.33,18.80,19.38,18.53,17.17,15.53
1907,15.68,15.23,16.70,18.02,19.13,19.40,18.46,18.18,18.55,18.39,17.33,15.63
1908,14.47,14.72,16.79,18.90,19.77,19.65,19.01,18.66,18.76,17.75,16.17,15.90
1909,14.90,15.32,17.37,18.37,20.04,19.34,19.47,18.96,18.66,18.17,16.17,15.74
1910,13.95,14.51,14.78,16.66,18.55,18.96,18.74,18.75,18.67,18.09,15.86,14.25
1911,15.04,15.44,16.78,18.52,17.49,18.49,17.71,18.69,18.90,18.98,17.63,16.22
1912,15.34,13.89,17.25,19.34,19.31,19.19,18.88,18.77,18.70,18.61,16.04,16.30
1913,15.99,16.69,16.97,16.18,17.62,18.18,18.66,18.67,18.40,17.96,16.24,15.56
1914,14.62,15.41,14.92,17.55,18.14,18.64,19.33,19.19,18.55,18.12,16.39,16.44
1915,14.91,14.68,14.55,16.23,19.71,20.05,19.68,19.20,19.04,18.41,16.96,16.11
1916,16.41,14.48,15.73,17.11,18.71,18.93,19.68,18.47,18.48,17.88,16.07,15.96
1917,15.26,15.43,16.66,17.95,19.17,19.30,19.00,18.79,18.78,18.22,16.91,15.74
1918,14.60,15.99,16.62,18.05,18.80,18.90,19.26,18.77,18.84,19.11,17.04,15.78
1919,14.16,15.58,16.68,17.19,18.60,18.85,18.85,18.80,18.75,18.63,17.70,15.94
1920,15.37,15.00,16.68,19.11,19.10,18.67,18.83,18.52,18.75,18.12,16.46,15.59
1921,14.88,15.11,16.77,17.74,17.53,18.94,18.71,18.68,18.63,18.15,17.40,16.24
1922,15.62,15.68,17.10,18.81,19.02,19.19,18.95,19.01,18.96,18.48,17.26,16.00
1923,15.37,15.39,16.77,18.15,19.28,19.18,18.96,18.73,18.93,18.21,16.32,16.27
1924,15.25,14.21,16.32,18.21,18.89,19.64,19.16,18.83,18.76,18.28,16.26,16.31
1925,15.84,15.29,15.92,17.09,17.89,18.74,18.81,18.80,18.67,18.92,17.01,15.90
1926,15.10,15.10,16.61,17.82,18.44,19.21,19.34,18.84,19.14,18.75,16.14,16.48
1927,14.59,15.88,16.29,17.91,19.68,19.64,18.73,19.02,18.94,18.28,16.66,16.10
1928,14.58,15.89,16.56,17.61,18.30,20.01,19.10,19.03,19.26,18.86,16.77,15.53
1929,15.74,16.41,17.22,18.98,18.89,18.85,18.57,18.55,18.75,18.52,17.44,15.40
1930,15.51,15.36,16.32,16.99,19.16,18.92,18.62,18.88,19.03,18.68,16.56,15.23
1931,14.75,15.54,15.74,16.97,18.31,19.13,19.00,18.96,19.14,18.55,16.36,17.00
1932,16.60,16.40,16.19,17.25,18.70,18.98,18.90,18.99,19.71,18.78,15.48,16.17
1933,15.84,16.57,16.58,18.97,19.37,19.11,19.03,18.58,18.73,18.52,16.04,15.62
1934,15.58,15.11,15.26,17.66,18.14,18.80,18.85,19.04,19.07,18.60,16.96,16.24
1935,14.72,14.11,16.53,18.15,19.36,19.45,19.01,18.69,19.35,18.44,16.59,15.82
1936,16.45,16.65,17.24,17.83,18.38,19.44,19.05,19.30,19.06,19.04,17.30,15.70
1937,17.16,16.54,16.85,18.21,18.81,19.24,18.98,18.90,18.82,18.26,15.89,15.63
1938,15.02,15.01,17.02,17.18,18.53,18.66,18.48,18.12,18.64,17.61,16.27,15.14
1939,15.77,15.98,16.28,17.51,18.47,18.83,18.90,18.80,18.22,18.75,15.75,16.31
1940,14.41,14.36,16.27,17.81,18.61,19.16,19.12,19.29,19.20,18.06,16.87,15.85
1941,14.69,14.72,15.61,18.32,18.14,19.80,19.32,19.59,19.31,19.09,16.73,16.56
1942,14.16,15.31,15.64,17.47,19.54,19.39,18.54,18.48,18.46,18.39,16.41,16.27
1943,15.28,13.74,15.57,16.94,18.54,18.56,18.71,19.19,19.28,18.09,15.81,15.59
1944,14.71,16.40,17.50,18.50,18.70,19.39,19.94,18.75,19.31,17.63,16.47,15.49
1945,14.22,16.24,17.25,18.19,18.31,19.49,19.34,18.69,18.88,18.36,16.73,15.24
1946,15.77,15.72,16.32,18.14,19.89,19.39,18.59,18.28,18.71,18.37,17.87,16.34
1947,17.38,15.73,16.44,18.51,19.01,19.34,18.56,18.58,18.90,19.16,18.37,16.37
1948,14.93,15.88,17.40,17.58,19.40,19.49,18.90,19.09,19.10,18.67,18.07,16.34
1949,15.62,15.53,16.81,18.50,18.73,19.04,18.63,18.43,18.67,19.04,15.05,15.20
1950,15.66,15.06,16.46,16.92,18.67,19.36,19.02,18.50,19.16,18.38,15.87,14.32
1951,14.74,14.54,15.86,18.00,18.54,19.62,19.34,19.25,19.43,18.67,16.99,16.23
1952,15.78,15.15,17.41,17.71,18.65,19.64,18.95,19.06,19.59,17.80,17.39,15.49
1953,14.50,15.68,16.97,19.17,19.72,19.99,19.29,19.32,19.62,17.79,16.36,16.38
1954,15.58,14.21,16.73,17.90,18.97,19.30,18.78,18.67,18.78,17.62,15.98,14.40
1955,14.91,14.88,16.05,17.57,18.65,19.33,18.74,18.79,18.85,18.01,16.88,15.84
1956,14.46,15.83,16.17,17.64,18.23,18.76,18.18,18.63,18.50,17.87,15.59,15.93
1957,15.17,15.79,16.82,18.54,19.86,20.21,19.66,19.18,19.47,18.17,17.13,15.86
1958,15.22,14.90,18.22,19.42,19.74,20.51,20.12,19.62,19.56,19.09,18.44,17.34
1959,16.41,16.85,17.77,18.63,19.23,20.00,19.20,19.08,18.87,18.91,16.97,15.87
1960,15.81,14.88,16.28,17.87,19.37,19.49,19.17,19.07,19.31,19.22,17.52,15.70
1961,16.02,15.98,17.20,18.77,19.22,19.00,18.91,19.03,18.75,18.24,16.96,16.01
1962,14.82,14.48,16.74,18.45,18.35,19.04,19.04,18.72,18.69,18.75,16.18,15.18
1963,14.96,14.95,17.07,17.53,18.91,19.45,19.30,19.12,19.27,18.09,17.25,15.10
1964,15.29,15.90,17.48,18.78,19.22,19.09,18.98,18.74,18.77,17.37,17.00,16.16
1965,15.41,15.77,16.32,16.77,18.45,18.79,18.91,18.71,18.63,18.46,17.15,16.38
1966,15.24,15.64,17.10,18.91,19.69,18.95,19.44,18.95,18.90,18.47,16.03,14.80
1967,15.12,15.39,16.08,17.72,18.59,18.81,18.48,18.59,18.09,18.24,16.69,15.89
1968,15.82,14.11,15.36,17.27,18.33,18.71,18.63,18.62,18.36,18.15,15.53,15.79
1969,15.18,15.59,18.24,18.92,19.69,19.26,19.56,18.90,19.08,18.54,17.00,15.66
1970,15.14,15.23,16.49,18.79,18.72,19.41,18.87,18.44,18.81,18.79,15.87,15.77
1971,15.45,14.72,15.79,16.06,18.58,18.48,18.41,18.10,18.55,18.13,16.81,16.40
1972,16.08,15.11,15.82,18.16,18.80,19.96,19.52,18.79,18.77,18.26,18.12,16.13
1973,15.40,14.81,16.95,18.88,19.70,19.51,18.99,18.58,18.65,18.68,17.52,14.36
1974,16.21,14.80,16.29,18.31,18.63,19.17,18.50,18.48,18.41,17.31,16.14,15.62
1975,15.34,15.29,17.20,18.10,18.86,20.26,18.51,18.68,18.35,18.32,16.81,15.47
1976,14.75,14.47,16.72,17.64,19.03,19.04,19.32,18.80,19.22,18.51,17.39,16.78
1977,14.52,16.37,17.02,18.53,19.09,19.56,19.27,19.27,19.31,18.70,16.87,16.59
1978,14.91,14.85,16.71,18.37,19.23,19.75,19.03,19.15,18.93,18.38,17.88,16.50
1979,14.72,15.56,17.62,18.19,19.68,19.93,19.45,19.49,19.39,19.07,17.02,16.39
1980,15.87,15.92,17.71,18.87,20.04,19.96,19.64,18.86,19.34,18.64,17.12,15.56
1981,14.14,16.01,17.69,19.15,19.43,19.98,19.59,19.37,19.18,18.73,16.45,16.14
1982,15.70,16.35,16.91,18.49,19.56,20.36,19.16,19.22,19.28,18.41,17.23,16.13
1983,15.49,16.00,16.06,18.66,20.31,20.47,19.68,19.31,19.31,18.71,17.37,16.34
1984,15.30,16.20,16.56,17.71,19.63,19.60,18.71,18.60,18.84,18.64,15.75,16.15
1985,14.45,15.96,17.77,18.21,19.01,19.66,18.95,18.73,19.05,18.56,17.47,16.81
1986,15.24,15.58,15.38,16.99,19.12,19.65,19.23,19.14,18.80,18.35,17.81,16.73
1987,14.21,15.68,17.38,18.34,19.27,20.13,19.60,19.38,19.43,18.13,17.07,16.85
1988,16.98,16.44,17.77,18.89,19.29,19.94,19.54,19.21,19.30,18.67,17.38,15.76
1989,16.51,15.47,15.10,17.89,19.96,19.92,19.34,19.09,19.33,18.57,18.14,15.47
1990,16.61,16.54,17.80,18.81,20.08,20.08,19.13,19.19,19.20,18.47,17.79,16.61
1991,16.73,15.95,16.40,18.35,19.05,19.89,19.52,18.78,19.09,18.56,17.03,17.49
1992,16.17,15.86,18.01,18.69,19.60,20.07,19.51,18.95,18.66,18.52,17.93,17.35
1993,16.34,15.30,16.98,18.28,18.69,19.97,19.63,19.18,18.68,19.10,17.27,15.88
1994,16.07,16.41,17.28,18.53,19.53,19.72,19.06,19.11,19.01,18.77,17.57,16.64
1995,16.20,15.44,17.22,19.25,20.06,20.10,19.55,19.98,19.49,19.24,17.64,17.24
1996,14.70,14.87,16.18,18.22,19.83,19.79,19.91,19.10,19.57,18.99,17.17,16.52
1997,16.02,16.42,17.62,18.88,19.48,19.99,19.33,19.55,19.37,18.94,18.62,17.60
1998,16.57,16.29,17.68,18.99,19.53,20.70,19.86,19.56,19.77,19.84,18.56,16.91
1999,15.90,15.17,16.54,18.71,19.91,19.77,19.28,18.81,18.72,18.35,16.05,15.45
2000,15.20,15.34,17.42,18.29,19.02,19.72,18.93,19.06,19.43,18.86,17.73,15.91
2001,15.04,17.00,16.64,18.95,19.40,20.35,19.56,19.48,19.33,19.01,17.17,16.82
2002,15.79,15.83,17.62,18.46,19.77,20.32,19.77,19.55,19.55,19.30,17.41,16.89
2003,15.57,17.29,17.89,18.12,20.35,20.66,19.45,19.46,19.61,19.39,18.11,15.19
2004,16.19,16.46,17.98,18.66,19.25,20.16,19.25,19.36,19.32,19.58,17.59,16.17
2005,15.58,15.65,18.09,18.87,19.62,20.23,19.89,19.54,19.33,18.66,17.04,16.88
2006,16.38,15.63,17.30,18.78,19.49,19.69,19.75,19.61,19.55,19.70,17.22,17.44
2007,16.43,16.03,17.28,18.70,19.51,20.49,19.99,19.30,19.29,18.62,16.97,16.75
2008,16.01,16.86,17.46,18.40,20.20,20.03,19.57,19.63,19.55,18.69,16.05,16.57
2009,16.35,16.19,16.49,19.37,19.97,20.47,20.27,19.43,19.93,19.82,17.42,17.90
2010,15.61,15.62,16.34,19.22,20.54,20.99,20.13,19.53,19.61,18.60,16.91,14.69
2011,16.26,16.15,17.27,19.20,20.39,20.52,19.92,19.92,19.73,18.54,16.81,16.72
2012,17.17,17.18,18.13,19.11,19.62,19.93,19.83,19.60,19.45,18.78,16.74,16.73
2013,17.36,17.07,16.34,19.44,19.57,19.92,19.73,19.32,19.60,19.29,17.82,17.05
2014,15.83,17.02,17.61,19.23,19.61,19.33,20.15,19.61,19.19,18.74,16.81,16.61
2015,16.21,15.42,17.17,19.49,19.60,20.25,20.13,19.88,19.91,19.44,18.90,18.58
2016,16.67,15.67,18.56,19.70,20.32,20.33,20.12,20.10,20.06,19.11,17.56,18.40
2017,16.60,17.11,16.74,19.20,20.17,20.17,19.71,19.79,19.62,19.15,17.51,17.51
2018,15.23,16.68,17.03,17.96,19.40,20.21,19.80,18.99,19.71,19.12,17.45,16.79
2019,15.81,17.36,17.08,18.20,20.21,20.18,20.23,19.40,20.04,18.97,17.77,16.78
2020,16.47,16.98,18.65,19.78,20.14,20.11,20.62,19.86,19.94,19.28,18.19,17.07
