Variable:,tasmin
Country:,Iraq
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.28,5.95,10.63,14.64,18.57,22.61,24.89,24.15,20.35,14.74,9.13,6.20
1902,3.90,6.44,9.10,13.61,18.72,22.68,24.23,24.00,20.24,15.24,8.11,4.08
1903,2.09,4.15,6.86,13.46,19.03,22.07,23.97,24.04,19.58,15.04,8.23,4.49
1904,2.44,5.64,8.66,12.52,17.82,21.56,23.98,23.84,19.89,15.94,9.81,3.61
1905,1.80,3.10,7.22,13.25,18.13,22.18,24.42,23.89,20.69,16.93,10.40,3.93
1906,2.09,4.79,8.47,12.81,18.61,22.27,23.94,23.40,19.49,15.77,9.37,5.79
1907,3.07,4.21,7.63,12.68,18.72,22.04,24.67,23.64,19.32,15.12,7.47,4.20
1908,2.73,4.24,7.69,12.81,18.14,22.57,23.83,24.08,20.72,14.93,8.48,3.55
1909,2.05,5.25,9.49,12.84,19.64,21.62,25.00,23.75,20.71,15.94,10.39,5.41
1910,3.72,5.99,7.42,13.13,18.40,21.94,24.63,24.15,19.96,15.10,9.31,2.66
1911,0.60,2.42,6.39,12.29,18.03,21.24,24.41,23.63,19.16,14.56,9.08,4.58
1912,3.32,6.17,9.05,12.84,17.39,22.80,23.78,23.41,20.77,15.72,9.53,3.86
1913,2.56,3.19,7.05,12.63,18.43,21.51,24.37,24.03,20.79,15.54,9.30,4.64
1914,4.59,5.71,9.92,13.06,18.31,21.81,24.32,23.83,19.96,15.76,8.43,4.34
1915,4.83,5.76,9.45,13.04,18.17,22.49,24.28,24.06,20.62,15.50,9.72,5.57
1916,3.58,4.98,9.38,13.37,19.67,22.78,25.08,24.17,19.65,14.85,9.71,5.63
1917,4.18,5.33,9.00,15.14,18.13,22.06,25.01,24.07,20.75,15.15,10.26,4.41
1918,3.14,5.05,8.06,12.73,17.95,21.46,24.32,24.01,21.10,17.31,10.00,4.71
1919,4.67,6.03,8.79,13.97,17.81,21.15,24.04,23.80,20.86,16.75,10.36,4.82
1920,4.08,2.45,8.86,13.72,18.93,22.54,24.33,24.24,20.64,15.63,8.19,2.56
1921,2.83,3.93,8.01,13.77,18.68,22.42,24.88,24.06,19.93,14.72,8.99,4.07
1922,3.92,5.30,8.78,13.62,18.92,22.46,24.96,24.50,20.11,16.27,10.42,4.85
1923,3.95,5.07,9.02,12.24,19.08,23.46,24.93,23.04,20.63,15.90,9.70,5.99
1924,4.82,5.40,9.69,13.40,18.79,23.38,24.80,24.25,21.08,15.70,9.50,3.72
1925,0.54,3.70,10.96,13.13,19.22,22.01,24.32,24.68,21.20,15.88,9.73,6.35
1926,3.90,5.57,8.47,13.18,19.49,22.61,23.89,23.84,19.14,15.57,9.64,5.43
1927,3.26,3.11,8.70,12.95,19.57,23.05,25.00,24.13,21.03,17.59,10.01,3.93
1928,2.42,3.85,6.61,15.11,19.40,22.46,24.68,23.40,20.80,15.24,9.79,4.80
1929,2.25,3.43,6.52,13.48,20.14,21.78,24.03,24.81,20.43,15.81,10.36,4.75
1930,3.59,5.71,9.69,14.17,18.82,22.05,24.61,24.87,20.38,15.56,10.44,5.88
1931,3.80,4.80,9.35,13.22,18.40,21.94,24.88,24.45,21.36,15.30,8.32,2.53
1932,2.03,4.48,8.72,13.77,18.63,23.30,24.14,24.40,20.08,17.15,8.86,2.26
1933,0.63,4.35,7.04,11.64,18.55,21.12,23.99,24.12,19.91,15.21,10.31,3.94
1934,1.32,4.19,8.54,13.63,18.39,22.15,24.33,23.66,19.80,15.97,9.83,4.53
1935,2.59,5.48,8.45,13.55,19.66,22.80,24.71,25.13,21.73,16.65,9.07,6.30
1936,3.87,6.40,9.09,14.29,18.50,21.41,24.70,24.54,19.29,16.19,10.53,3.42
1937,0.74,4.69,9.68,14.04,18.77,21.50,25.01,24.52,21.79,16.80,10.82,5.65
1938,4.21,4.93,6.29,13.78,18.37,22.31,25.26,24.62,21.03,15.45,9.35,6.41
1939,4.51,5.49,8.26,13.20,20.02,22.45,24.54,23.72,20.22,16.71,9.38,5.63
1940,3.72,6.69,7.12,14.69,18.24,22.47,24.86,24.81,20.67,16.60,10.15,6.60
1941,4.30,7.37,9.37,14.05,19.86,23.44,25.03,23.78,20.55,14.07,9.07,1.96
1942,2.43,5.41,7.90,13.13,19.61,23.56,24.94,24.38,20.13,16.16,10.44,4.10
1943,3.81,4.02,6.14,12.33,18.60,21.54,24.31,24.43,20.33,17.10,10.81,5.82
1944,3.00,5.69,10.23,13.58,18.31,22.72,24.68,23.41,20.61,16.28,9.95,4.06
1945,3.52,3.30,6.43,12.44,18.82,21.83,24.74,24.39,20.72,15.49,9.32,4.45
1946,2.77,5.12,8.49,13.60,18.83,22.08,23.90,24.04,21.12,14.76,10.22,4.84
1947,4.47,5.30,10.68,14.21,19.05,22.72,25.18,24.13,19.86,15.46,10.71,6.09
1948,5.24,6.20,6.36,12.47,18.86,22.68,25.16,24.61,20.06,14.58,7.74,2.83
1949,1.60,2.62,7.09,11.67,19.20,23.46,25.16,23.92,19.42,14.93,9.98,4.72
1950,0.58,2.56,8.24,14.75,18.97,21.73,24.52,23.87,20.72,15.39,9.72,5.25
1951,4.04,4.68,9.73,14.30,19.05,22.14,24.50,24.46,21.33,15.43,9.56,4.52
1952,3.44,6.20,8.09,14.17,18.43,21.50,24.98,24.93,22.11,16.31,8.95,6.24
1953,4.77,6.02,6.43,14.10,18.47,22.18,25.03,24.82,20.13,16.04,8.57,1.70
1954,2.58,5.45,9.28,13.59,18.50,23.14,25.95,25.56,21.04,16.08,11.41,6.85
1955,4.81,7.01,10.38,14.34,19.40,23.49,24.49,24.09,20.72,15.92,10.12,6.07
1956,3.80,6.55,7.80,13.56,16.83,22.04,24.99,24.86,19.92,13.61,7.77,3.76
1957,1.79,5.15,9.50,13.75,18.16,22.47,24.49,24.74,21.13,16.64,10.27,4.46
1958,4.76,4.27,9.87,14.55,18.97,22.22,23.82,24.19,19.40,14.87,7.88,5.48
1959,3.78,2.08,7.77,14.61,18.65,22.31,24.00,23.23,18.42,14.59,8.92,3.44
1960,4.27,6.62,8.31,14.12,19.68,22.34,24.87,23.20,20.71,14.65,10.92,5.66
1961,4.29,5.09,7.23,13.46,19.56,23.39,25.47,24.89,18.79,14.50,8.80,6.42
1962,4.53,6.28,10.83,13.43,19.60,23.14,25.86,25.57,20.90,16.60,10.15,6.91
1963,7.14,8.47,7.71,14.49,17.52,22.37,24.88,24.54,20.75,17.21,8.94,3.61
1964,-3.15,5.17,10.46,12.96,17.98,23.09,24.80,22.88,19.79,13.04,8.49,3.05
1965,3.42,5.48,9.46,12.02,18.73,23.10,24.56,25.19,20.67,15.39,9.53,4.68
1966,6.92,7.92,8.82,14.21,18.83,23.07,24.83,24.89,21.53,16.60,10.51,6.01
1967,3.50,2.85,6.68,12.01,19.12,20.98,24.79,24.25,20.30,16.15,10.20,4.27
1968,3.08,3.86,8.78,14.13,19.72,22.07,25.10,22.96,20.30,16.49,11.15,7.21
1969,4.92,5.03,12.21,13.32,19.71,23.36,23.67,24.34,20.91,17.02,8.09,6.40
1970,5.01,7.21,10.42,15.32,19.12,22.58,24.65,23.84,19.91,14.70,11.40,4.02
1971,3.47,4.77,9.68,13.37,20.23,22.11,24.82,23.64,20.42,14.10,9.75,4.11
1972,0.87,0.95,7.64,14.40,17.66,22.23,23.89,24.12,20.55,16.55,8.33,1.46
1973,0.19,6.74,8.54,13.49,18.70,22.20,24.19,24.88,20.64,16.06,6.78,3.60
1974,1.63,2.67,9.68,13.38,18.98,22.90,24.40,23.80,20.06,15.81,9.82,3.73
1975,3.05,4.37,8.24,14.51,18.83,23.11,25.06,24.09,21.55,13.39,8.54,3.38
1976,4.43,4.00,6.90,13.91,18.22,22.36,23.74,23.88,20.17,16.10,9.40,6.72
1977,1.04,6.68,10.25,13.79,19.41,22.78,24.89,24.88,21.03,14.36,8.59,5.95
1978,5.00,7.50,9.67,14.02,18.99,22.42,25.87,23.40,20.45,16.39,5.86,7.15
1979,5.86,8.62,9.06,15.15,19.60,23.49,24.64,24.85,21.97,17.03,10.31,4.74
1980,2.38,4.64,9.16,14.07,19.07,23.30,26.06,23.80,19.36,14.61,10.26,5.24
1981,4.87,6.72,10.03,13.03,17.49,22.30,25.18,24.08,20.90,15.90,8.68,6.50
1982,3.99,2.48,7.10,15.04,20.11,22.30,23.36,23.12,21.04,15.97,7.00,1.80
1983,1.05,3.29,6.89,12.81,19.47,22.45,24.29,23.49,19.78,13.86,11.45,5.42
1984,4.28,5.59,10.06,13.79,17.70,22.86,25.29,22.82,20.22,14.59,10.61,3.15
1985,5.67,4.70,6.64,14.19,18.98,22.38,23.95,24.74,19.97,14.01,11.15,5.01
1986,4.06,7.03,8.66,14.83,18.48,21.53,25.42,24.90,21.67,16.90,8.87,3.37
1987,4.79,7.53,7.98,13.16,19.85,22.77,25.10,24.51,20.48,16.19,8.82,6.25
1988,3.56,5.50,8.71,13.30,18.91,22.38,25.09,24.20,20.20,16.32,8.01,5.31
1989,-0.54,1.13,9.26,14.92,19.52,22.36,25.46,23.99,20.08,16.00,10.24,4.96
1990,1.93,4.61,8.27,13.45,18.85,22.67,25.76,23.95,19.97,15.79,10.10,4.77
1991,4.04,4.84,9.89,15.12,18.02,23.57,24.84,24.78,20.97,17.17,10.50,4.92
1992,1.03,3.17,6.27,13.29,18.70,22.78,24.10,24.74,20.41,15.17,9.53,4.51
1993,3.03,4.68,8.62,13.90,18.47,22.78,25.40,24.98,20.90,16.43,8.84,5.10
1994,6.44,5.63,9.38,15.87,19.89,23.45,25.11,24.51,22.30,18.25,11.20,3.13
1995,4.68,6.92,9.05,13.88,20.25,23.83,25.09,24.57,20.90,15.30,7.89,3.76
1996,5.08,7.49,9.69,14.48,20.65,23.30,26.92,25.30,21.53,15.43,9.23,7.92
1997,4.33,2.93,6.76,13.26,19.74,23.64,25.21,23.96,20.38,17.55,10.38,6.28
1998,3.58,4.73,8.64,14.90,20.32,24.93,26.59,26.19,22.14,16.07,12.05,6.96
1999,5.88,7.21,9.43,14.56,20.41,24.27,26.08,26.29,21.35,17.13,9.52,5.40
2000,4.07,4.69,7.70,15.98,20.06,23.87,27.46,26.02,21.27,15.81,9.36,6.23
2001,4.44,6.44,11.20,14.94,19.05,23.64,26.07,25.97,21.62,16.74,8.54,8.00
2002,3.50,6.29,10.10,14.41,18.99,23.66,25.80,24.53,21.53,17.88,9.82,4.41
2003,5.09,6.52,8.57,14.55,20.32,23.90,25.61,25.82,20.97,17.68,9.32,5.62
2004,6.52,6.46,10.68,13.60,19.22,23.66,25.45,24.47,20.99,16.99,10.54,2.75
2005,3.67,4.92,9.71,15.07,19.44,23.38,26.64,25.97,20.78,15.80,9.06,6.93
2006,4.40,7.59,10.18,15.39,20.16,24.84,25.87,26.63,21.08,17.72,8.51,1.95
2007,1.54,6.80,8.91,13.87,21.26,24.32,25.94,25.55,21.75,17.20,9.29,4.27
2008,-0.27,4.46,11.95,16.26,19.86,24.52,26.07,26.30,22.41,16.91,9.82,4.23
2009,3.01,8.28,9.49,13.71,19.86,24.32,25.70,24.48,20.93,16.97,10.08,7.42
2010,7.48,8.65,12.29,15.22,20.36,24.84,26.49,26.42,22.68,17.93,9.33,5.52
2011,4.57,6.58,8.98,14.14,19.85,23.76,26.12,25.31,21.45,15.41,7.04,3.44
2012,3.70,5.00,6.89,15.53,20.88,25.22,26.52,26.11,21.69,17.69,11.49,6.34
2013,4.84,7.69,10.29,13.85,19.80,23.44,25.32,24.78,20.82,14.42,11.27,2.83
2014,4.15,5.90,11.21,15.54,20.52,24.12,26.17,26.10,21.90,16.82,8.90,6.82
2015,4.53,7.41,10.05,14.53,20.15,24.57,26.82,26.56,23.03,17.72,9.91,4.24
2016,4.78,8.38,11.14,15.21,20.38,24.52,26.41,26.31,21.34,16.16,8.08,4.25
2017,3.16,3.28,10.33,15.33,20.49,24.71,26.97,26.34,22.64,16.33,10.25,5.87
2018,5.40,8.84,12.88,15.26,20.59,24.78,27.14,25.76,22.68,18.05,10.95,7.45
2019,5.49,7.04,9.39,13.66,20.67,25.72,26.36,25.99,22.16,18.30,9.07,7.06
