Variable:,tasmin
Country:,"St. Kitts and Nevis"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.40,19.50,19.40,20.20,21.10,21.40,21.20,21.80,21.50,20.90,20.20,19.20
1902,18.40,18.90,18.70,19.10,20.30,21.20,21.30,21.70,21.10,20.40,20.30,19.60
1903,19.00,18.90,18.50,19.30,20.90,21.60,21.30,21.40,21.10,20.70,20.10,19.30
1904,18.50,18.20,17.90,18.40,19.80,20.90,20.70,20.70,20.70,20.30,20.60,19.50
1905,18.60,17.70,18.10,19.80,20.00,21.30,21.10,21.50,21.20,20.90,20.70,19.40
1906,18.30,18.30,18.30,19.10,20.20,20.80,20.90,21.40,21.00,20.80,20.60,18.50
1907,17.90,17.40,17.60,17.90,19.30,20.80,21.20,21.00,21.00,20.70,20.50,19.70
1908,18.50,18.20,17.70,18.20,19.00,20.60,21.30,21.50,21.20,20.50,20.40,19.70
1909,18.50,18.40,18.60,18.40,20.00,20.30,20.90,20.80,21.10,20.70,20.30,18.70
1910,18.10,17.70,17.80,18.20,19.30,20.80,21.10,21.50,21.00,21.10,20.60,19.60
1911,18.30,17.80,17.50,17.80,19.10,20.90,20.50,21.20,21.10,20.80,20.50,19.60
1912,18.90,18.40,17.90,19.00,20.10,20.80,21.20,21.10,20.90,20.50,20.20,19.60
1913,18.50,17.70,17.80,18.20,20.20,19.90,20.20,20.10,20.70,19.90,19.90,18.50
1914,18.20,18.10,18.30,18.40,19.40,20.30,20.30,20.30,20.90,20.30,20.20,19.90
1915,18.90,18.40,18.60,19.50,20.00,21.40,21.50,21.70,21.50,21.10,20.80,20.00
1916,18.70,18.40,18.00,18.50,20.30,20.80,21.00,21.20,21.00,20.70,20.10,18.30
1917,17.80,17.40,17.20,18.20,19.60,21.00,21.10,20.90,20.80,20.90,20.40,18.60
1918,17.40,18.00,17.40,18.10,19.40,20.70,20.90,21.30,21.00,20.60,19.80,18.50
1919,17.70,17.80,17.60,19.00,20.10,21.10,20.60,21.20,20.70,20.30,19.50,19.10
1920,18.20,18.30,18.30,18.50,19.50,20.10,20.20,20.30,20.50,20.20,19.80,18.60
1921,18.50,18.20,17.90,17.70,19.50,20.60,20.30,20.70,21.10,20.40,20.20,19.10
1922,18.20,18.60,17.60,17.90,19.30,20.40,20.40,20.50,20.90,20.60,20.00,19.10
1923,18.00,17.90,18.00,18.30,20.30,20.40,20.60,21.30,21.00,21.00,20.50,19.00
1924,18.60,18.60,19.30,19.60,20.40,21.10,21.40,21.80,21.70,21.10,20.00,19.10
1925,18.20,17.40,17.30,18.30,19.90,20.10,20.60,21.40,21.40,20.90,19.70,20.20
1926,19.10,18.20,19.20,19.00,20.30,21.20,21.60,21.40,21.20,21.10,21.00,19.80
1927,18.20,17.60,18.10,18.40,19.90,20.70,21.10,21.20,21.50,20.80,21.00,19.50
1928,18.80,18.10,18.10,19.00,20.00,21.10,21.00,21.30,20.80,20.50,20.60,19.80
1929,18.70,18.90,18.10,18.20,19.00,20.70,20.80,21.10,20.80,20.50,19.90,18.80
1930,18.00,17.60,17.90,18.50,20.20,21.00,20.70,21.00,21.00,21.10,20.50,19.30
1931,18.70,18.30,19.50,20.40,21.70,22.20,22.00,22.20,21.70,21.40,21.00,19.90
1932,18.70,17.60,18.80,20.20,21.00,22.00,21.50,22.00,22.20,21.40,21.00,19.70
1933,18.40,17.70,18.70,19.10,20.90,21.30,21.80,21.80,21.30,21.10,20.80,19.00
1934,18.10,18.20,18.10,19.10,20.30,21.20,21.20,21.30,21.20,20.80,19.60,19.70
1935,18.00,18.50,18.30,18.90,20.00,21.30,21.30,21.40,21.10,20.70,20.40,19.70
1936,18.90,18.90,18.90,19.50,21.10,21.60,21.40,21.70,21.60,20.70,19.80,18.80
1937,18.90,18.20,19.10,19.60,21.20,21.90,21.50,22.00,22.20,21.40,20.90,19.90
1938,18.60,18.20,18.80,18.50,20.30,21.30,21.10,21.80,21.50,21.20,20.50,19.70
1939,18.10,17.50,18.70,18.80,19.80,20.90,21.20,21.60,21.80,21.70,21.10,20.00
1940,18.80,19.60,19.40,20.10,21.70,22.00,22.00,21.90,22.10,21.70,21.10,20.00
1941,19.10,19.70,19.60,20.20,21.60,21.80,21.50,22.00,21.60,21.20,21.10,20.60
1942,19.60,19.50,19.80,20.60,21.10,22.10,21.80,21.90,21.90,21.30,21.50,20.30
1943,19.10,18.80,18.50,19.50,20.00,21.20,21.50,21.80,21.90,21.60,21.00,20.40
1944,18.90,18.80,18.60,19.50,20.50,21.50,21.70,22.10,21.20,21.40,20.80,19.60
1945,18.30,18.50,18.50,18.70,20.40,21.30,21.40,21.60,21.10,21.00,20.20,19.10
1946,19.00,18.20,18.60,19.00,20.30,21.10,21.20,21.60,21.20,21.20,21.00,20.20
1947,19.60,19.10,19.30,19.60,20.60,21.30,21.40,21.70,21.80,21.90,21.30,20.00
1948,19.70,19.10,19.10,19.40,21.80,21.80,21.70,21.80,21.60,21.10,20.90,19.70
1949,18.50,18.60,18.90,19.60,21.30,21.40,21.10,22.00,21.70,21.10,20.50,19.40
1950,18.60,18.60,18.50,19.20,20.10,21.30,21.60,22.00,22.00,21.40,21.50,19.90
1951,18.70,18.40,18.20,20.10,21.80,21.90,22.00,22.20,21.90,21.30,21.20,20.10
1952,19.20,18.80,19.10,20.40,21.40,21.90,21.70,22.00,21.80,21.70,20.80,18.80
1953,18.60,18.60,18.90,19.40,20.70,21.50,22.10,21.90,21.90,20.90,21.00,20.10
1954,18.50,18.60,19.20,19.70,20.70,21.40,21.60,22.10,21.90,21.10,20.30,19.70
1955,18.30,19.10,18.40,18.90,20.90,21.50,21.30,22.10,21.80,21.50,21.10,20.00
1956,18.80,18.90,19.40,20.20,20.70,21.60,21.30,21.50,21.60,21.20,20.60,20.10
1957,19.20,19.00,18.40,19.40,20.60,21.80,21.90,22.20,21.90,21.10,21.20,20.40
1958,19.20,19.00,19.70,21.20,22.10,22.40,22.10,22.50,22.30,21.70,21.10,20.20
1959,18.90,19.10,19.60,20.30,20.60,21.40,21.30,21.50,21.90,21.20,20.30,20.50
1960,19.20,19.10,19.50,20.00,21.20,22.30,21.70,21.90,21.30,21.50,20.80,19.70
1961,19.40,19.10,19.00,19.90,21.10,21.60,21.70,22.00,21.60,21.20,20.50,20.30
1962,19.70,18.70,18.90,20.00,20.60,21.90,22.10,22.00,22.00,21.30,20.70,20.10
1963,19.60,19.40,19.40,20.10,20.70,21.90,22.00,22.40,22.30,21.70,20.80,20.40
