Variable:,tasmin
Country:,"Macao SAR, China"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.00,9.50,14.70,19.80,22.50,24.30,24.90,24.20,23.10,20.60,16.20,12.10
1902,12.70,11.20,17.10,19.80,23.10,23.90,24.80,24.80,23.10,20.40,18.00,13.70
1903,11.00,11.10,16.80,19.40,21.90,24.30,24.80,24.00,23.20,20.80,15.50,11.70
1904,11.20,12.60,14.70,19.20,21.90,23.80,24.10,23.90,23.60,20.90,15.80,11.40
1905,13.90,10.80,13.60,17.80,23.20,24.60,24.70,24.90,24.00,21.10,16.20,14.30
1906,11.40,12.50,14.30,19.30,23.00,25.50,24.90,25.40,24.30,20.30,15.80,13.30
1907,12.30,12.00,15.10,18.00,21.70,23.60,24.40,25.00,23.80,22.40,17.90,12.50
1908,12.60,11.60,13.90,18.10,21.90,24.20,25.00,24.50,24.10,21.70,16.60,13.80
1909,12.40,12.80,15.10,18.60,21.40,25.30,25.10,25.10,24.60,21.90,16.80,12.90
1910,12.30,12.00,15.20,18.30,22.60,25.50,24.90,24.60,23.70,20.10,16.40,12.00
1911,11.30,11.30,15.40,18.40,22.20,26.20,24.60,24.30,23.20,19.20,16.30,14.10
1912,11.90,12.40,14.90,18.60,22.90,24.70,24.80,24.10,22.70,19.60,15.90,12.60
1913,10.80,12.30,13.90,19.30,21.90,24.80,24.80,24.80,23.60,19.70,16.40,12.20
1914,11.40,13.40,16.40,18.80,22.70,24.80,25.10,24.50,23.20,21.50,17.20,14.00
1915,11.80,13.60,14.80,20.10,21.30,25.00,25.40,25.60,23.70,22.80,18.10,12.40
1916,11.40,12.10,13.20,19.00,23.10,24.70,25.20,24.60,24.00,20.30,15.30,12.20
1917,9.30,10.80,13.70,18.50,20.80,24.90,24.30,24.50,24.10,20.80,15.80,11.00
1918,7.80,11.10,14.90,18.70,22.20,24.30,24.40,23.60,23.90,20.50,17.30,14.80
1919,12.50,11.40,17.80,19.50,22.00,25.80,25.50,24.80,23.10,19.80,15.90,12.00
1920,9.90,12.70,15.90,18.40,23.10,24.30,25.30,24.50,24.40,21.00,18.60,15.30
1921,11.40,11.30,15.00,19.40,22.90,24.40,24.70,24.30,23.10,20.20,16.60,14.40
1922,13.30,14.90,16.40,19.50,24.00,25.40,25.40,25.00,24.30,21.10,15.70,12.30
1923,11.90,11.90,16.20,20.00,23.20,24.90,25.10,24.90,24.00,20.50,17.60,13.60
1924,14.00,13.60,15.10,19.30,24.40,24.80,25.40,25.40,25.10,21.70,16.40,12.50
1925,11.30,10.60,15.60,17.00,23.20,24.80,25.80,25.40,24.50,20.70,18.40,12.80
1926,12.50,13.40,15.80,19.30,22.90,23.70,25.50,25.30,24.80,20.40,17.20,13.80
1927,12.30,12.40,13.80,17.90,22.60,24.90,24.80,25.10,23.60,20.70,17.70,14.90
1928,14.00,12.00,16.50,19.70,23.60,24.60,26.00,25.10,24.50,20.40,17.20,15.00
1929,13.10,12.90,15.50,19.30,23.80,25.50,25.20,25.00,24.70,21.10,15.80,14.30
1930,9.70,12.60,15.80,21.30,23.90,25.20,25.80,24.90,24.10,21.10,17.10,15.00
1931,12.90,13.50,16.30,20.20,23.30,25.40,25.30,25.40,24.40,20.20,17.60,14.20
1932,11.20,10.90,14.10,19.30,24.40,25.20,25.10,24.90,23.90,20.70,17.80,13.20
1933,9.60,13.40,15.00,20.40,23.40,25.50,25.40,25.70,24.70,20.90,16.40,14.20
1934,9.80,12.30,14.90,18.00,22.90,25.00,24.90,24.90,25.10,20.30,17.50,14.10
1935,13.10,14.10,17.10,19.50,23.30,25.30,25.20,24.80,23.40,22.60,18.90,12.70
1936,11.10,13.00,12.60,19.60,22.70,25.40,25.10,25.00,23.90,19.80,17.00,14.50
1937,12.90,12.90,16.70,20.10,23.70,24.70,25.40,25.00,25.00,21.90,17.70,14.70
1938,12.80,12.20,15.20,19.70,23.70,26.40,25.40,24.80,25.00,22.50,16.40,14.30
1939,12.30,13.50,17.10,18.10,22.20,24.80,25.00,24.40,23.20,21.20,17.80,10.90
1940,10.70,12.80,15.00,17.80,22.00,24.30,24.90,24.30,24.80,21.60,17.70,14.30
1941,15.00,14.70,15.40,18.00,22.80,24.40,25.20,24.60,23.20,20.90,17.50,14.00
1942,10.90,13.20,17.10,19.10,22.60,25.20,24.80,24.50,24.00,21.50,17.40,12.70
1943,10.40,11.10,16.20,18.30,23.90,24.90,24.50,23.80,24.00,21.70,17.40,13.30
1944,12.80,12.40,15.50,20.00,22.30,24.00,24.60,24.10,24.60,21.40,18.20,10.60
1945,10.50,10.10,14.40,18.60,21.30,24.40,25.20,24.70,24.60,19.80,18.10,12.30
1946,13.50,14.80,16.50,21.80,23.60,25.30,25.10,24.90,24.90,20.70,17.80,12.10
1947,13.70,11.00,14.60,18.40,23.00,24.40,25.40,24.80,24.20,20.00,15.90,12.00
1948,11.30,13.70,16.20,19.80,23.50,24.90,25.10,25.40,24.30,21.30,15.30,15.70
1949,10.20,13.70,16.20,19.50,23.60,24.90,25.30,24.70,24.20,21.30,17.20,14.80
1950,13.80,11.90,16.40,18.70,22.60,24.10,25.60,24.60,24.40,22.00,17.00,11.00
1951,11.40,12.70,13.70,18.70,22.20,24.10,25.30,25.30,24.20,21.40,17.20,13.80
1952,12.60,13.30,16.70,19.50,24.50,25.20,26.00,24.80,24.10,21.10,17.40,10.90
1953,12.10,13.60,17.00,17.30,22.50,25.30,26.00,26.00,24.10,22.80,17.90,14.00
1954,14.20,12.60,12.70,19.80,23.60,25.30,26.20,25.50,24.50,20.60,18.00,11.40
