Variable:,tasmin
Country:,Moldova
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-8.70,-6.63,0.77,4.95,11.38,16.03,16.22,15.00,9.98,5.53,-1.93,-0.09
1902,-2.43,-2.79,-1.49,3.33,8.31,13.72,13.93,14.41,9.39,4.68,-5.38,-9.92
1903,-6.69,-2.82,0.33,4.38,10.32,14.04,15.44,14.19,10.35,4.81,1.43,-3.33
1904,-8.56,-2.12,-2.74,3.40,8.81,13.31,15.76,14.70,9.55,6.05,-1.70,-3.01
1905,-10.08,-5.43,-1.44,3.34,10.87,14.48,16.11,16.46,11.31,4.95,3.45,-4.02
1906,-5.47,-3.81,0.53,5.41,12.56,14.25,15.33,13.01,9.14,3.98,2.90,-3.82
1907,-9.13,-9.19,-4.42,2.77,13.64,13.94,15.49,14.60,9.88,8.06,-2.62,-4.76
1908,-6.67,-2.94,-0.92,4.06,12.02,14.33,15.56,14.25,9.39,2.95,-4.85,-6.41
1909,-10.22,-10.37,-0.81,3.86,9.99,13.63,15.99,16.37,13.54,7.35,0.67,-1.06
1910,-4.11,0.03,-1.46,5.20,11.57,15.64,15.55,13.98,10.74,3.81,1.42,-0.78
1911,-6.14,-11.67,-1.34,4.35,11.45,12.77,14.93,14.68,10.00,6.03,2.31,-2.91
1912,-10.32,-4.54,2.13,3.05,8.34,14.35,14.40,13.92,8.82,2.11,0.02,-0.73
1913,-5.56,-6.61,1.21,5.43,9.43,12.35,13.98,14.38,10.95,4.62,1.63,-1.65
1914,-7.95,-1.83,1.50,5.28,10.12,13.80,16.30,14.09,8.89,4.26,-2.76,-1.94
1915,-1.90,-3.43,-2.66,4.80,9.85,14.69,16.63,13.17,9.01,4.49,-0.32,-0.55
1916,-3.35,-2.60,1.87,5.53,10.41,13.73,15.62,13.37,9.27,6.14,2.33,-0.94
1917,-5.90,-11.43,-3.20,4.83,8.75,14.53,15.17,16.18,10.51,7.04,3.03,-4.81
1918,-3.65,-3.90,-1.69,6.31,9.08,12.63,14.95,13.95,12.51,8.98,0.15,-2.27
1919,-3.17,-5.03,-0.74,5.98,7.11,12.67,14.68,13.05,12.48,5.67,-1.50,-3.52
1920,-4.66,-7.77,0.87,8.25,12.21,12.82,17.34,15.90,10.11,0.25,-3.50,-4.23
1921,-2.42,-7.85,0.14,5.37,12.60,12.98,15.95,16.11,7.95,3.92,-2.47,-5.58
