Variable:,tasmin
Country:,Mozambique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.83,21.33,20.88,19.24,16.22,13.61,13.17,14.56,16.07,18.58,20.34,21.09
1902,21.26,21.28,20.72,19.81,16.28,14.25,14.25,15.09,17.26,18.28,20.63,21.72
1903,21.62,21.62,21.05,19.89,17.25,14.27,13.49,15.05,17.16,19.30,20.29,20.85
1904,20.83,20.62,19.84,19.28,15.96,14.46,13.03,14.45,15.58,18.87,20.68,20.46
1905,21.55,21.24,20.03,18.71,16.17,14.97,13.07,15.07,17.30,20.11,20.75,21.68
1906,22.12,20.73,20.38,18.53,16.46,14.00,13.35,14.18,16.37,18.47,19.61,21.00
1907,21.21,20.82,20.57,18.71,16.20,13.68,12.43,13.59,16.15,18.90,20.17,21.09
1908,21.26,20.91,20.61,19.17,15.61,14.35,13.41,15.13,17.03,19.78,20.69,21.36
1909,21.23,21.25,20.53,18.74,16.14,13.38,13.63,14.91,16.39,19.07,20.25,21.50
1910,21.04,20.82,20.30,18.40,15.51,13.50,12.91,14.34,15.91,18.26,19.49,20.85
1911,20.75,20.71,19.84,18.19,15.90,12.96,12.49,13.87,15.56,19.39,20.50,22.27
1912,21.69,21.67,19.95,19.66,17.41,13.73,12.84,14.05,16.33,18.55,21.57,20.87
1913,21.48,21.51,20.27,19.25,16.45,13.48,13.83,14.89,16.82,19.50,20.93,21.71
1914,21.98,21.03,21.28,20.28,16.96,14.42,13.19,14.59,17.60,20.02,21.09,21.71
1915,21.76,21.41,20.83,19.88,16.51,14.77,14.85,15.02,16.86,19.33,20.95,21.45
1916,21.30,22.19,21.42,19.52,15.97,14.03,13.82,14.09,16.82,19.97,20.77,21.34
1917,21.08,21.69,20.98,19.15,17.18,14.54,13.28,14.54,16.42,19.14,20.71,20.54
1918,20.24,20.90,20.36,17.79,15.68,13.30,13.33,13.54,16.64,20.22,20.85,20.92
1919,21.17,20.81,20.38,19.46,15.12,13.95,13.46,14.02,16.38,18.47,20.21,21.38
1920,22.12,21.55,20.80,18.52,16.77,13.78,13.80,14.68,17.68,19.91,21.10,21.63
1921,21.63,21.89,21.11,19.01,16.25,14.30,13.20,14.14,16.36,19.36,20.38,20.93
1922,21.98,21.16,21.44,19.22,16.76,14.67,13.77,15.66,17.09,19.09,21.12,21.90
1923,21.56,21.19,20.70,19.07,16.15,14.21,13.56,14.68,16.41,19.56,21.81,21.40
1924,21.09,21.47,20.99,18.04,16.61,14.35,13.50,14.53,17.03,19.28,20.74,21.09
1925,20.70,21.10,20.78,19.27,15.95,13.77,13.01,13.87,15.51,18.56,20.87,21.95
1926,21.59,22.22,20.61,18.68,16.08,14.10,13.27,13.90,16.81,19.32,20.85,21.59
1927,21.39,21.23,20.18,19.09,15.51,13.33,13.78,14.06,16.46,19.19,20.84,21.23
1928,21.51,21.07,21.23,19.17,15.73,14.86,12.74,14.16,17.07,20.08,21.13,21.36
1929,21.25,20.90,20.34,18.40,16.21,14.56,13.67,14.01,17.74,20.53,21.84,21.09
1930,20.79,20.59,20.87,18.96,15.31,13.37,13.03,13.87,16.04,18.66,20.76,21.55
1931,21.44,21.83,21.14,19.19,17.56,14.01,14.12,15.03,16.78,19.83,20.28,20.93
1932,21.07,21.60,20.27,19.38,16.46,14.20,12.87,14.12,17.96,19.62,20.34,20.98
1933,20.72,20.95,20.60,18.49,15.89,14.69,13.72,14.25,15.81,19.11,20.91,20.68
